"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","한옥체험업","03_11_06_P","5160000","CDFI2262222026000002","2026-04-01","","01","영업/정상","13","영업중","","","","","02-2925-7061","","","경상북도 청송군 주왕산면 하의리 842","경상북도 청송군 주왕산면 청송백자로 12","37437","청송 한옥호텔 안(安)","2026-04-01 13:15:45","I","2026-04-03 00:20:02","","389041.774970082","321745.482109652","한옥체험업","","","1","","","","숙박시설","1","0","0","0","","","0","0","","0","0","","0","957.31","","0","","","","","","","0","","","","957",
"2","한옥체험업","03_11_06_P","3110000","CDFI2262222020000006","2020-11-03","","01","영업/정상","13","영업중","","","","","","","","서울특별시 은평구 진관동 193-17","서울특별시 은평구 연서로50길 7-16 (진관동)","03308","한옥 포지티브스","2026-04-01 08:55:50","U","2026-04-03 02:40:00","","194582.032669623","459918.029646101","한옥체험업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"3","한옥체험업","03_11_06_P","3650000","CDFI2262222026000001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","대전광역시 중구 선화동 354-1","대전광역시 중구 중앙로79번길 114 (선화동)","34862","스테이 연월 선화","2026-04-02 17:37:11","U","2026-04-04 02:40:00","","237622.287395669","314365.967696548","한옥체험업","","일반주거지역","0","","","","단독주택","0","0","0","0","","","0","0","","0","0","","0","45.65","","0","","","","","","","10000000","","","","46",
"4","한옥체험업","03_11_06_P","4060000","CDFI2262222013000001","2013-07-22","","01","영업/정상","13","영업중","","","","","","","413-160","경기도 파주시 송촌동 198-10","경기도 파주시 소라지로327번길 126-20 (송촌동)","","한옥체험마을 살림채","2026-04-02 10:31:47","U","2026-04-04 02:40:00","","172498.002075612","472509.11930703","한옥체험업","","","1","","","","단독주택","1","0","4","193","","","0","0","","0","0","","0","193.14","","0","","","","","","","0","","","","193",
"5","한옥체험업","03_11_06_P","5050000","CDFI2262222010000006","2010-07-13","","03","폐업","03","폐업","2026-04-02","","2026-04-02","","","","","경상북도 경주시 황남동 238-1","경상북도 경주시 포석로1068번길 23 (황남동)","38166","사랑채","2026-04-02 21:25:25","U","2026-04-04 02:40:00","","399797.146854247","261815.828646028","한옥체험업","","","0","","","","","0","0","11","166","","","0","0","","0","0","","0","166","","0","","","","","","","0","","","","166",
"6","한옥체험업","03_11_06_P","4800000","CDFI2262222019000003","2019-12-17","","01","영업/정상","13","영업중","","","","","","","","전라남도 목포시 항동 2-105","","","선유화길","2026-04-02 17:29:02","U","2026-04-04 02:40:00","","143510.744181898","142979.624739369","한옥체험업","","일반주거지역","1","주택가주변","","","단독주택","1","0","0","0","","","0","0","","0","0","","0","62.8","","0","","","","","","","0","","","","63",
"7","한옥체험업","03_11_06_P","3590000","CDFI2262222026000002","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","광주광역시 동구 서석동 26-1","광주광역시 동구 백서로189번길 3-2 (서석동)","61466","소소담채","2026-04-03 16:16:25","I","2026-04-05 00:20:22","","193030.86828912","182884.220286207","한옥체험업","","준주거지역","1","","","","","0","0","0","0","","","0","0","","0","0","","0","39.33","","0","","","","","","","0","","","","39",
"8","한옥체험업","03_11_06_P","4570000","CDFI2262222026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","충청남도 부여군 부여읍 동남리 9-37","충청남도 부여군 부여읍 의열로29번길 21-3","33149","하늘채 백락제","2026-04-03 10:39:02","I","2026-04-05 00:20:22","","","","한옥체험업","","일반주거지역","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","98.64","","0","","","","","","","0","","","","99",
"9","한옥체험업","03_11_06_P","4570000","CDFI2262222026000002","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","충청남도 부여군 부여읍 동남리 5-19","충청남도 부여군 부여읍 의열로29번길 21-5","33149","하늘채 궁스테이","2026-04-03 10:47:11","I","2026-04-05 00:20:22","","192550.018008749","308801.828497231","한옥체험업","","일반주거지역","0","","","","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","107.64","","0","","","","","","","0","","","","108",
"10","한옥체험업","03_11_06_P","3410000","CDFI2262222026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","대구광역시 중구 봉산동 137-29","대구광역시 중구 봉산문화2길 40, 5층 (봉산동)","41959","봉산 여백의집","2026-04-03 15:17:39","I","2026-04-05 00:20:22","","344182.419808483","263820.481816075","한옥체험업","","일반상업지역","0","","","","단독주택","5","0","0","0","","","0","0","","0","0","","0","127.74","","0","","","","","","","50000000","","","","128",
