"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","용도지역","건물형태구분명","객실수","주택면적","방면적비율","소화기개수","단독경보형감지기개수","자동확산소화기대수","휴대용비상조명등대수","피난구유도등개수","유도표지개수","완강기대수","가스누설경보기대수","일산화탄소감지기대수","조식제공여부","오수처리시설용량","화장실수","화장실종류명",
"1","농어촌민박업","03_11_08_P","4201000","AGCV042010002026000019","2026-04-01","","01","영업/정상","1","정상","","","","","","587","","강원특별자치도 강릉시 연곡면 동덕리 34-24","강원특별자치도 강릉시 연곡면 조부동길 142-63","25431","다람이네","2026-04-01 16:56:48","I","2026-04-03 00:20:02","","","","계획관리지역","","1","178.56","178.56","3","2","1","2","0","1","0","1","1","","0","3","",
"2","농어촌민박업","03_11_08_P","3570000","AGCV035700002026000024","2026-04-01","","01","영업/정상","1","정상","","","","","","1016","417-851","인천광역시 강화군 양도면 삼흥리 400 용내천식당","인천광역시 강화군 양도면 강화남로1002번길 45, 용내천식당","23056","푸르내","2026-04-01 17:30:29","I","2026-04-03 00:20:02","","149060.257386826","464922.193649698","계획관리지역","","3","224.23","0","3","5","2","5","1","0","0","1","2","","8","2","",
"3","농어촌민박업","03_11_08_P","4060000","AGCV040600002026000006","2026-04-01","","01","영업/정상","1","정상","","","","","","1404","","","경기도 파주시 탄현면 방촌로 449-9","10860","방촌시골쉼터","2026-04-01 13:29:53","I","2026-04-03 00:20:02","","","","계획관리지역","","3","173.25","0","5","7","2","4","0","2","0","2","2","","8","2","",
"4","농어촌민박업","03_11_08_P","4480000","AGCV044800002026000006","2026-04-01","","01","영업/정상","1","정상","","","","","","1321","","","충청북도 단양군 적성면 상학2길 45-2","27014","락이네 민박","2026-04-01 16:25:10","I","2026-04-03 00:20:02","","312783.358993457","386932.271480582","계획관리지역","","2","136.56","0","7","8","1","3","0","5","0","0","0","","10","2","",
"5","농어촌민박업","03_11_08_P","5330000","AGCV053300002026000015","2026-04-01","","01","영업/정상","1","정상","","","","","","1537","650-915","경상남도 통영시 욕지면 서산리 40-17 파라다이스","경상남도 통영시 욕지면 유동길 111, 파라다이스","53100","파라다이스","2026-04-01 11:26:31","I","2026-04-03 00:20:02","","313924.619777389","125227.025379902","계획관리지역","","9","229.86","0","10","9","1","9","0","10","0","0","1","","0","15","",
"6","농어촌민박업","03_11_08_P","5000000","AGCV050000002026000003","2026-04-01","","01","영업/정상","1","정상","","","","","","753","","","전라남도 진도군 임회면 남도전원길 65","58945","남도스테이","2026-04-01 13:57:21","I","2026-04-03 00:20:02","","","","계획관리지역","","3","198.51","0","1","1","1","1","1","0","0","0","0","","0","0","",
"7","농어촌민박업","03_11_08_P","4930000","AGCV049300002026000006","2026-03-31","","01","영업/정상","1","정상","","","","","","466","","","전라남도 해남군 산이면 외송길 90","59011","산이스테이","2026-04-01 16:01:38","I","2026-04-03 00:20:02","","149057.621187199","126580.265045971","계획관리지역","","2","113.9","0","4","6","4","4","0","2","0","2","2","","5","2","",
"8","농어촌민박업","03_11_08_P","5600000","AGCV056000002026000007","2026-03-31","","01","영업/정상","1","정상","","","","","","977","","","경기도 포천시 영북면 산정호수로 911 (억새꽃펜션)","11103","아일랜드 팬션","2026-04-01 15:28:44","I","2026-04-03 00:20:02","","227945.432358449","508746.93016235","보전관리지역","","5","215.45","215.45","6","6","0","6","1","0","0","0","0","","0","8","",
"9","농어촌민박업","03_11_08_P","4170000","AGCV041700002026000018","2026-04-01","","01","영업/정상","1","정상","","","","","","386","476-911","경기도 양평군 강상면 신화리 272-13","경기도 양평군 강상면 신화길78번길 27","12572","우남매가 사는집","2026-04-01 09:16:40","I","2026-04-03 00:20:02","","242425.128800846","441600.150225914","계획관리지역","","1","180.83","148.59","3","4","1","3","1","0","0","1","1","","0","2","",
"10","농어촌민박업","03_11_08_P","5050000","AGCV050500002026000058","2026-04-01","","01","영업/정상","1","정상","","","","","","251.5","780-904","경상북도 경주시 건천읍 화천리 2713-7 양포문어농어촌민박식당","경상북도 경주시 건천읍 경주역세권5로 30-10, 양포문어농어촌민박식당","38183","양포문어농어촌민박식당","2026-04-01 15:13:05","I","2026-04-03 00:20:02","","","","제1종일반주거지역","","2","170.94","170.94","3","6","1","5","3","0","0","1","1","","0","3","",
