"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내여행업","03_12_01_P","3680000","CDFI2260012023000004","2018-06-26","","01","영업/정상","13","영업중","","","","","1544-8415","","","대전광역시 대덕구 대화동 611 가온비즈타워 219-1호","대전광역시 대덕구 대화로 120, 가온비즈타워 219-1호 (대화동)","34366","울릉에어","2026-04-01 11:19:11","U","2026-04-03 02:40:00","","236472.038891581","318497.273278988","국내여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","Ulleung Air","Domestic Travel Agency","0","0","","0","0","","0","136.25","","0","","","","","","","15000000","20260401","20270331","","136","",
"2","국내여행업","03_12_01_P","6510000","CDFI2260012005000022","2005-03-24","","01","영업/정상","13","영업중","","","","","064-747-0606","","","제주특별자치도 제주시 연동 272-33","제주특별자치도 제주시 신대로12길 51 (연동, 로얄쇼핑센타및오피스텔)","63124","(유)제주올투어","2026-04-01 15:12:41","U","2026-04-03 02:40:00","","152631.300292882","-753.971230180774","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260328","20270327","","0","",
"3","국내여행업","03_12_01_P","6510000","CDFI2260012014000013","2014-03-11","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 노형동 939","제주특별자치도 제주시 노연로 42, B301호 (노형동)","63082","주식회사 제주1번가","2026-04-01 10:47:13","U","2026-04-03 02:40:00","","152005.802573495","-1055.10861275218","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","56.4","","0","","","","","","","50000000","20260323","20270323","","56","",
"4","국내여행업","03_12_01_P","6510000","CDFI2260012012000059","2012-07-27","","03","폐업","03","폐업","2026-03-30","","","","","","","제주특별자치도 제주시 노형동 3805-3","제주특별자치도 제주시 노형로 354, 3층 (노형동)","63088","(주)엔이에스티제주투어","2026-04-01 08:56:20","U","2026-04-03 02:40:00","","151076.828886858","-1465.81675435161","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","66","","0","","","","","","","50000000","20250819","20260818","","66","",
"5","국내여행업","03_12_01_P","3680000","CDFI2260012023000001","2023-03-13","","01","영업/정상","13","영업중","","","","","042-861-1916","","","대전광역시 대덕구 대화동 35-575","대전광역시 대덕구 동심1길 46, 1층 (대화동)","34374","펀펀아트투어","2026-04-01 14:08:35","U","2026-04-03 02:40:00","","237181.547132225","318116.295156754","국내여행업","","","0","","","서울보증(2천만)","","0","0","0","0","","","0","0","","0","0","","0","47.92","","0","","","","","","","17988718","20260313","20270312","","48","",
"6","국내여행업","03_12_01_P","4070000","CDFI2260012022000003","2022-09-21","","01","영업/정상","13","영업중","","","","","031-637-9998","","","경기도 이천시 신둔면 수광리 111","경기도 이천시 신둔면 황무로 528, 201호","17303","대연고속협동조합","2026-04-01 16:30:31","U","2026-04-03 02:40:00","","236089.274415149","422523.723664116","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","15000000","20240922","20260921","","0","",
"7","국내여행업","03_12_01_P","3160000","CDFI2260012026000001","2026-02-23","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 구로동 197-48 에이스테크노타워Ⅲ","서울특별시 구로구 디지털로29길 38, 에이스테크노타워Ⅲ 802-에이-180호 (구로동)","08381","월드티앤씨(주)","2026-04-01 12:52:16","U","2026-04-03 02:40:00","","190491.833060361","442477.332680657","국내여행업","","","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","3.3","","0","","","","","","","7500000","20260223","20270222","","3","",
"8","국내여행업","03_12_01_P","4170000","CDFI2260012026000001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","경기도 양평군 청운면 가현리 130-5","경기도 양평군 청운면 가현길 440, 1동 1층 소매점호","12530","해시테이블","2026-04-02 15:52:32","I","2026-04-04 00:20:02","","264448.492109782","446717.552530526","국내여행업","","관리지역","1","","","","근린생활시설","1","0","0","0","","","0","0","","0","0","","0","81.69","","0","","","","","","","0","","","","82","",
"9","국내여행업","03_12_01_P","4711000","CDFI2260012026000001","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 김제시 신풍동 484-7","전북특별자치도 김제시 신풍길 172 (신풍동)","54407","(유)땅콩에듀","2026-04-02 09:06:45","I","2026-04-04 00:20:02","","190357.686081071","255243.870166349","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"10","국내여행업","03_12_01_P","3010000","CDFI2260012026000002","2017-02-14","","01","영업/정상","13","영업중","","","","","02-798-9090","","","서울특별시 중구 필동1가 21-13 골팡빌딩","서울특별시 중구 퇴계로 180-8, 골팡빌딩 (필동1가)","04627","(주)골팡","2026-04-02 10:10:48","I","2026-04-04 00:20:02","","199185.980322204","450931.361150952","국내여행업","","","0","","","서울보증보험(14백만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","22480560","20210214","20220213","","0","",
"11","국내여행업","03_12_01_P","6510000","CDFI2260012026000009","2026-03-31","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 연동 446 315호","제주특별자치도 제주시 연북로 161, 315호 (연동)","63135","탑 마이스 앤 투어","2026-04-02 14:19:11","I","2026-04-04 00:20:02","","153337.121345411","-1485.49410877585","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","","","","0","",
"12","국내여행업","03_12_01_P","4820000","CDFI2260012025000002","2025-08-08","","01","영업/정상","13","영업중","","","","","","","","전라남도 순천시 인제동 207-5","전라남도 순천시 남제새길 56, 202호 (인제동)","57958","심다","2026-04-02 15:21:08","U","2026-04-04 02:40:00","","244253.461506951","160602.695964994","국내여행업","","일반주거지역","0","","","SGI서울보증","근린생활시설","0","0","0","0","","","0","0","","0","0","","0","64.7","","0","","","","","","","7500000","20250808","20280807","","65","",
"13","국내여행업","03_12_01_P","3990000","CDFI2260012013000003","2013-04-02","","01","영업/정상","13","영업중","","","","","031-574-3395","","472-834","경기도 남양주시 진건읍 용정리 794-4","경기도 남양주시 진건읍 사릉로 401","12138","(주)대성관광","2026-04-02 09:10:41","U","2026-04-04 02:40:00","","215801.743508012","461535.549929952","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","200000000","20260403","20270402","","0","",
"14","국내여행업","03_12_01_P","6510000","CDFI2260012025000012","2025-03-31","","01","영업/정상","13","영업중","","","","","064-727-0521","","","제주특별자치도 제주시 일도일동 1431 4층 401호","제주특별자치도 제주시 관덕로 44, 4층 401호 (일도일동)","63168","주식회사 일로와","2026-04-02 13:52:23","U","2026-04-04 02:40:00","","155692.103262667","1925.12122898034","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20260404","20270404","","0","",
"15","국내여행업","03_12_01_P","6510000","CDFI2260012023000024","2023-09-21","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 노형동 906-5 한신오피스텔","제주특별자치도 제주시 도령로 54, 한신오피스텔 1210호 (노형동)","63081","주식회사 상상제주여행","2026-04-02 14:30:12","U","2026-04-04 02:40:00","","152029.527816865","-738.23680002545","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20250921","20260920","","0","",
"16","국내여행업","03_12_01_P","3350000","CDFI2260012026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 남산동 130-8 대박하우스 703호","부산광역시 금정구 두실로 10, 703호 (남산동, 대박하우스)","46227","(주)유니힐","2026-04-03 11:46:35","I","2026-04-05 00:20:22","","390149.250169252","197707.024225962","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","15000000","","","","0","",
"17","국내여행업","03_12_01_P","4641000","CDFI2260012026000003","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 진북동 368-4","전북특별자치도 전주시 덕진구 팔달로 354, 3층 (진북동)","54935","주식회사 휴먼제이앤씨","2026-04-03 09:17:12","I","2026-04-05 00:20:22","","212429.474293304","259100.449033422","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0","",
"18","국내여행업","03_12_01_P","5370000","CDFI2260012026000002","2026-03-25","","01","영업/정상","13","영업중","","","","","","","","경상남도 거제시 사등면 사등리 563-1 마리나모텔","경상남도 거제시 사등면 거제대로 5454, 마리나모텔","53277","마들렌호텔","2026-04-03 20:23:43","D","2026-04-05 02:30:00","","341399.923200693","157658.211273033","국내여행업","","주거지역","0","","","","","0","0","0","0","","","0","0","","0","0","","0","914","","0","","","","","","","7500000","","","","914","",
"19","국내여행업","03_12_01_P","4490000","CDFI2260012014000012","2014-11-12","","01","영업/정상","13","영업중","","","","","","","","충청남도 천안시 동남구 원성동 584-5","충청남도 천안시 동남구 충절로 224, 3층 1호 (원성동)","31186","(주)차놀자여행사","2026-04-03 11:15:32","U","2026-04-05 02:40:00","","214113.59963459","366408.475634469","국내여행업","","일반상업지역","12","기타","","서울보증보험","근린생활시설","10","2","0","0","","","0","0","","0","0","","0","123","","0","","","","","","","30000000","20260403","20270402","","123","",
"20","국내여행업","03_12_01_P","3540000","CDFI2260012001000005","2001-08-01","","01","영업/정상","13","영업중","","","","","032-528-7800","","403-826","인천광역시 부평구 부평동 373-26 추인타워 402호","인천광역시 부평구 부흥로294번길 4 (부평동,추인타워 402호)","","(주)아름관광여행사","2026-04-03 13:38:01","U","2026-04-05 02:40:00","","175549.510281249","444034.183586656","국내여행업","관광사업","상업지역","0","기타","","한국관광협회중앙회여행공제회","","0","0","0","0","A-RM Travel Service Co., Ltd","Domestic Travel Agency","0","0","","0","0","","0","0","","0","","","","","","","50000000","20240808","20250808","","0","",
"21","국내여행업","03_12_01_P","4490000","CDFI2260012020000004","2020-03-26","","03","폐업","03","폐업","2026-04-02","","","","041-569-6607","","","충청남도 천안시 서북구 백석동 660-3","충청남도 천안시 서북구 백석로 10, 302호 (백석동)","31157","해솔관광(주)","2026-04-03 09:15:30","U","2026-04-05 02:40:00","","209990.608998927","369006.784818663","국내여행업","","","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","15000000","20250401","20260401","","0","",
"22","국내여행업","03_12_01_P","4641000","CDFI2260012024000001","2024-03-29","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 덕진구 만성동 1339-4 전북콘텐츠기업육성센터","전북특별자치도 전주시 덕진구 만성북로 21-26, 전북콘텐츠기업육성센터 302호 (만성동)","54858","주식회사 스토리다움","2026-04-03 09:20:54","U","2026-04-05 02:40:00","","206941.026984157","261262.238436101","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20240329","20250328","","0","",
"23","국내여행업","03_12_01_P","5670000","CDFI2260012004000001","2004-02-11","","01","영업/정상","13","영업중","","","","","055-265-9200","","641-500","경상남도 창원시 의창구 서상동 691-4","경상남도 창원시 의창구 평산로159번길 5 (서상동)","51371","(주)현대고속관광","2026-04-03 13:36:09","U","2026-04-05 02:40:00","","347595.484039544","196456.642567526","국내여행업","관광사업","근린상업지역","1","","","경상남도관광협회","","0","0","0","0","","","0","0","","0","0","","0","56.8","","0","","","","","","","250000000","20260408","20270408","","57","",
