"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","음반.음악영상물제작업","03_14_03_P","3220000","CDFF3241062026000015","2019-07-24","","01","영업/정상","13","영업중","","","","","070-4708-4767","","","서울특별시 강남구 역삼동 ***-** 라인빌딩","서울특별시 강남구 테헤란로**길 **, 라인빌딩 *층,*층,**층 (역삼동)","06234","(주)드림어스컴퍼니","2026-04-01 13:33:44","I","2026-04-03 00:20:02","","202854.593559695","444017.61354874","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","음반.음악영상물제작업","03_14_03_P","3930000","CDFF3241062026000002","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 안산시 상록구 건건동 ***-**","경기도 안산시 상록구 건건*길 **, *층 *호 (건건동)","15521","무비노래뮤비방","2026-04-01 08:50:47","I","2026-04-03 00:20:02","","191206.84510357","422357.594317503","음반.음악영상물제작업","유통관련업","0","","음악영상물, 음악영상파일","90","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","음반.음악영상물제작업","03_14_03_P","3220000","CDFF3241062024000034","2024-09-24","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 청담동 ***-* 아름다운빌딩","서울특별시 강남구 압구정로**길 **, 아름다운빌딩 *층 (청담동)","06013","주식회사 에이탑유니버스","2026-04-01 10:44:24","U","2026-04-03 02:40:00","","204507.822591528","447018.511472039","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","음반.음악영상물제작업","03_14_03_P","3600000","CDFF3241062024000003","2024-02-22","","03","폐업","34","영업장폐쇄","2026-03-31","","","","","","","광주광역시 서구 유촌동 ***-* *층","광주광역시 서구 상무버들로**번길 *, *층 (유촌동)","61911","엔젤노래뮤비방","2026-04-01 09:36:27","U","2026-04-03 02:40:00","","187076.990701132","185117.64297755","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","음반.음악영상물제작업","03_14_03_P","3220000","CDFF3241062024000039","2024-12-11","","03","폐업","03","폐업","2026-04-01","","","","","","","서울특별시 강남구 삼성동 *** 삼성동 미켈란 ***","서울특별시 강남구 영동대로 ***, *층 티***호 (삼성동, 삼성동 미켈란 ***)","06083","주식회사 전파상사","2026-04-01 16:15:03","U","2026-04-03 02:40:00","","205271.275273064","445852.638814088","음반.음악영상물제작업","유통관련업","0","","음반,음원,뮤직비디오","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","음반.음악영상물제작업","03_14_03_P","3210000","CDFF3241062026000005","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 서초동 ****-* 동익성봉빌딩","서울특별시 서초구 서초대로 ***, 동익성봉빌딩 *층 (서초동)","06606","주식회사 로봇사운드","2026-04-02 15:42:50","I","2026-04-04 00:20:02","","201199.948183239","443564.14634983","음반.음악영상물제작업","유통관련업","0","","음악 및 영상 제작","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","음반.음악영상물제작업","03_14_03_P","3210000","CDFF3241062026000006","2022-08-08","","01","영업/정상","13","영업중","","","","","","","","서울특별시 서초구 양재동 ***-*","서울특별시 서초구 논현로**길 *-*, *층 (양재동)","06782","주식회사 리즈엔터","2026-04-02 16:03:12","I","2026-04-04 00:20:02","","204132.966056682","441323.356319604","음반.음악영상물제작업","유통관련업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","음반.음악영상물제작업","03_14_03_P","3190000","CDFF3241062026000002","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","서울특별시 동작구 사당동 ***-*** 더하우스*차","서울특별시 동작구 사당로**라길 **, *동 ***호 (사당동, 더하우스*차)","07018","위니키즈 미디어","2026-04-02 13:13:38","I","2026-04-04 00:20:02","","197240.171108644","442188.40127416","음반.음악영상물제작업","유통관련업","0","","교육용 음반 제작: 어린이 영어 챈트, 신체 활동용 비트 및 배경음악 자체 제작","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","음반.음악영상물제작업","03_14_03_P","3600000","CDFF3241062026000002","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","광주광역시 서구 유촌동 ***-*","광주광역시 서구 상무버들로**번길 *, *층 (유촌동)","61911","엔젤노래뮤비방","2026-04-02 15:07:51","I","2026-04-04 00:20:02","","187076.990701132","185117.64297755","음반.음악영상물제작업","유통관련업","0","","미디어","38","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","음반.음악영상물제작업","03_14_03_P","3630000","CDFF3241062026000002","2026-04-02","","01","영업/정상","13","영업중","","","","","","","","광주광역시 광산구 월계동 ***-**","광주광역시 광산구 첨단내촌로**번길 **, *층 (월계동)","62266","태영노래뮤비방","2026-04-02 16:20:47","I","2026-04-04 00:20:02","","185098.01587669","190461.577667548","음반.음악영상물제작업","유통관련업","0","","음반음악영상물제작","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
