"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","인쇄사","04_16_01_P","5110000","CDFG1252002010000001","2010-01-08","","03","폐업","03","폐업","2026-04-01","","","","054)531-1237","","742-260","경상북도 상주시 만산동 ***-*","경상북도 상주시 경상대로 **** (만산동)","742-260","상주문경교차로","2026-04-01 17:47:13","U","2026-04-03 02:40:00","","303263.205052329","325819.232231691","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","인쇄사","04_16_01_P","3010000","CDFG1252002026000003","2021-10-06","","01","영업/정상","13","영업중","","","","","02-569-1472","","","서울특별시 중구 을지로*가 *** 을지트윈타워","서울특별시 중구 을지로 ***, 을지트윈타워 지하*층 B***호 (을지로*가)","04548","(주)타라티피에스 그래픽스사업부문","2026-04-02 15:48:04","I","2026-04-04 00:20:02","","199693.302714092","451535.867322585","인쇄사","출판인쇄업","0","","","77","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","인쇄사","04_16_01_P","4930000","CDFG1252002023000001","2023-08-14","","01","영업/정상","13","영업중","","","","","061-5349171","","","전라남도 해남군 해남읍 평동리 *** 오뚜기마트","전라남도 해남군 해남읍 홍교로 **, 오뚜기마트 *층","59040","(주)해남방송","2026-04-02 10:32:44","U","2026-04-04 02:40:00","","163238.732314017","119017.20588233","인쇄사","출판인쇄업","5","기타","","264.48","4","1","근린생활시설","0","0","0","0","","","","","","","","","","","","0","","","","","","근린상업지역",
"4","인쇄사","04_16_01_P","3010000","CDFG1252001996000042","1996-05-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 묵정동 **-**","서울특별시 중구 퇴계로**길 **, *층 (묵정동)","04619","고려씨엔피","2026-04-02 13:53:13","U","2026-04-04 02:40:00","","199945.070311879","450998.516141727","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","인쇄사","04_16_01_P","3010000","CDFG1252002025000019","2005-05-18","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중구 주교동 **-*","서울특별시 중구 동호로**길 **-* (주교동)","04546","뿌리문화사","2026-04-02 15:48:34","U","2026-04-04 02:40:00","","199930.720201081","451788.200691816","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","인쇄사","04_16_01_P","3150000","CDFG1252002023000003","2023-03-20","","03","폐업","03","폐업","2026-03-31","","","","02-6258-9258","","","서울특별시 강서구 마곡동 ***-* 열린M타워Ⅱ","서울특별시 강서구 공항대로 ***, 열린M타워Ⅱ ****호 (마곡동)","07805","와이엘엔지니어링","2026-04-02 17:58:11","U","2026-04-04 02:40:00","","185290.575517909","450703.353566001","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","인쇄사","04_16_01_P","4060000","CDFG1252002022000020","2019-12-02","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 하지석동 ***-** *동 *층 일부","경기도 파주시 하지석길 **-*, *동 *층 일부 (하지석동)","10867","한결그래픽스","2026-04-02 14:44:01","U","2026-04-04 02:40:00","","177201.35732525","472793.786068925","인쇄사","출판인쇄업","0","","","79.85","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","인쇄사","04_16_01_P","4810000","CDFG1252002026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","전라남도 여수시 신기동 *** 신화아파트 상가동","전라남도 여수시 선소로 **-**, *층 *호 (신기동, 신화아파트)","59690","세빈컴퍼니","2026-04-03 09:04:11","I","2026-04-05 00:20:22","","261054.075968198","139956.196054676","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","인쇄사","04_16_01_P","3460000","CDFG1252002026000001","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","대구광역시 수성구 욱수동 ***-** ***호","대구광역시 수성구 달구벌대로***길 **-*, ***호 (욱수동)","42281","디자인 원","2026-04-03 15:23:50","I","2026-04-05 00:20:22","","354455.132991257","260495.578518636","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","인쇄사","04_16_01_P","4641000","CDFG1252002026000003","2026-04-03","","01","영업/정상","13","영업중","","","","","","","","전북특별자치도 전주시 완산구 중노송동 ***-* 전주정보문화산업진흥원","전북특별자치도 전주시 완산구 아중로 **, 전주정보문화산업진흥원 ***호 (중노송동)","55011","씬디자인","2026-04-03 11:20:14","I","2026-04-05 00:20:22","","213821.580306295","258202.786051221","인쇄사","출판인쇄업","0","","","40","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
