"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","미용업","05_18_01_P","4050000","5620000-213-2008-00039","2008-06-16","","01","영업/정상","01","영업","","","","","","56.70","449-812","경기도 용인시 처인구 포곡읍 둔전리 150-1 108호","경기도 용인시 처인구 포곡읍 포곡로108번길 16 (108호)","17027","YJ헤어","2026-04-01 09:57:28","I","2026-04-03 00:20:02","일반미용업","219299.343313357","418478.537632324","종합미용업","0","0","1","1","0","0","4","","","","","0","0","0","N",
"2","미용업","05_18_01_P","3710000","3710000-212-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","","0.00","682-801","울산광역시 동구 동부동 201-111","울산광역시 동구 미포5길 15, 2층 (동부동)","44007","아로마힐링","2026-04-01 15:19:59","I","2026-04-03 00:20:02","피부미용업","420021.576375147","229570.141776645","피부미용업","0","0","2","2","0","0","1","","","","","0","0","1","N",
"3","미용업","05_18_01_P","4030000","4030000-211-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","","29.50","437-746","경기도 의왕시 포일동 441-2 인덕원삼호아파트","경기도 의왕시 안양판교로 62, 인덕원삼호아파트 2층 2호 (포일동)","16014","헤어앤래쉬(Hair&Lash)","2026-04-01 13:35:27","I","2026-04-03 00:20:02","일반미용업","198257.413061544","432771.192280172","일반미용업","0","0","0","0","0","0","2","","","","","0","0","1","N",
"4","미용업","05_18_01_P","4050000","5630000-213-2026-00006","2026-04-01","","01","영업/정상","01","영업","","","","","","70.68","446-858","경기도 용인시 기흥구 보정동 1197-3 호암프라자 303호","경기도 용인시 기흥구 죽전로 23, 호암프라자 303호 (보정동)","16897","에이바헤어(용인보정점)","2026-04-01 14:42:51","I","2026-04-03 00:20:02","일반미용업","209787.821207892","424311.429086405","종합미용업","0","0","0","0","0","0","3","","","","","0","0","0","N",
"5","미용업","05_18_01_P","3330000","3330000-211-2026-00006","2026-04-01","","01","영업/정상","01","영업","","","","","","44.55","612-842","부산광역시 해운대구 좌동 1485-4 대승프라임","부산광역시 해운대구 세실로 31, 대승프라임 104호 (좌동)","48111","조아 헤어","2026-04-01 12:02:22","I","2026-04-03 00:20:02","일반미용업","398461.813174819","187579.129294703","일반미용업","0","0","0","0","0","0","5","","","","","0","0","0","N",
"6","미용업","05_18_01_P","3330000","3330000-213-2026-00009","2026-04-01","","01","영업/정상","01","영업","","","","","","91.20","612-842","부산광역시 해운대구 좌동 1479-3 세종월드프라자","부산광역시 해운대구 해운대로 814, 세종월드프라자 401-1호 (좌동)","48111","리뮤르","2026-04-01 13:58:44","I","2026-04-03 00:20:02","피부미용업","398330.516530402","187771.511373596","종합미용업","0","0","0","0","0","0","7","","","","","0","0","3","N",
"7","미용업","05_18_01_P","5220000","5220000-211-2024-00012","2024-05-27","","01","영업/정상","01","영업","","","","","","70.20","718-841","경상북도 칠곡군 북삼읍 인평리 1035-7","경상북도 칠곡군 북삼읍 금오대로2길 55, 1층","39813","오아헤어","2026-04-01 13:26:56","I","2026-04-03 00:20:02","일반미용업","321635.348831033","286113.816972318","일반미용업","0","0","0","0","0","0","6","","","","임대","0","0","0","N",
"8","미용업","05_18_01_P","3930000","5560000-212-2026-00007","2026-04-01","","01","영업/정상","01","영업","","","","","","0.00","425-907","경기도 안산시 단원구 원곡동 846-1 로얄종합상가, 국민은행","경기도 안산시 단원구 원초로 34, 로얄종합상가A동 1층 27호 (원곡동)","15382","뷰티스타일","2026-04-01 17:49:30","I","2026-04-03 00:20:02","피부미용업","182385.076090031","425116.883271201","피부미용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"9","미용업","05_18_01_P","3930000","5560000-220-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","0.00","425-841","경기도 안산시 단원구 와동 708-8 1층일부","경기도 안산시 단원구 와동로 68, 1층일부 (와동)","15255","RO:A 봄 hair","2026-04-01 10:15:47","I","2026-04-03 00:20:02","일반미용업","184805.439697796","426040.008608043","일반미용업, 화장ㆍ분장 미용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"10","미용업","05_18_01_P","3100000","3100000-211-2026-00009","2026-04-01","","01","영업/정상","01","영업","","","","","029390717","97.57","139-816","서울특별시 노원구 상계동 349-51 경일빌딩","서울특별시 노원구 상계로 93, 경일빌딩 2층 (상계동)","01692","어반트랜드 노원역점","2026-04-01 09:42:09","I","2026-04-03 00:20:02","일반미용업","205678.683299205","461617.725828384","일반미용업","0","0","0","0","0","0","8","","","","임대","0","0","0","N",
