"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","의자수","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","침대수","다중이용업소여부",
"1","이용업","05_19_01_P","3300000","3300000-203-1966-00002","1966-07-08","","01","영업/정상","01","영업","","","","","","12.54","607-833","부산광역시 동래구 온천동 210-72 위버스파아파트","부산광역시 동래구 금강로106번길 3, 2층 (온천동, 위버스파아파트)","47712","동방온천사우나 이발소","2026-04-01 10:00:23","I","2026-04-03 00:20:02","일반이용업","389278.357199272","192991.229565746","일반이용업","0","0","0","0","2","2","2","","","","","0","0","0","N",
"2","이용업","05_19_01_P","3370000","3370000-203-1966-00576","1966-07-08","","03","폐업","02","폐업","2026-04-01","","","","","14.00","611-761","부산광역시 연제구 연산동 481-3 현대아파트","부산광역시 연제구 고분로236번길 13, 상가동 지하2층 (연산동, 현대아파트)","47570","현대 대중사우나 이발소","2026-04-01 09:47:17","U","2026-04-03 02:40:00","일반이용업","391967.978816589","189197.30207574","일반이용업","0","0","0","0","2","2","2","","","","","0","0","0","N",
"3","이용업","05_19_01_P","5590000","5590000-203-1980-00001","1980-01-28","","03","폐업","02","폐업","2026-03-18","","","","031 8630773","0.00","482-050","경기도 양주시 덕계동 636","경기도 양주시 평화로1429번길 89-18 (덕계동)","11441","덕계마을이발관","2026-04-01 13:28:39","U","2026-04-03 02:40:00","일반이용업","203698.900068396","479935.709985989","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
"4","이용업","05_19_01_P","5020000","5040000-203-1980-00002","1980-08-20","","03","폐업","02","폐업","2026-04-01","","","","054 2470338","0.00","791-809","경상북도 포항시 북구 용흥동 105-28","경상북도 포항시 북구 용흥로28번길 10-5 (용흥동)","37688","왕림이용소","2026-04-01 10:45:05","U","2026-04-03 02:40:00","일반이용업","412397.649830966","284108.019319171","일반이용업","1","0","1","0","0","0","0","","","","","0","0","0","N",
"5","이용업","05_19_01_P","5120000","5120000-203-2026-00001","2026-01-02","","01","영업/정상","01","영업","","","","","","33.00","745-883","경상북도 문경시 모전동 873-15","경상북도 문경시 매봉로 16 (모전동)","36983","청춘이용실","2026-04-01 11:27:05","U","2026-04-03 02:40:00","일반이용업","305712.258123853","343415.51923504","일반이용업","0","0","1","0","0","0","2","","","","","0","1","0","N",
"6","이용업","05_19_01_P","3130000","3130000-203-1981-01293","1981-10-16","","01","영업/정상","01","영업","","","","","02712 7756","14.10","121-812","서울특별시 마포구 도화동 7-15","서울특별시 마포구 도화4길 76 (도화동)","04171","미림","2026-04-01 09:53:12","U","2026-04-03 02:40:00","일반이용업","195599.55698776","448528.828102455","일반이용업","0","0","0","0","0","0","4","","","","","0","0","0","N",
"7","이용업","05_19_01_P","3330000","3330000-203-2023-00006","2023-03-31","","03","폐업","02","폐업","2026-04-01","","","","","43.56","612-803","부산광역시 해운대구 반송동 250-482 스킨푸드 반송점","부산광역시 해운대구 아랫반송로 44-1, 스킨푸드 반송점 1층 (반송동)","48018","153 남성커트","2026-04-01 11:41:39","U","2026-04-03 02:40:00","일반이용업","395661.28774346","193717.152751249","일반이용업","0","0","1","0","0","0","2","","","","","0","0","0","N",
"8","이용업","05_19_01_P","4490000","5660000-203-2025-00012","2025-09-12","","01","영업/정상","01","영업","","","","","","7.00","331-962","충청남도 천안시 서북구 두정동 1469 코리타운","충청남도 천안시 서북구 두정로 230, 코리타운 8층 일부호 (두정동)","31105","맥스이용원","2026-04-01 14:28:27","U","2026-04-03 02:40:00","일반이용업","212642.274246992","370204.70715556","일반이용업","13","1","0","0","1","1","2","","","","","0","0","0","N",
"9","이용업","05_19_01_P","5570000","5570000-203-1983-00001","1983-04-08","","03","폐업","02","폐업","2026-04-01","","","","043 8360907","21.50","368-908","충청북도 증평군 증평읍 창동리 285","충청북도 증평군 증평읍 중앙로5길 16","27928","창동이발관","2026-04-01 14:09:23","U","2026-04-03 02:40:00","일반이용업","251558.900096746","364820.806531308","일반이용업","1","0","1","0","0","0","3","","","","","0","0","0","N",
"10","이용업","05_19_01_P","3650000","3650000-203-2026-00003","2026-04-02","","01","영업/정상","01","영업","","","","","","0.00","301-818","대전광역시 중구 산성동 116-4 1층","대전광역시 중구 문화로 58, 1층 (산성동)","34994","청춘이발소","2026-04-02 11:09:48","I","2026-04-04 00:20:02","일반이용업","235153.312997495","312289.223736488","일반이용업","0","0","0","0","0","0","0","","","","","0","0","0","N",
