"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산가공업","07_22_05_P","3030000","303000000420130008","2013-08-23","","03","폐업","0002","폐업","2026-04-01","","","2026-04-01","","0","","서울특별시 성동구 마장동 480-18 지상2층","서울특별시 성동구 마장로35다길 7, 지상2층 (마장동)","04752","(주)태산지앤엠","2026-04-01 14:47:21","U","2026-04-03 02:40:00","식육가공업","203499.899712024","451919.799180459","축산물가공업","식육가공업","0","L00","0",
"2","축산가공업","07_22_05_P","6300000","630000000420130020","2013-09-11","","01","영업/정상","0000","정상","","","","","","500","","대전광역시 대덕구 신일동  1688번지 26호","대전광역시 대덕구 신일동로93번길 27 (신일동)","306-230","곰식품","2026-04-01 15:01:41","U","2026-04-03 02:40:00","식육가공업","236934.795682544","326617.119985422","축산물가공업","식육가공업","0","000","0",
"3","축산가공업","07_22_05_P","6410000","641000000420260023","2026-03-26","","01","영업/정상","0000","정상","","","","","","181","","경기도 부천시 소사구 옥길동  775번지 6호","경기도 부천시 소사구 범안로219번길 77, 1층 (옥길동)","","(주)햇살푸드 에프에스 제2공장","2026-04-01 10:40:10","U","2026-04-03 02:40:00","식육가공업","183340.460910745","440372.347563129","축산물가공업","식육가공업","0","L00","2",
"4","축산가공업","07_22_05_P","6260000","626000000420240012","2024-06-11","","01","영업/정상","0000","정상","","","","","0517102828","156.69","","부산광역시 기장군 정관읍 달산리 44번지 67호","부산광역시 기장군 정관읍 산단5로 76-68, 2층","","바로e푸드","2026-04-01 15:40:08","U","2026-04-03 02:40:00","식육가공업","400059.576789312","203999.6233586","축산물가공업","식육가공업","0","000","0",
"5","축산가공업","07_22_05_P","5420000","542000000420210002","2021-12-17","","02","휴업","0001","휴업","","2026-04-01","2026-06-30","","","635","","경상남도 고성군 회화면 배둔리 903-1","경상남도 고성군 회화면 남해안대로 3706","52914","아라가야푸드","2026-04-01 14:21:15","U","2026-04-03 02:40:00","식육가공업","324803.489523005","174148.238921536","축산물가공업","식육가공업","0","000","0",
"6","축산가공업","07_22_05_P","6410000","641000000420210131","2021-09-07","","01","영업/정상","0000","정상","","","","","0222948997","628.04","","경기도 양주시 삼숭동  87번지 12호","경기도 양주시 어하고개로 139, 3층(삼숭동)","","데어리프로포즈","2026-04-01 19:00:01","U","2026-04-03 02:40:00","유가공업","209605.616896795","478981.980244355","축산물가공업","유가공업","0","000","10",
"7","축산가공업","07_22_05_P","6410000","641000000420140083","2014-06-13","","01","영업/정상","0000","정상","","","","","0318947665","2685.5","","경기도 양주시 백석읍 홍죽리 940번지 2호","경기도 양주시 백석읍 권율로1203번길 40-33","420-837","주식회사 오름","2026-04-01 15:24:28","U","2026-04-03 02:40:00","식육가공업","196527.40703597","477642.19480253","축산물가공업","식육가공업","0","L00","5",
"8","축산가공업","07_22_05_P","5380000","538000000420260002","2026-04-02","","01","영업/정상","0000","정상","","","","","","0","","경상남도 양산시 물금읍 범어리 2714-14 동우캐슬","경상남도 양산시 물금읍 범어로 107, 105호","50611","제일축산","2026-04-02 09:35:54","I","2026-04-04 00:20:02","식육가공업","383449.048659974","204873.471515221","축산물가공업","식육가공업","0","000","0",
"9","축산가공업","07_22_05_P","6410000","641000000420260025","2026-04-02","","01","영업/정상","0000","정상","","","","","","241.6","","경기도 남양주시 진접읍 내곡리 599번지 0호","경기도 남양주시 진접읍 금강로779번길 42","","라트에프앤비 주식회사","2026-04-02 10:46:59","I","2026-04-04 00:20:02","알가공업","","","축산물가공업","알가공업","0","L00","2",
"10","축산가공업","07_22_05_P","3050000","305000000420260001","2026-04-02","","01","영업/정상","0000","정상","","","","","","0","","서울특별시 동대문구 답십리동 530-27","서울특별시 동대문구 천호대로 327, 5층 (답십리동)","02622","꿈꾸는이상 주식회사","2026-04-02 09:49:49","I","2026-04-04 00:20:02","식육가공업","204916.477929551","451365.419162086","축산물가공업","식육가공업","0","L00","0",
