"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품소분업","07_22_08_P","3740000","3740000-109-2026-00006","2026-04-01","","01","영업/정상","01","영업","","","","","","30.00","443-280","경기도 수원시 영통구 하동 988-1","경기도 수원시 영통구 광교중앙로248번길 40, 410호 일부호 (하동)","16512","주식회사 디제이컴퍼니","2026-04-01 09:34:49","I","2026-04-03 00:20:02","식품소분업","205779.988638342","421014.139380859","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","30","","","",
"2","식품소분업","07_22_08_P","3460000","3460000-109-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","","706-170","대구광역시 수성구 신매동 255-1 1층","대구광역시 수성구 달구벌대로649길 21, 1층 (신매동)","42270","나이스푸드마켓시지점","2026-04-01 16:59:12","I","2026-04-03 00:20:02","식품소분업","354664.900004135","261434.465474078","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품소분업","07_22_08_P","3210000","3210000-109-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","02  918 0808","30.10","137-864","서울특별시 서초구 서초동 1428-5","서울특별시 서초구 남부순환로333길 27, 2층 203호 (서초동)","06725","주식회사 영신식품","2026-04-01 13:09:45","I","2026-04-03 00:20:02","식품소분업","201747.25240152","442413.635920409","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","30.1","","","",
"4","식품소분업","07_22_08_P","4170000","4170000-109-2026-00001","2026-04-01","","01","영업/정상","01","영업","","","","","","33.00","476-802","경기도 양평군 양평읍 양근리 504-40","경기도 양평군 양평읍 물안개공원길 11, 1층 103호","12546","스윗리체","2026-04-01 10:51:20","I","2026-04-03 00:20:02","식품소분업","242278.393250324","444129.697688017","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품소분업","07_22_08_P","3400000","3400000-109-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","28.00","","부산광역시 기장군 정관읍 모전리 723 이지 더원1차 아파트 126동 B108호","부산광역시 기장군 정관읍 정관1로 18, 126동 B108호 (이지 더원1차 아파트)","46008","베이시스(Basis)","2026-04-01 15:08:05","I","2026-04-03 00:20:02","식품소분업","396666.341173614","206512.517255248","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","28","","","",
"6","식품소분업","07_22_08_P","5380000","5380000-109-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","","40.00","626-800","경상남도 양산시 북부동 318-3 세종빌딩","경상남도 양산시 북안남5길 30, 세종빌딩 505(일부)호 (북부동)","50618","해성건어물","2026-04-01 14:47:39","I","2026-04-03 00:20:02","식품소분업","385523.809244865","207047.779605346","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","40","","","",
"7","식품소분업","07_22_08_P","5310000","5310000-109-2015-00001","2015-02-09","","03","폐업","02","폐업","2026-03-30","","","","055 743 8700","19.80","660-905","경상남도 진주시 신안동 24-4 외 1필지 주1 1층일부","경상남도 진주시 남강로 529 (신안동, 외 1필지 주1 1층일부)","52694","주식회사남숙진주점휴마트","2026-04-01 17:11:07","U","2026-04-03 02:40:00","식품소분업","297795.689596672","187820.399361836","식품소분업","0","0","","","상수도전용","0","0","0","1","1","자가","0","0","N","0","","","",
"8","식품소분업","07_22_08_P","3010000","3010000-109-1986-00001","1986-09-06","","01","영업/정상","01","영업","","","","","027723 013","","100-070","서울특별시 중구 소공동 1","서울특별시 중구 을지로 30 (소공동)","04533","롯데쇼핑(주)","2026-04-01 17:00:27","U","2026-04-03 02:40:00","식품소분업","198259.65357739","451392.198218657","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"9","식품소분업","07_22_08_P","4840000","4840000-109-2019-00001","2019-02-18","","01","영업/정상","01","영업","","","","","","14.81","545-812","전라남도 광양시 봉강면 지곡리 862-22","전라남도 광양시 봉강면 왕바위길 138-29","57729","광양농부영농조합법인","2026-04-01 16:19:44","U","2026-04-03 02:40:00","식품소분업","252587.384904933","165746.379557872","식품소분업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"10","식품소분업","07_22_08_P","5670000","5670156-109-2006-30034","2006-10-17","","01","영업/정상","01","영업","","","","","055 2712051","4.00","631-816","경상남도 창원시 마산합포구 진동면 진동리 497-2","경상남도 창원시 마산합포구 진동면 삼진의거대로 654","51792","창원진동농협하나로마트","2026-04-01 17:02:42","U","2026-04-03 02:40:00","식품소분업","335673.517181194","180696.784565428","식품소분업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"11","식품소분업","07_22_08_P","4810000","4810000-109-2026-00005","2026-03-30","","01","영업/정상","01","영업","","","","","","43.00","550-833","전라남도 여수시 돌산읍 우두리 1075-8","전라남도 여수시 돌산읍 강남5길 17-27, 1층","59769","바다맛나","2026-04-01 10:29:54","U","2026-04-03 02:40:00","식품소분업","269071.028642194","136114.177347459","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"12","식품소분업","07_22_08_P","3250000","3250000-109-2024-00004","2024-07-10","","01","영업/정상","01","영업","","","","","051 245 1878","40.00","600-082","부산광역시 중구 보수동2가 118-9 보수동2가118-9제1종근린생활시설(백종진)","부산광역시 중구 대청로35번길 4, 1층 (보수동2가)","48964","그린식품","2026-04-01 15:42:30","U","2026-04-03 02:40:00","식품소분업","384474.073542867","180145.925618631","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","40","","","",
"13","식품소분업","07_22_08_P","4080000","4080000-109-2024-00005","2024-03-29","","01","영업/정상","01","영업","","","","","","33.00","456-912","경기도 안성시 일죽면 방초리 175 가동 1층우측호","경기도 안성시 일죽면 사실로 213, 가동 1층 우측호","17525","(주)피오꼬","2026-04-01 15:31:11","U","2026-04-03 02:40:00","식품소분업","238643.70724393","403262.208374887","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
