"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품자동판매기업","07_22_10_P","5080000","5080000-112-2026-00009","2026-04-01","","01","영업/정상","01","영업","","","","","","","","경상북도 구미시 산동읍 신당리 1454 1층 1동","경상북도 구미시 산동읍 신당1로1길 5-6, 1동 1층","39464","정이을부산인생밀면산동점","2026-04-01 16:28:20","I","2026-04-03 00:20:02","식품자동판매기영업","328910.662286126","295873.816938885","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","식품자동판매기업","07_22_10_P","3740000","3760000-112-2026-00008","2026-04-01","","01","영업/정상","01","영업","","","","","","","441-824","경기도 수원시 권선구 권선동 1042-14","경기도 수원시 권선구 권광로 87, 2층 202호 (권선동)","16568","Bestie(베스티)","2026-04-01 13:22:05","I","2026-04-03 00:20:02","식품자동판매기영업","202525.77303232","417090.615716927","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품자동판매기업","07_22_10_P","3740000","3760000-112-2026-00009","2026-04-01","","01","영업/정상","01","영업","","","","","","","441-410","경기도 수원시 권선구 대황교동 259-5 대황교동주유소","경기도 수원시 권선구 정조로 291, 대황교동주유소 (대황교동)","16661","SK가스충전소","2026-04-01 13:29:58","I","2026-04-03 00:20:02","식품자동판매기영업","201553.252898388","414903.063380887","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","식품자동판매기업","07_22_10_P","3860000","3871000-112-2026-00008","2026-04-01","","01","영업/정상","01","영업","","","","","","","","경기도 부천시 원미구 원미동 54-3 1층 일부","경기도 부천시 원미구 조마루로428번길 23, 1층 일부 (원미동)","14567","카페루체","2026-04-01 15:53:02","I","2026-04-03 00:20:02","식품자동판매기영업","181460.088125567","443790.063928288","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품자동판매기업","07_22_10_P","5380000","5380000-112-2026-00011","2026-04-01","","01","영업/정상","01","영업","","","","","","3.30","626-823","경상남도 양산시 동면 사송리 327 사송 에비뉴원","경상남도 양산시 동면 외송로 49, 상가동 201, 202(일부)호 (사송 에비뉴원)","50659","지에스(GS)25 사송에비뉴점","2026-04-01 17:12:41","I","2026-04-03 00:20:02","식품자동판매기영업","388456.306495495","203668.117762403","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","3.3","","","",
"6","식품자동판매기업","07_22_10_P","3560000","3560000-112-2026-00007","2026-04-01","","01","영업/정상","01","영업","","","","","","3.30","404-230","인천광역시 서구 가정동 708 루원시티 대성베르힐 더 센트로","인천광역시 서구 서곶로 50, 주민공동시설동 지하1층 일부호 (가정동, 루원시티 대성베르힐 더 센트로)","22776","주식회사 손커피 컴퍼니","2026-04-01 11:07:22","I","2026-04-03 00:20:02","식품자동판매기영업","","","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","3.3","","","",
"7","식품자동판매기업","07_22_10_P","3670000","3670000-112-2026-00012","2026-04-01","","01","영업/정상","01","영업","","","","","","","305-328","대전광역시 유성구 죽동 683 죽동칸타빌아파트 상가동 지상1층 103,104호","대전광역시 유성구 죽동로 39, 상가동 지상1층 103,104호 (죽동, 죽동칸타빌아파트)","34127","이마트24 대전죽동칸타빌점","2026-04-01 13:24:04","I","2026-04-03 00:20:02","식품자동판매기영업","229827.278906678","318848.158900776","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","식품자동판매기업","07_22_10_P","5710000","5720000-112-2026-00009","2026-04-01","","01","영업/정상","01","영업","","","","","","2.00","360-800","충청북도 청주시 상당구 금천동 77-15","충청북도 청주시 상당구 영운천로127번길 39, 1층 (금천동)","28731","지에스25금천뉴타운","2026-04-01 17:28:35","I","2026-04-03 00:20:02","식품자동판매기영업","245565.68322305","346937.740835505","식품자동판매기영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","2","","","",
"9","식품자동판매기업","07_22_10_P","4600000","4600000-112-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","","3.30","350-904","충청남도 홍성군 광천읍 매현리 459-1","충청남도 홍성군 광천읍 충서로400번길 102-36, 1층","32287","늘봄까페","2026-04-01 14:06:09","I","2026-04-03 00:20:02","식품자동판매기영업","166691.568427033","335423.509281281","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"10","식품자동판매기업","07_22_10_P","5710000","5735000-112-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","","0.50","360-822","충청북도 청주시 청원구 내덕동 517-13","충청북도 청주시 청원구 1순환로 213, 1층 (내덕동)","28491","GS25 청주신화점","2026-04-01 16:21:55","I","2026-04-03 00:20:02","식품자동판매기영업","243635.728379413","351555.906747872","식품자동판매기영업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"11","식품자동판매기업","07_22_10_P","4080000","4080000-112-2026-00004","2026-04-01","","01","영업/정상","01","영업","","","","","","0.00","456-718","경기도 안성시 죽산면 장원리 871 두원공과대학교 F동 2층 로비","경기도 안성시 죽산면 관음당길 51, 두원공과대학교 F동 2층 로비","17520","카페해나 두원공대점","2026-04-01 17:13:45","I","2026-04-03 00:20:02","식품자동판매기영업","237203.875256249","396102.428655406","식품자동판매기영업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","0","","","",
"12","식품자동판매기업","07_22_10_P","5530000","5760000-112-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","3.30","","경기도 화성시 병점구 송산동 197-3 화성아너스포레","경기도 화성시 병점구 장조6로 41, 상가동 104호 (송산동, 화성아너스포레)","18355","지에스25 아너스포레점","2026-04-01 16:52:28","I","2026-04-03 00:20:02","식품자동판매기영업","200434.672657079","411681.930353414","식품자동판매기영업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
