"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품판매업(기타)","07_22_13_P","5540000","5540000-114-2026-00002","2026-04-01","","01","영업/정상","01","영업","","","","","","2301.65","464-857","경기도 광주시 곤지암읍 열미리 486-1","경기도 광주시 곤지암읍 벌열미길 2","12717","도매콜","2026-04-01 15:42:25","I","2026-04-03 00:20:02","기타식품판매업","232524.515544955","428225.740600528","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","식품판매업(기타)","07_22_13_P","3620000","3620000-114-2017-00004","2017-11-20","","01","영업/정상","01","영업","","","","","","504.00","500-835","광주광역시 북구 연제동 42 1층","광주광역시 북구 양일1로 5, 1층 (연제동)","61091","와이마트연제점","2026-04-01 11:19:53","U","2026-04-03 02:40:00","기타식품판매업","188194.259261571","188676.461732599","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","504","","","",
"3","식품판매업(기타)","07_22_13_P","3690000","3690000-114-2013-00001","2013-01-29","","01","영업/정상","01","영업","","","","","052 245 4450","349.94","681-300","울산광역시 중구 성안동 383-10 (1층)","울산광역시 중구 성안로 205 (성안동)","44416","양지할인마트","2026-04-01 11:06:44","U","2026-04-03 02:40:00","기타식품판매업","410085.874642352","233435.470773851","기타식품판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","7.84","","","",
"4","식품판매업(기타)","07_22_13_P","3010000","3010000-114-1990-00002","1990-05-29","","01","영업/정상","01","영업","","","","","02 7723010","6915.00","100-070","서울특별시 중구 소공동 1","서울특별시 중구 을지로 30 (소공동)","04533","롯데쇼핑(주)","2026-04-01 17:11:30","U","2026-04-03 02:40:00","기타식품판매업","198259.65357739","451392.198218657","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품판매업(기타)","07_22_13_P","4641000","4661000-114-2021-00004","2021-09-07","","03","폐업","02","폐업","2026-04-01","","","","063 906 5100","1823.24","","전북특별자치도 전주시 덕진구 송천동2가 1329-2 전주 에코시티 이마트 1층 101호 일부","전북특별자치도 전주시 덕진구 세병서로 9, 전주 에코시티 이마트 1층 101호 일부호 (송천동2가)","55149","(주)이마트에코시티점","2026-04-01 15:34:56","U","2026-04-03 02:40:00","기타식품판매업","211105.947625828","263591.430026264","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","식품판매업(기타)","07_22_13_P","3450000","3450000-114-1998-00002","1998-03-09","","03","폐업","02","폐업","2026-04-01","","","","053 320 3350","3509.75","702-849","대구광역시 북구 읍내동 1343-6 동아백화점칠곡점","대구광역시 북구 칠곡중앙대로 416 (읍내동,동아백화점칠곡점)","41438","주식회사 이랜드리테일 강북점","2026-04-01 15:19:28","U","2026-04-03 02:40:00","기타식품판매업","339717.871628279","271412.222622685","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","식품판매업(기타)","07_22_13_P","3380000","3380000-114-2013-00002","2013-09-04","","01","영업/정상","01","영업","","","","","","597.54","613-809","부산광역시 수영구 광안동 738-4","부산광역시 수영구 장대골로 20-8 (광안동, 정원타워)","48254","아시아마트","2026-04-01 17:09:23","U","2026-04-03 02:40:00","기타식품판매업","392315.42649126","186505.334874329","기타식품판매업","","","","","상수도전용","","0","0","0","0","임대","","","N","597.54","","","",
"8","식품판매업(기타)","07_22_13_P","3980000","3980000-114-2018-00002","2018-04-13","","03","폐업","02","폐업","2026-04-01","","","","","703.90","471-814","경기도 구리시 수택동 296 1층","경기도 구리시 벌말로 215, 1층 (수택동)","","거상식자재마트","2026-04-01 12:00:07","U","2026-04-03 02:40:00","기타식품판매업","213263.173917","454818.06303787","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","식품판매업(기타)","07_22_13_P","3980000","3980000-114-2017-00005","2017-07-07","","03","폐업","02","폐업","2026-04-01","","","","031 529 9200","931.07","471-080","경기도 구리시 갈매동 646 외1필지 이룸넘버원리치안 지하1층","경기도 구리시 갈매중앙로 70, 지하1층 (갈매동, 이룸넘버원리치안)","11902","(주)고려에프에스갈매점","2026-04-01 11:58:50","U","2026-04-03 02:40:00","기타식품판매업","210263.687520847","458669.198978065","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","931.07","","","",
"10","식품판매업(기타)","07_22_13_P","3980000","3980000-114-2006-00001","2006-09-18","","03","폐업","02","폐업","2026-04-01","","","","","726.00","471-815","경기도 구리시 수택동 382-23 /24호 지층","경기도 구리시 안골로77번길 47 (수택동,/24호 지층)","11927","홈마트","2026-04-01 11:53:10","U","2026-04-03 02:40:00","기타식품판매업","212243.359350189","455269.837729851","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"11","식품판매업(기타)","07_22_13_P","3270000","3270000-114-1995-00167","1995-08-25","","01","영업/정상","01","영업","","","","","051 6671240","352.90","601-803","부산광역시 동구 범일동 62-5","부산광역시 동구 범일로 125 (범일동)","48735","커넥트현대 부산점","2026-04-01 11:44:31","U","2026-04-03 02:40:00","기타식품판매업","387539.767677801","184402.96650913","기타식품판매업","0","0","기타","기타","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"12","식품판매업(기타)","07_22_13_P","5670000","5670156-114-2006-31002","2006-03-31","","01","영업/정상","01","영업","","","","","055 2712051","347.54","631-816","경상남도 창원시 마산합포구 진동면 진동리 497-2 진동농협하나로마트","경상남도 창원시 마산합포구 진동면 삼진의거대로 654 (진동농협하나로마트)","51792","창원진동농협하나로마트","2026-04-01 17:01:17","U","2026-04-03 02:40:00","기타식품판매업","335673.517181194","180696.784565428","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","347.54","","","",
"13","식품판매업(기타)","07_22_13_P","3540000","3540000-114-2007-00003","2007-12-18","","01","영업/정상","01","영업","","","","","032 363 2531","3051.00","403-866","인천광역시 부평구 삼산동 465-1 롯데쇼핑(주)롯데마트 삼산점 B1","인천광역시 부평구 길주로 623 (삼산동,롯데쇼핑(주)롯데마트 삼산점 B1)","21344","롯데쇼핑(주)롯데마트 삼산점","2026-04-01 19:38:26","U","2026-04-03 02:40:00","기타식품판매업","176238.624820895","445107.924835985","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
