"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유통전문판매업","07_22_17_P","3040000","3040000-113-2026-00010","2026-04-01","","01","영업/정상","01","영업","","","","","","3.00","143-832","서울특별시 광진구 구의동 631-1 프라임프라자","서울특별시 광진구 광나루로56길 63, 프라임프라자 지하1층 b113-387호 (구의동)","05119","주식회사 힐온365","2026-04-01 11:44:43","I","2026-04-03 00:20:02","유통전문판매업","208558.286631653","448353.905156369","유통전문판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"2","유통전문판매업","07_22_17_P","3590000","3590000-113-2025-00006","2025-10-27","","01","영업/정상","01","영업","","","","","","113.37","501-808","광주광역시 동구 금동 153","광주광역시 동구 백서로125번길 15, 3층 309호 (금동)","61488","주식회사 콘텐츠팜호미","2026-04-01 11:42:11","I","2026-04-03 00:20:02","유통전문판매업","192456.589961139","182672.012566041","유통전문판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","113.37","","","",
"3","유통전문판매업","07_22_17_P","3780000","3780000-113-2026-00020","2026-04-01","","01","영업/정상","01","영업","","","","","031 778 6272","","461-831","경기도 성남시 수정구 복정동 685 5층","경기도 성남시 수정구 복정로 73, 5층 (복정동)","13118","주식회사 유티드","2026-04-01 09:56:13","I","2026-04-03 00:20:02","유통전문판매업","211119.019006278","439708.308863507","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","유통전문판매업","07_22_17_P","4040000","4040000-113-2026-00012","2026-04-01","","01","영업/정상","01","영업","","","","","","14.00","465-736","경기도 하남시 덕풍동 762 아이테코","경기도 하남시 조정대로 150, 아이테코 지1층 RB101호 일부호 (덕풍동)","12930","(주)어반에프앤비","2026-04-01 12:00:21","I","2026-04-03 00:20:02","유통전문판매업","217137.519410187","450158.241480494","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","유통전문판매업","07_22_17_P","3270000","3270000-113-2023-00007","2023-12-05","","01","영업/정상","01","영업","","","","","","0.00","601-839","부산광역시 동구 초량동 1204-7","부산광역시 동구 중앙대로196번길 6-7, 401-G10호 (초량동)","48821","지앤바이오","2026-04-01 13:15:29","I","2026-04-03 00:20:02","유통전문판매업","385906.073130304","181303.884021228","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","유통전문판매업","07_22_17_P","4090000","4090000-113-2026-00027","2026-02-09","","01","영업/정상","01","영업","","","","","","24.00","415-866","경기도 김포시 통진읍 서암리 41-2 일부호","경기도 김포시 통진읍 검암2로76번길 21-33, 1동 일부호","10016","(주)루아에프앤비","2026-04-01 09:44:15","I","2026-04-03 00:20:02","유통전문판매업","164677.938544701","467262.153193907","유통전문판매업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"7","유통전문판매업","07_22_17_P","6510000","6510000-113-2026-00017","2026-04-01","","01","영업/정상","01","영업","","","","","","3.30","695-973","제주특별자치도 제주시 구좌읍 세화리 3645-6","제주특별자치도 제주시 구좌읍 세평항로 24, 1층","63361","미자백화점","2026-04-01 16:28:09","I","2026-04-03 00:20:02","유통전문판매업","186383.864167729","3226.87791847531","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"8","유통전문판매업","07_22_17_P","4900000","4900000-113-2026-00001","2026-04-01","","01","영업/정상","01","영업","","","","","","69.84","519-871","전라남도 화순군 청풍면 대비리 206-2","전라남도 화순군 청풍면 대비동길 136-24","58162","주식회사 현웅","2026-04-01 11:39:49","I","2026-04-03 00:20:02","유통전문판매업","196254.44895367","154114.27544283","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","69.84","","","",
"9","유통전문판매업","07_22_17_P","3210000","3210000-113-2026-00033","2026-04-01","","01","영업/정상","01","영업","","","","","","10.92","137-875","서울특별시 서초구 서초동 1574-4 이레 오피스텔 801호","서울특별시 서초구 서초대로50길 19, 이레 오피스텔 801호 (서초동)","06644","(주)파메존","2026-04-01 17:03:52","I","2026-04-03 00:20:02","유통전문판매업","201100.875747535","443361.673546824","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","10.92","","","",
"10","유통전문판매업","07_22_17_P","3330000","3330000-113-2026-00017","2026-04-01","","01","영업/정상","01","영업","","","","","","","612-820","부산광역시 해운대구 우동 495-5 대현유리상사","부산광역시 해운대구 우동1로 23-1, 1층 (우동)","48088","디티커피","2026-04-01 11:28:17","I","2026-04-03 00:20:02","유통전문판매업","396407.107884971","187090.723168366","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"11","유통전문판매업","07_22_17_P","3940000","3950000-113-2024-00060","2024-05-24","","01","영업/정상","01","영업","","","","","0269567840","37.91","412-040","경기도 고양시 덕양구 원흥동 702","경기도 고양시 덕양구 삼원로 51, 원흥 줌 하이필드 지식산업센터(ZOOM HIFIELD ) 7층 707호 (원흥동)","10550","정본관","2026-04-01 16:48:58","I","2026-04-03 00:20:02","유통전문판매업","188960.069683096","459870.166884156","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"12","유통전문판매업","07_22_17_P","3320000","3320000-113-2026-00003","2026-04-01","","01","영업/정상","01","영업","","","","","","","616-814","부산광역시 북구 덕천동 814-4 기비골마을","부산광역시 북구 만덕1로104번길 29, 108동 2006호 (덕천동, 기비골마을)","46551","건강토피아3","2026-04-01 10:32:29","I","2026-04-03 00:20:02","유통전문판매업","384161.334550309","192610.091217175","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"13","유통전문판매업","07_22_17_P","3230000","3230000-113-2026-00020","2026-04-01","","01","영업/정상","01","영업","","","","","","35.83","138-712","서울특별시 송파구 가락동 99-1 밀리아나1차오피스텔","서울특별시 송파구 송파대로28길 12, 밀리아나1차오피스텔 6층 608호 (가락동)","05719","비티 코리아(BT KOREA)","2026-04-01 13:58:48","I","2026-04-03 00:20:02","유통전문판매업","210491.688890281","443508.221246366","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"14","유통전문판매업","07_22_17_P","5690000","5690000-113-2026-00008","2026-04-01","","01","영업/정상","01","영업","","","","","","26.40","339-807","세종특별자치시 조치원읍 신흥리 121-10 신흥빌라","세종특별자치시 조치원읍 군청로 87-21, 102호 (신흥빌라)","30033","주식회사 덕분에","2026-04-01 14:05:33","I","2026-04-03 00:20:02","유통전문판매업","226100.234407185","343476.6555388","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"15","유통전문판매업","07_22_17_P","3980000","3980000-113-2026-00008","2026-04-01","","01","영업/정상","01","영업","","","","","031 5665751","105.26","471-810","경기도 구리시 교문동 801-4","경기도 구리시 장자대로13번길 43, 지하1층 (교문동)","11938","에이플러스","2026-04-01 14:52:35","I","2026-04-03 00:20:02","유통전문판매업","211622.3","454164.505","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","105.26","","","",
"16","유통전문판매업","07_22_17_P","3220000","3220000-113-2026-00074","2026-04-01","","01","영업/정상","01","영업","","","","","","6.00","135-963","서울특별시 강남구 개포동 1219-4 장원","서울특별시 강남구 개포로22길 38, 102동 402호 (개포동, 장원)","06312","살림로그","2026-04-01 15:05:47","I","2026-04-03 00:20:02","유통전문판매업","204282.629666917","441609.431663952","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","6","","","",
