"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","단란주점영업","07_23_01_P","3630000","3630000-103-2004-00001","2004-03-23","","01","영업/정상","01","영업","","","","","062 972 5078","143.00","506-824","광주광역시 광산구 월계동 891-6 2층","광주광역시 광산구 임방울대로800번길 78, 2층 (월계동)","62276","란음악홀","2026-04-01 14:31:46","U","2026-04-03 02:40:00","단란주점","185878.405","190542.75","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","143","","","",
"2","단란주점영업","07_23_01_P","3620000","3620000-103-2012-00001","2012-01-04","","01","영업/정상","01","영업","","","","","062  2663330","102.08","500-822","광주광역시 북구 문흥동 997-3 (지상2층)","광주광역시 북구 대천로 140-6, 지상2층 (문흥동)","61129","미스트롯7080","2026-04-01 15:02:43","U","2026-04-03 02:40:00","단란주점","192767.891624934","187467.512531507","단란주점","0","0","기타","","상수도전용","0","0","0","0","0","","0","0","Y","102.08","","","",
"3","단란주점영업","07_23_01_P","4510000","4510000-103-1995-00016","1995-12-18","","03","폐업","02","폐업","2026-04-01","","","","","","355-823","충청남도 보령시 청소면 진죽리 345-6","충청남도 보령시 청소면 청소큰길 178","33418","하이트단란주점","2026-04-01 13:19:36","U","2026-04-03 02:40:00","단란주점","163213.157253259","327323.147488219","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","단란주점영업","07_23_01_P","3000000","3000000-103-2002-00005","2002-05-10","","01","영업/정상","01","영업","","","","","","226.17","110-111","서울특별시 종로구 관철동 7-11","서울특별시 종로구 종로14길 19 (관철동)","03190","준코뮤직타운 종각1호점","2026-04-01 13:32:09","U","2026-04-03 02:40:00","단란주점","198786.901723323","451865.494241718","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","226.17","","","",
"5","단란주점영업","07_23_01_P","3780000","3790000-103-2019-00001","2019-04-26","","01","영업/정상","01","영업","","","","","","111.07","461-872","경기도 성남시 수정구 수진동 2944 지하1층 일부호","경기도 성남시 수정구 제일로 157, 지하1층 일부호 (수진동)","13316","탑노래빵","2026-04-01 14:33:24","U","2026-04-03 02:40:00","단란주점","211590.209087926","437602.929706008","단란주점","0","0","유흥업소밀집지역","","상수도전용","0","0","0","0","0","","0","0","Y","111.07","","","",
"6","단란주점영업","07_23_01_P","6510000","6510000-103-1999-00012","1999-05-26","","01","영업/정상","01","영업","","","","","006407598007","78.20","690-827","제주특별자치도 제주시 이도이동 1176-6","제주특별자치도 제주시 광양7길 23, 1층 (이도이동)","63208","007단란주점","2026-04-01 09:12:42","U","2026-04-03 02:40:00","단란주점","156388.392872647","645.484889863858","단란주점","0","0","","","","0","0","0","0","0","","0","0","N","78.2","","","",
"7","단란주점영업","07_23_01_P","6510000","6510000-103-1995-00194","1995-12-27","","01","영업/정상","01","영업","","","","","006407529157","50.60","690-834","제주특별자치도 제주시 일도이동 1031-3","제주특별자치도 제주시 신산로 지하 42-1 (일도이동)","","쥬얼리","2026-04-01 10:40:04","U","2026-04-03 02:40:00","단란주점","156497.447933869","1561.18087847795","단란주점","1","1","주택가주변","관리","상수도전용","0","0","0","0","0","","0","0","N","50.6","","","",
"8","단란주점영업","07_23_01_P","6510000","6510000-103-1998-00013","1998-05-16","","01","영업/정상","01","영업","","","","","006407216964","113.40","690-834","제주특별자치도 제주시 일도이동 1030-11","제주특별자치도 제주시 신산로 지하 36 (일도이동)","","향원","2026-04-01 10:39:15","U","2026-04-03 02:40:00","단란주점","156464.004717311","1623.62303628588","단란주점","0","0","기타","관리","","0","0","0","0","0","","0","0","N","113.4","","","",
"9","단란주점영업","07_23_01_P","3740000","3770000-103-2013-00002","2013-03-13","","01","영업/정상","01","영업","","","","","031 224 0039","96.04","442-834","경기도 수원시 팔달구 인계동 1032-14 1층","경기도 수원시 팔달구 경수대로446번길 49, 1층 (인계동)","16489","준코뮤직타운 수원인계3호점","2026-04-01 11:41:40","U","2026-04-03 02:40:00","단란주점","202536.418063178","418165.813533343","단란주점","0","0","","","","0","0","0","0","0","","0","0","Y","96.04","","","",
"10","단란주점영업","07_23_01_P","4351000","4351000-103-2011-00001","2011-02-01","","03","폐업","02","폐업","2026-04-01","","","","033 6717780","58.67","","강원특별자치도 양양군 강현면 전진리 9-1","강원특별자치도 양양군 강현면 해맞이길 8-5","25009","파크단란주점","2026-04-01 11:25:04","U","2026-04-03 02:40:00","단란주점","342911.891834501","514271.93344511","단란주점","0","1","기타","","상수도전용","0","0","0","0","0","","0","0","Y","58.67","","","",
