"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유판매업","09_28_08_P","4590000","1987459001001200003","2009-07-21","","01","영업/정상","01","신규등록","","","","","041 942 1681","","","충청남도 청양군 남양면 대봉리 565-1","충청남도 청양군 남양면 만수로 1594","33306","청양농협 남양지점 영농자재센터","2026-04-01 15:52:28","U","2026-04-03 02:40:00","일반판매소","179929.987433471","322046.085773669","","",
"2","석유판매업","09_28_08_P","4590000","1990459001001200001","1990-03-08","","01","영업/정상","01","신규등록","","","","","041 943 5151","","","충청남도 청양군 청양읍 읍내리 184-3","충청남도 청양군 청양읍 중앙로5길 19","","학당셀프주유소","2026-04-01 16:14:47","U","2026-04-03 02:40:00","일반판매소","182039.59318424","327670.848175451","","",
"3","석유판매업","09_28_08_P","4590000","1990459001001500015","1990-03-08","","01","영업/정상","01","신규등록","","","","","041 943 5151","1.32","","충청남도 청양군 청양읍 학당리 184-3","충청남도 청양군 청양읍 충절로 1361","","학당셀프주유소","2026-04-01 16:14:25","U","2026-04-03 02:40:00","주유소","181850.809031439","329510.749003794","","",
"4","석유판매업","09_28_08_P","4261000","1995426000901500002","2003-08-06","","02","휴업","05","사업휴지","","2026-03-24","2028-03-23","","","803","","강원특별자치도 횡성군 둔내면 둔방내리 315-5","강원특별자치도 횡성군 둔내면 경강로 4529","","옛살비주유소","2026-04-01 14:35:28","U","2026-04-03 02:40:00","주유소","306622.982345248","445110.257144781","","",
"5","석유판매업","09_28_08_P","4990000","2007499006601500001","2007-03-27","","01","영업/정상","07","영업개시","","","","","061 5555149","1210","","전라남도 완도군 신지면 신리 530-9","전라남도 완도군 신지면 신지로 411","","신지주유소","2026-04-01 08:59:00","U","2026-04-03 02:40:00","주유소","182630.076399276","93064.6074548512","","",
"6","석유판매업","09_28_08_P","5530000","2024553060901500001","2024-05-20","","01","영업/정상","07","영업개시","","","","","","","","경기도 화성시 만세구 향남읍 하길리 1504","경기도 화성시 만세구 향남읍 향남로 150","18610","승하주유소","2026-04-01 10:51:57","U","2026-04-03 02:40:00","주유소","192401.066005843","400787.671411744","","",
"7","석유판매업","09_28_08_P","5530000","2008553018701500005","2008-01-17","","01","영업/정상","01","신규등록","","","","","031 3665175","992","","경기도 화성시 만세구 향남읍 화리현리 258-11","경기도 화성시 만세구 향남읍 은행나무로 561-4","18608","금호주유소","2026-04-01 16:39:21","U","2026-04-03 02:40:00","주유소","194054.583504633","400540.886983301","","",
"8","석유판매업","09_28_08_P","3940000","1994394005701500097","1994-11-10","","01","영업/정상","01","신규등록","","","","","031 925 9120","649","","경기도 고양시 일산서구 탄현동 42-3.43-7","경기도 고양시 일산서구 탄중로 251 (탄현동)","","(주)탄현마을주유소","2026-04-01 13:06:13","U","2026-04-03 02:40:00","주유소","179909.355626967","465739.22556138","","",
"9","석유판매업","09_28_08_P","4530000","2022453039101500001","2022-02-21","","01","영업/정상","06","휴지사업재개","","","","2025-08-15","041-665-8506","1998","","충청남도 서산시 음암면 도당리 115-15","충청남도 서산시 음암면 간대산길 66","31936","문정주유소","2026-04-01 10:47:15","U","2026-04-03 02:40:00","주유소","157508.44133951","368915.138025738","","",
"10","석유판매업","09_28_08_P","3620000","1995362001201500002","1995-06-02","","01","영업/정상","01","신규등록","","","","","062 573 1256","66014","","광주광역시 북구 매곡동 367-3","광주광역시 북구 서하로 77 (매곡동)","","77번가주유소","2026-04-01 15:52:57","U","2026-04-03 02:40:00","주유소","189797.925180033","187613.084970021","","",
"11","석유판매업","09_28_08_P","5670000","2005532006201500003","2005-11-15","","01","영업/정상","01","신규등록","","","","","055 5475149","871.9","","경상남도 창원시 진해구 여좌동 316-1","경상남도 창원시 진해구 진해대로 390 (여좌동)","","금창주유소","2026-04-01 13:22:00","U","2026-04-03 02:40:00","주유소","351448.937685177","186289.972419691","","",
"12","석유판매업","09_28_08_P","5220000","2025522011801500001","2025-12-17","","01","영업/정상","07","영업개시","","","","","","","","경상북도 칠곡군 약목면 복성리 639-1","경상북도 칠곡군 약목면 칠곡대로 504","39822","행운주유소","2026-04-01 09:54:51","U","2026-04-03 02:40:00","주유소","321747.197639123","283309.298077476","","",
"13","석유판매업","09_28_08_P","5540000","2004554006301500004","2004-08-06","","02","휴업","05","사업휴지","","2026-03-25","2026-09-25","","031-768-2782","1216","","경기도 광주시 탄벌동 246","경기도 광주시 이배재로 79 (탄벌동)","12747","참조은셀프주유소","2026-04-01 19:17:45","U","2026-04-03 02:40:00","주유소","221483.701608709","435785.214710962","","",
"14","석유판매업","09_28_08_P","5700000","1994411000901508002","2004-02-16","","02","휴업","05","사업휴지","","2025-11-03","2026-11-02","","031 882 8311","995","","경기도 여주시 대신면 계림리 132-1","경기도 여주시 대신면 여양1로 527","","대동주유소","2026-04-01 16:08:47","U","2026-04-03 02:40:00","주유소","253021.919891634","434817.915250793","","",
"15","석유판매업","09_28_08_P","4000000","1996400001201500002","1996-07-30","","01","영업/정상","01","신규등록","","","","","031 374 5131","1413","","경기도 오산시 원동 513","경기도 오산시 남부대로 354 (원동)","","(주)지유에너지 레몬주유소","2026-04-01 11:44:57","U","2026-04-03 02:40:00","주유소","206574.101506558","403748.206496818","","",
"16","석유판매업","09_28_08_P","4490000","1992449013101500082","1992-07-30","","01","영업/정상","01","신규등록","","","","","041 582 3033","991","","충청남도 천안시 서북구 성환읍 수향리 224-1","충청남도 천안시 서북구 성환읍 연암로 194","","주식회사 경부에너지","2026-04-02 09:50:05","U","2026-04-04 02:40:00","주유소","213263.422494767","382507.122279179","","",
"17","석유판매업","09_28_08_P","4060000","2008406011001500004","2009-04-22","","01","영업/정상","06","휴지사업재개","","","","2021-07-12","","1360","","경기도 파주시 적성면 답곡리 470-3 통일주유소","경기도 파주시 적성면 율곡로 1466, 통일주유소","10801","그레이스 에너지","2026-04-02 13:42:31","U","2026-04-04 02:40:00","주유소","186933.24928757","494659.109867002","","",
"18","석유판매업","09_28_08_P","5670000","1994528000001500075","1994-06-29","","01","영업/정상","01","신규등록","","","","","055-271-6600","2308","","경상남도 창원시 마산합포구 진동면 교동리 443","경상남도 창원시 마산합포구 진동면 삼진의거대로 768","","진동주유소","2026-04-02 19:32:29","U","2026-04-04 02:40:00","주유소","336402.444973307","181568.442129699","","",
"19","석유판매업","09_28_08_P","4910000","2016491007101500001","2016-05-30","","01","영업/정상","01","신규등록","","","","","061 8645803","","","","전라남도 장흥군 용산면 용안로 11","","장흥용산농협주유소","2026-04-02 10:50:15","U","2026-04-04 02:40:00","주유소","192132.014977008","124179.212953889","","",
