"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","분뇨수집운반업","09_30_10_P","3690000","369000053200100008","2001-04-26","","02","휴업","1","휴업","","2017-06-09","2018-04-18","","0522454500","","","울산광역시 중구 복산동 9","울산광역시 중구 서원11길 85 (복산동)","44512","울산환경","2026-04-02 15:51:57","U","2026-04-04 02:40:00","","411629.809767381","231475.12410908","분뇨등관련영업관리","","","","","0","","0",
"2","분뇨수집운반업","09_30_10_P","5230000","523000053199800001","1998-11-03","","01","영업/정상","11","영업","","","","","054-654-3456","","","경상북도 예천군 예천읍 대심리 557-1","경상북도 예천군 예천읍 대심1길 131","36826","예천환경산업","2026-04-03 16:44:07","U","2026-04-05 02:40:00","","328512.263458326","351631.037579968","분뇨등관련영업관리","","","","","0","","0",
"3","분뇨수집운반업","09_30_10_P","4920000","492000053199600006","1999-12-05","","01","영업/정상","11","영업","","","","","061-434-5566","","","전라남도 강진군 성전면 금당리 344","전라남도 강진군 성전면 송학길 10-33","59205","탐진미화사","2026-04-01 16:27:03","U","2026-04-03 02:40:00","","175072.179512408","130393.118821747","분뇨등관련영업관리","","","","","0","","0",
"4","분뇨수집운반업","09_30_10_P","4920000","492000053200000008","2000-09-01","","01","영업/정상","11","영업","","","","","061 433 7772","","","전라남도 강진군 성전면 금당리 344","전라남도 강진군 성전면 송학길 10-33","59205","강진미화사","2026-04-01 08:59:13","U","2026-04-03 02:40:00","","175072.179512408","130393.118821747","분뇨등관련영업관리","","","","","0","","0",
"5","분뇨수집운반업","09_30_10_P","3620000","362000053199700001","1997-07-01","","01","영업/정상","11","영업","","","","","0625150100","","500-130","광주광역시 북구 오치동 982-7","광주광역시 북구 무등로 271-1 (중흥동)","500-876","광북위생(주)","2026-04-03 17:20:03","U","2026-04-05 02:40:00","","191747.62724316","187391.721592862","분뇨등관련영업관리","","","","","0","","0",
"6","분뇨수집운반업","09_30_10_P","3930000","393000053199500002","1995-11-06","","01","영업/정상","11","영업","","","","","032-883-4496","","","경기도 안산시 단원구 대부남동 213-3","경기도 안산시 단원구 대남로 69-11 (대부남동)","15648","(주)대부환경","2026-04-03 16:52:52","U","2026-04-05 02:40:00","분뇨 처리업","162999.269512541","415001.638575741","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"7","분뇨수집운반업","09_30_10_P","3270000","327000053201200002","2012-11-28","","01","영업/정상","11","영업","","","","","051-633-6399","","","부산광역시 동구 초량동 1147-13","부산광역시 동구 중앙대로 267, 신동빌딩 401호 (초량동)","48792","동원산업개발","2026-04-02 10:54:46","U","2026-04-04 02:40:00","분뇨 처리업","386101.6969961","182087.688303863","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"8","분뇨수집운반업","09_30_10_P","3270000","327000053202500002","2025-05-13","","01","영업/정상","11","영업","","","","","051-637-4173","","","부산광역시 동구 초량동 1147-13","부산광역시 동구 중앙대로 267, 신동빌딩 402호 (초량동)","48792","동구정화","2026-04-02 10:23:54","U","2026-04-04 02:40:00","분뇨 처리업","386101.6969961","182087.688303863","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"9","분뇨수집운반업","09_30_10_P","4761000","476100053200500004","2005-03-14","","01","영업/정상","11","영업","","","","","0636430010","","","전북특별자치도 임실군 임실읍 갈마리 290-10 광장 카세차장","전북특별자치도 임실군 임실읍 갈마로 1-6, 광장 카세차장","55924","전북위생공사","2026-04-03 12:29:22","U","2026-04-05 02:40:00","","226425.776678368","236128.980446069","분뇨등관련영업관리","","","","","0","","0",
"10","분뇨수집운반업","09_30_10_P","3690000","369000053200100001","2001-04-07","","01","영업/정상","3","재개업","","","","2026-04-08","052 277 1119","","","울산광역시 중구 복산동 9","울산광역시 중구 서원11길 85 (복산동)","44512","청록위생","2026-04-02 15:52:54","U","2026-04-04 02:40:00","","411629.809767381","231475.12410908","분뇨등관련영업관리","","","","","0","","0",
"11","분뇨수집운반업","09_30_10_P","3690000","369000053200100004","2001-04-18","","01","영업/정상","3","재개업","","","","2026-04-08","0522969629","","","울산광역시 중구 복산동 9","울산광역시 중구 서원11길 85 (복산동)","44512","서진환경","2026-04-02 15:51:19","U","2026-04-04 02:40:00","","411629.809767381","231475.12410908","분뇨등관련영업관리","","","","","0","","0",
