"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"1","쓰레기종량제봉투판매업","09_30_13_P","4460000","446000014202600002","2026-04-01","","01","영업/정상","11","영업","","","","","","","","충청북도 괴산군 칠성면 쌍곡리 156 쌍곡예당","충청북도 괴산군 칠성면 쌍곡로1길 111, 쌍곡예당","28021","쌍곡예당야영장","2026-04-01 15:30:44","I","2026-04-03 00:20:02","","280523.230904751","360862.341251753","지정","충청북도 괴산군 칠성면 쌍곡리 156 쌍곡예당","20260401","20260331","관급봉투",
"2","쓰레기종량제봉투판매업","09_30_13_P","3990000","399000014202600016","2026-04-01","","01","영업/정상","11","영업","","","","","","","","경기도 남양주시 오남읍 오남리 205-18","경기도 남양주시 오남읍 진건오남로 643, 1층","12040","세븐일레븐 우성타워점","2026-04-01 11:37:43","I","2026-04-03 00:20:02","","218735.720268994","465363.847027552","지정","경기도 남양주시 오남읍 오남리 205-18","20260401","20260327","관급봉투",
"3","쓰레기종량제봉투판매업","09_30_13_P","3990000","399000014202600017","2026-04-01","","01","영업/정상","11","영업","","","","","0315661011","","","경기도 남양주시 화도읍 창현리 555-4","경기도 남양주시 화도읍 창현로 47","12183","남양주축협하나로마트마석점","2026-04-01 17:08:24","I","2026-04-03 00:20:02","","226881.932372928","460514.697126715","지정","경기도 남양주시 화도읍 창현리 555-4","20260401","20260401","관급봉투",
"4","쓰레기종량제봉투판매업","09_30_13_P","4520000","452000014202600021","2026-04-01","","01","영업/정상","11","영업","","","","","","","","충청남도 아산시 모종동 617 모종1차한성필하우스","충청남도 아산시 모종로 21, 상가동 104, 105호 (모종동, 모종1차한성필하우스)","31525","지에스25(GS25) 아산모종한성필점","2026-04-01 08:51:47","I","2026-04-03 00:20:02","","201721.983555944","364941.987798258","지정","충청남도 아산시 모종동 617 모종1차한성필하우스","20260401","20260330","관급봉투",
"5","쓰레기종량제봉투판매업","09_30_13_P","4181000","418100014199800172","1998-09-11","","01","영업/정상","11","영업","","","","","2521431","","","강원특별자치도 춘천시 후평동 687-14","강원특별자치도 춘천시 춘천로 290-1 (후평동)","","춘천시산림조합","2026-04-01 09:42:19","U","2026-04-03 02:40:00","","265523.294155493","486713.693623398","지정","주공1단지 옆","","20000925","관급봉투",
"6","쓰레기종량제봉투판매업","09_30_13_P","5530000","577000014201900058","2019-05-30","","01","영업/정상","11","영업","","","","","","","","경기도 화성시 동탄구 반송동 93-1 동탄 위버폴리스","경기도 화성시 동탄구 동탄지성로 17, 108-1호, 109호 (반송동, 동탄 위버폴리스)","18454","지에스(GS)25 동탄프라임점","2026-04-01 10:14:05","U","2026-04-03 02:40:00","","206325.039007167","411418.618291691","지정","경기도 화성시 동탄구 반송동 93-1 동탄 위버폴리스","20190530","20190529","관급봉투",
"7","쓰레기종량제봉투판매업","09_30_13_P","3990000","399000014202600012","2026-03-22","","01","영업/정상","11","영업","","","","","","","","경기도 남양주시 화도읍 묵현리 418-3 신LG빌라 101호","경기도 남양주시 화도읍 먹갓로27번길 21, 1층 101호 (신LG빌라)","12169","세븐일레븐 화도행운점","2026-04-01 17:00:19","U","2026-04-03 02:40:00","","223995.625275881","461511.126586159","지정","경기도 남양주시 화도읍 묵현리 418-3 신LG빌라 101호","20260322","20260322","관급봉투",
"8","쓰레기종량제봉투판매업","09_30_13_P","4331000","433100014201100002","2011-04-12","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 인제군 인제읍 인제로 168-16","","","국군복지단 강원동부지역대장","2026-04-01 13:53:56","U","2026-04-03 02:40:00","","","","지정","강원특별자치도 인제군 서화면 천도리 894","20110412","20110412","관급봉투",
"9","쓰레기종량제봉투판매업","09_30_13_P","3610000","361000014199900053","1999-04-20","","04","취소/말소/만료/정지/중지","4","폐쇄","2000-07-26","","","","062-607-4022","","","광주광역시 남구 봉선동 1096-1 남구청","광주광역시 남구 봉선로 1, 남구청 (봉선동)","61687","광주광역시남구청","2026-04-01 10:22:39","U","2026-04-03 02:40:00","","191036.225621204","181532.775962088","","","","","관급봉투",
"10","쓰레기종량제봉투판매업","09_30_13_P","4641000","464100014200810080","2008-11-07","","01","영업/정상","11","영업","","","","","0632492500","","560-020","전북특별자치도 전주시 완산구 효자동2가 1234-3 롯데마트","전북특별자치도 전주시 완산구 우전로 240, 롯데마트 (효자동2가)","54966","롯데쇼핑 (주)롯데마트전주점","2026-04-01 16:55:08","U","2026-04-03 02:40:00","","209193.584320494","257365.921223342","지정","전북특별자치도 전주시 완산구 효자동2가 1234-3 롯데마트","20081107","20081107","관급봉투",
