"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경전문공사업","09_30_16_P","6430000","643000009202600009","2026-04-01","","01","영업/정상","N","신규","","","","","","","","충청북도 청주시 흥덕구 휴암동 151-3","충청북도 청주시 흥덕구 가포산로76번길 175-12 (휴암동)","","(주)상현이엔씨","2026-04-01 09:49:27","I","2026-04-03 00:20:02","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"2","환경전문공사업","09_30_16_P","6460000","646000009202300014","2026-04-01","","01","영업/정상","N","신규","","","","","","","59337","전라남도 장흥군 장흥읍 평화리 519번지","전라남도 장흥군 장흥읍 외평길 84","59337","(주)한미엔텍","2026-04-01 17:21:26","U","2026-04-03 02:40:00","","191123.137936771","129385.438331079","0","환경전문공사업","147","","4615031028","58023","0","941","1","","","","","","46150","4615031028","0","3283058","","0","100","0","58023",
"3","환경전문공사업","09_30_16_P","6300000","630000009200600016","2024-06-18","","01","영업/정상","N","신규","","","","","","","","","대전광역시 서구 문정로48번길 48 (탄방동)","35262","계룡건설산업(주)","2026-04-01 15:50:13","U","2026-04-03 02:40:00","","234405.562500064","316045.954615168","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"4","환경전문공사업","09_30_16_P","3000000","300000067202100004","2021-11-24","","01","영업/정상","BBBB","영업","","","","","02-370-8509","","","서울특별시 종로구 수송동 83-1 수송스퀘어","서울특별시 종로구 율곡로2길 19, 수송스퀘어 6층 (수송동)","03143","에스케이에코엔지니어링 주식회사","2026-04-01 17:51:34","U","2026-04-03 02:40:00","","198279.787364709","452430.699653992","0","환경전문공사업","0","(주)산업공해연구소","","","","","","","","","","","","","","","","","","","",
"5","환경전문공사업","09_30_16_P","6310000","631000009202600020","2026-04-02","","01","영업/정상","N","신규","","","","","","","44959","울산광역시 울주군 청량읍 율리 1494-1 101호","울산광역시 울주군 청량읍 군청3길 4, 101호","44959","(주)디에스피앤이","2026-04-02 11:05:13","I","2026-04-04 00:20:02","","403354.86232443","227210.374343554","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"6","환경전문공사업","09_30_16_P","6410000","641000009202600050","2026-04-03","","01","영업/정상","N","신규","","","","","","","","경기도 과천시 중앙동 2번지 한국화학융합시험연구원","경기도 과천시 교육원로 98, 한국화학융합시험연구원 (중앙동)","","(재)한국화학융합시험연구원","2026-04-03 09:04:25","I","2026-04-05 00:20:22","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"7","환경전문공사업","09_30_16_P","6410000","641000009202600051","2026-04-03","","01","영업/정상","N","신규","","","","","","","","경기도 화성시 만세구 남양읍 북양리 526-1","경기도 화성시 만세구 남양읍 주석로 239-5","","(주)씨제이케이","2026-04-03 09:05:08","I","2026-04-05 00:20:22","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"8","환경전문공사업","09_30_16_P","6410000","641000009202300111","2026-04-03","","01","영업/정상","N","신규","","","","","","","18112","경기도 오산시 내삼미동 395-7","경기도 오산시 경기대로632번길 121 (내삼미동)","18112","(주)이엠코","2026-04-03 13:32:35","U","2026-04-05 02:40:00","","205009.012311886","409250.224936729","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"9","환경전문공사업","09_30_16_P","6410000","641000009202400014","2026-04-03","","01","영업/정상","N","신규","","","","","","","15426","경기도 안산시 단원구 신길동 1229번지 리드스마트스퀘어지식산업센터 1222호","경기도 안산시 단원구 산단로 325, 리드스마트스퀘어지식산업센터 1222호 (신길동)","15426","(주)위더스이티에스","2026-04-03 09:07:06","U","2026-04-05 02:40:00","","180878.941038538","424612.422892591","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"10","환경전문공사업","09_30_16_P","6410000","641000009202100004","2026-04-03","","01","영업/정상","N","신규","","","","","","","","경기도 안산시 단원구 고잔동 709-9","경기도 안산시 단원구 광덕2로 155-6 (고잔동)","","라온환경(주)","2026-04-03 13:31:58","U","2026-04-05 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"11","환경전문공사업","09_30_16_P","6410000","641000009202500024","2026-04-03","","01","영업/정상","N","신규","","","","","","","12918","경기도 하남시 풍산동 489번지 미사테스타타워지식산업센터","경기도 하남시 미사강변서로 25, 미사테스타타워지식산업센터 839,840동 (풍산동)","12918","미령환경개발(주)","2026-04-03 09:02:04","U","2026-04-05 02:40:00","","216038.566179914","450059.249204826","0","환경전문공사업","0","","4145011000","12918","0","489","0","","","미사테스타타워지식산업센터","","","41450","4145011000","1","3202057","미사테스타타워지식산업센터","0","25","0","12918",
"12","환경전문공사업","09_30_16_P","3210000","321000067202200001","2022-03-16","","01","영업/정상","BBBB","영업","","","","","02-2188-8700","","","서울특별시 서초구 서초동 1424-8 동명빌딩","서울특별시 서초구 남부순환로 2471, 동명빌딩 (서초동)","06725","(주)동명엔터프라이즈","2026-04-05 08:34:04","U","2026-04-07 02:40:00","","201762.897692631","442308.814569763","0","환경전문공사업","0","(주)유앤아이환경기술","1165010800","","1","1424","8","","","동명빌딩","","","11650","1165010800","1","2000003","동명빌딩 (서초동)","0","2471","","06725",
