"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","휴게실면적","사무실면적","탈의실면적","회원모집총인원","세부업종명","법인명",
"1","체력단련장업","10_42_01_P","3680000","CDFH3301062026000001","2026-04-01","","01","영업/정상","13","영업중","","","","","","342.8","","대전광역시 대덕구 법동 344-14 3층","대전광역시 대덕구 아리랑로 217, 3층 (법동)","34356","마스터짐 법동점","2026-04-01 17:04:55","I","2026-04-03 00:20:02","","238289.974541528","319382.228587216","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"2","체력단련장업","10_42_01_P","3080000","CDFH3301062026000003","2026-04-01","","01","영업/정상","13","영업중","","","","","","76.65","","서울특별시 강북구 수유동 400-17","서울특별시 강북구 삼양로88가길 4, 1층 (수유동)","01082","하이프핏","2026-04-01 11:40:32","I","2026-04-03 00:20:02","","201529.847458843","459200.576068146","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"3","체력단련장업","10_42_01_P","3630000","CDFH3301062026000004","2026-04-01","","01","영업/정상","13","영업중","","","","","","802.81","","광주광역시 광산구 소촌동 295-1","광주광역시 광산구 소촌로100번길 44, 101호 (소촌동)","62385","썬짐","2026-04-01 13:02:38","I","2026-04-03 00:20:02","","181456.457842019","183773.566714264","체력단련장업","사립","","2","0","0","0","0","0","0","","",
"4","체력단련장업","10_42_01_P","5590000","CDFH3301062026000001","2026-04-01","","01","영업/정상","13","영업중","","","","","","","","경기도 양주시 삼숭동 555-3","경기도 양주시 부흥로 2152-16, 201호, 202호, 203호 (삼숭동)","11485","새말피트니스 양주삼숭점","2026-04-01 16:12:45","I","2026-04-03 00:20:02","","208128.355850927","478174.269435595","체력단련장업","사립","","0","0","0","0","0","0","0","","",
"5","체력단련장업","10_42_01_P","3130000","CDFH3301062026000006","2026-04-01","","01","영업/정상","13","영업중","","","","","","80.34","","서울특별시 마포구 서교동 442-1 城廣빌딩","서울특별시 마포구 성미산로2길 33, 城廣빌딩 지층 (서교동)","03996","프리원핏 홍대점","2026-04-01 13:29:38","I","2026-04-03 00:20:02","","191991.151104272","450528.945938401","체력단련장업","사립","","1","1","1184.99","0","0","0","0","","",
"6","체력단련장업","10_42_01_P","4181000","CDFH3301062019000008","2019-09-11","","01","영업/정상","13","영업중","","","","","070-7320-6787","175.64","","강원특별자치도 춘천시 후평동 67-14","강원특별자치도 춘천시 백령로 178, 4층 (후평동)","24280","청년헬스장","2026-04-01 09:03:18","U","2026-04-03 02:40:00","","265577.871399852","486214.243417567","체력단련장업","사립","","0","0","816.06","0","0","0","0","","",
"7","체력단련장업","10_42_01_P","3780000","CDFH3301062019000028","2019-12-12","","01","영업/정상","13","영업중","","","","","","233.05","","경기도 성남시 분당구 삼평동 698 판교테크노밸리 스타트업 캠퍼스 2동","경기도 성남시 분당구 판교로289번길 20, 판교테크노밸리 스타트업 캠퍼스 2동 3층 (삼평동)","13488","스포츠 과학 운동센터","2026-04-01 15:03:17","U","2026-04-03 02:40:00","","209336.846877902","433614.460474667","체력단련장업","사립","","1","0","0","0","0","0","0","","",
"8","체력단련장업","10_42_01_P","3230000","CDFH3301062024000027","2024-07-29","","03","폐업","03","폐업","2026-04-01","","","","","469","","서울특별시 송파구 가락동 2-9 김해빌딩","서울특별시 송파구 오금로 300, 김해빌딩 지하층 B101호 (가락동)","05700","즐거워GYM","2026-04-01 13:12:03","U","2026-04-03 02:40:00","","211046.297863378","444565.558982422","체력단련장업","사립","","2","0","2241.6","0","0","0","0","","",
"9","체력단련장업","10_42_01_P","3660000","CDFH3301062020000003","2020-03-30","","01","영업/정상","13","영업중","","","","","","286","","대전광역시 서구 도안동 875 시티타워 5층","대전광역시 서구 도안북로 95, 시티타워 5층 (도안동)","35350","피데스짐","2026-04-01 13:35:57","U","2026-04-03 02:40:00","","230377.799534486","314449.653620448","체력단련장업","사립","","1","0","3383.41","0","0","0","0","","",
"10","체력단련장업","10_42_01_P","3350000","CDFH3301062024000008","2024-05-17","","01","영업/정상","13","영업중","","","","","051-513-5838","108","","부산광역시 금정구 장전동 682-4 나무이야기","부산광역시 금정구 금강로 209-1, 나무이야기 3층 (장전동)","46294","핏핏바디트레이닝 PT센터 부산대점","2026-04-01 11:00:19","U","2026-04-03 02:40:00","","389556.426966471","193990.130578035","체력단련장업","사립","","0","0","0","0","0","0","0","","",
