"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","일반창고동수","일반창고면적","냉동냉장창고동수","냉동냉장창고면적","보관장소면적","직원수","시설/장비현황","보관요율","법인여부명","업태보관및창고업","업태운송및택배업","업태판매업","업태제조업",
"1","물류창고업체","11_45_02_P","4080000","2026408026132500007","2026-04-01","","01","영업/정상","01","영업중","","","","","02-6951-0000","","","경기도 안성시 양성면 산정리 51-3","경기도 안성시 양성면 양성로 301","17501","주식회사 휠라선","2026-04-01 16:44:39","I","2026-04-03 00:20:02","","","","1","12571.67","0","0","0","15","팔레트랙, 지게차 8대 등","","법인","1","","","",
"2","물류창고업체","11_45_02_P","6260000","2026S62600000002","2026-03-27","","01","영업/정상","1","등록","","","","","0263267764","","48553","부산광역시 남구 감만동 239-30","부산광역시 남구 신선로 217-12 (감만동)","48553","(주)위더스메디","2026-04-01 19:46:13","U","2026-04-03 02:40:00","","","","1","2999.12","0","0","0","9","컨베이어 벨트, 지게차, 선반랙(4,560cell, 2,700cell), 하이랙(88cell) 등","","개인","1","","","",
"3","물류창고업체","11_45_02_P","6260000","2026S62600000001","2026-03-20","","01","영업/정상","1","등록","","","","","07052212881","","46746","부산광역시 강서구 미음동 1651-2","부산광역시 강서구 미음국제2로 58, (주)지에스네트웍스부산지점 1층및4층 (미음동)","46746","(주)지에스네트웍스 부산지점","2026-04-01 19:33:03","U","2026-04-03 02:40:00","","","","1","9889.57","1","9161.52","0","69","렉창고, 지게차 등","","개인","1","","","",
"4","물류창고업체","11_45_02_P","6260000","2024S62600000002","2024-02-13","","01","영업/정상","1","등록","","","","","","","46747","부산광역시 강서구 미음동 1656-1 B동","부산광역시 강서구 미음국제2로 69 (미음동)","46747","씨제이대한통운(주)","2026-04-01 15:11:21","U","2026-04-03 02:40:00","","370311.246408186","184758.157663871","2","5592.83","0","0","0","1","지게차 3대","","개인","","","","",
"5","물류창고업체","11_45_02_P","4050000","2016405037132500004","2016-08-17","","01","영업/정상","01","영업중","","","","","031-334-0681","","","경기도 용인시 처인구 양지읍 평창리 681-27 솔물류","경기도 용인시 처인구 양지읍 죽양대로2071번길 10-9, 솔물류","17163","솔물류(주)","2026-04-02 10:53:46","U","2026-04-04 02:40:00","","227764.526437673","413081.771923692","1","7558.74","0","0","0","25","랙, 지게차","7400","법인","1","","","",
"6","물류창고업체","11_45_02_P","6110000","2022S61100000006","2022-07-21","","01","영업/정상","1","등록","","","","","0426154124","","03917","서울특별시 마포구 상암동 508번지","서울특별시 마포구 구룡길 36(상암동)","03917","한국철도공사","2026-04-02 11:14:44","U","2026-04-04 02:40:00","","189578.962415014","454129.858577368","1","13454.09","0","0","0","20","지게차10대","2,000원/건","개인","","","","",
"7","물류창고업체","11_45_02_P","4080000","2026408026132500008","2026-03-30","","01","영업/정상","01","영업중","","","","","031-673-2263","","","경기도 안성시 죽산면 당목리 478-13","경기도 안성시 죽산면 송문주로 219, A동","17524","(주)리치개발","2026-04-03 16:02:34","I","2026-04-05 00:20:22","","239281.470395557","391940.797549608","0","0","1","3774","0","12","지게차 12대, 이동식랙 16,600세트","700","법인","1","","","",
"8","물류창고업체","11_45_02_P","4080000","2026408026132500004","2026-03-06","","01","영업/정상","01","영업중","","","","","031-655-2205","","","경기도 안성시 원곡면 외가천리 17-11","경기도 안성시 원곡면 남북대로 1048-6","17555","에스지씨이앤씨 주식회사","2026-04-03 11:01:16","U","2026-04-05 02:40:00","","212810.750521031","392534.653513921","0","0","1","22733.71","0","21","냉동기 4대, 지게차 6대","","법인","1","1","","",
"9","물류창고업체","11_45_02_P","4070000","2025407024932500031","2025-11-13","","01","영업/정상","01","영업중","","","","","","","","경기도 이천시 부발읍 신원리 617-16","경기도 이천시 부발읍 중부대로1707번길 110","17323","주식회사 더엘","2026-04-03 14:38:08","U","2026-04-05 02:40:00","","244194.323056592","421472.783986361","1","1492","0","0","0","2","냉동설비, 렉설치, 지게차","","개인","1","","","",
"10","물류창고업체","11_45_02_P","4060000","2021406041532500003","2021-03-31","","03","폐업","03","폐업","2026-04-03","","","","070-7777-2700","","","경기도 파주시 탄현면 성동리 20","경기도 파주시 탄현면 헤이리로133번길 19-52","10858","주식회사 세븐제이스","2026-04-03 09:42:28","U","2026-04-05 02:40:00","","172764.381962462","476948.662909866","1","3169.2","0","0","0","","","","법인","","","","",
"11","물류창고업체","11_45_02_P","4080000","2024408026132500007","2024-12-04","","01","영업/정상","01","영업중","","","","","070-4912-3094","","","경기도 안성시 미양면 양변리 238-3","경기도 안성시 미양면 안성맞춤대로 390, 1층","17604","㈜다우기업","2026-04-03 13:16:43","U","2026-04-05 02:40:00","","221855.902882233","383814.083450804","1","8473","0","0","8473","10","차량 12대, 장비(지게차) 7대","","법인","1","","","",
