"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","보유자격증명","국비지원여부","담당직원내용","삭제일자",
"1","요양보호사교육기관","11_49_01_P","6470000","202664700000040003-20260402","2026-04-02","","01","영업/정상","0","운영","","","","","0547460081","","","경상북도 경주시 시래동 729-1 경주여자정보고등학교","경상북도 경주시 시동로 90, 경주여자정보고등학교 (시래동)","","경주여자정보고등학교 부설 요양보호사교육원","2026-04-02 11:05:05","I","2026-04-04 00:20:02","","","","","","","",
"2","요양보호사교육기관","11_49_01_P","6410000","201064100001040163-20101012","2010-10-12","","01","영업/정상","0","운영","","","","","0316676922","","","경기도 평택시 서정동 887-1","경기도 평택시 송탄로 227, 3층 (서정동)","41220","포도요양보호사교육원","2026-04-02 09:48:49","U","2026-04-04 02:40:00","","205094.716844564","395816.351460157","","","","",
"3","요양보호사교육기관","11_49_01_P","6410000","201564100002040002-20150405","2015-04-05","","01","영업/정상","0","운영","","","","","0315910337","","","경기도 남양주시 평내동 578번지 2호","경기도 남양주시 경춘로1256번길 10 (평내동)","","마음모아요양보호사교육원","2026-04-02 07:30:06","U","2026-04-04 02:40:00","","220644.413037441","460390.863030082","","","","",
"4","요양보호사교육기관","11_49_01_P","6110000","202161100000040011-20210420","2021-04-20","","01","영업/정상","0","운영","","","","","024220201","","","서울특별시 송파구 잠실동 234-10 애큐파빌딩","서울특별시 송파구 백제고분로 175, 애큐파빌딩 2층 (잠실동)","","토브요양보호사교육원","2026-04-02 09:20:05","U","2026-04-04 02:40:00","","","","","","","",
"5","요양보호사교육기관","11_49_01_P","6410000","202564100001040016-20250430","2025-04-30","","01","영업/정상","0","운영","","","","","0312496364","","","경기도 수원시 장안구 정자동 937번지 동남보건전문대학 703,705A호","경기도 수원시 장안구 천천로74번길 50, 동남보건전문대학 703,705A호 (정자동)","","동남보건대학교 산학협력단 글로벌요양보호사교육원","2026-04-02 07:26:45","U","2026-04-04 02:40:00","","","","","","","",
"6","요양보호사교육기관","11_49_01_P","6110000","201061100000040172-20101021","2010-10-21","","01","영업/정상","0","운영","","","","","029802377","","","서울특별시 강북구 수유1동   63번지 수유프라자 5층","서울특별시 강북구 도봉로 261, 5층 (수유동, 삼호아파트, 수유프라자)","","(사)한국여학사협회강북여성인력개발센터부설요양보호사교육원","2026-04-02 09:45:48","U","2026-04-04 02:40:00","","","","","","","",
"7","요양보호사교육기관","11_49_01_P","6480000","202164800000040002-20210118","2021-01-18","","01","영업/정상","0","운영","","","","","0556877008","","","경상남도 거제시 옥포동 536-7 1동 201호","경상남도 거제시 옥포대첩로 20, 1동 201호 (옥포동)","","옥포사랑요양보호사교육원","2026-04-02 17:30:24","U","2026-04-04 02:40:00","","","","","","","",
"8","요양보호사교육기관","11_49_01_P","6270000","202662700000040001-20260403","2026-04-03","","01","영업/정상","0","운영","","","","","0535224675","","","대구광역시 수성구 수성동4가 1232번지 2층","대구광역시 수성구 달구벌대로 2275, 2층 (수성동4가)","","마음봄요양보호사교육원","2026-04-03 21:07:32","I","2026-04-05 00:20:22","","","","","","","",
"9","요양보호사교육기관","11_49_01_P","6410000","201964100002040008-20190801","2019-08-01","","01","영업/정상","0","운영","","","","","0318585733","","","경기도 동두천시 생연동 664-59 파크타운주상복합아파트 203호","경기도 동두천시 어수로83번길 36, 2층 203호(생연동, 파크타운주상복합아파트)","","낙원노블레스요양보호사교육원","2026-04-03 14:31:34","U","2026-04-05 02:40:00","","","","","","","",
"10","요양보호사교육기관","11_49_01_P","6460000","202464600000040006-20240729","2024-07-29","","01","영업/정상","0","운영","","","","","0616831005","","","전라남도 여수시 소호동 359-9","전라남도 여수시 소호로 469-1 (소호동)","","소호요양보호사교육원","2026-04-03 14:53:54","U","2026-04-05 02:40:00","","","","","","","",
"11","요양보호사교육기관","11_49_01_P","6470000","201064700000040011-20101025","2010-10-25","","01","영업/정상","0","운영","","","","","0542605288","","","경상북도 포항시북구 흥해읍 초곡리  146-1번지","경상북도 포항시 북구 흥해읍 초곡길36번길 30","","선린대학부설요양보호사교육원","2026-04-03 15:57:12","U","2026-04-05 02:40:00","","","","","","","",
"12","요양보호사교육기관","11_49_01_P","6410000","202464100001040035-20241118","2024-11-18","","01","영업/정상","0","운영","","","","","0318575000","","","경기도 동두천시 생연동 641-24 2층호","경기도 동두천시 정장로 51, 2층 (생연동)","","인재개발요양보호사교육원","2026-04-03 10:40:10","U","2026-04-05 02:40:00","","","","","","","",
