"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","유료직업소개소","11_50_02_P","3740000","2026377004114500007","2026-04-01","","01","영업/정상","20","영업중","","","","","","","","경기도 수원시 팔달구 인계동 997 현대콤비타운","경기도 수원시 팔달구 장다리로 179, 현대콤비타운 3층 (인계동)","16479","커리어패쓰컨설팅","2026-04-01 15:57:45","I","2026-04-03 00:20:02","","202074.573654606","418228.80990094","개인","유료",
"2","유료직업소개소","11_50_02_P","3700000","2026370023414500006","2026-04-01","","01","영업/정상","20","영업중","","","","","","","","울산광역시 남구 삼산동 1564-1 삼산동 대성스카이렉스","울산광역시 남구 삼산로 303, 103동 313호 (삼산동, 삼산동 대성스카이렉스)","44713","코리아글로벌서비스","2026-04-01 13:44:46","I","2026-04-03 00:20:02","","412156.49812657","229243.903846789","법인","유료",
"3","유료직업소개소","11_50_02_P","3700000","2026370023414500007","2007-09-20","","01","영업/정상","20","영업중","","","","","","","","울산광역시 울주군 온산읍 덕신리 13통 202호","울산광역시 중구 태화로 303, 3층 (태화동)","44452","신정가사원","2026-04-01 15:09:46","I","2026-04-03 00:20:02","","409213.646980121","230685.299463669","","",
"4","유료직업소개소","11_50_02_P","3540000","2026354016214500005","2025-10-15","","01","영업/정상","20","영업중","","","","","","","","인천광역시 부평구 청천동 424-9","인천광역시 부평구 평천로255번길 13, 109호 (청천동)","21315","F.I.B","2026-04-01 14:38:00","I","2026-04-03 00:20:02","","175038.203391524","446135.088587101","개인","유료",
"5","유료직업소개소","11_50_02_P","3210000","2026321019514500005","2021-10-25","","01","영업/정상","20","영업중","","","","","","","","서울특별시 서초구 서초동 1567-8 현빌딩","서울특별시 서초구 서초대로46길 99, 현빌딩 4층 4374호 (서초동)","06650","제니스 써치(zenith search)","2026-04-01 17:40:58","I","2026-04-03 00:20:02","","201122.363486404","443111.971545521","개인","유료",
"6","유료직업소개소","11_50_02_P","4490000","2010566000514500019","2010-12-06","","01","영업/정상","20","영업중","","","","","041 556 2829","","","충청남도 천안시 서북구 성정동 1451번지 메트로존 306호","충청남도 천안시 서북구 성정두정로 12, 306호 (성정동, 메트로존)","331-978","(주)한국커리어잡스","2026-04-01 16:45:49","U","2026-04-03 02:40:00","","212552.415530081","369469.27750904","법인","유료",
"7","유료직업소개소","11_50_02_P","3560000","2023356020514500018","2023-08-01","","01","영업/정상","20","영업중","","","","","","","","인천광역시 서구 왕길동 649-1 검단풍림아이원아파트","인천광역시 서구 봉수대로1440번길 4, 검단풍림아이원아파트 상가동 102호 (왕길동)","22615","글로벌인재교류센터(JOBBAND)","2026-04-01 14:44:44","U","2026-04-03 02:40:00","","169011.175750039","455507.4389522","개인","유료",
"8","유료직업소개소","11_50_02_P","4211000","2022421021514500007","2022-12-06","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 동해시 송정동 1134","강원특별자치도 동해시 대동로 253(송정동)","25785","정인력","2026-04-01 11:21:40","U","2026-04-03 02:40:00","","387766.535112389","445475.822367788","개인","유료",
"9","유료직업소개소","11_50_02_P","4211000","2022421021514500002","2022-04-22","","01","영업/정상","20","영업중","","","","","","","","강원특별자치도 동해시 효가동 176-4","강원특별자치도 동해시 동해대로 5021(효가동)","25802","월드개발인력","2026-04-01 11:23:43","U","2026-04-03 02:40:00","","386537.022919158","445655.348310125","개인","유료",
"10","유료직업소개소","11_50_02_P","3100000","2024310018414500004","2024-09-19","","01","영업/정상","20","영업중","","","","","02  932 4230","","","서울특별시 노원구 상계동 169-210 신흥빌딩","서울특별시 노원구 한글비석로24길 14, 신흥빌딩 4층 (상계동)","01663","동행","2026-04-01 09:28:17","U","2026-04-03 02:40:00","","206270.823086152","462123.792297709","개인","유료",
"11","유료직업소개소","11_50_02_P","3560000","2019356018914500015","2019-12-16","","01","영업/정상","20","영업중","","","","","032 563 6222","","","인천광역시 서구 백석동 0","인천광역시 서구 한중5로 45, 201호 (백석동)","22687","창성인력","2026-04-01 14:35:26","U","2026-04-03 02:40:00","","","","개인","유료",
"12","유료직업소개소","11_50_02_P","4490000","2026566002914500010","2026-03-27","","01","영업/정상","20","영업중","","","","","","","","충청남도 천안시 서북구 성환읍 성환리 449-248","충청남도 천안시 서북구 성환읍 성환1로 267-1, 1층","31011","대한 인력","2026-04-01 15:21:21","U","2026-04-03 02:40:00","","211305.681369075","379680.148505973","개인","유료",
"13","유료직업소개소","11_50_02_P","5090000","2020509018014500001","2020-02-13","","03","폐업","40","폐업","2026-03-26","","","","0546371110","","","경상북도 영주시 휴천동 699번지 16호 봉화전기","경상북도 영주시 구성로 266, 봉화전기 (휴천동)","36161","월계수인력개발","2026-04-01 18:02:15","U","2026-04-03 02:40:00","","345181.247915096","369614.775304017","개인","유료",
"14","유료직업소개소","11_50_02_P","4580000","2024458012414500001","2024-04-12","","01","영업/정상","20","영업중","","","","","000000000000","","","충청남도 서천군 한산면 지현리 166-12 충남이용원","충청남도 서천군 한산면 한산모시길 39-1, 충남이용원","33624","태양인력","2026-04-01 13:53:00","U","2026-04-03 02:40:00","","182190.032243992","287203.884697507","개인","유료",
"15","유료직업소개소","11_50_02_P","3430000","2024343009514500005","2024-04-11","","03","폐업","40","폐업","2026-03-31","","","","","","","대구광역시 서구 비산동 996-1","대구광역시 서구 서대구로62길 72, 2층 201호 (비산동)","41720","해피인력사무소","2026-04-01 15:01:23","U","2026-04-03 02:40:00","","341158.07108987","266306.25869952","개인","유료",
"16","유료직업소개소","11_50_02_P","3180000","2016318019714500002","2016-01-26","","03","폐업","40","폐업","2026-03-31","","","","","","","서울특별시 영등포구 여의도동 44-14 경도빌딩 402호","서울특별시 영등포구 여의대방로 383, 경도빌딩 402호 (여의도동)","07333","미라클 액터스","2026-04-01 15:44:57","U","2026-04-03 02:40:00","","193870.812916718","446351.97420108","개인","유료",
"17","유료직업소개소","11_50_02_P","3180000","2025318027014500041","2025-11-03","","01","영업/정상","20","영업중","","","","","","","","서울특별시 영등포구 대림동 1051-23 대림빌딩","서울특별시 영등포구 도림로33길 8, 대림빌딩 1층 (대림동)","07415","희망직업소개소","2026-04-01 15:45:12","U","2026-04-03 02:40:00","","190754.380601302","443448.475129908","개인","유료",
"18","유료직업소개소","11_50_02_P","3560000","2023356020514500006","2023-03-07","","01","영업/정상","20","영업중","","","","","032 563 0360","","","인천광역시 서구 심곡동 280-4 쌍용빌딩 501호","인천광역시 서구 탁옥로73번길 1, 쌍용빌딩 501호 (심곡동)","22714","우리인력","2026-04-01 15:02:49","U","2026-04-03 02:40:00","","171434.040427496","449132.538203263","개인","유료",
"19","유료직업소개소","11_50_02_P","3530000","2024353019814500005","2024-03-18","","01","영업/정상","20","영업중","","","","","","","","인천광역시 남동구 구월동 1265-9","인천광역시 남동구 호구포로 794, 301호 (구월동)","21534","케이파출인천센터","2026-04-01 10:34:58","U","2026-04-03 02:40:00","","175094.696023486","439031.472507698","개인","유료",
"20","유료직업소개소","11_50_02_P","4820000","2021482028014500012","2021-08-06","","01","영업/정상","20","영업중","","","","","","","","전라남도 순천시 조례동 1315-1 동양빌딩","전라남도 순천시 이수로 280, 동양빌딩 (조례동)","57966","대한인력","2026-04-01 09:53:03","U","2026-04-03 02:40:00","","246980.381303707","161546.937752241","개인","유료",
"21","유료직업소개소","11_50_02_P","4820000","2025482033714500013","2025-08-07","","01","영업/정상","20","영업중","","","","","","","","전라남도 순천시 조례동 541-2","전라남도 순천시 태봉길 41, 상가동 207호 (조례동)","57947","스마일 간병인협회","2026-04-01 16:34:30","U","2026-04-03 02:40:00","","247982.712640738","162508.679680298","개인","유료",
"22","유료직업소개소","11_50_02_P","3240000","2025324028914500007","2025-09-16","","01","영업/정상","20","영업중","","","","","029213337","","","서울특별시 강동구 성내동 534-7 써니빌딩","서울특별시 강동구 성내로9길 35, 써니빌딩 2층 (성내동)","05397","(주)오즈프렌즈","2026-04-01 11:21:21","U","2026-04-03 02:40:00","","210986.011096738","447588.546763259","법인","유료",
"23","유료직업소개소","11_50_02_P","3360000","2021336014514500001","2021-04-28","","01","영업/정상","20","영업중","","","","","","","","부산광역시 강서구 범방동 1853-12","부산광역시 강서구 가락대로900번길 15-1 (범방동)","46727","경마인력","2026-04-01 11:10:18","U","2026-04-03 02:40:00","","371482.185387822","185166.289928899","개인","유료",
"24","유료직업소개소","11_50_02_P","3040000","2025304023414500005","2023-06-23","","01","영업/정상","20","영업중","","","","","02  16887360","","","서울특별시 광진구 자양동 2-3 더 라움 펜트하우스","서울특별시 광진구 능동로 81, 3층 302-1호 (자양동)","05073","스타팅파트너스(주)","2026-04-01 21:17:46","U","2026-04-03 02:40:00","","206064.885212289","448477.114780962","법인","유료",
"25","유료직업소개소","11_50_02_P","5710000","2010437003314500004","2010-04-06","","01","영업/정상","20","영업중","","","","","043 287 9091","","","충청북도 청주시 서원구 사창동 147-11번지 3층","충청북도 청주시 서원구 사직대로 83, 3층","361-280","(주)가온직업소개소","2026-04-01 11:12:10","U","2026-04-03 02:40:00","","240777.756050401","348292.84098177","법인","유료",
"26","유료직업소개소","11_50_02_P","4490000","2022566002914500011","2022-07-12","","01","영업/정상","20","영업중","","","","","041 568 7913","","","충청남도 천안시 서북구 성거읍 천흥리 373-19","충청남도 천안시 서북구 성거읍 성거길 186, 2층","31044","(주)잡천하","2026-04-01 17:52:59","U","2026-04-03 02:40:00","","218345.195137728","375510.087513846","법인","유료",
"27","유료직업소개소","11_50_02_P","5530000","2024553055414500008","2024-06-17","","01","영업/정상","20","영업중","","","","","","","","경기도 화성시 만세구 향남읍 하길리 1467","경기도 화성시 만세구 향남읍 상신하길로328번길 26, 505호","18606","일가자 인력(화성만세점)","2026-04-01 19:54:14","U","2026-04-03 02:40:00","","192241.098077486","401622.319466536","개인","유료",
"28","유료직업소개소","11_50_02_P","3500000","2024350017814500003","2024-12-23","","01","영업/정상","20","영업중","","","","","","","","인천광역시 동구 창영동 105-15","인천광역시 동구 샛골로 75 (창영동)","22565","다온인력","2026-04-01 16:09:37","U","2026-04-03 02:40:00","","168237.605261389","440884.588068439","개인","유료",
"29","유료직업소개소","11_50_02_P","5130000","2025513018014500001","2025-01-20","","01","영업/정상","20","영업중","","","","","","","","경상북도 경산시 하양읍 동서리 644-8","경상북도 경산시 하양읍 하양로 172","38416","삼성인력","2026-04-01 11:25:03","U","2026-04-03 02:40:00","","364617.042541459","270077.571826595","개인","유료",
"30","유료직업소개소","11_50_02_P","3290000","2026329018714500005","2026-04-02","","01","영업/정상","20","영업중","","","","","051 8184224","","","부산광역시 부산진구 부전동 474-80 유원 골든타워 오피스텔","부산광역시 부산진구 서면문화로 27, 유원 골든타워 오피스텔 807호 (부전동)","47257","보은간병협회","2026-04-02 15:13:17","I","2026-04-04 00:20:02","","387225.613588405","186408.726533861","개인","유료",
"31","유료직업소개소","11_50_02_P","5310000","2026531033814500007","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","경상남도 진주시 상봉동 1097-16","경상남도 진주시 창렬로70번길 15 (상봉동)","52660","전국장례도우미협회","2026-04-02 10:43:16","I","2026-04-04 00:20:02","","297437.120148123","188955.515243286","개인","유료",
"32","유료직업소개소","11_50_02_P","4671000","2026467111114500004","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","전북특별자치도 군산시 나운동 527-19 SK Telecom KTF","전북특별자치도 군산시 나운로 20 (나운동)","54134","마음동행 요양보호사 간병인 협회","2026-04-02 15:45:47","I","2026-04-04 00:20:02","","173204.94714897","274435.793479261","개인","유료",
"33","유료직업소개소","11_50_02_P","3540000","2026354016214500006","2025-07-23","","01","영업/정상","20","영업중","","","","","","","","인천광역시 부평구 부개동 321-3","인천광역시 부평구 경인로 1084, 201호 (부개동)","21420","미래건설인력","2026-04-02 16:44:45","I","2026-04-04 00:20:02","","176948.516057963","442681.148743179","개인","유료",
"34","유료직업소개소","11_50_02_P","6520000","2026652017814500001","2024-07-18","","01","영업/정상","20","영업중","","","","","","","","서울특별시 강남구 역삼동 682 남전빌딩","서울특별시 강남구 봉은사로 326, 남전빌딩 873호 (역삼동)","06143","주식회사 리드코리아","2026-04-02 15:07:29","I","2026-04-04 00:20:02","","203702.477207367","445271.241490281","","",
"35","유료직업소개소","11_50_02_P","3470000","2026347022714500003","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","대구광역시 달서구 장기동 173-19","대구광역시 달서구 성서동로 321, 302호 (장기동)","42697","W케어 간병인회 유료직업소개소","2026-04-02 15:16:46","I","2026-04-04 00:20:02","","336839.242295413","262080.029543902","개인","유료",
"36","유료직업소개소","11_50_02_P","5530000","2026574000714500006","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","경기도 화성시 만세구 향남읍 평리 257-3","경기도 화성시 만세구 향남읍 삼천병마로 191, 지층","18593","더소망인력파출부","2026-04-02 16:30:32","I","2026-04-04 00:20:02","","191914.99324469","403170.772620224","개인","유료",
"37","유료직업소개소","11_50_02_P","3900000","2026390037314500003","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","경기도 광명시 철산동 420 세인트빌딩상가","경기도 광명시 오리로854번길 12, 세인트빌딩상가 304호 (철산동)","14240","(주) 비전와이드","2026-04-02 17:39:25","I","2026-04-04 00:20:02","","188286.629164188","441397.640048481","법인","유료",
"38","유료직업소개소","11_50_02_P","3740000","2026561001814500003","2026-04-02","","01","영업/정상","20","영업중","","","","","0312140691","","","경기도 수원시 영통구 하동 989 원희캐슬 광교 B131호","경기도 수원시 영통구 광교중앙로248번길 7-2, 원희캐슬 광교 B131호 (하동)","16512","세광직업소개소","2026-04-02 13:06:10","I","2026-04-04 00:20:02","","205823.568119412","421057.602005781","개인","유료",
"39","유료직업소개소","11_50_02_P","3710000","2026371015114500002","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","울산광역시 동구 전하동 662-3","울산광역시 동구 진성14길 62, 2층 (전하동)","44047","The나은agency","2026-04-02 15:15:35","I","2026-04-04 00:20:02","","420015.645632361","225848.283721822","개인","유료",
"40","유료직업소개소","11_50_02_P","3910000","2026391003514500003","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","경기도 평택시 진위면 청호리 1","경기도 평택시 진위면 엘지로 222","17709","주식회사 아승","2026-04-02 10:37:38","I","2026-04-04 00:20:02","","207804.154600343","402421.818743856","법인","유료",
"41","유료직업소개소","11_50_02_P","3910000","2026391041814500006","2026-04-02","","01","영업/정상","20","영업중","","","","","","","","경기도 평택시 평택동 97-30","경기도 평택시 원평2로28번길 19 (평택동)","17921","일자리천하 평택점","2026-04-02 13:40:32","I","2026-04-04 00:20:02","","207282.405776782","387589.039919263","개인","유료",
"42","유료직업소개소","11_50_02_P","3220000","2015322016314500037","2015-07-15","","01","영업/정상","20","영업중","","","","","02  69529944","","","서울특별시 강남구 역삼동 735-29","서울특별시 강남구 테헤란로16길 9, 4~5층 (역삼동)","06235","맨쉬컨설팅주식회사","2026-04-02 15:46:33","U","2026-04-04 02:40:00","","202924.728431526","444079.368714251","법인","유료",
"43","유료직업소개소","11_50_02_P","3220000","2017322016314500024","2017-04-19","","01","영업/정상","20","영업중","","","","","","","","서울특별시 강남구 삼성동 158-16 SEMA Tower","서울특별시 강남구 테헤란로 509, SEMA Tower 10층 (삼성동)","06169","(주)터닝포인트에이치알","2026-04-02 17:03:55","U","2026-04-04 02:40:00","","205074.832316057","445067.867476318","법인","유료",
"44","유료직업소개소","11_50_02_P","4050000","2023564001814500002","2023-07-28","","03","폐업","40","폐업","2026-04-02","","","","","","","경기도 용인시 수지구 풍덕천동 85-12","경기도 용인시 수지구 포은대로 464-1, 2층 (풍덕천동)","16834","가자인력공사","2026-04-02 17:34:49","U","2026-04-04 02:40:00","","208876.340445349","424558.097010568","개인","유료",
