"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","의료유사업종별명","직원수","자격증소유자수","보조직원수","시설관리자수","기타직원수","병상수","욕실면적","총면적",
"1","의료유사업","01_01_10_P","4490000","PHMB420034490042042400001","2003-02-18","","02","휴업","02","휴업","","2026-01-13","2026-04-09","","041-592-3368","","331-171","충청남도 천안시 서북구 성정1동 732번지 5호","충청남도 천안시 서북구 봉정로 125-1 (성정동)","","호두안마시술소","2026-01-15 10:56:16","U","2026-01-17 02:40:00","안마시술소","212535.238051957","368004.491033189","안마시술소","3","0","0","0","0","27","0","823.68",
"2","의료유사업","01_01_10_P","3470000","PHMB420183470022042400001","2018-08-24","","03","폐업","03","폐업","2026-01-13","","","","053-631-2020","","","대구광역시 달서구 송현동 1944-11","대구광역시 달서구 월배로 322, PK빌딩 5층 (송현동)","42824","성모지압안마원","2026-01-14 10:26:09","U","2026-01-17 02:40:00","안마원","339666.760549508","259330.61394443","안마원","1","0","0","0","0","0","0","105",
"3","의료유사업","01_01_10_P","3250000","PHMB420253250021042400001","2025-09-04","","03","폐업","03","폐업","2026-01-05","","","","051-254-0754","","","부산광역시 중구 남포동1가 21-3","부산광역시 중구 구덕로 11, 2층 (남포동1가)","48984","서약손안마원","2026-01-05 14:57:26","U","2026-01-07 02:40:00","안마원","385438.471411791","179503.378760591","안마원","0","0","0","0","0","0","0","65.64",
"4","의료유사업","01_01_10_P","5310000","PHMB420165310029042400001","2016-05-04","","03","폐업","03","폐업","2025-12-31","","","","","","","","경상남도 진주시 남강로 481, 1층 (신안동)","52694","백선생지압안마원","2026-01-02 11:16:20","U","2026-01-04 02:40:00","안마원","297627.869088362","187425.436567298","안마원","3","0","0","0","0","6","0","99",
"5","의료유사업","01_01_10_P","3940000","PHMB420083940139042400001","2008-03-04","","03","폐업","03","폐업","2026-01-09","2020-06-15","2021-06-30","","031-908-2861","","","경기도 고양시 일산동구 장항동 855 장항동이스턴시티 506,506-1,507,507-1,508호","경기도 고양시 일산동구 정발산로 38, 장항동이스턴시티 506,506-1,507,507-1,508호 (장항동)","10403","더원안마시술소","2026-01-12 18:10:54","U","2026-01-14 02:40:00","안마시술소","179913.323308018","461616.743761126","안마시술소","6","0","0","0","0","22","37.44","758.29",
"6","의료유사업","01_01_10_P","5250000","PHMB420215250079042400001","2021-03-22","","03","폐업","03","폐업","2026-01-08","","","","","","","경상북도 울진군 울진읍 읍내리 616-6","경상북도 울진군 울진읍 울진중앙로 208","36322","약손안마지압원","2026-01-08 18:01:14","U","2026-01-10 02:40:00","안마원","413678.909795813","391410.125329541","안마원","1","0","0","0","0","0","0","35.1",
"7","의료유사업","01_01_10_P","5700000","PHMB420195700008042400002","2019-02-22","","01","영업/정상","13","영업중","","","","","0318850177","","","경기도 여주시 하동 252-1 세종치과","경기도 여주시 우암로 10, 1층 (하동)","12623","여주경락지압안마원","2026-01-09 11:25:01","U","2026-01-11 02:40:00","안마원","256077.599228684","421965.675455322","안마원","1","0","0","0","0","1","0","59.76",
"8","의료유사업","01_01_10_P","4030000","PHMB420034030022042400001","2011-07-27","","01","영업/정상","13","영업중","","","","","031-426-8611","","437-081","경기도 의왕시 내손1동 741번지 1호 팬템프라자 6층","경기도 의왕시 계원대학로 25, 6층 (내손동, 팬템프라자)","16037","양지안마시술소","2026-01-05 14:50:43","U","2026-01-07 02:40:00","안마시술소","197662.731672985","430872.268815646","안마시술소","2","0","0","0","0","17","0","786.41",
"9","의료유사업","01_01_10_P","4030000","PHMB420164030022042400001","2016-10-20","","01","영업/정상","13","영업중","","","","","031-422-3507","","","","경기도 의왕시 포일세거리로 3, 4층 401호 (포일동, 파레사타워)","16004","내손안마원","2026-01-05 14:53:03","U","2026-01-07 02:40:00","안마원","198580.126918735","432652.796776601","안마원","1","0","0","0","0","4","0","78",
"10","의료유사업","01_01_10_P","4181000","PHMB420034180029042400001","2003-12-12","","01","영업/정상","13","영업중","","2012-03-30","2012-09-30","","033)244-1235","","200-941","강원특별자치도 춘천시 조양동 24번지 1호","강원특별자치도 춘천시 시청길 16-1 (조양동)","24352","중앙안마시술소","2026-01-15 17:06:12","U","2026-01-17 02:40:00","안마시술소","264126.999999641","486655.098310509","안마시술소","2","0","0","0","0","16","0","541.76",
"11","의료유사업","01_01_10_P","3270000","PHMB420243270022042400001","2024-10-22","","01","영업/정상","13","영업중","","","","","051-464-7535","","","부산광역시 동구 수정동 96-7","부산광역시 동구 중앙대로349번길 38, 3층 (수정동)","48791","진안마원","2026-01-07 14:41:42","U","2026-01-09 02:40:00","안마원","386355.598444789","182723.923801479","안마원","4","0","0","0","0","0","0","144.36",
"12","의료유사업","01_01_10_P","4671000","PHMB420144670076042400001","2014-12-15","","01","영업/정상","13","영업중","","","","","063-466-9980","","","전북특별자치도 군산시 나운동 805-1 동아26빌딩","전북특별자치도 군산시 대학로 342, 동아26빌딩 8층 810,811,812호 (나운동)","54129","제일경락안마원","2026-01-06 16:47:18","U","2026-01-09 02:40:00","안마원","172239.246123437","273735.099508382","안마원","3","0","0","0","0","0","0","198",
"13","의료유사업","01_01_10_P","3600000","PHMB420033600020042400001","2003-07-24","","01","영업/정상","13","영업중","","","","","062-383-7743","","","광주광역시 서구 치평동 1217-8","광주광역시 서구 상무중앙로78번길 5-2, 다산회관 6층 (치평동)","61949","스타안마시술소","2026-01-07 09:09:08","U","2026-01-09 02:40:00","안마시술소","186202.863313218","183895.809073158","안마시술소","2","0","0","0","0","10","0","358.89",
"14","의료유사업","01_01_10_P","3330000","PHMB420133330024042400005","2013-05-29","","01","영업/정상","13","영업중","","","","","051-703-7958","","","부산광역시 해운대구 반송동 40-1005","부산광역시 해운대구 윗반송로51번길 59-19 (반송동)","48007","반송큰시장지압원","2026-01-15 13:06:31","U","2026-01-17 02:40:00","안마원","396132.812951","194500.392283186","안마원","1","0","0","0","0","2","0","61.2",
"15","의료유사업","01_01_10_P","3940000","PHMB420203940139042400001","2020-02-24","","01","영업/정상","13","영업중","","2025-05-07","2025-11-06","","","","","경기도 고양시 일산동구 장항동 760번지 남정 씨티프라자 1","경기도 고양시 일산동구 무궁화로 18, 남정 씨티프라자 1 701호 일부, 706~708호호 (장항동)","10401","탑안마시술소","2026-01-12 13:52:51","U","2026-01-14 02:40:00","안마시술소","179364.558552121","462172.557723447","안마시술소","3","0","0","0","0","9","62.11","346.5",
"16","의료유사업","01_01_10_P","5180000","PHMB420265180020042400001","2026-01-08","","01","영업/정상","13","영업중","","","","","","","","경상북도 영덕군 영덕읍 덕곡리 212-1","경상북도 영덕군 영덕읍 덕곡2길 17, 1층","36433","건강한안마지압원","2026-01-14 10:39:48","I","2026-01-16 00:20:02","안마원","412524.844827226","326229.776703395","안마원","2","0","0","0","0","0","0","67.1",
"17","의료유사업","01_01_10_P","5360000","PHMB420255360021042400001","2025-12-29","","01","영업/정상","13","영업중","","","","","055-391-3375","","","경상남도 밀양시 하남읍 양동리 626-14","경상남도 밀양시 하남읍 수산중앙로 91, 3층","50460","수담안마원","2026-01-02 15:27:30","I","2026-01-04 00:20:12","안마원","355795.429877792","209726.622077164","안마원","1","0","0","0","0","2","0","130.24",
