"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","수리대상 의료기기의 유형","다른 겸업 여부","총규모","영업규모",
"1","의료기기수리업","01_02_02_P","3100000","PHMG320243100034047400002","2024-11-05","","01","영업/정상","13","영업중","","","","","","","","서울특별시 노원구 상계동 456-99 대도빌딩","서울특별시 노원구 한글비석로47길 28, 대도빌딩 지층 (상계동)","01679","사랑의줄잇기","2025-12-31 14:07:57","U","2026-01-03 02:40:00","","205820.246516586","462290.92149826","","","","",
"2","의료기기수리업","01_02_02_P","4060000","PHMG320064060023047400001","2006-06-14","","01","영업/정상","13","영업중","","","","","031-920-8908","","","경기도 파주시 신촌동 725번지 6호","경기도 파주시 신촌2로 7-15 (신촌동)","10880","(주)지앰알","2025-12-31 10:51:05","U","2026-01-03 02:40:00","","173086.039118292","469590.373454886","","","","",
"3","의료기기수리업","01_02_02_P","3190000","PHMG320223190033047400001","2025-01-24","","02","휴업","02","휴업","","2025-12-31","2027-12-31","","028246198","","","서울특별시 동작구 대방동 23-166","서울특별시 동작구 등용로12길 60, 다동 (대방동)","06932","지체장애인지원센터","2026-01-02 15:20:06","U","2026-01-04 02:40:00","","193979.084654703","445550.881628603","","","","",
"4","의료기기수리업","01_02_02_P","5670000","PHMG320255670554047400002","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경상남도 창원시 성산구 반지동 102-7","경상남도 창원시 성산구 반송로 28-1, 1층 (반지동)","51421","필스모빌리티","2026-01-05 11:29:55","I","2026-01-07 00:20:36","","351105.417714207","194932.667049316","","","","",
"5","의료기기수리업","01_02_02_P","4040000","PHMG320254040023047400006","2025-12-24","","01","영업/정상","13","영업중","","","","","","","","경기도 하남시 신장동 470-2","경기도 하남시 신장로76번길 70, 2층 (신장동)","12962","참디자인","2026-01-05 16:29:17","U","2026-01-07 02:40:00","","218747.930703203","448274.106546274","","","","",
"6","의료기기수리업","01_02_02_P","3210000","PHMG320203210034047400003","2020-08-26","","01","영업/정상","13","영업중","","","","","02-597-4900","","","서울특별시 서초구 서초동 1321-11 BNK디지털타워","서울특별시 서초구 서초대로 398, 12층 일부호 (서초동)","06619","마시모코리아 유한회사","2026-01-05 09:21:01","U","2026-01-07 02:40:00","","202152.435828986","443826.911881224","","","","",
"7","의료기기수리업","01_02_02_P","4010000","PHMG320254010281047400002","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","","경기도 시흥시 수인로3077번길 62-1, 다동 (안현동)","14937","디엠프리저","2026-01-06 10:01:39","I","2026-01-09 00:20:01","","183081.345664422","436009.039647573","","","","",
"8","의료기기수리업","01_02_02_P","5130000","PHMG320265130030047400001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 조영동 213-1","경상북도 경산시 둥지로10길 30-9, 2층 (조영동)","38515","(주)맑음히어링테크","2026-01-07 14:01:35","I","2026-01-09 00:20:01","","358239.927960204","261826.85495702","","","","",
"9","의료기기수리업","01_02_02_P","5130000","PHMG320265130030047400002","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","경상북도 경산시 하양읍 금락리 4-62","경상북도 경산시 하양읍 대경로 755, 상가동 1층 101호","38435","링크 바이크","2026-01-07 14:27:28","I","2026-01-09 00:20:01","","364425.975581652","269629.873440025","","","","",
"10","의료기기수리업","01_02_02_P","3830000","PHMG320253830263047400002","2025-12-31","","01","영업/정상","13","영업중","","","","","031-381-6103","","","경기도 안양시 동안구 관양동 1390-3","경기도 안양시 동안구 관평로327번길 29, 1층 104호 (관양동)","13936","밀알보장구수리센터","2026-01-07 13:12:23","I","2026-01-09 00:20:01","","196032.666997974","433720.138161794","","","","",
