"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업무구분명","상세업무구분명","권리주체일련번호","총직원수",
"1","동물병원","02_03_01_P","4050000","562000001020250004","2025-12-31","","01","영업/정상","0000","정상","","","","","","63.15","","경기도 용인시 처인구 마평동 907","경기도 용인시 처인구 경안천로 2 (마평동)","17154","미리내동물병원","2025-12-31 09:26:53","I","2026-01-03 00:20:02","","218677.25022253","414645.732954029","동물병원","","000","0",
"2","동물병원","02_03_01_P","4930000","493000001020250002","2025-12-31","","01","영업/정상","0000","정상","","","","","","79","","전라남도 해남군 계곡면 성진리 89-1 정다과","전라남도 해남군 계곡면 해남로 1443-1, 정다과","59018","하모니 동물병원","2025-12-31 16:15:13","I","2026-01-03 00:20:02","","168697.609661278","127527.849032907","동물병원","","000","0",
"3","동물병원","02_03_01_P","3470000","347000001020130001","2013-06-14","","01","영업/정상","0000","정상","","","","","053-563-7585","1249.54","","대구광역시 달서구 감삼동 140-32","대구광역시 달서구 달구벌대로 1580, VIP빌딩 1,2,3층 (감삼동)","42642","죽전동물메디컬센터","2025-12-31 09:15:18","U","2026-01-03 02:40:00","","339032.201973447","262260.208462735","동물병원","","000","0",
"4","동물병원","02_03_01_P","3510500","351000001020030001","2003-03-04","","01","영업/정상","0000","정상","","","","","032-864-0075","208.56","","인천광역시 미추홀구 주안동 1464-22","인천광역시 미추홀구 인하로 287, 2층 (주안동)","22227","24시 건국 본 동물병원","2025-12-31 09:33:08","U","2026-01-03 02:40:00","","171614.844164113","438502.570884745","동물병원","","000","0",
"5","동물병원","02_03_01_P","3100000","310000001020190001","2019-08-21","","01","영업/정상","0000","정상","","","","","02-931-1333","0","","서울특별시 노원구 상계동 763-5","서울특별시 노원구 동일로 1333 (상계동)","01767","브이아이피 동물의료센터","2025-12-31 16:15:27","U","2026-01-03 02:40:00","","205431.163482074","460607.724078245","동물병원","","000","0",
"6","동물병원","02_03_01_P","3250000","325000001019990002","1999-11-01","","03","폐업","0002","폐업","2025-12-30","","","","246-7551","92.38","","부산광역시 중구 남포동2가 36-0007 외 1필지(남포동4가 1-2번지)","부산광역시 중구 구덕로 30-1 (남포동2가)","48954","피닉스동물병원","2025-12-30 14:48:32","U","2026-01-03 02:40:00","","385264.539023624","179559.218819161","동물병원","","000","0",
"7","동물병원","02_03_01_P","4900000","490000001019910001","1991-04-29","","03","폐업","0002","폐업","2025-12-29","","","","061-372-3114","28","","전라남도 화순군 이양면 이양리 306-1","전라남도 화순군 이양면 이양로 30","58165","서종철동물병원","2025-12-30 16:59:21","U","2026-01-03 02:40:00","","198822.213120468","153740.194840816","동물병원","","000","0",
"8","동물병원","02_03_01_P","3370000","337000001020030007","2003-03-28","","03","폐업","0002","폐업","2025-12-31","","","","755-4765","0","","부산광역시 연제구 연산동 418-10","부산광역시 연제구 과정로 171-1 (연산동)","47558","현대동물병원","2025-12-31 13:24:38","U","2026-01-03 02:40:00","","391842.989343003","189546.372715739","동물병원","","000","0",
"9","동물병원","02_03_01_P","3740000","374000001020190003","2019-02-14","","01","영업/정상","0000","정상","","","","","031-895-5775","790","","경기도 수원시 팔달구 인계동 951-10","경기도 수원시 팔달구 인계로 91, 2,3층 (인계동)","16487","수원 스카이 동물메디컬센터","2025-12-31 10:11:31","U","2026-01-03 02:40:00","","202393.168110061","418513.706380998","동물병원","","000","0",
"10","동물병원","02_03_01_P","3470000","347000001020210002","2021-07-01","","01","영업/정상","0000","정상","","","","","053-721-7565","392.29","","대구광역시 달서구 감삼동 140-32","대구광역시 달서구 달구벌대로 1580, 3층 (감삼동)","42642","대경연합동물영상센터","2025-12-31 09:19:26","U","2026-01-03 02:40:00","","339032.201973447","262260.208462735","동물병원","","000","0",
"11","동물병원","02_03_01_P","3740000","374000001020200007","2020-10-15","","01","영업/정상","0000","정상","","","","","031-268-6575","402.04","","경기도 수원시 장안구 천천동 516 천천동 롯데시네마타워 104,113,115,116,117,118,202호","경기도 수원시 장안구 천천로 100, 천천동 롯데시네마타워 104,113,115,116,117,118,202호 (천천동)","16326","24시 당신의 동물의료센터","2025-12-31 09:13:41","U","2026-01-03 02:40:00","","198520.4175406","422075.156781295","동물병원","","000","0",
"12","동물병원","02_03_01_P","4040000","404000001020250002","2025-04-22","","01","영업/정상","0000","정상","","","","","031-8027-0223","","","경기도 하남시 망월동 1093 203호","경기도 하남시 미사강변동로 127, 경서타워 203호 (망월동)","12913","리연외과동물병원","2025-12-31 11:20:05","U","2026-01-03 02:40:00","","216809.580749603","451560.940535611","동물병원","","000","0",
