"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수","주사육업종",
"1","가축사육업","02_04_01_P","4930000","493000003320250042","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","전라남도 해남군 화산면 금풍리 *** 외 *필지(***, ***)","","","덕진축산3농장","2025-12-31 13:35:33","I","2026-01-03 00:20:02","","155410.632763824","113002.840183555","가축사육업","","2010","000","0","한우",
"2","가축사육업","02_04_01_P","4930000","493000003320250043","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","전라남도 해남군 옥천면 대산리 ***-*","","","대성목장","2025-12-31 13:39:44","I","2026-01-03 00:20:02","","170307.410193947","117371.879508491","가축사육업","","2011","000","0","한우",
"3","가축사육업","02_04_01_P","4291000","429100003320250010","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 정선군 정선읍 신월리 ***-*","","","학산농장","2025-12-31 09:03:29","I","2026-01-03 00:20:02","","","","가축사육업","","830","000","0","염소",
"4","가축사육업","02_04_01_P","4620000","462000003320250007","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","충청남도 태안군 안면읍 정당리 ***-* 외 *필지(***-**)","","","우호농장","2025-12-31 16:40:19","I","2026-01-03 00:20:02","","143465.449447648","338397.380056863","가축사육업","","845","000","0","한우",
"5","가축사육업","02_04_01_P","4570000","457000003320250037","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","충청남도 부여군 내산면 지티리 ***-*","","","부원농장","2025-12-31 19:03:53","I","2026-01-03 00:20:02","","176413.264302311","308635.679175024","가축사육업","","2385","000","0","염소",
"6","가축사육업","02_04_01_P","4181000","418100003320250016","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","강원특별자치도 춘천시 남산면 광판리 ****","","24466","우러니골농장","2025-12-31 13:35:35","I","2026-01-03 00:20:02","","259513.598716195","470325.190634947","가축사육업","","1058","000","0","염소",
"7","가축사육업","02_04_01_P","4550000","455000003320250005","2025-12-31","","01","영업/정상","0000","정상","","","","","","","","충청남도 금산군 추부면 마전리 ***-* 외 *필지(***-**)","","","으뜸농장","2025-12-31 15:09:27","I","2026-01-03 00:20:02","","241046.985430596","298939.864819995","가축사육업","","715","000","0","염소",
"8","가축사육업","02_04_01_P","4490000","449000003320250013","2025-12-30","","01","영업/정상","0000","정상","","","","","","","","충청남도 천안시 동남구 성남면 석곡리 **-**","","","신화농장","2025-12-30 10:28:22","I","2026-01-03 00:20:02","","220310.484792784","360160.657227462","가축사육업","","1691","000","0","육우",
"9","가축사육업","02_04_01_P","4890000","489000003320250020","2025-12-30","","01","영업/정상","0000","정상","","","","","","","","전라남도 보성군 득량면 송곡리 ****-**","","","차밭아래흑염소","2025-12-30 09:41:29","I","2026-01-03 00:20:02","","215338.986249028","141727.988600183","가축사육업","","1771","000","0","염소",
"10","가축사육업","02_04_01_P","4570000","457000003320140021","2014-01-29","","02","휴업","0001","휴업","","2026-01-01","2027-12-31","","","","323-941","충청남도 부여군 세도면 장산리 산 **","","","평화농장","2025-12-31 19:39:39","U","2026-01-03 02:40:00","","198489.524454001","296894.882355441","가축사육업","","1594","000","0","산양",
"11","가축사육업","02_04_01_P","4570000","457000003320160026","2016-05-02","","03","폐업","0002","폐업","2025-12-31","","","","","","323-923","충청남도 부여군 임천면 군사리 ***","","","백수농장","2025-12-31 18:28:33","U","2026-01-03 02:40:00","","189732.470898139","298768.070933207","가축사육업","","1717","000","0","사슴",
"12","가축사육업","02_04_01_P","4570000","457000003320170010","2017-03-06","","02","휴업","0001","휴업","","2024-06-10","2027-06-09","","","","","충청남도 부여군 충화면 팔충리 ***","","323-862","신다원농장","2025-12-31 19:44:04","U","2026-01-03 02:40:00","","184838.925926665","298673.171160003","가축사육업","","1750","000","0","염소",
"13","가축사육업","02_04_01_P","4500000","450000003320160108","2016-12-23","","03","폐업","0002","폐업","2025-12-30","","","","","","","충청남도 공주시 계룡면 향지리 산 **-*","","","상후목장","2025-12-30 09:00:41","U","2026-01-03 02:40:00","","210285.991069478","316384.293988328","가축사육업","","2942","000","0","한우",
"14","가축사육업","02_04_01_P","4570000","457000003320130049","2013-06-05","","03","폐업","0002","폐업","2025-12-31","","","","","","323-824","충청남도 부여군 은산면 은산리 ***","","","유정농장","2025-12-31 18:25:50","U","2026-01-03 02:40:00","","","","가축사육업","","1277","000","0","한우",
