"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","게임물배급업","03_05_01_P","3940000","CDFF2241122025000004","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 정발산동 ****-*","경기도 고양시 일산동구 경의로 ***-***, *층 (정발산동)","10406","스토리게임","2025-12-31 16:44:52","I","2026-01-03 00:20:02","","181013.448156691","463094.574220299","게임물배급업","유통관련업","0","","PC게임, 모바일게임","10","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","게임물배급업","03_05_01_P","4050000","CDFF2241122025000005","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 용인시 기흥구 구갈동 ***-* 골드프라자 *층 ***-D*호","경기도 용인시 기흥구 구갈로**번길 *, 골드프라자 *층 ***-D*호 (구갈동)","16972","둥지","2025-12-31 16:53:00","I","2026-01-03 00:20:02","","209846.133179956","419772.046513407","게임물배급업","유통관련업","0","","모바일 게임등","3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","게임물배급업","03_05_01_P","4090000","CDFF2241122019000001","2019-03-05","","03","폐업","03","폐업","2025-12-31","","","","","","","경기도 김포시 하성면 원산리 *** 나동","경기도 김포시 하성면 원통로**번길 **-**, 나동","10011","상호기획","2025-12-31 16:36:43","U","2026-01-03 02:40:00","","166504.815618578","468650.892799466","게임물배급업","유통관련업","","","온라인, 아케이드성인게임기, 뽑기게임기(크레이)","171","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","게임물배급업","03_05_01_P","3310000","CDFF2241122021000004","2021-10-05","","03","폐업","03","폐업","2025-12-30","","","","","","","부산광역시 남구 대연동 ****-** 박상원한의원","부산광역시 남구 진남로 **, 박상원한의원 (대연동)","48437","제이와이시스템","2025-12-30 11:01:30","U","2026-01-03 02:40:00","","390378.03402771","184122.566617852","게임물배급업","유통관련업","0","","소프트웨어 개발","33.45","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","게임물배급업","03_05_01_P","3170000","CDFF2241122011000012","2011-11-15","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 금천구 가산동 ***-** IT캐슬*차 ****호","서울특별시 금천구 가산디지털*로 ***, IT캐슬*차 **층 ****호 (가산동)","08506","아이콘큐브(주)","2025-12-31 13:52:48","U","2026-01-03 02:40:00","","189497.04098479","441728.27059771","게임물배급업","유통관련업","23","","온라인게임유통","114.79","20","3","","","","","","","","","","","","","","","","","","","","","","","준공업지역",
"6","게임물배급업","03_05_01_P","3220000","CDFF2241122020000046","2020-10-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 삼성동 ***-** 강남파이낸스플라자","서울특별시 강남구 테헤란로 ***, 강남파이낸스플라자 *층 (삼성동)","06160","테슬라코리아 유한회사","2025-12-31 10:58:37","U","2026-01-03 02:40:00","","202900.590297224","444136.728684457","게임물배급업","유통관련업","","","콘솔 게임","1064","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","게임물배급업","03_05_01_P","3220000","CDFF2241122017000046","2017-09-21","","01","영업/정상","13","영업중","","","","","0262079441","","","서울특별시 강남구 대치동 ***-** 노벨과개미","서울특별시 강남구 테헤란로**길 **, 노벨과개미 ****호 (대치동)","06194","(주)링크드","2025-12-30 12:52:38","U","2026-01-03 02:40:00","","204764.385241777","445031.663311392","게임물배급업","유통관련업","0","","소프트웨어, 게임물","105.28","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","게임물배급업","03_05_01_P","3670000","CDFF2241122017000003","2016-05-23","","01","영업/정상","13","영업중","","","","","","","","대전광역시 유성구 용계동 ***-* 힐스테이트 도안 *차","대전광역시 유성구 동서대로***번길 **-**, 힐스테이트 도안 *차 ***동 ****호 (용계동)","34218","(주)에이디엠아이","2026-01-02 16:39:01","U","2026-01-04 02:40:00","","229934.640252792","314591.773812606","게임물배급업","유통관련업","","","가상현실게임,체감형게임,모바일게임,교육용게임","165","5","","","","","","","","","","","","","","","","","","","","","","","","",
"9","게임물배급업","03_05_01_P","3040000","CDFF2241122026000001","2014-02-11","","01","영업/정상","13","영업중","","","","","02-6404-5210","","","서울특별시 광진구 구의동 ***-* 프라임프라자","서울특별시 광진구 광나루로**길 **, 프라임프라자 B***-***호 (구의동)","05119","(주)완탕탕게임즈","2026-01-07 09:03:32","I","2026-01-09 00:20:01","","208558.286631653","448353.905156369","게임물배급업","유통관련업","0","","게임물","207.9","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","게임물배급업","03_05_01_P","3160000","CDFF2241122026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 구로동 ***-** 오닉스 지식산업센터","서울특별시 구로구 디지털로**가길 **, 오닉스 지식산업센터 ***-**호 (구로동)","08375","(주)에이브게임즈)","2026-01-06 10:31:04","I","2026-01-09 00:20:01","","190405.2034425","442464.10959497","게임물배급업","유통관련업","0","","게임물","3.3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
