"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","일반테마파크업","03_07_09_P","3030000","CDFI5271002025000001","2025-12-30","","01","영업/정상","13","영업중","","","","","043-269-3650","","","서울특별시 성동구 행당동 378 4차 산업혁명 체험센터","서울특별시 성동구 살곶이길 327, 4차 산업혁명 체험센터 (행당동)","04765","성동구 무지개 눈썰매장","2025-12-30 13:12:36","I","2026-01-03 00:20:02","","203522.841547067","450217.518582281","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","미니기차1, 미니바이킹1, 미니에어바운스1","0","","","Y","Y","","","0","","","","0",
"2","일반테마파크업","03_07_09_P","3490000","CDFI5271002024000001","2024-04-05","","01","영업/정상","13","영업중","","","","","032-565-0918","","","인천광역시 중구 북성동1가 98-218","인천광역시 중구 월미로 222 (북성동1가)","22303","뽀로로&타요 콘텐츠 테마파크 빌딩 월미도점","2025-12-30 14:52:06","U","2026-01-03 02:40:00","","164480.882993462","441654.321883018","허가테마파크업","","일반상업지역","6","","","","","6","2","0","0","","","0","0","","0","0","","0","9899","안전성검사 대상 11종 15대, 확인검사 대상 3종 5대 (총 14종 20대)","0","","","","","","","0","","","","9899",
"3","일반테마파크업","03_07_09_P","3480000","CDFI5271002004000001","2004-05-04","","02","휴업","02","휴업","","2026-01-01","2026-12-31","","053)767-6300","","711-860","대구광역시 달성군 가창면 용계리 534-1","대구광역시 달성군 가창면 가창로 1003","711-860","허브랜드 주식회사","2025-12-31 15:03:05","U","2026-01-03 02:40:00","","346876.099777909","255998.649989061","허가테마파크업","테마파크업","자연녹지지역","","기타","","","","1","","","","","","","","","","","","","","9종 9대(안전성검사 대상 유기기구), 12종 12대(안전성검사 비대상 유기기구)","","Y","Y","Y","Y","","","","","","","",
"4","일반테마파크업","03_07_09_P","5420000","CDFI5271002005000001","2005-07-29","","02","휴업","02","휴업","","2026-01-01","2026-02-28","","","","","경상남도 고성군 회화면 봉동리 950-1","경상남도 고성군 회화면 당항만로 1116","52915","당항포랜드","2025-12-31 14:40:16","U","2026-01-03 02:40:00","","327691.533130196","174109.906774905","허가테마파크업","테마파크업","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","7","","","","","","","0","","","","0",
"5","일반테마파크업","03_07_09_P","4390000","CDFI5271002016000001","2016-04-29","","03","폐업","03","폐업","2025-12-31","","","","043-852-7721","","","충청북도 충주시 금릉동 533","충청북도 충주시 남한강로 30 (금릉동, 라바랜드)","27438","충주라바랜드","2025-12-31 18:04:09","U","2026-01-03 02:40:00","","280664.631540027","388079.500673959","허가테마파크업","","자연녹지지역","1","기타","","","근린생활시설","1","","","","","","","","","","","","","4128","안전성검사대상 : 8종, 안전성 비검사대상 : 3종","","Y","Y","Y","Y","","","","","","","4128",
"6","일반테마파크업","03_07_09_P","4181000","CDFI5271002023000001","2023-06-09","","01","영업/정상","13","영업중","","","","","033-245-6410","","","강원특별자치도 춘천시 서면 현암리 367-3 춘천애니메이션박물관","강원특별자치도 춘천시 서면 박사로 854, 춘천애니메이션박물관","24461","캠프마을","2026-01-02 09:45:34","U","2026-01-04 02:40:00","","","","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","9400","안전성검사대상 1종, 확인검사대상 2종","3","","","","","","","0","","","","9400",
"7","일반테마파크업","03_07_09_P","4910000","CDFI5271002014000001","2014-08-08","","02","휴업","02","휴업","","2025-09-01","2026-06-30","","061-862-2100","","","전라남도 장흥군 안양면 수문리 8","전라남도 장흥군 안양면 수문용곡로 270","59339","스파리조트안단테","2026-01-02 14:47:33","U","2026-01-04 02:40:00","","203842.244528978","126655.9147409","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","4대(바디슬라이드 2, 수중모험놀이 1, 워터에어바운스 1)","0","Y","Y","Y","Y","","","0","","","","0",
"8","일반테마파크업","03_07_09_P","3000000","CDFI5271002025000001","2025-11-28","","03","폐업","03","폐업","2026-01-02","","","","","","","서울특별시 종로구 세종로 81-3","서울특별시 종로구 세종대로 175 (세종로)","03172","오니트(주)[2025광화문마켓]","2026-01-02 11:30:05","U","2026-01-04 02:40:00","","197804.357783157","452216.539274871","허가테마파크업","","일반주거지역","0","기타","","","숙박시설","0","0","0","0","","","0","0","","0","0","","0","0","회전목마(24인승)","0","","","","","","","0","","","","0",
"9","일반테마파크업","03_07_09_P","3690000","CDFI5271002025000003","2025-12-22","","01","영업/정상","13","영업중","","","","","052-211-0127","","","울산광역시 중구 태화동 91-2 태화루","울산광역시 중구 태화로 300, 태화루 (태화동)","44452","태화루 스카이워크","2026-01-02 15:28:08","U","2026-01-04 02:40:00","","409160.100430121","230648.020907007","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","","","","0",
"10","일반테마파크업","03_07_09_P","3930000","CDFI5271002025000003","2025-12-05","","04","취소/말소/만료/정지/중지","35","직권말소","2026-01-05","","","","031-364-8399","","","경기도 안산시 단원구 고잔동 800","경기도 안산시 단원구 광덕대로 157 (고잔동)","15471","(주)선세이브","2026-01-04 10:22:12","U","2026-01-06 02:40:00","","184864.171246158","423355.473255446","허가테마파크업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","회전목마 1대(직경6m)","0","Y","Y","Y","Y","","","0","","","","0",
