"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","비디오물배급업","03_10_02_P","5690000","CDFF1241112025000001","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","세종특별자치시 보람동 *** 호려울마을*단지","세종특별자치시 남세종로 ***, ***동 ****호 (보람동, 호려울마을*단지)","30150","훨훨나비","2025-12-30 09:16:01","I","2026-01-03 00:20:02","","225524.027252475","330377.196051815","비디오물배급업","","0","","영상제작물","59","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","비디오물배급업","03_10_02_P","3150000","CDFF1241112021000002","2021-07-23","","03","폐업","03","폐업","2025-12-31","","","","02-3152-8600","","","서울특별시 강서구 등촌동 ***-* ****호","서울특별시 강서구 화곡로**길 **, ****호 (등촌동)","07548","주식회사 윤앤컴퍼니","2025-12-31 15:03:12","U","2026-01-03 02:40:00","","187142.520159168","450809.366186016","비디오물배급업","","0","","영상물","115.18","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"3","비디오물배급업","03_10_02_P","4830000","CDFF1241112023000001","2023-05-30","","03","폐업","03","폐업","2025-12-29","","","","","","","전라남도 나주시 빛가람동 ***-*","전라남도 나주시 문화로 **, 토담휴러스센트럴타워 F***호 (빛가람동)","58327","스토리몽","2026-01-02 18:07:53","U","2026-01-04 02:40:00","","179289.395797636","167925.211250687","비디오물배급업","","0","","영화,드라마,웹드라마","41.79","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","비디오물배급업","03_10_02_P","4830000","CDFF1241112021000001","2017-03-24","","03","폐업","03","폐업","2025-12-29","","","","","","","전라남도 나주시 빛가람동 ***-*","전라남도 나주시 문화로 **, 토담휴러스센트럴타워 F***호 (빛가람동)","58327","주식회사 필름몽","2026-01-02 18:08:27","U","2026-01-04 02:40:00","","179289.395797636","167925.211250687","비디오물배급업","","3","기타","비디오물","79.33","2","1","다가구용 주택(공동주택적용)","0","0","0","0","","","","","","","","","","","","0","","","","","","일반주거지역",
"5","비디오물배급업","03_10_02_P","3220000","CDFF1241112026000001","2026-01-07","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 논현동 ***-** 한솔빌딩 ****호","서울특별시 강남구 언주로 ***, 한솔빌딩 ****호 (논현동)","06105","스튜디오 모우 주식회사","2026-01-07 15:07:20","I","2026-01-09 00:20:01","","203022.518802056","445710.83700012","비디오물배급업","","0","","비디오 영상물","3.3","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"6","비디오물배급업","03_10_02_P","3220000","CDFF1241112023000009","2023-02-20","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 ***-** *층","서울특별시 강남구 논현로 ***, 케이*** *층 (역삼동)","06247","(주)바이포엠스튜디오","2026-01-09 12:54:41","U","2026-01-11 02:40:00","","203346.599638902","443798.212844336","비디오물배급업","","0","","광고,홍보,영상물","1022.83","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","비디오물배급업","03_10_02_P","3220000","CDFF1241112026000002","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 ***-**","서울특별시 강남구 선릉로 ***, *층 ****호 (역삼동)","06149","주식회사 제이오글로벌","2026-01-12 19:57:21","I","2026-01-14 00:20:02","","204105.787998651","444937.438374587","비디오물배급업","","0","","비디오물","4","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","비디오물배급업","03_10_02_P","3220000","CDFF1241112026000003","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강남구 역삼동 ***-* 케이앤엘하우스","서울특별시 강남구 논현로***길 **, ***호 (역삼동, 케이앤엘하우스)","06136","소소하게위대하게","2026-01-12 20:11:27","I","2026-01-14 00:20:02","","203128.003057189","444774.428794682","비디오물배급업","","0","","브랜드 캠페인 영상, 제품 기능 소개 영상, 교육용 기술 다큐멘터리 등","16.33","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","비디오물배급업","03_10_02_P","3030000","CDFF1241112026000001","2026-01-12","","01","영업/정상","13","영업중","","","","","","","","서울특별시 성동구 성수동*가 ***-*** 더 스페이스 타워","서울특별시 성동구 광나루로 ***, 더 스페이스 타워 B***호 (성수동*가)","04788","주식회사 디스트랩","2026-01-12 15:48:17","I","2026-01-14 00:20:02","","204034.146529831","449893.531645905","비디오물배급업","","0","","비디오물 배급","77.36","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","비디오물배급업","03_10_02_P","3660000","CDFF1241112024000002","2024-12-11","","03","폐업","03","폐업","2026-01-14","","","","","","","대전광역시 서구 월평동 ***-* 진달래아파트 ***동 ***호","대전광역시 서구 월평동로 **, ***동 ***호 (월평동, 진달래아파트)","35217","영화제작소 정감","2026-01-14 18:04:16","U","2026-01-16 02:40:00","","232857.332850423","317638.136491133","비디오물배급업","","0","","영화배급업","84.57","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"11","비디오물배급업","03_10_02_P","3040000","CDFF1241112019000003","2019-07-15","","03","폐업","03","폐업","2026-01-14","","","","","","","서울특별시 광진구 광장동 *** 현대아파트 ***동 ****호","서울특별시 광진구 아차산로**길 **, ***동 ****호 (광장동, 현대아파트)","04984","디에이치 컴퍼니","2026-01-15 06:10:06","U","2026-01-17 02:40:00","","208568.939233791","448921.321944575","비디오물배급업","","","","비디오물","81.15","","","","","","","","","","","","","","","","","","","","","","","","","",
