"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","외국인관광도시민박업","03_11_04_P","3780000","CDFI2262212025000012","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 성남시 수정구 복정동 708-2","경기도 성남시 수정구 복정로16번길 16-1, 3층 (복정동)","13119","헐크네","2025-12-31 09:54:30","I","2026-01-03 00:20:02","","211361.801517307","439138.793145324","외국인관광 도시민박업","","일반주거지역","4","학교정화(상대)","","","다가구용 주택(공동주택적용)","3","1","0","0","","","0","0","","0","0","","0","93","","0","","","","","","","50000000","","","","93",
"2","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000012","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 102동 402호 (면목동, ES팰리스)","02239","에피소드 23","2025-12-31 11:53:22","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"3","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000013","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 102동 504호 (면목동, ES팰리스)","02239","Haven in Seoul","2025-12-31 11:55:51","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"4","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000014","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 102동 801호 (면목동, ES팰리스)","02239","NEST9","2025-12-31 11:56:37","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"5","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000015","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 101동 404호 (면목동, ES팰리스)","02239","사가하우스","2025-12-31 11:57:08","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"6","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000016","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 101동 504호 (면목동, ES팰리스)","02239","Blanc suite(블랑스위트)","2025-12-31 11:57:39","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"7","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000017","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 101동 601호 (면목동, ES팰리스)","02239","SHIM STAY","2025-12-31 11:58:39","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"8","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000018","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 101동 603호 (면목동, ES팰리스)","02239","끌림스테이","2025-12-31 11:59:06","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"9","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000019","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 102동 602호 (면목동, ES팰리스)","02239","고요리 스테이(Goyori Stay)","2025-12-31 11:59:35","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
"10","외국인관광도시민박업","03_11_04_P","3060000","CDFI2262212025000020","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","서울특별시 중랑구 면목동 633-3 ES팰리스","서울특별시 중랑구 사가정로52길 37, 101동 501호 (면목동, ES팰리스)","02239","빌라 드 사가","2025-12-31 12:00:01","I","2026-01-03 00:20:02","","207580.954284015","453012.095248756","외국인관광 도시민박업","","준주거지역","8","기타","","","다세대주택","8","0","0","0","","","0","0","","0","0","","0","25.81","","0","","","","","","","0","","","","26",
