"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내여행업","03_12_01_P","6510000","CDFI2260012016000004","2016-02-11","","01","영업/정상","13","영업중","","","","","064-743-7290","","","제주특별자치도 제주시 삼도이동 1112-22","제주특별자치도 제주시 무근성7길 37, 3층 (삼도이동)","63166","주식회사 여행가자","2025-12-31 16:32:54","U","2026-01-03 02:40:00","","150958.774547276","-128.742647305173","국내여행업","","상업지역","0","기타","","제주특별자치도관광협회","","2","0","0","0","","","0","0","","0","0","","0","58","","0","","","","","","","0","20250626","20260626","","58","",
"2","국내여행업","03_12_01_P","3990000","CDFI2260012024000003","2020-01-13","","01","영업/정상","13","영업중","","","","","02-935-1573","","","경기도 남양주시 별내동 974 1113-호","경기도 남양주시 순화궁로 282, 1113-19호 (별내동)","12106","(주)더하나투어","2025-12-31 14:27:15","U","2026-01-03 02:40:00","","211342.232326495","461123.873998311","국내여행업","","","4","","","서울보증보험","근린생활시설","3","1","0","0","","","0","0","","0","0","","0","55.2","","0","","","","","","","15000000","20260120","20270119","","55","",
"3","국내여행업","03_12_01_P","3150000","CDFI2260012019000017","2019-12-12","","03","폐업","03","폐업","2025-12-31","","","","070-4045-7486","","","서울특별시 강서구 마곡동 757 두산더랜드파크 OA동 619호","서울특별시 강서구 마곡중앙로 161-8, 두산더랜드파크 OA동 619호 (마곡동)","07788","씨앤엠플러스(주)","2025-12-31 15:02:59","U","2026-01-03 02:40:00","","184655.264279055","451864.298152252","국내여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","20000000","20251219","20261218","","0","",
"4","국내여행업","03_12_01_P","3740000","CDFI2260012025000005","2025-12-26","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 장안구 송죽동 506-8 신성빌딩","경기도 수원시 장안구 송원로 63, 신성빌딩 19호 (송죽동)","16305","다니엘투어","2025-12-31 14:10:59","U","2026-01-03 02:40:00","","200672.665725599","422087.447900774","국내여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","15000000","20251230","20261229","","0","",
"5","국내여행업","03_12_01_P","5710000","CDFI2260012024000001","2024-03-07","","03","폐업","03","폐업","2025-12-23","","","","043-295-2201","","","충청북도 청주시 서원구 미평동 326-5 충북리무진","충청북도 청주시 서원구 2순환로 1602, 충북리무진 (미평동)","28621","대영투어 주식회사","2025-12-31 15:34:49","U","2026-01-03 02:40:00","","240838.075496418","344629.549104239","국내여행업","","","1","","","","","1","0","0","0","","","0","0","","0","0","","0","221.14","","0","","","","","","","150000000","20240425","20250425","","221","",
"6","국내여행업","03_12_01_P","5530000","CDFI2260012018000005","2018-09-04","","03","폐업","03","폐업","2022-12-09","","","","031 352 7167","","","경기도 화성시 우정읍 조암리 348","경기도 화성시 우정읍 3.1만세로 29, 3층","18567","(주)고구려여행사","2025-12-31 14:45:52","U","2026-01-03 02:40:00","","183680.139088429","397850.64988463","국내여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","18000000","20190906","20200905","","0","",
"7","국내여행업","03_12_01_P","3150000","CDFI2260012009000005","2005-12-26","","03","폐업","03","폐업","2025-12-31","","","","","","157-842","서울특별시 강서구 등촌동 656-54 베스틴빌딩 3층 302호","서울특별시 강서구 공항대로 411  (등촌동,베스틴빌딩 3층 302호)","","(주)나무나루","2025-12-31 10:41:17","U","2026-01-03 02:40:00","","186988.441947115","450457.806553468","국내여행업","관광사업","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20091101","20101031","","0","",
"8","국내여행업","03_12_01_P","3170000","CDFI2260012025000002","2024-02-26","","03","폐업","03","폐업","2025-12-31","","","","02-303-6010","","","서울특별시 금천구 시흥동 266-2875 금천구 공동체경제통합지원센터","서울특별시 금천구 탑골로8길 23, 금천구 공동체경제통합지원센터 401호 (시흥동)","08656","주식회사 말하는사람들","2025-12-31 16:55:26","U","2026-01-03 02:40:00","","192385.225875306","438756.598068106","국내여행업","","","0","","","서울보증보험(2천만원)","","0","0","0","0","","","0","0","","0","0","","0","38.21","","0","","","","","","","28450000","20250301","20260228","","38","",
"9","국내여행업","03_12_01_P","3860000","CDFI2260012018000012","2018-11-21","","01","영업/정상","13","영업중","","","","","032-344-9100","","","경기도 부천시 원미구 상동 413 상동스카이뷰자이","경기도 부천시 원미구 부일로 203, 215호 (상동, 상동스카이뷰자이)","14598","현대관광개발","2025-12-31 11:06:52","U","2026-01-03 02:40:00","","178036.840978959","443022.427663444","국내여행업","","상업지역","0","","","서울보증보험(주)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20251121","20261120","","0","",
"10","국내여행업","03_12_01_P","4181000","CDFI2260012026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","033-255-0421","","","강원특별자치도 춘천시 석사동 706-7","강원특별자치도 춘천시 벌말길47번길 15 (석사동)","24384","주식회사 강원숲길치유센터","2026-01-02 14:02:31","I","2026-01-04 00:20:12","","265088.470148917","484428.053054162","국내여행업","","","0","","","","사무실","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","7500000","","","","0","",
"11","국내여행업","03_12_01_P","3000000","CDFI2260012017000017","2017-11-27","","03","폐업","03","폐업","2021-03-23","","","","","","","서울특별시 종로구 청진동 70 그랑서울 타워1동 7호","서울특별시 종로구 종로 33, 타워1동 7층 (청진동)","03159","(주)마음담다","2026-01-02 14:38:51","U","2026-01-04 02:40:00","","198286.311784052","452091.444332546","국내여행업","","","0","","","서울보증보험(20,000,000)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20191001","20200930","","0","",
"12","국내여행업","03_12_01_P","3000000","CDFI2260011999000015","1999-06-10","","03","폐업","03","폐업","2021-03-23","","","","773-3118","","","서울특별시 종로구 내수동 75 용비어천가 1101호","서울특별시 종로구 새문안로3길 36, 1101호 (내수동, 용비어천가)","03173","금강산관광(주)","2026-01-02 14:41:22","U","2026-01-04 02:40:00","","197567.747824202","452347.973860449","국내여행업","관광사업","","0","","","서울보증보험(20,000,000)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20190922","20200921","","0","",
"13","국내여행업","03_12_01_P","3000000","CDFI2260012017000002","2012-11-20","","03","폐업","03","폐업","2021-03-23","","","","02-723-1780","","","서울특별시 종로구 당주동 160 304호","서울특별시 종로구 새문안로5길 13, 304호 (당주동, 변호사회관)","03182","(주)이모든여행","2026-01-02 14:39:22","U","2026-01-04 02:40:00","","197673.919714838","452123.434528869","국내여행업","","","18","","","서울보증보험(40,000,000)","사무실","17","1","0","0","","","0","0","","0","0","","0","92.4","","0","","","","","","","30000000","20240101","20241231","","92","",
"14","국내여행업","03_12_01_P","3000000","CDFI2260012014000007","2009-07-01","","03","폐업","03","폐업","2021-03-23","","","","723-7878","","110-890","서울특별시 종로구 인의동 48-2 효성주얼리시티 제이비 1315~ 1318호","서울특별시 종로구 종로 183, 지하1층 제이비 1315~1318호 (인의동, 효성주얼리시티)","03130","(주)SK위드여행사","2026-01-02 14:39:50","U","2026-01-04 02:40:00","","199812.609633255","452132.648343993","국내여행업","","","0","","","서울보증보험(20,000,000)","","0","0","0","0","","","0","0","","0","0","","0","49.83","","0","","","","","","","50000000","20190820","20200819","","50","",
"15","국내여행업","03_12_01_P","3000000","CDFI2260012004000011","2004-03-04","","03","폐업","03","폐업","2021-03-23","","","","723-2343","","110-999","서울특별시 종로구 신문로1가 163 광화문오피시아 2105호","서울특별시 종로구 새문안로 92, 2105호 (신문로1가, 광화문오피시아)","03186","(주)투어리아","2026-01-02 14:40:51","U","2026-01-04 02:40:00","","197713.264843734","451938.037703258","국내여행업","관광사업","","0","","","서울보증보험(20,000,000)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","20191014","20201013","","0","",
"16","국내여행업","03_12_01_P","3000000","CDFI2260012006000018","2006-05-29","","03","폐업","03","폐업","2021-03-23","","","","02-2277-5155","","","서울특별시 종로구 신교동 59 602호","서울특별시 종로구 필운대로 116, 신우빌딩 602호 (신교동)","03035","(주)여행자클럽","2026-01-02 14:40:20","U","2026-01-04 02:40:00","","197282.600883573","453488.220835563","국내여행업","관광사업","","0","","","관광공제회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20221213","20231213","","0","",
"17","국내여행업","03_12_01_P","6510000","CDFI2260012003100029","2003-01-14","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 일도이동 168-24","제주특별자치도 제주시 신산로 75, 2층 (일도이동)","63271","굿데이제주여행사","2026-01-02 13:54:48","U","2026-01-04 02:40:00","","156682.578862104","1293.15844457802","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251207","20261206","","0","",
"18","국내여행업","03_12_01_P","6510000","CDFI2260012018000002","2018-01-10","","01","영업/정상","13","영업중","","","","","064-805-3393","","","제주특별자치도 제주시 삼도이동 1105 삼도파크빌","제주특별자치도 제주시 무근성7길 27, 202호 (삼도이동, 삼도파크빌)","63166","주식회사 버틀러투어","2026-01-02 14:05:24","U","2026-01-04 02:40:00","","155409.173946061","2174.41658318908","국내여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260110","20270109","","0","",
"19","국내여행업","03_12_01_P","6510000","CDFI2260012017000002","2017-01-16","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 일도이동 1046-11","제주특별자치도 제주시 삼성로 39 (일도이동)","63269","골든여행사","2026-01-02 13:53:37","U","2026-01-04 02:40:00","","156239.624581995","1238.1485126503","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20260115","20270115","","0","",
"20","국내여행업","03_12_01_P","5090000","CDFI2260012025000002","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","경상북도 영주시 가흥동 1596","경상북도 영주시 대학로284번길 18-7, 301호 (가흥동)","36136","성호관광여행사","2026-01-02 14:10:45","U","2026-01-04 02:40:00","","343316.210246183","369944.010231205","국내여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251230","20261229","","0","",
"21","국내여행업","03_12_01_P","6510000","CDFI2260012025000028","2023-05-25","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 용담이동 940-12 1층","제주특별자치도 제주시 용해로 49, 1층 (용담이동)","63158","스위트메이 주식회사","2026-01-02 14:00:03","U","2026-01-04 02:40:00","","153746.872318653","1934.29714313994","국내여행업","","일반상업지역","0","기타","","서울보증보험","사무실","0","0","0","0","","","0","0","","0","0","","0","20.66","","0","","","","","","","50000000","20250525","20260524","","21","",
"22","국내여행업","03_12_01_P","3000000","CDFI2260012020000011","2020-06-19","","03","폐업","03","폐업","2021-03-23","","","","","","","서울특별시 종로구 옥인동 108","서울특별시 종로구 필운대로 53-30, 2층 (옥인동)","03034","욜로고","2026-01-02 14:37:50","U","2026-01-04 02:40:00","","197100.758115245","453166.422580396","국내여행업","","","0","","","서울보증보험(20,000,000)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","3629393","20200713","20210607","","0","",
"23","국내여행업","03_12_01_P","6510000","CDFI2260012022000046","2022-12-09","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 애월읍 광령리 44 드림캐슬 102동 101호","제주특별자치도 제주시 애월읍 중산간서로 6703-10, 102동 101호 (드림캐슬)","63060","지금 제주","2026-01-02 14:03:53","U","2026-01-04 02:40:00","","148321.98160436","-3705.76419746253","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251230","20261230","","0","",
"24","국내여행업","03_12_01_P","6510000","CDFI2260012022000048","2022-12-30","","01","영업/정상","13","영업중","","","","","","","","제주특별자치도 제주시 연동 1374 진현빌딩","제주특별자치도 제주시 연북로 92, 진현빌딩 2층 (연동)","63139","제주원데이투어","2026-01-02 14:02:45","U","2026-01-04 02:40:00","","152629.93245544","-1539.38129512554","국내여행업","","","0","","","제주특별자치도관광협회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","54449076","20260103","20270103","","0","",
"25","국내여행업","03_12_01_P","4020000","CDFI2260012007000003","2007-05-15","","03","폐업","03","폐업","2025-12-31","","","","","","435-841","경기도 군포시 산본동 218-6","경기도 군포시 산본천로179번길 14 (산본동)","15806","히트투어","2026-01-02 13:43:37","U","2026-01-04 02:40:00","","194419.296746814","429796.296327395","국내여행업","관광사업","","0","","","서울보증보험주식회사","","0","0","0","0","Hit tour","Tourism business","0","0","","0","0","","0","0","","0","","","","","","","50000000","20231119","20241118","","0","",
"26","국내여행업","03_12_01_P","3740000","CDFI2260012021000001","2018-01-31","","03","폐업","03","폐업","2026-01-02","","","","","","","경기도 수원시 영통구 하동 1016 광교 효성해링턴 타워","경기도 수원시 영통구 광교중앙로 170, 광교 효성해링턴 타워 A동 17층 1707호 (하동)","16514","큐패스코리아 주식회사","2026-01-02 13:11:08","U","2026-01-04 02:40:00","","205311.283256449","420682.801161761","국내여행업","","","0","","","서울보증보험(3천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20200207","20210206","","0","",
"27","국내여행업","03_12_01_P","5600000","CDFI2260012002000001","2002-03-12","","01","영업/정상","13","영업중","","","","","031-536-4150","","487-915","경기도 포천시 신북면 기지리 884","경기도 포천시 신북면 호국로 2044","11139","(주)유원관광","2026-01-05 11:41:49","U","2026-01-07 02:40:00","","219816.470029717","492169.908034536","국내여행업","관광사업","","3","","","서울보증보험","근린생활시설","3","0","0","0","Co., Ltd. Yu-won  Tour","Domestic tour agency","0","0","","0","0","","0","33","","0","","","","","","","150000000","20250726","20260726","","33","",
