"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모","사업자등록번호",
"1","국내외여행업","03_12_02_P","4940000","CDFI2260022025000001","2025-12-30","","01","영업/정상","13","영업중","","","","","","","","전라남도 영암군 영암읍 동무리 126-1","전라남도 영암군 영암읍 중앙로 42-2, 2층","58416","코끼리여행사 주식회사","2025-12-31 09:44:54","I","2026-01-03 00:20:02","","172319.471951091","144643.94080197","국내외여행업","","일반주거지역","0","","","","","0","0","0","0","Kokiri Travel Agency Inc.","Domestic and International Travel Agency","0","0","","0","0","","0","0","","0","","","","","","","100000000","","","","0","",
"2","국내외여행업","03_12_02_P","5530000","CDFI2260022016000009","2016-09-26","","01","영업/정상","13","영업중","","","","","","","","경기도 화성시 석우동 33-2","경기도 화성시 큰재봉길 23-4, 405호 (석우동)","18450","주식회사 월드투어가이드","2025-12-31 14:47:40","I","2026-01-03 00:20:02","","207007.754592559","412925.960287277","국내외여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20241005","20251004","","0","",
"3","국내외여행업","03_12_02_P","3250000","CDFI2260022025000005","2024-12-16","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 중앙동4가 37-16","부산광역시 중구 중앙대로81번길 9, 1110호 (중앙동4가)","48930","단단투어","2025-12-31 16:00:04","I","2026-01-03 00:20:02","","385473.576410347","180297.978228543","국내외여행업","","","0","","","서울보증보험","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20241224","20251223","","0","",
"4","국내외여행업","03_12_02_P","5530000","CDFI2260022016000008","2016-09-26","","01","영업/정상","13","영업중","","","","","070-7847-5737","","","경기도 화성시 영천동 산 24-1","경기도 화성시 동탄대로 636-3, 메가비즈C동 1106호 (영천동)","18467","주식회사 월드투어가이드","2025-12-31 14:24:16","D","2026-01-03 02:30:00","","208773.208500488","412073.497774566","국내외여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20251005","20261004","","0","",
"5","국내외여행업","03_12_02_P","3820000","CDFI2260022023000002","2023-04-21","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 금오동 475-1 홈플러스 의정부점 2층","경기도 의정부시 청사로 38, 홈플러스 의정부점 2층 (금오동)","11757","투어리즘","2025-12-31 10:56:00","U","2026-01-03 02:40:00","","206192.090833323","472186.18249487","국내외여행업","","","0","","","서울보증(30,000,000)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","30000000","20260101","20261231","","0","",
"6","국내외여행업","03_12_02_P","4540000","CDFI2260022023000002","2023-05-19","","01","영업/정상","13","영업중","","","","","","","","충청남도 논산시 내동 272-17","충청남도 논산시 시민로258번길 8, 2층 (내동)","32983","(주) 한반도 여행사","2026-01-01 16:33:45","U","2026-01-03 02:40:00","","208598.286640147","298799.449599936","국내외여행업","","","0","","","","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","150000000","","","","0","",
"7","국내외여행업","03_12_02_P","3290000","CDFI2260022023000007","2023-04-13","","01","영업/정상","13","영업중","","","","","051-243-7777","","","부산광역시 부산진구 양정동 128-2","부산광역시 부산진구 중앙대로 975, 2층 (양정동)","47209","신세계여행사","2025-12-31 09:16:08","U","2026-01-03 02:40:00","","388845.413746893","188341.318569577","국내외여행업","","","0","","","한국관광협회중앙회","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","38943204","20251230","20261230","","0","",
"8","국내외여행업","03_12_02_P","3740000","CDFI2260022013000018","2013-12-20","","01","영업/정상","13","영업중","","","","","0312040701","","443-814","경기도 수원시 영통구 영통동 994-2 영통홈플러스 5층","경기도 수원시 영통구 봉영로 1576, 5층 (영통동, 영통홈플러스)","16704","레몬투어","2025-12-31 09:14:31","U","2026-01-03 02:40:00","","206365.525651714","416652.30156114","국내외여행업","","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251220","20261219","","0","",
"9","국내외여행업","03_12_02_P","3220000","CDFI2260022025000022","2025-12-26","","01","영업/정상","13","영업중","","","","","02-562-2387","","","서울특별시 강남구 역삼동 828-10 올림피아센타","서울특별시 강남구 논현로79길 72, 올림피아센타 916호 (역삼동)","06239","주식회사 휴식더하기","2025-12-31 13:25:05","U","2026-01-03 02:40:00","","202849.232289268","443764.881624428","국내외여행업","","","0","","","관광공제회(3천만원)","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","50000000","20251230","20261230","","0","",
"10","국내외여행업","03_12_02_P","4020000","CDFI2260022007000007","2007-05-15","","01","영업/정상","13","영업중","","","","","","","435-841","경기도 군포시 산본동 218-6","경기도 군포시 산본천로179번길 14 (산본동)","15806","히트투어","2025-12-31 15:43:49","U","2026-01-03 02:40:00","","194419.296746814","429796.296327395","국내외여행업","관광사업","","0","","","서울보증보험주식회사","","0","0","0","0","","","0","0","","0","0","","0","0","","0","","","","","","","0","20251119","20261118","","0","",
