"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","인쇄사","04_16_01_P","4060000","CDFG1252002025000038","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 연다산동 ***-*","경기도 파주시 소라지로 ***-** (연다산동)","10863","디오 프린팅","2025-12-31 11:17:14","I","2026-01-03 00:20:02","","173580.175614058","470798.661108138","인쇄사","출판인쇄업","0","","","33","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"2","인쇄사","04_16_01_P","4860000","CDFG1252002025000001","2025-12-31","","01","영업/정상","13","영업중","","","","","0613624040","","","전라남도 곡성군 겸면 평장리 **-*","전라남도 곡성군 겸면 천변로 ***, 곡성옥외광고사업협동조합 *층","57516","곡성옥외광고사업협동조합","2025-12-31 11:39:25","I","2026-01-03 00:20:02","","213147.809987522","197316.890447339","인쇄사","출판인쇄업","2","기타","","165.55","2","0","사무실","0","0","0","0","","","","","","","","","","","","0","","","","","","근린상업지역",
"3","인쇄사","04_16_01_P","3940000","CDFG1252002025000016","2022-05-30","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산동구 장항동 ***-**","경기도 고양시 일산동구 장항로 *** (장항동)","10432","(주)세원피택","2025-12-31 11:29:23","I","2026-01-03 00:20:02","","180577.106455328","459357.217739124","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"4","인쇄사","04_16_01_P","3940000","CDFG1252002025000017","2025-12-31","","01","영업/정상","13","영업중","","","","","02-703-2716","","","경기도 고양시 덕양구 동산동 ***","경기도 고양시 덕양구 동축로 **, 현대프리미어캠퍼스 B동 A***호 (동산동)","10594","템즈(TEMZZ)","2025-12-31 17:11:21","I","2026-01-03 00:20:02","","192051.385343101","460456.083031534","인쇄사","출판인쇄업","0","","","94.46","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"5","인쇄사","04_16_01_P","3130000","CDFG1252002020000002","2020-02-07","","03","폐업","03","폐업","2025-12-31","","","","","","","서울특별시 마포구 성산동 ***-*","서울특별시 마포구 월드컵북로 **, ***호 (성산동)","03978","나루","2025-12-31 13:30:36","U","2026-01-03 02:40:00","","192513.961688702","450966.302367257","인쇄사","출판인쇄업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","인쇄사","04_16_01_P","4020000","CDFG1252002022000001","2022-01-03","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","","경기도 군포시 당정동 ***-**","경기도 군포시 당정로 **-*, *층 (당정동)","15847","근목산업","2025-12-31 17:57:40","U","2026-01-03 02:40:00","","195835.333158045","427931.218119582","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"7","인쇄사","04_16_01_P","4020000","CDFG1252001987000001","1987-12-30","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","031-457-3100","","435-825","경기도 군포시 금정동 ***-** 선일빌라 지층 *호","경기도 군포시 금정로**번길 **, 지층 *호 (금정동, 선일빌라 )","435-825","희문전산폼(주)","2025-12-31 17:52:38","U","2026-01-03 02:40:00","","194798.497857557","429543.310548512","인쇄사","출판인쇄업","0","","","33","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"8","인쇄사","04_16_01_P","4020000","CDFG1252001993000002","1993-02-11","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","000000","","435-825","경기도 군포시 금정동 **-*","경기도 군포시 금정로 ** (금정동)","435-825","으뜸인쇄","2025-12-31 17:53:51","U","2026-01-03 02:40:00","","194929.560956905","429503.980072897","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"9","인쇄사","04_16_01_P","4020000","CDFG1252002005000007","2005-06-22","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","435-830","경기도 군포시 금정동 ***-* 지하","경기도 군포시 당산로***번길 * (금정동,지하)","","재원산업","2025-12-31 17:55:29","U","2026-01-03 02:40:00","","195130.473732888","428806.47516401","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
"10","인쇄사","04_16_01_P","4020000","CDFG1252002016000002","2016-11-24","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","031-468-3251","","","경기도 군포시 산본동 ***-* *층","경기도 군포시 금산로**번길 **, *층 (산본동)","15810","하나기획","2025-12-31 17:56:54","U","2026-01-03 02:40:00","","194600.240068541","429587.632834311","인쇄사","출판인쇄업","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","","",
