"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","집단급식소식품판매업","07_22_01_P","5400000","5400000-122-2025-00001","2025-12-31","","01","영업/정상","01","영업","","","","","","33.55","637-841","경상남도 함안군 산인면 송정리 442-2","경상남도 함안군 산인면 송산로 122, 1층","52031","강안","2025-12-31 11:48:26","I","2026-01-03 00:20:02","집단급식소 식품판매업","330081.441593899","199706.030346266","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"2","집단급식소식품판매업","07_22_01_P","5530000","5530000-122-2025-00032","2025-12-31","","01","영업/정상","01","영업","","","","","","3.30","445-360","경기도 화성시 병점동 844-5 리더스프라자 6층 603-J57호","경기도 화성시 효행로 1068, 리더스프라자 6층 603-J57호 (병점동)","18405","하늘열매유통","2025-12-31 17:46:07","I","2026-01-03 00:20:02","집단급식소 식품판매업","203811.08404256","412529.901991526","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"3","집단급식소식품판매업","07_22_01_P","3650000","3650000-122-2022-00004","2022-04-26","","03","폐업","02","폐업","2025-12-31","","","","","26.28","301-807","대전광역시 중구 목동 2-61 지하1층","대전광역시 중구 목동로8번길 77, 지하1층 (목동)","34815","보아스상회","2025-12-31 09:38:01","U","2026-01-03 02:40:00","집단급식소 식품판매업","236968.22612319","314968.449479415","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","집단급식소식품판매업","07_22_01_P","5700000","5700000-122-2019-00002","2019-07-03","","03","폐업","02","폐업","2025-12-31","","","","031 8846648","72.75","469-103","경기도 여주시 창동 139-6 좌측","경기도 여주시 소양로57번길 13, 1층 (창동)","12627","푸른유통","2025-12-31 11:20:48","U","2026-01-03 02:40:00","집단급식소 식품판매업","256039.175","421608.085","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"5","집단급식소식품판매업","07_22_01_P","3340000","3340000-122-2022-00006","2022-04-06","","03","폐업","02","폐업","2025-12-31","","","","","18.40","604-850","부산광역시 사하구 하단동 277-2 한신혜성아파트","부산광역시 사하구 동매로 120, 상가동 1층 107호 (하단동, 한신혜성아파트)","49415","조이","2025-12-31 11:24:02","U","2026-01-03 02:40:00","집단급식소 식품판매업","379697.483702324","179813.940476827","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","집단급식소식품판매업","07_22_01_P","3680000","3680000-122-2012-00001","2012-01-04","","03","폐업","02","폐업","2025-12-31","","","","042 637 7957","104.00","306-817","대전광역시 대덕구 오정동 72-4 1층","대전광역시 대덕구 한밭대로 986, 1층 (오정동)","34438","제일도매유통","2025-12-31 16:04:04","U","2026-01-03 02:40:00","집단급식소 식품판매업","236560.774931639","317449.667168609","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"7","집단급식소식품판매업","07_22_01_P","3360000","3360000-122-2021-00043","2021-12-20","","01","영업/정상","01","영업","","","","","","30.22","618-814","부산광역시 강서구 명지동 3250-19","부산광역시 강서구 명지오션시티8로 10-5, 1층 일부호 (명지동)","46763","연세푸드","2025-12-31 10:21:12","U","2026-01-03 02:40:00","집단급식소 식품판매업","374230.527510135","178165.102089275","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","집단급식소식품판매업","07_22_01_P","3680000","3680000-122-2015-00003","2015-04-17","","01","영업/정상","01","영업","","","","","042 633 6892","16.40","306-817","대전광역시 대덕구 오정동 44-1 농수산물시장 중도매인254","대전광역시 대덕구 한밭대로 987, 청과동 1층 (오정동, 농수산물시장)","34377","중도매인254장안유통","2025-12-31 17:41:51","U","2026-01-03 02:40:00","집단급식소 식품판매업","236370.250146304","317501.772607151","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"9","집단급식소식품판매업","07_22_01_P","5060000","5060000-122-2024-00003","2024-01-23","","01","영업/정상","01","영업","","","","","054 4345903","80.83","740-070","경상북도 김천시 황금동 32-4","경상북도 김천시 황금시장2길 24, 1층 102호 (황금동)","39593","주식회사김천혁신유통","2025-12-31 17:45:19","U","2026-01-03 02:40:00","집단급식소 식품판매업","301262.561490944","291189.976644512","집단급식소 식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"10","집단급식소식품판매업","07_22_01_P","4040000","4040000-122-2022-00004","2022-09-29","","03","폐업","02","폐업","2025-12-31","","","","","294.43","465-060","경기도 하남시 춘궁동 415-1","경기도 하남시 대성로99번길 7, 2층 (춘궁동)","13020","(주)에코팜후레쉬월드","2025-12-31 11:51:41","U","2026-01-03 02:40:00","집단급식소 식품판매업","217311.122456101","446337.350755467","집단급식소 식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
