"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산가공업","07_22_05_P","6410000","641000000420250106","2025-12-31","","01","영업/정상","0000","정상","","","","","","170.36","","경기도 남양주시 화도읍 창현리 271번지 2호","경기도 남양주시 화도읍 폭포로358번길 17-17","","베타푸드","2025-12-31 13:49:03","I","2026-01-03 00:20:02","식육가공업","228379.438545501","459023.795337093","축산물가공업","식육가공업","0","000","1",
"2","축산가공업","07_22_05_P","6440000","644000000420220008","2022-04-20","","02","휴업","0001","휴업","","2025-12-31","2026-12-31","","0415436358","443.82","","충청남도 아산시 신창면 수장리 1053번지 0호","충청남도 아산시 신창면 수장로 199","","농업회사법인(주)행복한돈","2025-12-31 15:12:36","U","2026-01-03 02:40:00","식육가공업","196622.87309482","367482.520720643","축산물가공업","식육가공업","0","L00","0",
"3","축산가공업","07_22_05_P","6410000","641000000420220051","2022-04-26","","03","폐업","0002","폐업","2025-12-31","","","","","1188.01","","경기도 화성시 송산면 쌍정리 1078번지 1호","경기도 화성시 송산면 석정동길 10-44","","주식회사 명가푸드","2025-12-31 14:06:57","U","2026-01-03 02:40:00","식육가공업","176152.775942722","413856.121088298","축산물가공업","식육가공업","0","L00","10",
"4","축산가공업","07_22_05_P","6270000","627000000420240013","2024-08-29","","01","영업/정상","0000","정상","","","","","","221.69","","대구광역시 달성군 옥포읍 기세리 109번지 2호","대구광역시 달성군 옥포읍 비슬로 2312-16","","주식회사 널미트 제1공장 지점","2025-12-31 10:55:03","U","2026-01-03 02:40:00","식육가공업","333175.275610619","255448.046809793","축산물가공업","식육가공업","0","L00","4",
"5","축산가공업","07_22_05_P","6280000","628000000420200021","2020-08-09","","03","폐업","0002","폐업","2025-12-31","","","","","60.25","","인천광역시 미추홀구 용현동  624번지 20호","인천광역시 미추홀구 용오로 20, 1층 (용현동)","","주식회사 우리푸드시스템","2025-12-31 14:20:19","U","2026-01-03 02:40:00","식육가공업","167851.043340563","439378.47842679","축산물가공업","식육가공업","0","L00","3",
"6","축산가공업","07_22_05_P","6440000","644000000420210020","2021-10-05","","03","폐업","0002","폐업","2026-01-06","","","","0413508600","147.41","","충청남도 당진시 송산면 상거리 253번지 1호","충청남도 당진시 송산면 틀모시로 1124","","당진낙농축협 유가공공장","2025-12-31 14:31:42","U","2026-01-03 02:40:00","유가공업","171615.958348301","380898.611656885","축산물가공업","유가공업","0","L00","0",
"7","축산가공업","07_22_05_P","6270000","627000000420240001","2024-01-26","","01","영업/정상","0000","정상","","","","","","0","","대구광역시 동구 방촌동  50번지 5호","대구광역시 동구 둔산로40길 29-5 (방촌동)","","이루그린미트","2025-12-31 14:55:02","U","2026-01-03 02:40:00","식육가공업","","","축산물가공업","식육가공업","0","000","10",
"8","축산가공업","07_22_05_P","6410000","641000000420210113","2021-07-15","","02","휴업","0001","휴업","","2024-12-31","2026-12-31","","","415.7","","경기도 광주시 목현동  269번지 19호","경기도 광주시 이배재로 383(목현동)","","주식회사 상상에프앤비","2025-12-31 13:57:28","U","2026-01-03 02:40:00","식육가공업","219173.166975944","436977.688760593","축산물가공업","식육가공업","0","L00","7",
"9","축산가공업","07_22_05_P","6410000","641000000420180088","2018-08-14","","01","영업/정상","0000","정상","","","","","0315755937","325.8","","경기도 포천시 설운동  405번지 0호 나동","경기도 포천시 송선로 242-13, 나동(설운동)","","(주)중앙에프앤비","2025-12-31 10:34:57","U","2026-01-03 02:40:00","식육가공업","213262.253131755","483504.748476931","축산물가공업","식육가공업","0","L00","2",
"10","축산가공업","07_22_05_P","6440000","644000000420170011","2017-04-19","","03","폐업","0002","폐업","2025-12-31","","","","0415479222","449.3","","충청남도 아산시 배방읍 구령리 143번지 4호","충청남도 아산시 배방읍 구령길52번길 37","","(주)농업회사법인 돈우","2025-12-31 17:54:47","U","2026-01-03 02:40:00","식육가공업","204777.00674716","364199.484583529","축산물가공업","식육가공업","0","L00","0",
"11","축산가공업","07_22_05_P","6440000","644000000420180012","2018-07-23","","03","폐업","0002","폐업","2025-12-31","","","","","40.6","","충청남도 논산시 등화동  90번지 1호","충청남도 논산시 등화2길 12 (등화동)","","NS미가식품","2025-12-31 14:47:17","U","2026-01-03 02:40:00","식육가공업","206571.73043819","297960.212303077","축산물가공업","식육가공업","0","000","0",
