"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품소분업","07_22_08_P","3330000","3330000-109-2025-00006","2025-12-31","","01","영업/정상","01","영업","","","","","","19.80","612-820","부산광역시 해운대구 우동 515-5","부산광역시 해운대구 우동1로38번가길 11, 2층 일부호 (우동)","48087","부산바다샌드 팩토리","2025-12-31 11:03:17","I","2026-01-03 00:20:02","식품소분업","396571.949764469","187197.91350151","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","19.8","","","",
"2","식품소분업","07_22_08_P","3990000","3990000-109-2025-00043","2025-12-31","","01","영업/정상","01","영업","","","","","","43.97","","경기도 남양주시 다산동 6143 다산 현대프리미어캠퍼스 에이씨비1-014호","경기도 남양주시 다산순환로 20, 다산 현대프리미어캠퍼스 에이씨비1-014호 (다산동)","12248","영희상점","2025-12-31 17:23:47","I","2026-01-03 00:20:02","식품소분업","213352.638752231","456784.268068925","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
"3","식품소분업","07_22_08_P","3920000","3920000-109-2025-00003","2025-12-31","","01","영업/정상","01","영업","","","","","","7.00","483-020","경기도 동두천시 지행동 721 효원월드타워 701호","경기도 동두천시 지행로 60, 효원월드타워 701호 (지행동)","11350","팀누리소분장","2025-12-31 10:56:39","I","2026-01-03 00:20:02","식품소분업","204665.189000161","487715.541128452","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"4","식품소분업","07_22_08_P","4510000","4510000-109-2025-00005","2025-12-31","","01","영업/정상","01","영업","","","","","041 931 8776","10.80","355-894","충청남도 보령시 청라면 의평리 308-1","충청남도 보령시 청라면 갬발2길 16, 101호","33425","그려그류수산(주)","2025-12-31 14:28:53","I","2026-01-03 00:20:02","식품소분업","169181.960671038","320795.489235506","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","식품소분업","07_22_08_P","3070000","3070000-109-2025-00007","2025-12-31","","01","영업/정상","01","영업","","","","","","9.70","136-130","서울특별시 성북구 하월곡동 222 월곡두산위브아파트","서울특별시 성북구 오패산로 46, 주상가동 262호 (하월곡동, 월곡두산위브아파트)","02750","진솔찬컴퍼니","2025-12-31 13:17:31","I","2026-01-03 00:20:02","식품소분업","203318.127254872","456078.982123486","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"6","식품소분업","07_22_08_P","3310000","3310000-109-2009-00009","2009-12-02","","01","영업/정상","01","영업","","","","","","13.40","608-828","부산광역시 남구 문현동 358-9","부산광역시 남구 지게골로 45 (문현동)","48457","롯데쇼핑(주)롯데슈퍼 부산문현점","2025-12-31 15:09:01","U","2026-01-03 02:40:00","식품소분업","388650.24444681","183818.88630021","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"7","식품소분업","07_22_08_P","3140000","3140000-109-2009-00009","2009-05-18","","03","폐업","02","폐업","2025-12-31","","","","0222347622","4.00","158-724","서울특별시 양천구 목동 916 현대하이페리온 지하2층","서울특별시 양천구 목동동로 257, 지하2층 (목동, 현대하이페리온)","07998","리빈코리아","2025-12-31 17:14:30","U","2026-01-03 02:40:00","식품소분업","188884.075622342","447186.888604306","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","4","","","",
"8","식품소분업","07_22_08_P","4050000","4050000-109-2023-00020","2023-09-11","","03","폐업","02","폐업","2025-12-31","","","","","215.27","","경기도 용인시 처인구 양지읍 제일리 350-8","경기도 용인시 처인구 양지읍 남평로 204-4","","미르푸드","2025-12-31 09:08:28","U","2026-01-03 02:40:00","식품소분업","226851.73609832","414221.180518421","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","식품소분업","07_22_08_P","3010000","3010000-109-2018-00003","2018-03-09","","03","폐업","02","폐업","2025-12-31","","","","02  310 5035","6.60","100-011","서울특별시 중구 충무로1가 52-5 신세계백화점  지하1층","서울특별시 중구 소공로 63, 신세계백화점  지하1층 (충무로1가)","04530","크레마 디 몬타냐","2025-12-31 10:06:50","U","2026-01-03 02:40:00","식품소분업","198263.90839194","450960.762964932","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","6.6","","","",
"10","식품소분업","07_22_08_P","4060000","4060000-109-2019-00014","2019-06-10","","03","폐업","02","폐업","2025-12-31","","","","031 947 7848","31.50","413-160","경기도 파주시 송촌동 400-17","경기도 파주시 소라지로 150-2, 1층일부 (송촌동)","10863","(주)대길","2025-12-31 10:45:34","U","2026-01-03 02:40:00","식품소분업","173369.262246226","470903.992666186","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"11","식품소분업","07_22_08_P","3780000","3780000-109-2019-00006","2019-05-10","","03","폐업","02","폐업","2025-12-31","","","","031 715 9909","75.46","463-805","경기도 성남시 분당구 금곡동 166 이코노샤르망 212호","경기도 성남시 분당구 돌마로 47, 이코노샤르망 212호 (금곡동)","13615","티에스스포츠(주)","2025-12-31 09:03:11","U","2026-01-03 02:40:00","식품소분업","209443.851792952","427598.796719655","식품소분업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"12","식품소분업","07_22_08_P","3620000","3620000-109-1996-00003","1996-06-27","","01","영업/정상","01","영업","","","","","062 2692491","","500-849","광주광역시 북구 우산동 191-18","광주광역시 북구 동문대로97번길 54 (우산동)","61192","인천젓갈집","2025-12-31 17:47:48","U","2026-01-03 02:40:00","식품소분업","192788.132544638","186033.604773138","식품소분업","","","","","","","0","0","0","0","","","","N","0","","","",
"13","식품소분업","07_22_08_P","5670000","5670140-109-2002-20015","2002-06-27","","01","영업/정상","01","영업","","","","","055 268 2800","","642-050","경상남도 창원시 성산구 내동 452-6","경상남도 창원시 성산구 삼동로 100-31 (내동)","51530","린데코리아주식회사","2025-12-31 13:59:09","U","2026-01-03 02:40:00","식품소분업","350784.374385396","192713.95648036","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"14","식품소분업","07_22_08_P","4920000","4920000-109-1999-00003","1999-04-26","","03","폐업","02","폐업","2025-12-31","","","","4334355","978.00","527-802","전라남도 강진군 강진읍 남성리 19-1","전라남도 강진군 강진읍 보은로2길 32","59232","강진농협하나로마트","2025-12-31 17:46:32","U","2026-01-03 02:40:00","식품소분업","178879.201774107","126823.266460946","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"15","식품소분업","07_22_08_P","4000000","4000000-109-2009-00001","2009-02-23","","01","영업/정상","01","영업","","","","","031 375 5602","5.40","447-802","경기도 오산시 오산동 877-21 1층","경기도 오산시 대원로15번길 17, 1층 (오산동)","18138","롯데쇼핑(주)롯데슈퍼오산점","2025-12-31 14:46:39","U","2026-01-03 02:40:00","식품소분업","206134.694133401","405121.782352674","식품소분업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"16","식품소분업","07_22_08_P","4170000","4170000-109-2012-00001","2012-05-25","","03","폐업","02","폐업","2014-05-19","","","","031 771 5131","47.12","476-803","경기도 양평군 양평읍 오빈리 431-3 (2층)","경기도 양평군 양평읍 경강로 1649-26 (2층)","12545","예향푸드","2025-12-31 09:08:13","U","2026-01-03 02:40:00","식품소분업","240820.214961842","444893.161588492","식품소분업","0","0","","","","0","0","0","0","0","임대","0","0","N","0","","","",
