"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품첨가물제조업","07_22_12_P","3740000","3740000-108-2020-00003","2020-03-18","","03","폐업","02","폐업","2025-12-31","","","","","33.39","441-853","경기도 수원시 권선구 서둔동 17-679 가동 101호","경기도 수원시 권선구 서호동로34번길 38, 가동 1층 101호 (서둔동)","16618","바이오힐","2025-12-31 09:52:40","U","2026-01-03 02:40:00","식품첨가물제조업","199268.755517863","418351.824610011","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"2","식품첨가물제조업","07_22_12_P","3220000","3220000-108-2021-00001","2021-10-26","","03","폐업","02","폐업","2025-12-31","","","","","27.25","135-200","서울특별시 강남구 자곡동 649","서울특별시 강남구 자곡로 174-10, 강남에이스타워 711호 (자곡동)","06373","주식회사 브이씨씨","2025-12-31 14:32:44","U","2026-01-03 02:40:00","식품첨가물제조업","209038.198426983","441163.795720684","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품첨가물제조업","07_22_12_P","3930000","3930000-108-2022-00003","2022-11-08","","03","폐업","02","폐업","2025-12-31","","","","","207.90","425-834","경기도 안산시 단원구 성곡동 645-5 타원TAKRA지식산업센타 가동 212호","경기도 안산시 단원구 성곡로 176, 타원TAKRA지식산업센타 가동 212호 (성곡동)","15421","더원팩토리","2025-12-31 13:31:32","U","2026-01-03 02:40:00","식품첨가물제조업","178780.247848078","424792.92699214","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"4","식품첨가물제조업","07_22_12_P","3930000","3930000-108-2011-00047","1972-06-14","","01","영업/정상","01","영업","","","","","0314944347","2197.81","425-833","경기도 안산시 단원구 성곡동 628","경기도 안산시 단원구 성곡로 32 (성곡동)","15424","롯데웰푸드(주)안산공장","2025-12-31 16:20:01","U","2026-01-03 02:40:00","식품첨가물제조업","178272.023812426","423416.708893974","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품첨가물제조업","07_22_12_P","5540000","5540000-108-2016-00001","2016-11-03","","01","영업/정상","01","영업","","","","","031 764 3328","198.00","464-883","경기도 광주시 도척면 진우리 103-3","경기도 광주시 도척면 옛진말길 42-1","12814","주식회사 엔아이에프","2026-01-02 16:50:31","U","2026-01-04 02:40:00","식품첨가물제조업","229278.354680387","425131.773747986","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","43.8","","","",
"6","식품첨가물제조업","07_22_12_P","4711000","4711000-108-2020-00001","2020-09-17","","03","폐업","02","폐업","2026-01-02","","","","063 5448017","9.90","","전북특별자치도 김제시 백학동 230","전북특별자치도 김제시 황산로 81 (백학동)","54352","(주) 쉘바이오텍","2026-01-02 16:33:19","U","2026-01-04 02:40:00","식품첨가물제조업","194237.216381542","256872.877741825","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","9.9","","","",
"7","식품첨가물제조업","07_22_12_P","4771000","4771000-108-2026-00001","2026-01-05","","01","영업/정상","01","영업","","","","","063 650 2114","240.00","","전북특별자치도 순창군 순창읍 가남리 203-7 대상주식회사","전북특별자치도 순창군 순창읍 순창로 30, 대상주식회사(주3) 1층 종균배양실","56050","대상(주) 순창공장","2026-01-05 17:21:39","I","2026-01-07 00:20:36","식품첨가물제조업","213161.362977796","206557.296035105","식품첨가물제조업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"8","식품첨가물제조업","07_22_12_P","3560000","3560000-108-2018-00001","2018-07-02","","03","폐업","02","폐업","2026-01-05","","","","032 561 5209","80.00","404-300","인천광역시 서구 오류동 1656-1 블루텍 공존240호","인천광역시 서구 보듬로 158, 블루텍 공존240호 (오류동)","22664","(주)미트뱅크","2026-01-05 15:54:22","U","2026-01-07 02:40:00","식품첨가물제조업","165916.984438499","454908.677529318","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"9","식품첨가물제조업","07_22_12_P","5530000","5530000-108-2011-00026","2004-06-04","","01","영업/정상","01","영업","","","","","0313510275","2700.10","445-944","경기도 화성시 장안면 독정리 416-7","경기도 화성시 장안면 장안로 440-59","18583","엠에스산업(주)","2026-01-05 10:53:27","U","2026-01-07 02:40:00","식품첨가물제조업","187629.369550356","396716.301126105","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"10","식품첨가물제조업","07_22_12_P","3910000","3910029-108-2011-00021","1988-12-29","","01","영업/정상","01","영업","","","","","031 668 5758","849.60","459-040","경기도 평택시 모곡동 441-1","경기도 평택시 산단로64번길 5 (모곡동)","17745","부영식품(주)","2026-01-06 20:32:27","U","2026-01-09 02:40:00","식품첨가물제조업","206840.1","392773.795","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","270","","","",
"11","식품첨가물제조업","07_22_12_P","5530000","5530000-108-2011-00065","1972-12-11","","01","영업/정상","01","영업","","","","","031 352 8292","4344.15","445-937","경기도 화성시 향남읍 상신리 904-4","경기도 화성시 향남읍 제약공단4길 72","18622","(주)유한클로락스","2026-01-06 09:53:20","U","2026-01-09 02:40:00","식품첨가물제조업","191289.689774789","398818.084829556","식품첨가물제조업","","","","","상수도전용","","0","0","0","0","자가","","","N","0","","","",
"12","식품첨가물제조업","07_22_12_P","4070000","4070000-108-2011-00020","2003-07-30","","01","영업/정상","01","영업","","","","","031 632 6141","833.32","467-120","경기도 이천시 단월동 244-6 제1동","경기도 이천시 진상미로 2067-23 (단월동)","17400","(주)일광에프앤에스","2026-01-09 16:52:39","U","2026-01-11 02:40:00","식품첨가물제조업","239672.59249282","414518.202977183","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","66.07","","","",
"13","식품첨가물제조업","07_22_12_P","5530000","5530000-108-2011-00005","2002-04-11","","01","영업/정상","01","영업","","","","","0313510221","1716.83","445-944","경기도 화성시 장안면 수촌리 263","경기도 화성시 장안면 수정로299번길 18","18581","(주)신원에프아이","2026-01-13 13:04:16","U","2026-01-15 02:40:00","식품첨가물제조업","187453.034855255","398950.851302864","식품첨가물제조업","0","0","","","지하수전용","0","0","0","0","0","","0","0","N","0","","","",
"14","식품첨가물제조업","07_22_12_P","5130000","5130000-108-2026-00001","2026-01-15","","01","영업/정상","01","영업","","","","","","65.52","712-902","경상북도 경산시 하양읍 금락리 산 35 대구가톨릭대학교 최요한관 B108호","경상북도 경산시 하양읍 하양로 13-13, 대구가톨릭대학교 최요한관 B108호","38430","주식회사 바이오텍","2026-01-15 11:45:59","I","2026-01-17 00:20:02","식품첨가물제조업","","","식품첨가물제조업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
