"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","식품판매업(기타)","07_22_13_P","3360000","3360000-114-2016-00002","2016-04-06","","01","영업/정상","01","영업","","","","","051 201 4456","474.45","618-200","부산광역시 강서구 명지동 3358-1 명지국제타워1동","부산광역시 강서구 명지국제8로 251, 1동 113호 (명지동, 명지국제타워)","46773","(주)지에스리테일 명지국제점","2025-12-31 16:23:31","U","2026-01-03 02:40:00","기타식품판매업","375045.300140699","179383.163196361","기타식품판매업","","","","","","","","","","","자가","","","N","0","","","",
"2","식품판매업(기타)","07_22_13_P","3740000","3740000-114-2000-00004","2000-11-18","","03","폐업","02","폐업","2025-12-31","","","","031 2522080","13231.65","443-822","경기도 수원시 영통구 원천동 177-1","경기도 수원시 영통구 중부대로 437 (원천동)","16513","홈플러스(주)원천점","2025-12-31 15:11:52","U","2026-01-03 02:40:00","기타식품판매업","205572.586871555","418683.704929064","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"3","식품판매업(기타)","07_22_13_P","4281000","4281000-114-2000-00001","2000-07-22","","01","영업/정상","01","영업","","","","","3355601","784.70","","강원특별자치도 평창군 진부면 하진부리 206-9 외 1필지","강원특별자치도 평창군 진부면 진부시장뒷길 57-3","25325","롯데쇼핑(주)롯데슈퍼평창진부점","2025-12-31 14:51:43","U","2026-01-03 02:40:00","기타식품판매업","337498.910963726","460723.341252456","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","","0","0","N","0","","","",
"4","식품판매업(기타)","07_22_13_P","4920000","4920000-114-1999-00002","1999-04-26","","03","폐업","02","폐업","2025-12-31","","","","4334355","","527-802","전라남도 강진군 강진읍 남성리 19-1","전라남도 강진군 강진읍 보은로2길 32","59232","강진농협하나로마트","2025-12-31 17:45:32","U","2026-01-03 02:40:00","기타식품판매업","178879.201774107","126823.266460946","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"5","식품판매업(기타)","07_22_13_P","3130000","3130000-114-2002-00005","2002-05-23","","03","폐업","02","폐업","2025-12-31","","","","02 3039894","2008.00","121-849","서울특별시 마포구 성산동 533-1 다농마트","서울특별시 마포구 월드컵로 235 (성산동, 다농마트)","03901","다농산업(주)상암지점","2025-12-31 14:40:42","U","2026-01-03 02:40:00","기타식품판매업","190931.000875925","451427.722144609","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"6","식품판매업(기타)","07_22_13_P","3050000","3050000-114-2001-00001","2001-04-25","","01","영업/정상","01","영업","","","","","0222487800","1451.04","130-848","서울특별시 동대문구 전농동 10","서울특별시 동대문구 사가정로 148, 101호 (전농동, SK아파트상가)","02532","롯데쇼핑(주)롯데슈퍼전농점","2025-12-31 09:55:58","U","2026-01-03 02:40:00","기타식품판매업","205271.704936121","452706.897879436","기타식품판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
"7","식품판매업(기타)","07_22_13_P","3220000","3220000-114-2018-00005","2018-08-02","","01","영업/정상","01","영업","","","","","02  22905703","768.37","135-947","서울특별시 강남구 일원동 717 삼성생명 일원동 빌딩","서울특별시 강남구 일원로 115, 삼성생명 일원동 빌딩 지하1층 B101-1호 (일원동)","06355","롯데프리미엄 푸드마켓 일원점","2025-12-31 10:57:09","U","2026-01-03 02:40:00","기타식품판매업","207399.55165484","442426.399301013","기타식품판매업","","","","","","","","","","","임대","","","N","768.37","","","",
"8","식품판매업(기타)","07_22_13_P","4040000","4040000-114-2023-00001","2023-03-20","","03","폐업","02","폐업","2025-12-31","","","","","377.21","465-150","경기도 하남시 망월동 862 미사강변프라자","경기도 하남시 미사강변한강로158번길 8, 미사강변프라자 101, 102, 103, 104, 105, 106호 (망월동)","12903","골드 할인마트","2025-12-31 14:07:49","U","2026-01-03 02:40:00","기타식품판매업","216893.262550892","452600.889713964","기타식품판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","식품판매업(기타)","07_22_13_P","3400000","3400000-114-2014-00004","2014-12-22","","01","영업/정상","01","영업","","","","","051 922 2500","2119.00","619-902","부산광역시 기장군 기장읍 당사리 524 롯데몰 동부산점","부산광역시 기장군 기장읍 기장해안로 147, 롯데몰 동부산점 2층","46084","롯데쇼핑(주)롯데마트동부산점","2025-12-31 11:23:54","U","2026-01-03 02:40:00","기타식품판매업","401473.950698586","190354.255834345","기타식품판매업","0","0","","","상수도전용","0","0","0","0","0","자가","0","0","N","0","","","",
"10","식품판매업(기타)","07_22_13_P","4080000","4080000-114-2006-00007","2006-10-02","","01","영업/정상","01","영업","","","","","031 6599231","9087.60","456-824","경기도 안성시 공도읍 양기리 306","경기도 안성시 공도읍 서동대로 4478","17558","롯데쇼핑(주)롯데마트 안성점","2025-12-31 09:42:15","U","2026-01-03 02:40:00","기타식품판매업","217695.637116434","389592.895375219","기타식품판매업","","","","","상수도전용","","0","0","0","0","자가","0","0","N","0","","","",
"11","식품판매업(기타)","07_22_13_P","3310000","3310000-114-2009-00006","2009-12-02","","01","영업/정상","01","영업","","","","","051 636 5601","630.20","608-828","부산광역시 남구 문현동 358-9","부산광역시 남구 지게골로 45 (문현동)","48457","롯데쇼핑(주)롯데슈퍼 부산문현점","2025-12-31 15:10:27","U","2026-01-03 02:40:00","기타식품판매업","388650.24444681","183818.88630021","기타식품판매업","","","","","","","0","0","0","0","","","","N","35.2","","","",
