"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","총직원수","본사직원수","공장사무직직원수","공장판매직직원수","공장생산직직원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지",
"1","유통전문판매업","07_22_17_P","3990000","3990000-113-2024-00123","2024-12-11","","01","영업/정상","01","영업","","","","","","16.50","472-847","경기도 남양주시 화도읍 차산리 839-1 2층 일부호","경기도 남양주시 화도읍 수레로 918-52, 2층 일부호","12198","플레이버메이트","2025-12-31 16:37:44","I","2026-01-03 00:20:02","유통전문판매업","225228.871886335","458551.482168199","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"2","유통전문판매업","07_22_17_P","3990000","3990000-113-2025-00121","2025-12-31","","01","영업/정상","01","영업","","","","","","3.30","472-501","경기도 남양주시 별내동 1006-2 1002호 일부(818호)","경기도 남양주시 별내중앙로 26, 1002호 일부호 (별내동)","12113","조니에(JONIE)","2025-12-31 14:13:52","I","2026-01-03 00:20:02","유통전문판매업","211047.581577928","460377.706809703","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"3","유통전문판매업","07_22_17_P","4530000","4530000-113-2025-00015","2025-12-31","","01","영업/정상","01","영업","","","","","","30.24","356-892","충청남도 서산시 부석면 창리 233-6","충청남도 서산시 부석면 천수만로 533, 가동 1층","32022","현대서산농장","2025-12-31 15:26:42","I","2026-01-03 00:20:02","유통전문판매업","143254.645856852","347706.168275328","유통전문판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"4","유통전문판매업","07_22_17_P","4181000","4181000-113-2025-00029","2025-12-31","","01","영업/정상","01","영업","","","","","","66.67","","강원특별자치도 춘천시 효자동 192-1","강원특별자치도 춘천시 강원대학길 1, 보듬관 903호 (효자동)","24341","주식회사 알트랩(ALT LAB Co.,Ltd.)","2025-12-31 13:44:28","I","2026-01-03 00:20:02","유통전문판매업","265481.557982219","485420.871953344","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"5","유통전문판매업","07_22_17_P","5530000","5530000-113-2022-00073","2022-11-28","","01","영업/정상","01","영업","","","","","","4.03","445-160","경기도 화성시 반송동 103-10 원영빌딩","경기도 화성시 동탄중심상가1길 36, 원영빌딩 8층 801호 일부(R07)호 (반송동)","18455","주식회사 닥터메인유","2025-12-31 16:55:40","I","2026-01-03 00:20:02","유통전문판매업","206278.044254755","411071.383191287","유통전문판매업","0","0","","","상수도전용","0","0","0","0","0","임대","0","0","N","0","","","",
"6","유통전문판매업","07_22_17_P","3000000","3000000-113-2017-00011","2017-03-03","","01","영업/정상","01","영업","","","","","02  63662600","954.76","110-130","서울특별시 종로구 청진동 70 그랑서울","서울특별시 종로구 종로 33, 그랑서울 20층 2001호 (청진동)","03159","한국이토추 주식회사","2025-12-31 10:08:53","I","2026-01-03 00:20:02","유통전문판매업","198286.311784052","452091.444332546","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"7","유통전문판매업","07_22_17_P","4830000","4830000-113-2025-00020","2025-12-31","","01","영업/정상","01","영업","","","","","","17.00","520-843","전라남도 나주시 남평읍 교원리 898","전라남도 나주시 남평읍 세남로 1555-1, 가동","58228","엘푸드","2025-12-31 11:36:27","I","2026-01-03 00:20:02","유통전문판매업","184633.66833155","169819.550462482","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"8","유통전문판매업","07_22_17_P","6510000","6510000-113-2025-00070","2025-12-31","","01","영업/정상","01","영업","","","","","","6.60","695-965","제주특별자치도 제주시 조천읍 함덕리 4157-3","제주특별자치도 제주시 조천읍 함와로 21, 1층","63333","하로헌","2025-12-31 11:13:10","I","2026-01-03 00:20:02","유통전문판매업","169718.542194741","4683.29971696764","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"9","유통전문판매업","07_22_17_P","4090000","4090000-113-2025-00115","2025-12-24","","01","영업/정상","01","영업","","","","","070 58510252","3.30","415-080","경기도 김포시 구래동 6881-20","경기도 김포시 김포한강9로75번길 66, 505-제이 156호 (구래동)","10071","고우니 주식회사","2025-12-31 11:26:04","I","2026-01-03 00:20:02","유통전문판매업","166542.983302429","460146.42097319","유통전문판매업","0","0","","","","0","0","0","0","0","자가","0","0","N","0","","","",
"10","유통전문판매업","07_22_17_P","3660000","3660000-113-2023-00013","2023-07-20","","03","폐업","02","폐업","2025-12-31","","","","","","302-763","대전광역시 서구 도마동 214 경남아파트2단지","대전광역시 서구 배재로 139-31, 114동 12층 1201호 (도마동, 경남아파트2단지)","35346","에이치커머스","2025-12-31 08:58:52","U","2026-01-03 02:40:00","유통전문판매업","233123.932651999","313371.818335792","유통전문판매업","0","0","","","","0","0","0","0","0","","0","0","N","0","","","",
