"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","축산업무구분명","축산물가공업구분명","축산일련번호","권리주체일련번호","총직원수",
"1","축산물운반업","07_22_25_P","4000000","400000000820240002","2024-06-17","","01","영업/정상","0000","정상","","","","","","57.78","","경기도 오산시 고현동 **","경기도 오산시 동부대로 ***-**, *층 ***-*호 (고현동)","18151","(주)진명물류","2025-12-31 09:41:17","U","2026-01-03 02:40:00","","206980.535244214","403378.747494224","축산물운반업","","0","L00","0",
"2","축산물운반업","07_22_25_P","4000000","400000000820200003","2020-04-13","","01","영업/정상","0000","정상","","","","","6625872","57.78","","경기도 오산시 고현동 ** 나동 ***호","경기도 오산시 동부대로 ***-**, 나동 ***호 (고현동)","18151","(주)진명로지스","2025-12-31 14:28:35","U","2026-01-03 02:40:00","","206980.535244214","403378.747494224","축산물운반업","","0","L00","0",
"3","축산물운반업","07_22_25_P","4010000","401000000820180001","2018-10-14","","01","영업/정상","0000","정상","","","","","4047955","94.5","","경기도 시흥시 능곡동 ***","경기도 시흥시 승지로**번길 *, 건아빌딩 *층 ***호 (능곡동)","14995","(주)재성디앤에스","2025-12-31 16:12:08","U","2026-01-03 02:40:00","","183096.302229304","429699.494640402","축산물운반업","","0","L00","0",
"4","축산물운반업","07_22_25_P","3010000","301000000820170002","2017-03-10","","03","폐업","0002","폐업","2026-01-02","","","","69540050","249.8","","서울특별시 중구 남대문로*가 ***","서울특별시 중구 세종대로*길 **, 광명데이콤 업무시설빌딩 ***호 (남대문로*가)","04527","(주)국민트랜스","2026-01-02 16:35:10","U","2026-01-04 02:40:00","","197747.778200542","450625.764220466","축산물운반업","","0","L00","0",
"5","축산물운반업","07_22_25_P","3150000","315000000820150004","2015-12-11","","01","영업/정상","0000","정상","","","","","5384723","0","","서울특별시 강서구 화곡동 ****-*","서울특별시 강서구 까치산로 ***-*, *층 (화곡동)","07654","(주)한비종합물류","2026-01-02 15:18:44","U","2026-01-04 02:40:00","","187020.691251664","450220.360286033","축산물운반업","","0","L00","0",
"6","축산물운반업","07_22_25_P","5350000","535000000820200005","2020-10-12","","01","영업/정상","0000","정상","","","","","553238657","0","","경상남도 김해시 유하동 ***-*","경상남도 김해시 유하로***번길 *** (유하동)","50970","태양물류(주)","2026-01-02 16:50:47","U","2026-01-04 02:40:00","","365796.263928198","192367.685630474","축산물운반업","","0","L00","0",
"7","축산물운반업","07_22_25_P","5220000","522000000820230003","2023-10-26","","01","영업/정상","0000","정상","","","","","0548008214","0","","경상북도 칠곡군 지천면 금호리 **","경상북도 칠곡군 지천면 금호로*길 *-**","39868","주식회사 프레쉬로지스","2026-01-02 17:49:58","U","2026-01-04 02:40:00","","330284.818675072","273886.23468308","축산물운반업","","0","L00","0",
"8","축산물운반업","07_22_25_P","4140000","414000000820150001","2023-08-04","","01","영업/정상","0000","정상","","","","","","687","","경기도 연천군 전곡읍 전곡리 ***-**","경기도 연천군 전곡읍 은전로 **","11029","거성특수운송(주)","2026-01-05 10:12:52","U","2026-01-07 02:40:00","","205947.601411686","502862.958033146","축산물운반업","","0","L00","0",
"9","축산물운반업","07_22_25_P","3700000","370000000820050008","2005-09-15","","01","영업/정상","0000","정상","","","","","2237020","10","","울산광역시 남구 무거동 ****-*","울산광역시 남구 삼호로 *-* (무거동)","44634","(주)에스앤물류","2026-01-05 16:55:06","U","2026-01-07 02:40:00","","405273.181507417","230118.697608003","축산물운반업","","0","L00","0",
"10","축산물운반업","07_22_25_P","5700000","411000000820050003","2005-04-01","","01","영업/정상","0000","정상","","","","","7982323","91","","경기도 여주시 북내면 가정리 ***-**","경기도 여주시 북내면 가정*길 **-*","12615","(주)홍남물류","2026-01-05 09:45:59","U","2026-01-07 02:40:00","","260829.225755134","422262.340355002","축산물운반업","","0","L00","0",
"11","축산물운반업","07_22_25_P","3680000","368000000820230001","2023-04-07","","01","영업/정상","0000","정상","","","","","042-334-0836","16","","대전광역시 대덕구 신일동 **-*","대전광역시 대덕구 산업단지로***번길 **, B동 (신일동)","34327","주식회사 로지스퀘어","2026-01-05 16:00:32","U","2026-01-07 02:40:00","","236866.286872009","326000.532202763","축산물운반업","","0","L00","0",
"12","축산물운반업","07_22_25_P","3220000","322000000820140002","2014-12-19","","03","폐업","0002","폐업","2025-12-29","","","","02-592-5678","195.34","","서울특별시 강남구 개포동 ****-* RIFATRON 빌딩 *층","서울특별시 강남구 개포로 ***, RIFATRON 빌딩 *층 (개포동)","06309","씨비케이트랜스포트(주)","2026-01-05 11:08:33","U","2026-01-07 02:40:00","","204395.474276105","441876.248913056","축산물운반업","","0","L00","0",
"13","축산물운반업","07_22_25_P","5710000","571000000820250006","2025-12-29","","01","영업/정상","0000","정상","","","","","","9","","충청북도 청주시 흥덕구 신봉동 ***-*","충청북도 청주시 흥덕구 사운로 *** (신봉동)","28457","(주)제이씨물류","2026-01-05 09:44:20","U","2026-01-07 02:40:00","","241535.683005271","351003.725277236","축산물운반업","","0","L00","0",
"14","축산물운반업","07_22_25_P","5700000","570000000820250003","2025-08-06","","01","영업/정상","0000","정상","","","","","02-752-3315","258.1","","경기도 여주시 대신면 상구리 **-*","경기도 여주시 대신면 대신로 ***","12611","진흥상공(주)","2026-01-05 13:02:33","U","2026-01-07 02:40:00","","256529.877402381","430379.463368415","축산물운반업","","0","L00","0",
"15","축산물운반업","07_22_25_P","3260000","326000000820150001","2015-09-22","","03","폐업","0002","폐업","2026-01-05","","","","244-3887","37.19","","부산광역시 서구 암남동 ***-**","부산광역시 서구 원양로 ***, ***씨호 (암남동)","49273","(주)해인지엘에스","2026-01-05 17:04:01","U","2026-01-07 02:40:00","","383518.040204496","175580.741380924","축산물운반업","","0","L00","0",
"16","축산물운반업","07_22_25_P","3140000","314000000820180003","2018-11-15","","01","영업/정상","0000","정상","","","","","26531221","599.05","","서울특별시 양천구 목동 ***-* *층","서울특별시 양천구 공항대로 ***, *층 (목동)","07946","(주)강동물류","2026-01-05 16:43:48","U","2026-01-07 02:40:00","","188051.138558242","449789.613381329","축산물운반업","","0","L00","0",
"17","축산물운반업","07_22_25_P","5420000","542000000820260001","2026-01-05","","01","영업/정상","0000","정상","","","","","055-673-9849","36","","경상남도 고성군 마암면 두호리 ***-*","경상남도 고성군 마암면 두호*길 **","52912","(주)에스엠피글로벌","2026-01-06 17:34:41","I","2026-01-09 00:20:01","","322696.262373917","169246.984461937","축산물운반업","","0","L00","0",
"18","축산물운반업","07_22_25_P","5540000","554000000820260001","2026-01-06","","01","영업/정상","0000","정상","","","","","","37.91","","경기도 광주시 송정동 ***","경기도 광주시 회안대로 ***, *층 ***호 (송정동)","12739","(주)우인로지스","2026-01-06 09:37:41","I","2026-01-09 00:20:01","","223201.177298727","436937.739624712","축산물운반업","","0","L00","0",
"19","축산물운반업","07_22_25_P","4191000","419000000820010001","2004-01-12","","01","영업/정상","0000","정상","","","","","0337435979","44.84","","강원특별자치도 원주시 우산동 *** *동","강원특별자치도 원주시 우산로 ***, *동 *층 (우산동)","26335","삼양로지스틱스주식회사","2026-01-07 09:24:27","U","2026-01-09 02:40:00","","282952.964980929","431133.811000084","축산물운반업","","0","L00","0",
"20","축산물운반업","07_22_25_P","3740000","374000000820150004","2015-10-30","","01","영업/정상","0000","정상","","","","","","65.65","","경기도 수원시 장안구 연무동 ***-**","경기도 수원시 장안구 수원천로***번길 **-**, *층 (연무동)","16266","(주)형인물류","2026-01-06 14:16:59","U","2026-01-09 02:40:00","","201601.479309354","420751.92920587","축산물운반업","","0","L00","0",
"21","축산물운반업","07_22_25_P","4980000","498000000820260001","2026-01-05","","01","영업/정상","0000","정상","","","","","","0","","전라남도 장성군 동화면 용정리 ***-**","전라남도 장성군 동화면 함장로 ****","57241","(유)더케이로지스틱스","2026-01-07 13:49:57","U","2026-01-09 02:40:00","","176367.423720974","198333.850947868","축산물운반업","","0","L00","0",
"22","축산물운반업","07_22_25_P","5380000","538000000820230001","2023-05-23","","01","영업/정상","0000","정상","","","","","553661595","0","","경상남도 양산시 동면 사송리 ****-*","경상남도 양산시 동면 사송로 ***, 상가동 ***호","50637","주식회사 성운로지스","2026-01-07 09:38:07","U","2026-01-09 02:40:00","","","","축산물운반업","","0","L00","0",
"23","축산물운반업","07_22_25_P","3860000","386000000820210001","2021-03-05","","01","영업/정상","0000","정상","","","","","","47.62","","경기도 부천시 원미구 상동 *** ***호","경기도 부천시 원미구 상일로 **, 중동다모아쇼핑타운 *층 ***호 (상동)","14598","(주)캐리로지스","2026-01-07 15:41:37","U","2026-01-09 02:40:00","","177961.836844054","443263.90393206","축산물운반업","","0","L00","0",
"24","축산물운반업","07_22_25_P","5670000","567000000820230001","2023-03-15","","03","폐업","0002","폐업","2026-01-07","","","","","0","","경상남도 창원시 진해구 풍호동 **-** 풍호동 한림리츠빌","경상남도 창원시 진해구 풍호로 **, ***동 ***호 (풍호동, 풍호동 한림리츠빌)","51643","개별화물(구창호)","2026-01-07 17:32:04","U","2026-01-09 02:40:00","","355716.282186243","183474.671344039","축산물운반업","","0","000","0",
"25","축산물운반업","07_22_25_P","4570000","457000000820180001","2018-08-13","","01","영업/정상","0000","정상","","","","","","15","","충청남도 부여군 초촌면 세탑리 **-**","충청남도 부여군 초촌면 금백로 ****","33172","유한회사 대연","2026-01-07 13:30:26","U","2026-01-09 02:40:00","","202883.949667002","308906.317067508","축산물운반업","","0","L00","0",
