"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"1","다단계판매업체","08_26_01_P","6110000","20176110000041000006","2017-03-08","","01","영업/정상","2","영업","","","","","07051438852","","06096","서울특별시 강남구 삼성동  49번지 9호","서울특별시 강남구 봉은사로 465, 아이타워 7층 (삼성동)","","(주)에스디플랫폼","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","204377.539371534","445582.398728238","다단계판매업","3000000000","5208100411",
"2","다단계판매업체","08_26_01_P","6110000","20106110000041000535","2003-08-22","","01","영업/정상","2","영업","","","","","0234501800","","","서울특별시 강남구 역삼동  708번지 1호 708번지 1호 동우빌딩3층","서울특별시 강남구 테헤란로 328 (역삼동,708번지 1호 동우빌딩3층   )","","유니시티코리아 유한회사","2026-01-03 00:00:00","U","2026-01-05 02:40:00","","204142.44","444617.02","다단계판매업","0","2208669820",
"3","다단계판매업체","08_26_01_P","6110000","20106110000041000715","2010-05-14","","01","영업/정상","2","영업","","","","","0234680700","","05558","서울특별시 송파구 잠실동  183번지 7호 AWTOWER","서울특별시 송파구 백제고분로7길 53, AWTOWER 2층(잠실동)","","니오라코리아 유한회사","2026-01-06 00:00:00","U","2026-01-09 02:40:00","","207430.386103005","445423.301336362","다단계판매업","1521430020","2208794670",
"4","다단계판매업체","08_26_01_P","6110000","20166110000041000016","2016-09-27","","01","영업/정상","BBBB","영업","","","","","0220518833","","04512","서울특별시 중구 봉래동1가  5번지 36호 우리빌딩 제1호","서울특별시 중구 칠패로 42, 우리빌딩 제13층 제1호 (봉래동1가)","","토탈스위스코리아(주)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","197616.441511701","450814.924501159","다단계판매업","800000000","5988100355",
"5","다단계판매업체","08_26_01_P","6110000","20186110000041000005","2018-03-28","","01","영업/정상","BBBB","영업","","","","","0234153400","","","서울특별시 강남구 논현동  268번지 7호 썬라이더빌딩","서울특별시 강남구 선릉로 615, 썬라이더빌딩 3층 (논현동)","","썬라이더다이렉트코리아(유)","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","203726.875537601","445510.659584371","다단계판매업","606134980","6548700832",
"6","다단계판매업체","08_26_01_P","6110000","20106110000041000678","2008-02-25","","01","영업/정상","2","영업","","","","","0220552191","","06173","서울특별시 강남구 삼성동  169번지 0호 대화빌딩","서울특별시 강남구 영동대로96길 20, 대화빌딩 3층 (삼성동)","","(주)리브퓨어코리아","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","205611.579905873","445395.50794402","다단계판매업","1154182400","1208723778",
"7","다단계판매업체","08_26_01_P","6110000","20236110000041000004","2023-05-08","","01","영업/정상","BBBB","영업","","","","","024759595","","06194","서울특별시 강남구 대치동  891번지 44호 노벨과개미","서울특별시 강남구 테헤란로78길 16, 노벨과개미 8층 (대치동)","","주식회사 캘러리코리아","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","204828.002550249","444777.618635215","다단계판매업","860000000","5428602393",
"8","다단계판매업체","08_26_01_P","6110000","20126110000041000009","2012-08-22","","01","영업/정상","2","영업","","","","","0221671700","","08208","서울특별시 구로구 신도림동  337번지 0호 신도림1차푸르지오 503호","서울특별시 구로구 경인로 661, 신도림1차푸르지오 503호 (신도림동)","","뉴키(주)","2026-01-09 00:00:00","U","2026-01-11 02:40:00","","190005.132500398","445250.538868558","다단계판매업","610000000","2208842034",
"9","다단계판매업체","08_26_01_P","6110000","20246110000041000003","2024-06-17","","01","영업/정상","BBBB","영업","","","","","025464840","","07582","서울특별시 강서구 등촌동  682번지 0호 평안빌딩","서울특별시 강서구 강서로 460, 평안빌딩 504호 (등촌동)","","주식회사 스타비즈파트너스","2026-01-09 00:00:00","U","2026-01-11 02:40:00","","185894.50946257","451570.248347401","다단계판매업","860000000","4678800273",
"10","다단계판매업체","08_26_01_P","6110000","20216110000041000015","2021-07-30","","01","영업/정상","BBBB","영업","","","","","028665672","","05557","서울특별시 송파구 잠실동  181번지 2호 성진빌딩 0호","서울특별시 송파구 올림픽로 98, 성진빌딩 9층(잠실동)","","이젤피아 주식회사","2026-01-09 00:00:00","U","2026-01-11 02:40:00","","207135.25","445476.02","다단계판매업","990000000","3488801781",
"11","다단계판매업체","08_26_01_P","6110000","20176110000041000012","2017-06-09","","01","영업/정상","BBBB","영업","","","","","0218999990","","","서울특별시 중구 을지로2가  6번지 교원내외빌딩","서울특별시 중구 을지로 51, 15층 (을지로2가,교원내외빌딩)","","(주)교원헬스케어","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","198477.517150403","451579.634210825","다단계판매업","500000000","4338700730",
"12","다단계판매업체","08_26_01_P","6110000","20236110000041000009","2023-12-05","","01","영업/정상","BBBB","영업","","","","","0215443539","","06179","서울특별시 강남구 대치동  943번지 11호","서울특별시 강남구 테헤란로84길 11, 2,3층 (대치동)","","주식회사 퍼스트코리아","2026-01-12 00:00:00","U","2026-01-14 02:40:00","","205126.866995112","444919.30655268","다단계판매업","999995010","1258634142",
"13","다단계판매업체","08_26_01_P","6440000","20136440000041000001","2013-11-27","","01","영업/정상","2","영업","","","","","0215448580","","32543","충청남도 공주시 웅진동  242번지 14호 애터미 1동","충청남도 공주시 백제문화로 2148-21, 애터미 1동(웅진동)","","애터미주식회사","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","","","다단계판매업","1000000000","1088188139",
"14","다단계판매업체","08_26_01_P","6270000","20246270000041000002","2024-11-18","","01","영업/정상","BBBB","영업","","","","","05315228144","","41256","대구광역시 동구 신천동  74번지 1호","대구광역시 동구 동대구로 503, 2,3층 (신천동)","","(주)리만코리아","2026-01-13 00:00:00","U","2026-01-15 02:40:00","","346691.951910382","265138.774608058","다단계판매업","36218868000","2728102126",
"15","다단계판매업체","08_26_01_P","6110000","20106110000041000090","1996-07-18","","01","영업/정상","2","영업","","","","","025087575","","06052","서울특별시 강남구 논현동  86번지 1호 아이캐슬빌딩","서울특별시 강남구 논현로 706, 아이캐슬빌딩 1,2,4층 (논현동)","","한국허벌라이프㈜","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","202647.939435719","445895.523560174","다단계판매업","14775000100","1208165742",
"16","다단계판매업체","08_26_01_P","6110000","20136110000041000032","2013-11-08","","01","영업/정상","2","영업","","","","","0221375490","","06734","서울특별시 서초구 서초동  1365번지 22호 원효빌딩","서울특별시 서초구 남부순환로 2561, 원효빌딩 2층(서초동)","","도테라코리아 유한회사","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","202635.064895972","442464.835255709","다단계판매업","500000000","2208859855",
"17","다단계판매업체","08_26_01_P","6260000","20256260000041000003","2025-07-28","","01","영업/정상","BBBB","영업","","","","","","","46985","부산광역시 사상구 감전동  138번지 1호","부산광역시 사상구 학감대로 252, 7층 (감전동)","","뉴비아코리아(주)","2026-01-14 00:00:00","U","2026-01-16 02:40:00","","381329.26948445","185597.096499839","다단계판매업","524484256","2338112600",
"18","다단계판매업체","08_26_01_P","6530000","20246530000041000001","2024-05-21","","01","영업/정상","1","영업","","","","","0803450700","","25263","강원특별자치도 횡성군 둔내면 우용리 153번지 2호","강원특별자치도 횡성군 둔내면 우용로97번길 55-5","","(주)라이프밀","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","308511.776862511","443665.812117617","다단계판매업","220000000","8838801095",
"19","다단계판매업체","08_26_01_P","6410000","20256410000041100003","2025-05-12","","01","영업/정상","1","영업","","","","","0215515752","","13646","경기도 성남시 수정구 창곡동  562번지 0호 아이페리온 410호","경기도 성남시 수정구 위례광장로 19, 아이페리온 4층 410호 (창곡동)","","주식회사 댄다코리아","2026-01-15 00:00:00","U","2026-01-17 02:40:00","","212355.507064265","440400.141858706","다단계판매업","500000000","8398803475",
