"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","방문판매업","08_26_02_P","4060000","2025406055223200006","2022-10-11","","01","영업/정상","01","정상영업","","","","","","","","경기도 파주시 문산읍 선유리 ***-*","경기도 파주시 문산읍 사임당로 **","10813","(주)지안컴스","2025-12-31 17:24:27","I","2026-01-03 00:20:02","","182181.609940379","484348.999284826","1202072580","736345730","200000000","",
"2","방문판매업","08_26_02_P","5130000","2025513018023200009","2021-02-24","","01","영업/정상","01","정상영업","","","","","","","","경상북도 경산시 하양읍 금락리 **-*","경상북도 경산시 하양읍 하양로 ***, *층","38434","비에스 컴퍼니","2025-12-31 14:43:07","I","2026-01-03 00:20:02","","364148.382464193","269739.8703022","0","0","0","",
"3","방문판매업","08_26_02_P","3180000","2025318025423200021","2023-08-04","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 영등포구 대림동 **** 신대림자이","서울특별시 영등포구 시흥대로 ***-*, *층 ***호 (대림동, 신대림자이)","07445","주식회사 티에이바이오","2025-12-31 14:21:07","I","2026-01-03 00:20:02","","191285.015028707","442649.873938101","0","0","5000000","",
"4","방문판매업","08_26_02_P","3680000","2009368009223200025","2009-09-09","","03","폐업","03","폐업처리","2025-12-31","","","","042-337-1900","","306-824","대전광역시 대덕구 중리동 ***번지 *호 *층","대전광역시 대덕구 한밭대로 **** (중리동,*층)","","상생방송 주식회사","2025-12-31 14:45:17","U","2026-01-03 02:40:00","","238016.738515433","317700.618087003","717496580","141283856","1200000000","",
"5","방문판매업","08_26_02_P","3940000","2024395005223200015","2024-10-31","","03","폐업","03","폐업처리","2025-12-31","","","","","","","경기도 고양시 덕양구 토당동 ***-* 선정빌딩","경기도 고양시 덕양구 토당로 ***, 선정빌딩 ***호 (토당동)","10506","큐필드시스템","2025-12-31 09:29:41","U","2026-01-03 02:40:00","","183873.53603434","458331.669021881","0","0","0","",
"6","방문판매업","08_26_02_P","3930000","2015393028723200049","2015-06-01","","03","폐업","03","폐업처리","2025-12-30","","","","031-406-0100","","","","경기도 안산시 상록구 양지편로 **, ***호 (이동, 조강빌딩)","15494","주식회사엠아이씨티","2025-12-31 18:43:15","U","2026-01-03 02:40:00","","186725.823336385","423033.453773718","1192706690","85604800","33665864","",
"7","방문판매업","08_26_02_P","3940000","2016396012823200011","2016-03-22","","03","폐업","03","폐업처리","2025-12-31","","","","","","","","경기도 고양시 일산동구 무궁화로 **, ***호 (장항동, 남정씨티프라자)","10401","제이비즈웍스(jbizworks)","2025-12-31 12:52:27","U","2026-01-03 02:40:00","","179492.666132508","462272.008263397","0","0","0","",
"8","방문판매업","08_26_02_P","3940000","2016410012523200014","2016-11-02","","03","폐업","03","폐업처리","2025-12-31","","","","","","","","경기도 고양시 일산서구 일중로 **, ***호 (일산동)","10353","주식회사 미화스토리","2025-12-31 17:19:55","U","2026-01-03 02:40:00","","180012.503211314","464352.991395963","20000000","100000000","100000000","",
"9","방문판매업","08_26_02_P","3310000","2021331011923200011","2021-11-10","","03","폐업","03","폐업처리","2025-12-31","","","","051-625-6524","","","부산광역시 남구 대연동 **-*","부산광역시 남구 황령대로 ***(대연동)","48510","퍼퓨어그룹코리아","2025-12-31 14:50:27","U","2026-01-03 02:40:00","","391973.193723552","184149.245554696","0","0","0","",
"10","방문판매업","08_26_02_P","5220000","2025522011823200010","2025-10-31","","03","폐업","03","폐업처리","2025-12-31","","","","","","","경상북도 칠곡군 왜관읍 왜관리 ***-*","경상북도 칠곡군 왜관읍 관문로 **, 일성빌딩 *층","39898","리더스클럽","2025-12-31 17:57:14","U","2026-01-03 02:40:00","","326181.94190298","277191.697368757","0","0","0","",
