"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","자본금의규모","사업자등록번호",
"1","후원방문판매업체","08_26_05_P","6480000","20216480000301000194","2021-11-17","","03","폐업","4","폐업","2025-12-30","","","","","","51424","경상남도 창원시 성산구 반림동  *번지 *호 럭키반림아파트 *동 ****호","경상남도 창원시 성산구 반송로 ***, *동 ****호(반림동, 럭키반림아파트)","","인셀덤벨르대리점","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","351766.29985487","194576.426596786","후원방문판매업","0","3771201936",
"2","후원방문판매업체","08_26_05_P","6270000","20226270000301000100","2022-11-29","","03","폐업","4","폐업","2025-12-31","","","","","","41246","대구광역시 동구 신천동  ****번지 *호 동대구비스타동원 ***동 ****호","대구광역시 동구 화랑로 **, ***동 ****호 (신천동, 동대구비스타동원)","","엑소바이옴 메이약손테라피지점","2025-12-31 00:00:00","U","2026-01-03 02:40:00","","347411.421442131","264634.832933179","후원방문판매업","0","4151902935",
"3","후원방문판매업체","08_26_05_P","6470000","20146470000301000010","2014-04-24","","03","폐업","4","폐업","2025-12-30","","","","0549714944","","718-805","경상북도 칠곡군 왜관읍 왜관리 ***번지 *호","경상북도 칠곡군 왜관읍 중앙로*길 **","","오휘왜관지사","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","326024.022440657","277732.016842176","후원방문판매업","0","5131905589",
"4","후원방문판매업체","08_26_05_P","6410000","20216410000301100928","2021-10-20","","03","폐업","4","폐업","2025-12-29","","","","","","14423","경기도 부천시 원종동  ***번지 *호 로얄하이츠 A동 ***호","경기도 부천시 성지로**번길 **, A동 ***호(원종동, 로얄하이츠)","","인셀덤 서담","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","","","후원방문판매업","0","1522201355",
"5","후원방문판매업체","08_26_05_P","6410000","20216410000301100708","2021-09-30","","03","폐업","4","폐업","2025-12-29","","","","","","16658","경기도 수원시 권선구 세류동  ****번지 **호 세류팰리스 ***호","경기도 수원시 권선구 정조로***번길 **-**, 세류팰리스 ***호(세류동)","","인셀덤 코리아","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","201293.148066338","415942.15537375","후원방문판매업","0","4522001469",
"6","후원방문판매업체","08_26_05_P","6410000","20206410000301100422","2020-06-30","","03","폐업","4","폐업","2025-12-24","","","","","","14109","경기도 안양시 동안구 호계동  ****번지 *호 ***호","경기도 안양시 동안구 갈산로 **, ***호 (호계동)","","인셀덤 평촌점","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","196517.869733795","430342.213377759","후원방문판매업","0","3311101345",
"7","후원방문판매업체","08_26_05_P","6410000","20216410000301100535","2021-08-31","","03","폐업","4","폐업","2025-12-24","","","","","","16635","경기도 수원시 권선구 오목천동  ***번지 *호 ***호","경기도 수원시 권선구 삼천병마로****번길 *, ***호(오목천동)","","미소해 인셀덤","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","196718.511543841","415893.401016031","후원방문판매업","0","5322301354",
"8","후원방문판매업체","08_26_05_P","6410000","20216410000301100539","2021-08-31","","03","폐업","4","폐업","2025-12-29","","","","","","14600","경기도 부천시 상동  ***번지 *호 사랑마을 상가동 ***호","경기도 부천시 장말로 ***, 사랑마을 상가동 ***호(상동)","","인셀덤 상동햅번점","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","","","후원방문판매업","0","6510301924",
"9","후원방문판매업체","08_26_05_P","6410000","20216410000301100376","2021-06-30","","03","폐업","4","폐업","2025-12-25","","","","","","","경기도 용인시 기흥구 영덕동  **번지 *호 두진아파트 ***동 ****호","경기도 용인시 기흥구 덕영대로****번길 *, ***동 ****호 (영덕동, 두진아파트)","","인셀덤 프로제이","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","208457.275307613","418540.585851922","후원방문판매업","0","3093084146",
"10","후원방문판매업체","08_26_05_P","6410000","20206410000301100542","2020-10-29","","03","폐업","4","폐업","2025-12-24","","","","","","16948","경기도 용인시 기흥구 영덕동  ****번지 *호 ***호","경기도 용인시 기흥구 흥덕*로**번길 **, *층 ***호 (영덕동)","","인셀덤 용인대리점","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","208137.915060601","419126.10967826","후원방문판매업","0","4532101208",
"11","후원방문판매업체","08_26_05_P","6410000","20156410000301200018","2015-04-02","","03","폐업","4","폐업","2025-12-30","","","","0319439506","","413-819","경기도 파주시 금촌동  ***번지 **호 광우프라자 ***호","경기도 파주시 시청로 **, ***호 (금촌동,광우프라자)","","아모레금촌특약점","2026-01-02 00:00:00","U","2026-01-04 02:40:00","","180216.522229359","472988.377281799","후원방문판매업","0","1081745371",
"12","후원방문판매업체","08_26_05_P","6470000","20266470000301000001","2026-01-05","","01","영업/정상","BBBB","영업","","","","","0549714944","","39886","경상북도 칠곡군 왜관읍 왜관리 ***번지 **호","경상북도 칠곡군 왜관읍 *번도로길 ***","","럭셔리미래점","2026-01-05 00:00:00","I","2026-01-07 00:20:36","","325947.24384295","278256.594691501","후원방문판매업","0","4172688091",
"13","후원방문판매업체","08_26_05_P","6530000","20266530000301000001","2026-01-06","","01","영업/정상","BBBB","영업","","","","","","","26487","강원특별자치도 원주시 단구동  ****번지 *호 원주프리미엄아울렛 ***호","강원특별자치도 원주시 서원대로 ***, 원주프리미엄아울렛 *층 ***호 (단구동)","","라비다샵 원주","2026-01-06 00:00:00","I","2026-01-09 00:20:01","","284818.874360771","425225.032426821","후원방문판매업","0","7261802390",
"14","후원방문판매업체","08_26_05_P","6410000","20206410000301100239","2020-04-28","","03","폐업","4","폐업","2025-12-31","","","","","","11921","경기도 구리시 인창동  ***번지 *호 태영빌딩 ***호","경기도 구리시 건원대로 **, 태영빌딩 ***호(인창동)","","인셀덤&현갤러리","2026-01-06 00:00:00","U","2026-01-09 02:40:00","","","","후원방문판매업","0","1321938071",
"15","후원방문판매업체","08_26_05_P","6410000","20216410000301100850","2021-10-20","","03","폐업","4","폐업","2025-12-31","","","","","","14579","경기도 부천시 중동  ****번지 *호 미리내마을 제상가건물동 ***호","경기도 부천시 조마루로 ***, 미리내마을 제상가건물동 ***호(중동)","","어메이징 인셀덤8","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","","","후원방문판매업","0","6260801904",
"16","후원방문판매업체","08_26_05_P","6410000","20216410000301100677","2021-09-30","","03","폐업","4","폐업","2025-12-31","","","","","","13998","경기도 안양시 만안구 안양동  ***번지 *호 *층","경기도 안양시 만안구 장내로 ***, *층(안양동)","","온누리 인셀덤","2026-01-06 00:00:00","U","2026-01-09 02:40:00","","","","후원방문판매업","0","5612301390",
"17","후원방문판매업체","08_26_05_P","6410000","20216410000301100483","2021-07-28","","03","폐업","4","폐업","2025-12-31","","","","","","16918","경기도 용인시 기흥구 언남동  ***번지 *호 하마비마을동부센트레빌 ***동 ***호","경기도 용인시 기흥구 구성로 **, ***동 ***호(언남동, 하마비마을 동부센트레빌)","","조이 인셀덤","2026-01-06 00:00:00","U","2026-01-09 02:40:00","","210712.229761223","421448.406508308","후원방문판매업","0","6125400674",
"18","후원방문판매업체","08_26_05_P","6410000","20226410000301100629","2022-06-14","","03","폐업","4","폐업","2025-12-31","","","","","","10300","경기도 고양시 일산동구 풍동  ***번지 *호 ***호","경기도 고양시 일산동구 백마로 ***, *층 ***호(풍동)","","인셀덤(일산지점)","2026-01-07 00:00:00","U","2026-01-09 02:40:00","","182611.696261572","462257.965848912","후원방문판매업","0","6924600812",
"19","후원방문판매업체","08_26_05_P","6440000","20266440000301000001","2026-01-08","","01","영업/정상","BBBB","영업","","","","","0427210827","","32806","충청남도 계룡시 엄사면 엄사리 ***번지 *호","충청남도 계룡시 엄사면 번영*길 **-**, *층","","에스자리 더마 주식회사","2026-01-08 00:00:00","I","2026-01-10 00:20:07","","221401.985905508","310025.484968676","후원방문판매업","0","2238603604",
"20","후원방문판매업체","08_26_05_P","6260000","20136260000301000246","2013-08-14","","03","폐업","4","폐업","2024-12-26","","","","0514685466","","48775","부산광역시 동구 수정동  *번지 **호 메티칼센터","부산광역시 동구 중앙대로 *** (수정동)","","오휘수정지사","2026-01-08 00:00:00","U","2026-01-10 02:40:00","","386700.372580527","183080.55223507","후원방문판매업","0","6052573223",
