"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자본금","거래처",
"1","석유및석유대체연료판매업체","09_28_07_P","6260000","202562600006500044","2025-12-18","","01","영업/정상","7","영업개시","","","","","","","46020","부산광역시 기장군 정관읍 예림리 384-1 주유소","부산광역시 기장군 정관읍 신정관로 188, 주유소 2층","46020","(주)우성해운","2025-12-31 00:00:00","U","2026-01-03 02:40:00","일반대리점","400091.839064491","205561.136762082","100000000","기타",
"2","석유및석유대체연료판매업체","09_28_07_P","6260000","202562600006500009","2025-03-18","","03","폐업","3","폐지","2025-12-30","","","","","","48957","부산광역시 중구 중앙동2가 10번지 대신펠리체","부산광역시 중구 중앙대로49번길 3, 대신펠리체 1103호 (중앙동2가)","48957","(주)지산마린","2025-12-31 00:00:00","U","2026-01-03 02:40:00","일반대리점","385568.388510129","179981.058394205","100000000","기타",
"3","석유및석유대체연료판매업체","09_28_07_P","6260000","202562600006500016","2025-04-08","","01","영업/정상","7","영업개시","","","","","0514412242","","48557","부산광역시 남구 감만동 500-2 판테라오피스텔 1410호","부산광역시 남구 무민사로 13, 1410호 (감만동, 판테라오피스텔)","48557","(주)에프비오에너지","2025-12-31 00:00:00","U","2026-01-03 02:40:00","일반대리점","385674.317230089","180237.208895005","100000000","기타",
"4","석유및석유대체연료판매업체","09_28_07_P","6260000","202262600006500018","2022-05-31","","01","영업/정상","7","영업개시","","","","","0512315553","","49254","부산광역시 서구 충무동1가 34-4 성해빌딩 405호","부산광역시 서구 해안새벽시장길 36, 성해빌딩 405호(충무동1가)","49254","(주)대영이앤디","2025-12-31 00:00:00","U","2026-01-03 02:40:00","일반대리점","384592.910511125","179170.711341274","100000000","기타",
"5","석유및석유대체연료판매업체","09_28_07_P","6260000","202562600006500001","2025-01-07","","01","영업/정상","7","영업개시","","","","","","","48943","부산광역시 중구 중앙동5가 18번지 경보이리스오션","부산광역시 중구 대교로 141, 경보이리스오션 1706호 (중앙동5가)","48943","(주)제이에이치마린","2025-12-31 00:00:00","U","2026-01-03 02:40:00","일반대리점","385686.445609655","180066.205934737","100000000","기타",
"6","석유및석유대체연료판매업체","09_28_07_P","6500000","199065000006500001","1990-02-28","","01","영업/정상","7","영업개시","","","","","0647578161","","","제주특별자치도 제주시 건입동 902번지 8호","제주특별자치도 제주시 임항로 162 (건입동)","63280","(주)한라석유","2026-01-07 00:00:00","U","2026-01-09 02:40:00","일반대리점","157260.343335819","2777.73544643103","650000000","S-Oil",
"7","석유및석유대체연료판매업체","09_28_07_P","6260000","202662600006500001","2026-01-09","","01","영업/정상","1","신규","","","","","","","48798","부산광역시 동구 초량동 172-24 501호","부산광역시 동구 중앙대로 243-8, 5층 501호 (초량동)","48798","(주)한솔산업","2026-01-09 00:00:00","I","2026-01-11 00:20:02","일반대리점","386034.405665302","181898.158148095","100000000","기타",
"8","석유및석유대체연료판매업체","09_28_07_P","6260000","202262600006500010","2022-03-29","","02","휴업","5","사업휴지","","","","","0512442823","","48955","부산광역시 중구 중앙동6가 66-3 부산데파트 314호","부산광역시 중구 중앙대로 21, 부산데파트 3층 314호(중앙동6가)","48955","㈜보해해운","2026-01-09 00:00:00","U","2026-01-11 02:40:00","일반대리점","385601.609224712","179713.921730815","100000000","기타",
"9","석유및석유대체연료판매업체","09_28_07_P","6260000","201662600006500015","2016-06-13","","01","영업/정상","7","영업개시","","","","","0515215854","","48543","부산광역시 남구 감만동 82-2 삼화주유소","부산광역시 남구 우암로 92, 삼화주유소 (감만동)","48543","부산벙커앤오일(주)","2026-01-09 00:00:00","U","2026-01-11 02:40:00","일반대리점","389612.016512271","181924.156658616","100000000","기타",
"10","석유및석유대체연료판매업체","09_28_07_P","6260000","202062600006500020","2020-10-16","","02","휴업","5","사업휴지","","","","","0518171065","","47257","부산광역시 부산진구 부전동 474-80 유원골든타워오피스텔","부산광역시 부산진구 서면문화로 27, 유원골든타워오피스텔 1320호 (부전동)","47257","㈜수상에너지","2026-01-14 00:00:00","U","2026-01-16 02:40:00","일반대리점","387225.613588405","186408.726533861","100000000","기타",
"11","석유및석유대체연료판매업체","09_28_07_P","6110000","202061100006500001","2020-02-19","","01","영업/정상","7","영업개시","","","","","0226655808","","07501","서울특별시 강서구 개화동 303-3","서울특별시 강서구 금낭화로26가길 152-14 (개화동)","07501","오일스토리 주식회사","2026-01-15 00:00:00","U","2026-01-17 02:40:00","일반대리점","183253.33820858","453707.024251114","100000000","기타",
