"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업종구분명","설계감리업종류명","소속국가명","실질자본금",
"1","전력기술감리업체","09_28_12_P","6540000","202364500008600001","2023-02-14","","01","영업/정상","1","인허가","","","","","0635382753","","56162","전북특별자치도 정읍시 시기동 204-53","전북특별자치도 정읍시 대흥3길 16-7, 2층(시기동)","56162","(주)백석이엔씨","2026-01-02 17:32:40","U","2026-01-04 02:40:00","","186416.762998995","229597.663329679","감리업","전문감리업","","90891112",
"2","전력기술감리업체","09_28_12_P","6500000","201965000008600002","2019-08-01","","01","영업/정상","1","인허가","","","","","0647943644","","63528","제주특별자치도 서귀포시 안덕면 사계리 320번지","제주특별자치도 서귀포시 안덕면 산방로288번길 44, 1층","63528","주식회사 제현엔지니어링","2026-01-06 14:26:34","U","2026-01-09 02:40:00","","135049.150823988","-28596.3217968655","감리업","전문감리업","대한민국","50000000",
"3","전력기술감리업체","09_28_12_P","6430000","201864300008600005","2018-09-03","","01","영업/정상","1","인허가","","","","","0430000000","","27163","충청북도 제천시 청전동 485-49","충청북도 제천시 명륜로4길 4, 1층 101호 (청전동)","27163","한경이엔지","2026-01-06 18:05:05","U","2026-01-09 02:40:00","","239010.6234622","349120.175075603","감리업","전문감리업","","78542064",
"4","전력기술감리업체","09_28_12_P","6480000","202064800008600006","2020-04-29","","01","영업/정상","1","인허가","","","","","0552943329","","51522","경상남도 창원시 성산구 중앙동 97-6 캔버라호텔 407호","경상남도 창원시 성산구 중앙대로61번길 4, 캔버라호텔 407호 (중앙동)","51522","주식회사 에이엔기술단","2026-01-07 11:21:13","U","2026-01-09 02:40:00","","352595.840681082","192615.576018815","감리업","종합감리업","대한민국","845000000",
"5","전력기술감리업체","09_28_12_P","6540000","202565400008600008","2025-11-03","","03","폐업","3","폐업","","","","","0632718471","","54954","전북특별자치도 전주시 완산구 서신동 860-6","전북특별자치도 전주시 완산구 전룡로 36, 2층 (서신동)","54954","동재감리 주식회사","2026-01-06 18:59:45","U","2026-01-09 02:40:00","","210504.086138143","258478.244358374","감리업","전문감리업","","1084100990",
"6","전력기술감리업체","09_28_12_P","6540000","202565400008600009","2025-11-03","","03","폐업","3","폐업","","","","","0632748471","","54954","전북특별자치도 전주시 완산구 서신동 860-6","전북특별자치도 전주시 완산구 전룡로 36, 2층 (서신동)","54954","미래컨설턴트 주식회사","2026-01-06 18:59:57","U","2026-01-09 02:40:00","","210504.086138143","258478.244358374","감리업","전문감리업","","780744060",
"7","전력기술감리업체","09_28_12_P","6540000","200464500008600001","2004-07-01","","01","영업/정상","1","인허가","","","","","0632252751","","54877","전북특별자치도 전주시 완산구 효자동3가 703번지","전북특별자치도 전주시 완산구 천잠로 531 (효자동3가)","54877","(주)길종합건축사사무소이엔지","2026-01-07 15:32:39","U","2026-01-09 02:40:00","","","","감리업","종합감리업","대한민국","50000000",
"8","전력기술감리업체","09_28_12_P","6480000","202664800008600001","2022-01-27","","01","영업/정상","1","인허가","","","","","","","50231","경상남도 합천군 합천읍 합천리 322-22","경상남도 합천군 합천읍 대야로 880-4, 제2동 202호","50231","주식회사 유현이엔씨","2026-01-08 11:27:07","I","2026-01-10 00:20:07","","305394.61794112","230289.003140421","감리업","전문감리업","대한민국","0",
"9","전력기술감리업체","09_28_12_P","6460000","202264600008600003","2022-01-27","","01","영업/정상","1","인허가","","","","","0618207558","","50231","경상남도 합천군 합천읍 합천리 322-22","경상남도 합천군 합천읍 대야로 880-4","50231","주식회사 유현이엔씨","2026-01-09 09:00:29","U","2026-01-11 02:40:00","","305394.61794112","230289.003140421","감리업","전문감리업","","0",
"10","전력기술감리업체","09_28_12_P","6430000","200564300008600005","2005-11-29","","01","영업/정상","1","인허가","","","","","0432736016","","28576","충청북도 청주시 흥덕구 송정동 279-5 세중테크노밸리 306,307호","충청북도 청주시 흥덕구 공단로 134, 세중테크노밸리 306,307호 (송정동)","28576","㈜태창전기설계사무소","2026-01-10 12:23:01","U","2026-01-12 02:40:00","","239010.6234622","349120.175075603","감리업","종합감리업","대한민국","0",
"11","전력기술감리업체","09_28_12_P","6460000","201764600008600009","2017-11-07","","01","영업/정상","1","인허가","","","","","07051688949","","58659","전라남도 목포시 상동 788-4 플래티늄오피스텔 603호","전라남도 목포시 양을로532번길 2, 플래티늄오피스텔 603호 (상동)","58659","(주)대담","2026-01-12 14:29:01","U","2026-01-14 02:40:00","","147161.140166176","145934.112154209","감리업","종합감리업","","0",
"12","전력기술감리업체","09_28_12_P","6480000","202564800008600009","2025-03-27","","01","영업/정상","1","인허가","","","","","0557249666","","50900","경상남도 김해시 삼계동 1455-2","경상남도 김해시 가야로157번길 22-5, 1층 (삼계동)","50900","주식회사 금빛건설엔지니어링","2026-01-12 17:59:39","U","2026-01-14 02:40:00","","370490.842257197","197619.610170009","감리업","전문감리업","대한민국","50309272",
"13","전력기술감리업체","09_28_12_P","6260000","202462600008600001","2024-01-19","","01","영업/정상","1","인허가","","","","","0513121356","","47006","부산광역시 사상구 주례동 60-8 동서빌딩 1301호","부산광역시 사상구 가야대로 370, 동서빌딩 1301호 (주례동)","47006","(주)태경엔지니어링","2026-01-13 11:20:41","U","2026-01-15 02:40:00","","383357.296661898","185392.274752991","감리업","전문감리업","대한민국","50000000",
"14","전력기술감리업체","09_28_12_P","6540000","202665400008600001","2026-01-14","","01","영업/정상","1","인허가","","","","","0632365077","","54999","전북특별자치도 전주시 완산구 다가동4가 141-3","전북특별자치도 전주시 완산구 대동로 12, 3층 (다가동4가)","54999","(주)도원이엔지","2026-01-14 13:46:40","I","2026-01-16 00:20:02","","212322.062248076","257866.909677501","감리업","전문감리업","","0",
"15","전력기술감리업체","09_28_12_P","6460000","200564600008600004","2005-05-24","","01","영업/정상","1","인허가","","","","","0617924671","","57923","전라남도 순천시 가곡동 988-5 301호","전라남도 순천시 안신기3길 8, 301호 (가곡동)","57923","(주)오성EM","2026-01-14 17:48:04","U","2026-01-16 02:40:00","","243872.543665716","164141.71406957","감리업","종합감리업","대한민국","0",
