"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","사용목적","사용방법","월사용량","수용정원수","시설사용여부",
"1","특정고압가스업","09_28_14_P","3240000","2026324028812200001","2026-01-02","","01","영업/정상","BBBB","","","","","","","","","서울특별시 강동구 상일동 149 강동경희대학교병원","서울특별시 강동구 동남로 892, 강동경희대학교병원 (상일동)","05278","강동경희대학교병원","2026-01-02 09:10:40","I","2026-01-04 00:20:12","","213839.356195548","450118.261707983","환자 건강 회복용","기체산소","900","667","",
"2","특정고압가스업","09_28_14_P","4900000","2026490010212200001","2026-01-02","","01","영업/정상","BBBB","","","","","","","","","전라남도 화순군 청풍면 세청리 51-13","전라남도 화순군 청풍면 학포로 595-22","58161","청풍수산","2026-01-02 14:55:36","I","2026-01-04 00:20:12","","198639.614386202","154709.588146702","내수면 양식업","산소공급","10000","5","",
"3","특정고압가스업","09_28_14_P","5710000","2026573502412200001","2026-01-05","","01","영업/정상","BBBB","","","","","","","","","충청북도 청주시 청원구 오창읍 송대리 319-5","충청북도 청주시 청원구 오창읍 양청송대길 81","28118","㈜다쓰테크","2026-01-05 11:04:36","I","2026-01-07 00:20:36","","239454.723470499","357537.121290815","연료전지 시험용","실린더를 통하여 공급·사용","99","3","",
"4","특정고압가스업","09_28_14_P","4990000","2005499001102700003","2005-06-08","","03","폐업","2","폐지","2025-12-31","","","","5552600","","","전라남도 완도군 완도읍 죽청리 975","전라남도 완도군 완도읍 농공단지8길 11","","옥비수산","2026-01-05 16:15:36","U","2026-01-07 02:40:00","","175738.076909351","93600.869591978","어류양식","폐지","0","0","",
"5","특정고압가스업","09_28_14_P","4990000","2006499006602700022","2006-12-13","","03","폐업","2","폐지","2025-12-31","","","","061 5548153","","","전라남도 완도군 신지면 송곡리 665-19","전라남도 완도군 완도읍 완도로 1950","","한들수산","2026-01-05 16:33:47","U","2026-01-07 02:40:00","","178774.637367287","92545.7089766893","어류양식","어류양식","12000","3","",
"6","특정고압가스업","09_28_14_P","4990000","2008499006612200005","2008-05-30","","03","폐업","2","폐지","2025-12-31","","","","","","","전라남도 완도군 완도읍 죽청리 976","전라남도 완도군 완도읍 농공단지8길 7","","풍성수산","2026-01-05 17:37:43","U","2026-01-07 02:40:00","","175760.582685637","93563.8240804837","축양장 산소 공급","축양장 산소 공급","4900","1","",
"7","특정고압가스업","09_28_14_P","4990000","2007499006602700001","2007-01-18","","03","폐업","2","폐지","2025-12-31","","","","061 5540053","","","전라남도 완도군 완도읍 죽청리 974","전라남도 완도군 완도읍 농공단지8길 15","","해진수산","2026-01-05 16:21:21","U","2026-01-07 02:40:00","","175674.62","93605.0999999999","축양장 산소공급","폐지","15000","5","",
"8","특정고압가스업","09_28_14_P","4990000","2006499006602700010","2006-05-19","","03","폐업","2","폐지","2025-12-31","","","","061 5550019","","","전라남도 완도군 완도읍 죽청리 950","전라남도 완도군 완도읍 농공단지8길 31","","대해수산","2026-01-05 16:30:17","U","2026-01-07 02:40:00","","175624.173596514","93774.4614377916","어류양식","어류양식","12000","3","",
"9","특정고압가스업","09_28_14_P","4990000","2012499010112200008","2012-06-15","","01","영업/정상","1","사용중","","","","","","","","전라남도 완도군 완도읍 가용리 1090","전라남도 완도군 완도읍 농공단지9길 32-7","59108","하연수산","2026-01-05 16:18:01","U","2026-01-07 02:40:00","","175975.129765604","93207.3128789476","양식장내 산소공급","용해산소 공급","4944","1","",
"10","특정고압가스업","09_28_14_P","5670000","2018567056612200004","2018-11-09","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 서상동 666-8 메트로병원","경상남도 창원시 의창구 평산로219번길 3, 메트로병원 (서상동)","51370","메트로병원","2026-01-05 16:14:53","U","2026-01-07 02:40:00","","347877.544329477","196928.54256609","의료용","용기보관실에서 배관 공급","760","273","",
"11","특정고압가스업","09_28_14_P","5670000","2018567056612200005","2018-11-23","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 소답동 139-6 창산빌딩","경상남도 창원시 의창구 의안로2번길 31, 창산빌딩 (소답동)","51200","창원삼성요양병원","2026-01-05 16:10:42","U","2026-01-07 02:40:00","","348002.471405683","197039.718843936","의료용","용기보관실에서 배관 공급","900","199","",
"12","특정고압가스업","09_28_14_P","5670000","2018567056612200006","2018-12-03","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 북면 내곡리 1234-1 시립창원요양병원","경상남도 창원시 의창구 북면 단내로 499-32, 시립창원요양병원","51104","의료법인 우산의료재단 시립창원요양병원","2026-01-05 16:09:52","U","2026-01-07 02:40:00","","343044.630952918","206692.031444682","의료용","용기보관실에서 배관 공급","625.6","175","",
"13","특정고압가스업","09_28_14_P","5670000","2019567056612200001","2019-05-09","","01","영업/정상","1","사용중","","","","","","","","경상남도 창원시 의창구 동정동 540 엘르메디의원","경상남도 창원시 의창구 서상로 1, 엘르메디의원 (동정동)","51191","엘르메디산부인과의원","2026-01-05 16:12:02","U","2026-01-07 02:40:00","","346755.050349948","197086.156944366","의료용","의료용 기체산소 용기 저장","800","15","",
