"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","전문인력총수","자본금","시설장비","타기관이전여부",
"1","지하수영향조사기관","09_29_02_P","3990000","S002841110103592000","2012-03-29","","01","영업/정상","1","영업","","","","","","","","경기도 남양주시 별내동 974-1 동광 비즈타워 별내","경기도 남양주시 순화궁로 272, 동광 비즈타워 별내 533호 (별내동)","12106","(주)에스알이앤씨","2026-01-02 15:22:03","U","2026-01-04 02:40:00","","211348.256031066","461027.650120853","9","0","수소이온농도 측정기(PH Meter)
전기전도도 측정기(EC Meter)
수위 측정기(Deeper-100)
수온 측정기(온도계)","0",
"2","지하수영향조사기관","09_29_02_P","5350000","S001801110551845L00","2012-09-07","","01","영업/정상","1","영업","","","","","","","","경상남도 김해시 대청동 301-5 트윈스빌딩 505호","","","(주)디엠엔지니어링","2026-01-05 10:58:36","U","2026-01-07 02:40:00","","364012.296237332","189617.703864337","3","0","1.지하수위 측정기
2.수질측정기(pH,EC,온도)","0",
"3","지하수영향조사기관","09_29_02_P","5080000","S001101110929806L00","2021-09-03","","01","영업/정상","1","영업","","","","","","","","경상북도 구미시 송정동 447-2","","","(주)다산컨설턴트","2026-01-05 13:25:11","U","2026-01-07 02:40:00","","321756.407245933","291848.485397961","3","0","-지하수위계(KMC-001S) 길이10m (이동식) 2010.04.29.취득
- 현장수질측정기(StarA-3295) pH, 수온, 전기전도도, 용존산소, 산화환원전위, 총용존고형물 등 (이동식) 2015.02.13.취득","0",
"4","지하수영향조사기관","09_29_02_P","5350000","S001955110175757L00","2024-04-12","","01","영업/정상","1","영업","","","","","","","","경상남도 김해시 대청동 301-5","","","세움건설(주)","2026-01-05 09:51:44","U","2026-01-07 02:40:00","","364012.296237332","189617.703864337","3","0","지하수 수위측정기 :WL-50
수소이온농도,수온,전기측정장비:HI98192","0",
"5","지하수영향조사기관","09_29_02_P","4050000","S001345110428703L00","2021-03-30","","01","영업/정상","1","영업","","","","","","","","경기도 용인시 기흥구 영덕동 1315","경기도 용인시 기흥구 중부대로 184, 힉스유타워 A동 523-1호 (영덕동)","17095","주식회사 지앤비이앤지","2026-01-07 14:32:28","I","2026-01-09 00:20:01","","207954.10748572","418552.765838324","3","0","지하수위 측정기, 수소이온농도(pH), 수온, 전기전도도(EC), 수위","0",
"6","지하수영향조사기관","09_29_02_P","4500000","S001601110212673L00","2014-05-14","","01","영업/정상","1","영업","","","","","","","","충청남도 공주시 계룡면 월암리 252-4","","","(주)친한건설","2026-01-08 21:58:14","U","2026-01-10 02:40:00","","212683.590150224","317543.31064843","3","0","지하수수위측정기, 수소이온농도(pH), 수온측정장비, 전기전도도 측정장비","0",
"7","지하수영향조사기관","09_29_02_P","4540000","S001647110145092L00","2026-01-09","","01","영업/정상","1","영업","","","","","","","","충청남도 논산시 내동 934","충청남도 논산시 시민로210번길 20, 3층 302호 (내동)","32989","주식회사 아토엔지니어링","2026-01-09 11:25:41","I","2026-01-11 00:20:02","","208856.531386415","298338.389348031","3","0","(임대차계약)
- 수동수위측정기 1식
- 다항목수질측정기 1식(HANNA HI9813-6)","0",
"8","지하수영향조사기관","09_29_02_P","3000000","S001101112153015L00","2024-01-22","","01","영업/정상","1","영업","","","","","","","","서울특별시 종로구 계동 140-2 현대빌딩","","","현대엔지니어링(주)","2026-01-13 09:08:28","U","2026-01-15 02:40:00","","198817.289034611","452901.786745273","5","0","지하수위측정장비, 현장용수질측정기, 가스크로마토그라프","0",
"9","지하수영향조사기관","09_29_02_P","4450000","S001543110016871L00","2025-04-18","","01","영업/정상","1","영업","","","","","","","","충청북도 진천군 진천읍 교성리 262-1","충청북도 진천군 진천읍 문화로 141, 2층 201호","27841","(주)동서엔지니어링 종합건축사사무소","2026-01-13 15:44:08","U","2026-01-15 02:40:00","","238697.936627756","372517.677042514","3","0","장비 2대 소유
- 수위측정기(RWL 100M) 1대
- 수질측정기(HI991300) 1대 (pH, 수온, 전기전도도 측정)","0",
"10","지하수영향조사기관","09_29_02_P","4810000","S002001110547063L00","2022-07-19","","01","영업/정상","1","영업","","","","","","","","전라남도 여수시 학동 99-7","전라남도 여수시 시청동1길 17, 504호 (학동)","59689","만승엔지니어링(주)","2026-01-13 16:14:11","U","2026-01-15 02:40:00","","260689.797404384","140280.465783707","3","0","1. 지하수위측정기
2. 수소이온농도, 수온, 전기전도도 측정 장비","0",
"11","지하수영향조사기관","09_29_02_P","4550000","S001642110027969L00","2021-01-13","","01","영업/정상","1","영업","","","","","","","","충청남도 금산군 추부면 마전리 435-7","충청남도 금산군 추부면 태봉길 28","32713","주식회사태인이엔지","2026-01-13 10:26:12","U","2026-01-15 02:40:00","","242101.037716212","298859.515046921","3","0","수질측정기. 지하수위측정기","0",
"12","지하수영향조사기관","09_29_02_P","5670000","S001942110286692L00","2025-09-09","","01","영업/정상","1","영업","","","","","","","","경상남도 창원시 의창구 동읍 용정리 144-10","경상남도 창원시 의창구 동읍 자여로112번길 24","51135","덕산이엔지 주식회사","2026-01-14 11:11:15","U","2026-01-16 02:40:00","","354785.657584524","198501.032781649","3","0","지하수위측정기(에이스인스트루먼트 4550)
다항목수질측정기(HANNA HI-9813-61)","0",
"13","지하수영향조사기관","09_29_02_P","3430000","S002301110069623L00","2021-12-30","2026-01-14","03","폐업","2","취소정지업체","","","","","","","","대구광역시 서구 상리동 512-1 2층","대구광역시 서구 새방로27길 46, 2층 (상리동)","41751","(주)용현건설","2026-01-14 16:04:28","U","2026-01-16 02:40:00","","","","3","0","수위측정기 1대
pH,수온,EC측정기 1대","0",
"14","지하수영향조사기관","09_29_02_P","5670000","S001901110074853L00","2010-09-27","","01","영업/정상","1","영업","","","","","","","","경상남도 창원시 마산회원구 두척동 378-1","경상남도 창원시 마산회원구 두척1길 95, 1층 (두척동)","51310","(주)호성","2026-01-15 09:57:52","U","2026-01-17 02:40:00","","340084.101632007","193971.487573337","3","0","","0",
