"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","건물위생관리업","09_30_04_P","5080000","5080000-206-2025-00017","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","730-932","경상북도 구미시 황상동 307-45 2층 다동 3호","경상북도 구미시 인동중앙로5길 16-8, 다동 2층 3호 (황상동)","39430","화진","2025-12-31 11:06:24","I","2026-01-03 00:20:02","건물위생관리업","327899.130956629","290653.745152348","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"2","건물위생관리업","09_30_04_P","5580000","5580000-206-2025-00001","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","321-933","충청남도 계룡시 엄사면 유동리 80","충청남도 계룡시 엄사면 계백로 3021, 2층 205호","32829","신명기업","2025-12-31 14:08:56","I","2026-01-03 00:20:02","건물위생관리업","221134.106255138","308358.242425128","건물위생관리업","0","0","2","0","0","0","","","","","0","0","N",
"3","건물위생관리업","09_30_04_P","5590000","5590000-206-2025-00025","2025-12-31","","01","영업/정상","01","영업","","","","","","14.70","482-090","경기도 양주시 봉양동 715-3 1층 일부","경기도 양주시 평화로1970번길 203, 1층 일부 (봉양동)","11447","사단법인 해가든장애인협회 희망센터","2025-12-31 17:07:49","I","2026-01-03 00:20:02","건물위생관리업","205527.115654682","483910.795698518","건물위생관리업","0","0","1","1","0","0","","","","","0","0","N",
"4","건물위생관리업","09_30_04_P","5590000","5590000-206-2025-00024","2025-12-31","","01","영업/정상","01","영업","","","","","","16.34","482-060","경기도 양주시 덕정동 132-12 4층 일부","경기도 양주시 덕정길 28, 4층 일부 (덕정동)","11450","덕정마을관리 사회적협동조합","2025-12-31 11:07:50","I","2026-01-03 00:20:02","건물위생관리업","205552.929933711","482373.034093921","건물위생관리업","0","0","4","4","0","0","","","","","0","0","N",
"5","건물위생관리업","09_30_04_P","3330000","3330000-206-2025-00011","2025-12-31","","01","영업/정상","01","영업","","","","","","165.00","612-815","부산광역시 해운대구 반여동 1470-76","부산광역시 해운대구 선수촌로 57-30, 2층 (반여동)","48038","주식회사 로이안에이치앤에프","2025-12-31 14:56:16","I","2026-01-03 00:20:02","건물위생관리업","392740.405750642","190970.976598521","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"6","건물위생관리업","09_30_04_P","3460000","3460000-206-2025-00012","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","706-825","대구광역시 수성구 범어동 730-1 3층","대구광역시 수성구 범어천로 54, 3층 (범어동)","42140","클린스쿨대구","2025-12-31 13:41:04","I","2026-01-03 00:20:02","건물위생관리업","346634.210978235","262506.0535677","건물위생관리업","0","0","3","3","0","0","","","","","0","0","N",
"7","건물위생관리업","09_30_04_P","4681000","4681000-206-2025-00017","2025-12-31","","01","영업/정상","01","영업","","","","","","16.57","","전북특별자치도 익산시 마동 142-5","전북특별자치도 익산시 고봉로 111, 1층 (마동)","54626","청소광","2025-12-31 13:48:51","I","2026-01-03 00:20:02","건물위생관리업","196758.502649839","271374.623039601","건물위생관리업","1","0","0","0","0","0","","","","","0","0","N",
"8","건물위생관리업","09_30_04_P","4080000","4080000-206-2025-00010","2025-12-31","","01","영업/정상","01","영업","","","","","","20.00","456-310","경기도 안성시 금산동 137-3 2층","경기도 안성시 중앙로367번길 70, 2층 203호 (금산동)","17580","다올 이앤씨","2025-12-31 13:55:25","I","2026-01-03 00:20:02","건물위생관리업","223886.499894999","389936.090109545","건물위생관리업","3","0","2","0","0","0","","","","임대","0","0","N",
"9","건물위생관리업","09_30_04_P","5690000","5690000-206-2025-00036","2025-12-31","","01","영업/정상","01","영업","","","","","","44.40","339-882","세종특별자치시 조치원읍 정리 59-1 풍산아파트","세종특별자치시 조치원읍 새내8길 22-13, 101동 118호 (풍산아파트)","30027","주식회사 그린피아1","2025-12-31 10:42:34","I","2026-01-03 00:20:02","건물위생관리업","226774.655703049","344239.276237013","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"10","건물위생관리업","09_30_04_P","5670000","5670184-206-2025-00007","2025-12-31","","01","영업/정상","01","영업","","","","","","0.00","630-855","경상남도 창원시 마산회원구 내서읍 용담리 433 1층","경상남도 창원시 마산회원구 내서읍 용담로 199, 지상1층","51211","(주)한유건축","2025-12-31 11:11:37","I","2026-01-03 00:20:02","건물위생관리업 기타","336147.767652699","197195.358999223","건물위생관리업 기타","0","0","1","1","0","0","","","","임대","0","0","N",
"11","건물위생관리업","09_30_04_P","5350000","5350000-206-2008-00008","2008-09-03","","03","폐업","02","폐업","2025-12-31","","","","055 326 5169","95.22","621-120","경상남도 김해시 흥동 313","경상남도 김해시 전하로124번길 38-18, 1층 (흥동)","50941","주식회사 에이제이씨(AJC)","2025-12-31 16:22:29","U","2026-01-03 02:40:00","건물위생관리업","369387.660636538","192492.981533298","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"12","건물위생관리업","09_30_04_P","4170000","4170000-206-2013-00002","2013-04-15","","03","폐업","02","폐업","2021-12-31","","","","070 77797721","26.00","476-802","경기도 양평군 양평읍 양근리 527-8","경기도 양평군 양평읍 양근로 118-2","12554","엔씨티환경","2025-12-31 17:35:52","U","2026-01-03 02:40:00","건물위생관리업","242859.619427854","443738.684054924","건물위생관리업","1","1","1","1","0","0","","","","","0","0","N",
"13","건물위생관리업","09_30_04_P","3740000","3760000-206-2023-00009","2023-07-05","","03","폐업","02","폐업","2025-12-31","","","","","0.00","441-460","경기도 수원시 권선구 금곡동 1115-1 아주리센 테라스파크","경기도 수원시 권선구 금곡로197번길 18-82, 아주리센 테라스파크 301호 (금곡동)","16391","클린스쿨경기","2025-12-31 17:17:19","U","2026-01-03 02:40:00","건물위생관리업","196006.793201154","419342.654984946","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
"14","건물위생관리업","09_30_04_P","3490000","3490000-206-2019-00001","2019-03-29","","01","영업/정상","01","영업","","","","","032 743 4129","1482.82","400-340","인천광역시 중구 운서동 2850-13 인하국제의료센터 7층","인천광역시 중구 공항로424번길 84, 인하국제의료센터 7층 (운서동)","22382","인천공항운영서비스 주식회사","2025-12-31 13:41:01","U","2026-01-03 02:40:00","건물위생관리업","152483.345859058","437559.776364304","건물위생관리업","0","0","0","0","0","0","","","","임대","0","0","N",
"15","건물위생관리업","09_30_04_P","3740000","5610000-206-2004-00004","2004-03-31","","01","영업/정상","01","영업","","","","","031 2112281","37.37","443-801","경기도 수원시 영통구 매탄동 196-80","경기도 수원시 영통구 매여울로 16-1 (매탄동)","16524","주식회사 영광환경","2025-12-31 13:00:01","U","2026-01-03 02:40:00","건물위생관리업","204136.629925035","418760.894646719","건물위생관리업","3","1","1","1","","","","","","","","","N",
"16","건물위생관리업","09_30_04_P","3670000","3670000-206-2009-00017","2009-03-24","","01","영업/정상","01","영업","","","","","042 526 2929","28.42","305-250","대전광역시 유성구 교촌동 643-13 지상1층","대전광역시 유성구 교촌로6번길 17, 지상1층 (교촌동)","34225","(주)강남씨스템","2025-12-31 13:58:36","U","2026-01-03 02:40:00","건물위생관리업","228200.835318643","311139.804832582","건물위생관리업","0","0","0","0","0","0","","","","","0","2","N",
"17","건물위생관리업","09_30_04_P","4281000","4281000-206-2010-00001","2010-03-08","","03","폐업","02","폐업","2025-12-31","","","","07077233333","64.00","","강원특별자치도 평창군 대관령면 횡계리 357-72","강원특별자치도 평창군 대관령면 송전길 19-7","25342","(합)우민","2025-12-31 19:13:55","U","2026-01-03 02:40:00","건물위생관리업","350806.269652695","463797.991842648","건물위생관리업","16","0","14","0","0","0","","","","임대","0","1","N",
"18","건물위생관리업","09_30_04_P","3740000","3760000-206-2019-00019","2019-12-12","","01","영업/정상","01","영업","","","","","031 295 8413","32.76","441-440","경기도 수원시 권선구 탑동 790-7 가림빌라18차","경기도 수원시 권선구 상탑로39번길 33, 1층 101호 (탑동, 가림빌라18차)","16605","KC종합관리","2025-12-31 15:20:31","U","2026-01-03 02:40:00","건물위생관리업","197711.056444583","418966.885895172","건물위생관리업","0","0","0","0","0","0","","","","","0","0","N",
