"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","환경업무구분명","업종구분명","종별명","주생산품명","배출시설조업시간","배출시설연간가동일수","방지시설조업시간","방지시설연간가동일수",
"1","분뇨수집운반업","09_30_10_P","5020000","502000053200000008","1987-11-27","","01","영업/정상","11","영업","","","","","054-286-0033","","791-944","경상북도 포항시 북구 흥해읍 이인리 246-1","경상북도 포항시 북구 흥해읍 달전로 176","","신진위생","2026-01-01 00:13:46","U","2026-01-03 02:40:00","","410337.447589326","286935.945550635","분뇨등관련영업관리","","","","","0","","0",
"2","분뇨수집운반업","09_30_10_P","3440000","344000053200100005","1999-05-17","","01","영업/정상","11","영업","","","","","628-3200","","","대구광역시 남구 대명동 1889-14","대구광역시 남구 명덕로 134-1 (대명동)","42409","(주)하림위생","2025-12-31 13:14:44","U","2026-01-03 02:40:00","","343080.677254516","262945.796109498","분뇨등관련영업관리","","","","","0","","0",
"3","분뇨수집운반업","09_30_10_P","4050000","405000053201900001","2019-02-07","","01","영업/정상","11","영업","","","","","0312817000","","449-822","경기도 용인시 처인구 양지읍 주북리 891-5","경기도 용인시 처인구 양지읍 주북로53번길 12-4","","대림환경(주)","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","221171.72162497","416427.779901291","분뇨등관련영업관리","","","","","0","","0",
"4","분뇨수집운반업","09_30_10_P","4050000","405000053201900003","2019-04-08","","01","영업/정상","11","영업","","","","","0312817000","","449-822","경기도 용인시 처인구 양지읍 주북리 891-5","경기도 용인시 처인구 양지읍 주북로53번길 12-4","","대림환경(주)","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","221171.72162497","416427.779901291","분뇨등관련영업관리","","","","","0","","0",
"5","분뇨수집운반업","09_30_10_P","3130000","313000053199610001","1996-08-21","","01","영업/정상","11","영업","","","","","3764074","","","서울특별시 마포구 성산동 160-4","서울특별시 마포구 월드컵로36길 50 (성산동)","03940","마포환경산업(주)","2026-01-02 10:38:09","U","2026-01-04 02:40:00","","191598.76712914","451781.423226488","분뇨등관련영업관리","","","","","0","","0",
"6","분뇨수집운반업","09_30_10_P","3560000","356000053199900002","1999-07-15","","01","영업/정상","11","영업","","","","","032-567-5030","","","인천광역시 서구 원창동 381-48 건원프라자 404호","인천광역시 서구 북항로32번안길 41, 건원프라자 4층 404호 일부호 (원창동)","22769","청명환경","2026-01-02 13:43:28","U","2026-01-04 02:40:00","","168694.059319607","445315.564254762","분뇨등관련영업관리","","","","","0","","0",
"7","분뇨수집운반업","09_30_10_P","3430000","343000053199200001","1992-02-27","","01","영업/정상","11","영업","","","","","0535630500","","703-836","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","703-836","서부정화조(유)","2026-01-02 15:50:46","U","2026-01-04 02:40:00","분뇨 처리업","340307.732388784","265104.435003872","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"8","분뇨수집운반업","09_30_10_P","3430000","343000053200000001","2000-08-18","","01","영업/정상","11","영업","","","","","053-554-0500","","","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","41762","(주)강변정화위생","2026-01-02 16:59:17","U","2026-01-04 02:40:00","분뇨 처리업","340307.732388784","265104.435003872","분뇨등관련영업관리","분뇨 처리업","","","","0","","0",
"9","분뇨수집운반업","09_30_10_P","3430000","343000053200000004","1994-01-13","","01","영업/정상","11","영업","","","","","0535558200","","703-016","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","","(주)서구정화","2026-01-02 15:49:45","U","2026-01-04 02:40:00","","340307.732388784","265104.435003872","분뇨등관련영업관리","","","","","0","","0",
"10","분뇨수집운반업","09_30_10_P","3430000","343000053200000005","2000-08-18","","01","영업/정상","11","영업","","","","","0535640808","","703-836","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","703-836","(주)신세계위생","2026-01-02 15:50:46","U","2026-01-04 02:40:00","","340307.732388784","265104.435003872","분뇨등관련영업관리","","","","","0","","0",
"11","분뇨수집운반업","09_30_10_P","3430000","343000053200000008","2000-08-18","","01","영업/정상","11","영업","","","","","0535632211","","703-016","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","","삼화정화위생(주)","2026-01-02 15:50:47","U","2026-01-04 02:40:00","","340307.732388784","265104.435003872","분뇨등관련영업관리","","","","","0","","0",
"12","분뇨수집운반업","09_30_10_P","3430000","343000053200000009","2000-08-18","","01","영업/정상","11","영업","","","","","0535648882","","703-836","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","703-836","달구정화(주)","2026-01-02 15:48:42","U","2026-01-04 02:40:00","","340307.732388784","265104.435003872","분뇨등관련영업관리","","","","","0","","0",
"13","분뇨수집운반업","09_30_10_P","3430000","343000053200000010","2000-08-18","","01","영업/정상","11","영업","","","","","0533418585","","703-836","대구광역시 서구 평리동 617-18","대구광역시 서구 서대구로 201 (평리동)","703-836","(주)대경정화조","2026-01-02 15:48:44","U","2026-01-04 02:40:00","","340307.732388784","265104.435003872","분뇨등관련영업관리","","","","","0","","0",
"14","분뇨수집운반업","09_30_10_P","5400000","540000053198100001","1981-09-07","","01","영업/정상","11","영업","","","","","055  5833241","","637-801","경상남도 함안군 가야읍 묘사리 878-4","경상남도 함안군 가야읍 삼봉로 445","52034","연강산업(주)","2026-01-02 20:49:42","U","2026-01-04 02:40:00","폐기물 수집운반업","","","분뇨등관련영업관리","폐기물 수집운반업","","","","0","","0",
"15","분뇨수집운반업","09_30_10_P","4050000","562000053198300001","1983-10-14","","01","영업/정상","11","영업","","","","","0312817000","","449-822","경기도 용인시 처인구 양지읍 주북리 891-5","경기도 용인시 처인구 양지읍 주북로53번길 12-4","","대림환경(주)","2026-01-02 10:55:03","U","2026-01-04 02:40:00","","221171.72162497","416427.779901291","분뇨등관련영업관리","","","","","0","","0",
