"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","업소구분명","소재지","지정일자","신청일자","항목값1",
"1","쓰레기종량제봉투판매업","09_30_13_P","4271000","427100014202500005","2025-12-31","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 영월군 무릉도원면 운학리 831-7","강원특별자치도 영월군 무릉도원면 도원운학로 1455","26200","미니 편의점","2025-12-31 14:00:16","I","2026-01-03 00:20:02","","305433.873375516","425788.628770772","지정","강원특별자치도 영월군 무릉도원면 운학리 831-7","","20251229","관급봉투",
"2","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014202500053","2025-12-31","","01","영업/정상","11","영업","","","","","","","","경기도 김포시 양촌읍 양곡리 350-3","경기도 김포시 양촌읍 양곡4로 99, 1층","10057","주식회사 도매까","2025-12-31 11:22:50","I","2026-01-03 00:20:02","","166451.622195718","461766.148385874","지정","경기도 김포시 양촌읍 양곡리 350-3","20251231","20251230","관급봉투",
"3","쓰레기종량제봉투판매업","09_30_13_P","5530000","553000014202500117","2025-12-31","","01","영업/정상","11","영업","","","","","","","","경기도 화성시 산척동 718 동탄 더 레이크 팰리스","경기도 화성시 동탄대로8길 35, 상가동 1층 104,105호 (산척동, 동탄 더 레이크 팰리스)","18501","지에스25 산척레이크점","2025-12-31 10:21:25","I","2026-01-03 00:20:02","","209611.192665036","407736.826097718","지정","경기도 화성시 산척동 718 동탄 더 레이크 팰리스","20251231","20251231","관급봉투",
"4","쓰레기종량제봉투판매업","09_30_13_P","5530000","553000014202500118","2025-12-31","","01","영업/정상","11","영업","","","","","","","","경기도 화성시 송산면 마산리 696-14","경기도 화성시 송산면 송산서로 121","18545","씨유(CU) 화성송산산단점","2025-12-31 11:53:10","I","2026-01-03 00:20:02","","","","지정","","","20251231","관급봉투",
"5","쓰레기종량제봉투판매업","09_30_13_P","4211000","421100014202200009","2022-04-06","","01","영업/정상","11","영업","","","","","","","","강원특별자치도 동해시 송정동 848-11","강원특별자치도 동해시 송정중앙로 53-2, 세븐일레븐 동해송정점 (송정동)","25786","세븐일레븐 동해송정점","2026-01-01 15:49:53","U","2026-01-03 02:40:00","","387948.924441159","446144.560839162","지정","강원특별자치도 동해시 송정동 848-11","20220406","20220404","관급봉투",
"6","쓰레기종량제봉투판매업","09_30_13_P","3900000","390000014202200011","2022-02-14","","01","영업/정상","11","영업","","","","","02-2290-5937","","","경기도 광명시 철산동 637 종합상가동","경기도 광명시 광덕산로 5, 종합상가동 2층 109호 (철산동)","14241","(주)롯데슈퍼 철산점","2025-12-31 14:51:58","U","2026-01-03 02:40:00","","188352.684388529","441123.772898718","지정","경기도 광명시 철산동 637 종합상가동","20230724","20220211","관급봉투",
"7","쓰레기종량제봉투판매업","09_30_13_P","4090000","409000014201700063","2017-08-18","","01","영업/정상","11","영업","","","","","031-8049-2521","","","경기도 김포시 장기동 2031 e편한세상 캐널시티","경기도 김포시 김포한강2로 41 (장기동, e편한세상 캐널시티)","10090","롯데쇼핑(주)롯데마트 김포한강점","2025-12-31 11:09:34","U","2026-01-03 02:40:00","","171471.604963288","459839.83969575","지정","경기도 김포시 장기동 2031번지","20170818","20170818","관급봉투",
"8","쓰레기종량제봉투판매업","09_30_13_P","5530000","553000014201300339","2013-04-02","","03","폐업","2","폐업","2025-12-31","","","","","","","경기도 안산시 단원구 고잔동 720 호수공원대림아파트 113동 1402호","경기도 안산시 단원구 광덕서로 19, 113동 1402호 (고잔동, 호수공원대림아파트)","15484","씨유 화성삼성디오네점","2025-12-31 11:32:58","U","2026-01-03 02:40:00","","184303.335260488","422730.687370719","지정","경기도 화성시 석우동 18번지 4호 117, 118호","20120710","20120710","관급봉투",
"9","쓰레기종량제봉투판매업","09_30_13_P","5530000","553000014201500074","2015-09-18","","01","영업/정상","11","영업","","","","","","","","경기도 화성시 청계동 514-3","경기도 화성시 동탄대로시범길 257, 참조은프라자 101~103, 106~108호 (청계동)","18477","롯데쇼핑(주) 롯데슈퍼 동탄청계점","2025-12-31 10:01:46","U","2026-01-03 02:40:00","","209030.986985425","411128.9051691","지정","경기도 화성시 청계동 514-3","20210121","20210119","관급봉투",
"10","쓰레기종량제봉투판매업","09_30_13_P","3990000","399000014201400124","2014-06-08","","01","영업/정상","11","영업","","","","","","","","경기도 남양주시 진접읍 부평리 613-2","경기도 남양주시 진접읍 광릉내로 17-1","12020","롯데쇼핑(주) 롯데슈퍼 남양주 진접점","2025-12-31 16:04:36","U","2026-01-03 02:40:00","","217388.720596565","471109.179944509","지정","경기도 남양주시 진접읍 부평리 613-2","20140812","20140812","관급봉투",
"11","쓰레기종량제봉투판매업","09_30_13_P","3990000","399000014202500029","2025-05-28","","01","영업/정상","11","영업","","","","","","","","경기도 구리시 인창동 430 구리유통종합상가","경기도 구리시 동구릉로136번길 57, 구리유통종합상가 A동 101, 201호 (인창동)","11915","롯데쇼핑(주)롯데마트 그랑그로서리 구리점","2025-12-31 15:21:03","U","2026-01-03 02:40:00","","212367.118425352","456712.576784184","지정","경기도 구리시 인창동 430 구리유통종합상가","20250528","20250528","관급봉투",
"12","쓰레기종량제봉투판매업","09_30_13_P","4721000","472100014201500023","2015-10-15","","01","영업/정상","11","영업","","","","","063-225-8989","","","전북특별자치도 완주군 이서면 상개리 585-40","전북특별자치도 완주군 이서면 이서로 47-8","55366","이서효마트","2025-12-31 13:19:58","U","2026-01-03 02:40:00","","201906.018956538","257841.084062553","지정","전북특별자치도 완주군 이서면 상개리 585-40","20170515","20170512","관급봉투",
"13","쓰레기종량제봉투판매업","09_30_13_P","3450000","345000014201100040","2011-12-30","","01","영업/정상","11","영업","","","","","3815601","","702-762","대구광역시 북구 복현동 539-113","대구광역시 북구 검단로 34 (복현동)","702-762","*롯데쇼핑㈜롯데슈퍼복현점","2025-12-31 17:32:28","U","2026-01-03 02:40:00","","345920.691972187","267900.078213745","종료","대구광역시 북구 복현동 539번지 123호","20120502","20120502","관급봉투",
"14","쓰레기종량제봉투판매업","09_30_13_P","3130000","313000014201400016","2014-10-13","","01","영업/정상","11","영업","","","","","","","121-805","서울특별시 마포구 공덕동 467","서울특별시 마포구 마포대로 109 (공덕동)","121-805","롯데프리미엄 푸드마켓공덕점","2025-12-31 09:18:54","U","2026-01-03 02:40:00","","195564.375757848","449186.933273231","지정","서울특별시 마포구 공덕동 467번지","20141013","20170424","관급봉투",
