"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호",
"1","환경전문공사업","09_30_16_P","3180000","318000067201300001","2013-04-15","","01","영업/정상","BBBB","영업","","","","","023685059","","","서울특별시 영등포구 여의도동 35-6","서울특별시 영등포구 국제금융로6길 42 (여의도동)","07328","주식회사 삼천리이에스","2026-01-02 11:24:07","U","2026-01-04 02:40:00","환경 관련 엔지니어링 서비스업","193345.22196413","446531.983116649","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"2","환경전문공사업","09_30_16_P","5350000","535000067202400001","2024-07-08","","01","영업/정상","BBBB","영업","","","","","055-332-6783","","","경상남도 김해시 부원동 656-1","경상남도 김해시 호계로422번길 34-5 (부원동)","50924","(주)한영에스디","2026-01-02 17:30:45","U","2026-01-04 02:40:00","환경설비 건설업","371866.917857792","193820.707312483","0","환경전문공사업","0","우림환경(주)","","","","","","","","","","","","","","","","","","","",
"3","환경전문공사업","09_30_16_P","6300000","630000009202500001","2026-01-02","","01","영업/정상","N","신규","","","","","","","34368","대전광역시 대덕구 대화동 289-1 대전산업용재유통상가 18동 169호","대전광역시 대덕구 대화로 160, 대전산업용재유통상가 18동 169호 (대화동)","34368","동인ENG","2026-01-02 13:20:57","U","2026-01-04 02:40:00","","236019.893489066","318423.179224484","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"4","환경전문공사업","09_30_16_P","6410000","641000009202600001","2026-01-05","","01","영업/정상","N","신규","","","","","","","","경기도 하남시 덕풍동 833번지 현대지식산업센터한강미사2차(26BL) B동 811호","경기도 하남시 미사대로 540, 현대지식산업센터한강미사2차(26BL) B동 811호 (덕풍동)","","(주)씨씨에스","2026-01-05 13:12:33","I","2026-01-07 00:20:36","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"5","환경전문공사업","09_30_16_P","6410000","641000009200700078","2026-01-05","","01","영업/정상","N","신규","","","","","","","413-808","경기도 파주시 금촌1동   777-2번지 안일빌딩 3층","경기도 파주시 중앙로 247, 3층 (금촌동,안일빌딩)","413-808","신성종합환경","2026-01-05 13:13:10","U","2026-01-07 02:40:00","","180391.182187972","472891.112126057","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"6","환경전문공사업","09_30_16_P","6460000","646000009201300002","2026-01-06","","01","영업/정상","N","신규","","","","","","","534-823","전라남도 무안군 삼향읍 103번지","전라남도 무안군 삼향읍 삼향로 88","534-823","성호그린테크(주)","2026-01-06 20:41:01","U","2026-01-09 02:40:00","","149855.461668936","147095.338008817","0","환경전문공사업","50","","","","","","","","","","","","","","","","","","","","",
"7","환경전문공사업","09_30_16_P","6470000","647000009202200031","2022-04-22","","03","폐업","Q","폐업","2026-01-07","","","","","","36751","경상북도 안동시 정하동 289-8","경상북도 안동시 강남7길 23-10 (정하동)","36751","(주)오빌이앤씨","2026-01-07 11:06:16","U","2026-01-09 02:40:00","","355195.816203915","340152.237070718","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"8","환경전문공사업","09_30_16_P","6470000","647000009201900026","2021-03-08","","03","폐업","Q","폐업","2026-01-06","","","","","","36751","경상북도 안동시 정하동 289-8","경상북도 안동시 강남7길 23-10 (정하동)","36751","(주)오빌이앤씨","2026-01-07 11:05:55","U","2026-01-09 02:40:00","","355195.816203915","340152.237070718","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"9","환경전문공사업","09_30_16_P","3010000","301000067202200001","2022-11-04","","01","영업/정상","BBBB","영업","","","","","02-2182-3215","","","서울특별시 중구 장교동 1 한화빌딩","서울특별시 중구 청계천로 86, 한화빌딩 (장교동)","04541","(주)한화","2026-01-06 09:18:20","U","2026-01-09 02:40:00","","198744.433228989","451677.065126229","0","환경전문공사업","0","(주)산업공해연구소","","","","","","","","","","","","","","","","","","","",
"10","환경전문공사업","09_30_16_P","5670000","567014067201700001","2017-06-02","","03","폐업","2","폐업","2026-01-05","","","","0552668494","","","경상남도 창원시 성산구 상남동 71-2 양지빌딩 201호","경상남도 창원시 성산구 중앙대로 56, 201호 (상남동)","","(주)그린환경연구원","2026-01-06 10:09:26","U","2026-01-09 02:40:00","","352679.630712017","192464.784063443","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"11","환경전문공사업","09_30_16_P","5670000","567014067202300001","2023-10-24","","03","폐업","2","폐업","2026-01-05","","","","0552668494","","","경상남도 창원시 성산구 상남동 71-2 양지빌딩","경상남도 창원시 성산구 중앙대로 56, 양지빌딩 2층 (상남동)","51504","(주)그린환경연구원","2026-01-06 10:10:00","U","2026-01-09 02:40:00","","352679.630712017","192464.784063443","0","환경전문공사업","0","(주)그린환경연구원 김해지점 공동사용","4825011100","","1","1002","15","","","","","","48250","4825011100","1","3352444","(풍유동)","0","20","10","50967",
"12","환경전문공사업","09_30_16_P","6310000","631000009202600001","2026-01-08","","01","영업/정상","N","신규","","","","","","","44989","울산광역시 울주군 청량읍 용암리 315-20","울산광역시 울주군 청량읍 온산로 342-25","44989","(주)티이씨","2026-01-08 16:58:24","I","2026-01-10 00:20:07","","411197.621745208","221446.335801468","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"13","환경전문공사업","09_30_16_P","6310000","631000009202300015","2026-01-08","","01","영업/정상","N","신규","","","","","","","44776","울산광역시 남구 두왕동 772-11","울산광역시 남구 테크노산업로29번길 128 (두왕동)","44776","대덕테크(주)","2026-01-08 17:02:24","U","2026-01-10 02:40:00","","","","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"14","환경전문공사업","09_30_16_P","3170000","317000067202000008","2020-12-29","","01","영업/정상","BBBB","영업","","","","","02-6956-6221","","","서울특별시 금천구 가산동 345-25 에이스태세라타워","서울특별시 금천구 가산디지털2로 46, 에이스태세라타워 2층 202호 (가산동)","08589","(주)데오테크","2026-01-08 14:16:57","U","2026-01-10 02:40:00","","189551.828842866","441176.227446057","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"15","환경전문공사업","09_30_16_P","6430000","643000009202600001","2026-01-09","","01","영업/정상","N","신규","","","","","","","361-842","충청북도 청주시흥덕구 운천동   1367번지","충청북도 청주시 흥덕구 사운로 242 (운천동)","","(주)유진환경","2026-01-09 10:23:33","I","2026-01-11 00:20:02","","242411.128381407","349937.124993109","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
"16","환경전문공사업","09_30_16_P","6280000","628000009201600008","2026-01-09","","01","영업/정상","N","신규","","","","","","","404-320","인천광역시 서구 원당동   824번지 2호","인천광역시 서구 원당대로 841, 6층 (원당동,골든벨프라자)","404-320","브니엘네이처(주)","2026-01-09 16:18:12","U","2026-01-11 02:40:00","","173004.149998088","454691.162000708","0","환경전문공사업","0","","2818510500","406130","1","795","7","","","1층","","","28185","2818510500","1","4256223","1층","0","47","","",
"17","환경전문공사업","09_30_16_P","6270000","627000009201200005","2026-01-09","","01","영업/정상","N","신규","","","","","","","42156","대구광역시 수성구 중동 584-1","대구광역시 수성구 청수로 10, 3층 (중동)","42156","기림환경산업(주)","2026-01-09 14:03:05","U","2026-01-11 02:40:00","","345314.862155412","261271.159386719","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","",
