"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","당구장업","10_32_01_P","4880000","CDFH3301082025000001","2025-12-31","","01","영업/정상","13","영업중","","","","","","","","전라남도 고흥군 동일면 백양리 860-5","전라남도 고흥군 동일면 우주로 2582-4, 2층","59567","정당구장","2025-12-31 10:51:29","I","2026-01-03 00:20:02","","242729.091595354","111983.14094858","당구장업","사립","","0","0","0","0","","",
"2","당구장업","10_32_01_P","6510000","CDFH3301082025000009","2025-12-31","","01","영업/정상","13","영업중","","","","","0647253309","","","제주특별자치도 제주시 화북일동 1967-1","제주특별자치도 제주시 진동로5길 40, 2층 (화북일동)","63289","캡틴당구장","2025-12-31 10:37:05","I","2026-01-03 00:20:02","","159712.929770072","2878.58483744027","당구장업","사립","","0","0","0","0","","",
"3","당구장업","10_32_01_P","3620000","CDFH3301081998000025","1998-07-31","","01","영업/정상","13","영업중","","","","","269-1013","","","광주광역시 북구 삼각동 755-16 삼각동 모아,호반아파트","광주광역시 북구 설죽로370번길 25, 삼각동 모아,호반아파트 상가동 지하1호 (삼각동)","61051","포커스당구장","2025-12-31 11:16:24","U","2026-01-03 02:40:00","","190897.996915835","188303.206636534","당구장업","사립","","0","0","0","0","","",
"4","당구장업","10_32_01_P","3620000","CDFH3301082008000009","2008-03-07","","01","영업/정상","13","영업중","","","","","514-2062","","","광주광역시 북구 용봉동 555-9","광주광역시 북구 설죽로202번길 64, 1층 (용봉동)","61185","소호당구장","2025-12-31 11:19:53","U","2026-01-03 02:40:00","","190909.070126878","186426.76114539","당구장업","사립","","0","1","370","0","","",
"5","당구장업","10_32_01_P","5460000","CDFH3301082011000001","2011-11-16","","01","영업/정상","13","영업중","","","","","055-963-9967","","","경상남도 함양군 마천면 가흥리 609-2","경상남도 함양군 마천면 천왕봉로 1144-2","50055","마천당구클럽","2026-01-01 10:02:57","U","2026-01-03 02:40:00","","260122.178284611","210879.782340742","당구장업","사립","","","","867.3","","","",
"6","당구장업","10_32_01_P","3940000","CDFH3301082005000029","2005-09-12","","01","영업/정상","13","영업중","","","","","031-902-0255","","410-817","경기도 고양시 일산동구 백석동 1318 비잔티움 1단지 202호","경기도 고양시 일산동구 호수로 340-38, 202호 (백석동,비잔티움 1단지)","","왕당구클럽","2025-12-31 16:05:27","U","2026-01-03 02:40:00","","181287.550497474","459640.607210325","당구장업","사립","","","","","","","",
"7","당구장업","10_32_01_P","3010000","CDFH3301081989000032","1989-11-16","","01","영업/정상","13","영업중","","","","","","","100-865","서울특별시 중구 태평로2가 318-1 뉴서울당구 장동","","","구슬모아","2025-12-31 13:23:08","U","2026-01-03 02:40:00","","197811.631981967","451219.934068037","당구장업","사립","0","","","","","","",
"8","당구장업","10_32_01_P","3050000","CDFH3301082024000001","2024-02-26","","04","취소/말소/만료/정지/중지","35","직권말소","2025-12-31","","","","","","","서울특별시 동대문구 전농동 103-292","서울특별시 동대문구 전농로 231, 3층 (전농동)","02556","아지트 당구클럽","2025-12-31 20:55:02","U","2026-01-03 02:40:00","","204573.260557681","453580.091918829","당구장업","사립","","0","0","0","0","","",
"9","당구장업","10_32_01_P","3830000","CDFH3301082023000001","2023-01-06","","01","영업/정상","13","영업중","","","","","","","","경기도 안양시 만안구 안양동 192-20","경기도 안양시 만안구 전파로 43, 2층 (안양동)","14085","정 당구클럽","2026-01-01 12:06:45","U","2026-01-03 02:40:00","","","","당구장업","사립","","0","0","660.07","0","","",
"10","당구장업","10_32_01_P","3820000","CDFH3301082008000007","2008-03-13","","01","영업/정상","13","영업중","","","","","031-832-2116","","","경기도 의정부시 신곡동 680-8 지층","경기도 의정부시 추동로5번길 5, 지층 (신곡동)","11740","동오당구장","2025-12-31 17:18:19","U","2026-01-03 02:40:00","","204916.984354694","471164.186989617","당구장업","사립","","0","0","0","0","","",
