"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","수영장업","10_35_01_P","4520000","CDFH3301011998000001","1998-12-04","","03","폐업","03","폐업","2020-08-12","","","","041-541-7100","","336-912","충청남도 아산시 도고면 기곡리 17-10","충청남도 아산시 도고면 도고온천로 124-23","","도고글로리 수영장","2026-01-02 10:20:32","U","2026-01-04 02:40:00","","190044.207871306","362646.351867897","수영장업","사립","","1","0","23008.37","0","","",
"2","수영장업","10_35_01_P","3100000","CDFH3301012012000001","2012-05-14","","01","영업/정상","13","영업중","","","","","","","139-859","서울특별시 노원구 중계동 358-6 지하1층","서울특별시 노원구 한글비석로 325, 지하1층 (중계동)","01711","주식회사 노원키즈웨이브","2026-01-02 15:12:19","U","2026-01-04 02:40:00","","206787.785139191","461559.743384567","수영장업","사립","","","","","","","",
"3","수영장업","10_35_01_P","3150000","CDFH3301012016000001","2016-02-17","","01","영업/정상","13","영업중","","","","","3665-6881","","","서울특별시 강서구 내발산동 646-1 순봉빌딩 B1층","서울특별시 강서구 공항대로 290, B1층 (내발산동, 순봉빌딩)","07646","오션 차일드","2026-01-02 13:18:51","U","2026-01-04 02:40:00","","185769.038881853","450647.924741271","수영장업","사립","Y","1","0","5561.42","0","","",
"4","수영장업","10_35_01_P","4170000","CDFH3301012021000001","2021-11-25","","01","영업/정상","13","영업중","","","","","031-772-2311","","","경기도 양평군 강상면 화양리 45","경기도 양평군 강상면 강남로 1361-38, Kobaco 연수원","12572","Kobaco 연수원","2026-01-05 10:11:23","U","2026-01-07 02:40:00","","243561.371315762","439039.288782353","수영장업","사립","","0","0","0","0","","",
"5","수영장업","10_35_01_P","4170000","CDFH3301011999000001","1999-06-25","","01","영업/정상","13","영업중","","","","","031-774-3131","","","경기도 양평군 지평면 월산리 576-1","경기도 양평군 지평면 월산저수지길 21","12541","(주)미리내수련원","2026-01-05 10:10:11","U","2026-01-07 02:40:00","","257388.456517406","442263.111792046","수영장업","사립","Y","0","0","0","0","","",
"6","수영장업","10_35_01_P","4170000","CDFH3301012003000001","2003-04-30","","01","영업/정상","13","영업중","","","","","031-772-8363","","476-892","경기도 양평군 개군면 공세리 389-7","경기도 양평군 개군면 신내길7번길 55","","(주)대명레저산업 양평지점 수영장","2026-01-05 10:10:53","U","2026-01-07 02:40:00","","247062.604055608","440894.530372369","수영장업","사립","Y","0","0","0","0","","",
"7","수영장업","10_35_01_P","5310000","CDFH3301011991000001","1991-07-25","","01","영업/정상","13","영업중","","","","","055-753-0943","","","경상남도 진주시 상평동 271-2","경상남도 진주시 도동천로 2 (상평동, 진주학생수영장)","52807","진주학생수영장","2026-01-06 14:44:14","U","2026-01-09 02:40:00","","300266.161561829","187058.587236805","수영장업","사립","","2","","7555.7","","","",
"8","수영장업","10_35_01_P","6510000","CDFH3301011991000002","1991-06-28","","01","영업/정상","13","영업중","","","","","710-8222","","690-723","제주특별자치도 제주시 연동 263-15","제주특별자치도 제주시 노연로 80 (연동)","63132","메종 글래드 제주  실외수영장","2026-01-06 13:58:05","U","2026-01-09 02:40:00","","152390.482526722","-1164.56501308051","수영장업","사립","Y","","","5201919","","","",
"9","수영장업","10_35_01_P","6520000","CDFH3301012015000003","2015-11-02","","02","휴업","02","휴업","","2026-01-07","2027-01-07","","064-717-6671","","","제주특별자치도 서귀포시 동홍동 2051","제주특별자치도 서귀포시 동홍로 443 (동홍동)","63579","제주헬스케어타운콘도미니엄-2","2026-01-07 17:48:38","U","2026-01-09 02:40:00","","158590.859288487","-23301.0127931566","수영장업","사립","","1","0","0","0","","",
"10","수영장업","10_35_01_P","3160000","CDFH3301012017000001","2017-03-13","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 개봉동 478 개봉한진아파트","서울특별시 구로구 개봉로3길 87, 상가1동 B101호 (개봉동, 개봉한진아파트)","08354","아이쿠아 수영장","2026-01-07 09:37:09","U","2026-01-09 02:40:00","","186835.172300314","442508.979734929","수영장업","사립","Y","0","0","38824.3","0","","",
"11","수영장업","10_35_01_P","3860000","CDFH3301012026000001","2026-01-08","","01","영업/정상","13","영업중","","","","","0507-1318-7098","","","경기도 부천시 소사구 옥길동 508-5 옥길킹 2층","경기도 부천시 소사구 연동로 159, 옥길킹 2층 (옥길동)","14785","라이크스윔","2026-01-08 15:09:06","I","2026-01-10 00:20:07","","184299.275575576","441455.565919104","수영장업","사립","Y","1","0","0","0","","",
"12","수영장업","10_35_01_P","4010000","CDFH3301012019000003","2019-07-30","","01","영업/정상","13","영업중","","","","","031-504-0007","","","경기도 시흥시 배곧동 128","경기도 시흥시 배곧4로 32-19, 2층 202호 (배곧동)","15010","엔젤크루 키즈스윔","2026-01-08 15:12:47","U","2026-01-10 02:40:00","","175682.562264943","430616.113777764","수영장업","사립","","2","0","0","0","","",
"13","수영장업","10_35_01_P","4241000","CDFH3301012003000001","2003-04-22","","01","영업/정상","13","영업중","","","","","033-573-6168","","","강원특별자치도 삼척시 원당동 62 삼척종합사회복지관","강원특별자치도 삼척시 원당로2길 72-6, 삼척종합사회복지관 (원당동)","25918","삼척종합사회복지관웰빙센터","2026-01-08 15:58:04","U","2026-01-10 02:40:00","","390441.748162833","439428.188616439","수영장업","사립","","0","0","1510.09","0","","",
"14","수영장업","10_35_01_P","4241000","CDFH3301012013000001","2013-03-08","","01","영업/정상","13","영업중","","","","","033-541-0193","","245-905","강원특별자치도 삼척시 도계읍 도계리 287-5","강원특별자치도 삼척시 도계읍 도계느티로 25-18","25948","삼척시광산근로자복지센터","2026-01-08 16:01:59","U","2026-01-10 02:40:00","","381829.699148754","416465.286827775","수영장업","사립","Y","1","1","4745","0","","",
"15","수영장업","10_35_01_P","3980000","CDFH3301012012000001","2012-06-25","","01","영업/정상","13","영업중","","","","","031-558-0010","","","경기도 구리시 수택동 853 럭키아파트 단지내 상가, 지하1층","경기도 구리시 이문안로 106, 럭키아파트 단지내 상가 지하1층 (수택동)","11940","주식회사 구리키즈빌드업아카데미","2026-01-08 14:09:44","U","2026-01-10 02:40:00","","212615.229957224","454312.652837906","수영장업","사립","","1","0","0","0","","",
"16","수영장업","10_35_01_P","3740000","CDFH3301012024000001","2024-01-23","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 장안구 정자동 111-14","경기도 수원시 장안구 수성로 175, 7층 (정자동)","16318","콩코드 피트니스클럽","2026-01-08 11:18:50","U","2026-01-10 02:40:00","","199161.380909543","420620.351156652","수영장업","사립","Y","3","0","0","0","","",
"17","수영장업","10_35_01_P","3940000","CDFH3301012017000004","2017-08-17","","01","영업/정상","13","영업중","","","","","031-5173-4503","","","경기도 고양시 덕양구 동산동 370","경기도 고양시 덕양구 고양대로 1955, 6층 (동산동, 스타필드고양)","10595","아쿠아필드 고양","2026-01-12 10:57:29","U","2026-01-14 02:40:00","","190645.314309928","460528.947974088","수영장업","사립","Y","2","0","0","0","","",
"18","수영장업","10_35_01_P","3140000","CDFH3301012014000001","2014-04-24","","01","영업/정상","13","영업중","","","","","2653-3738","","158-053","서울특별시 양천구 목동 606-9 지층","서울특별시 양천구 목동중앙북로7가길 60, 지층 (목동)","07946","오션키즈강서센터","2026-01-12 12:56:09","U","2026-01-14 02:40:00","","187954.571823191","449783.451870726","수영장업","사립","","","","","","","",
"19","수영장업","10_35_01_P","3330000","CDFH3301012009000001","2009-02-05","","01","영업/정상","13","영업중","","","","","051-745-1900","","612-020","부산광역시 해운대구 우동 1495","부산광역시 해운대구 센텀남대로 35 (우동)","","트리니티스포츠클럽&스파","2026-01-12 11:42:33","U","2026-01-14 02:40:00","","393952.264486105","187602.933160728","수영장업","사립","","0","0","0","0","","",
"20","수영장업","10_35_01_P","3740000","CDFH3301012023000001","2023-06-20","","01","영업/정상","13","영업중","","","","","","","","경기도 수원시 권선구 호매실동 1398-1","경기도 수원시 권선구 호매실로90번길 83, 605~608호 (호매실동)","16630","스윔하이","2026-01-13 10:29:35","U","2026-01-15 02:40:00","","196700.291214161","417471.102546348","수영장업","사립","","1","0","0","0","","",
"21","수영장업","10_35_01_P","3210000","CDFH3301012012000002","2012-09-24","","01","영업/정상","13","영업중","","","","","02-3487-2811","","137-879","서울특별시 서초구 서초동 1627-1 1층(102호,103호)","서울특별시 서초구 사임당로 64 (서초동)","137-879","아이콕스 스포테인먼트","2026-01-14 08:31:52","U","2026-01-16 02:40:00","","201430.47661735","442950.471520545","수영장업","사립","","1","","6164.02","","","",
"22","수영장업","10_35_01_P","4080000","CDFH3301012020000001","2020-09-28","","01","영업/정상","13","영업중","","","","","031-8092-1900","","","경기도 안성시 공도읍 진사리 354 스타필드 안성","경기도 안성시 공도읍 서동대로 3930-39, 스타필드 안성","17563","아쿠아필드","2026-01-14 10:45:15","U","2026-01-16 02:40:00","","213062.918998049","388093.036705258","수영장업","사립","Y","","5","239402.26","","","",
"23","수영장업","10_35_01_P","4490000","CDFH3301012015000002","2015-06-24","","03","폐업","03","폐업","2026-01-15","","","","041-622-9001","","331-979","충청남도 천안시 서북구 백석동 148-14","충청남도 천안시 서북구 백석로 85 (백석동)","31097","조이풀 수영장","2026-01-15 11:32:25","U","2026-01-17 02:40:00","","210760.814067022","369193.652332995","수영장업","사립","","1","0","999","0","","",
"24","수영장업","10_35_01_P","4000000","CDFH3301012025000001","2025-11-11","","01","영업/정상","13","영업중","","","","","031-373-3200","","","경기도 오산시 외삼미동 150-5","경기도 오산시 외삼미로 135 (외삼미동)","18111","주식회사 아이나래 수영장","2026-01-14 08:59:32","U","2026-01-17 02:40:00","","205282.798441961","410582.540726227","수영장업","사립","Y","1","0","823.39","0","","",
"25","수영장업","10_35_01_P","5530000","CDFH3301012017000001","2017-02-28","","01","영업/정상","13","영업중","","","","","03180030208","","","","경기도 화성시 동탄순환대로 617, 지하102,104호 (영천동, 범환프라자)","18472","(주)아이누리","2026-01-15 13:09:49","U","2026-01-17 02:40:00","","210116.711497114","410991.705045783","수영장업","사립","","2","","","","","",
"26","수영장업","10_35_01_P","5330000","CDFH3301012022000001","2022-12-14","","01","영업/정상","13","영업중","","","","","055-649-8863","","","경상남도 통영시 명정동 886-3","경상남도 통영시 평인일주로 1052-27 (명정동)","53057","통영수영장","2026-01-15 09:27:15","U","2026-01-17 02:40:00","","329169.625254046","151988.664953641","수영장업","사립","","0","0","0","0","","",
"27","수영장업","10_35_01_P","3360000","CDFH3301012017000001","2017-12-06","","01","영업/정상","13","영업중","","","","","051-294-7784","","","부산광역시 강서구 명지동 3395-7","부산광역시 강서구 명지국제8로 293, 1층 (명지동)","46726","아이올림픽 수영장","2026-01-15 17:48:11","U","2026-01-17 02:40:00","","375459.538287225","179338.728162318","수영장업","사립","","2","0","1189.68","0","","",
"28","수영장업","10_35_01_P","4520000","CDFH3301012023000002","2023-11-29","","01","영업/정상","13","영업중","","","","","","","","충청남도 아산시 배방읍 장재리 1561","충청남도 아산시 배방읍 용연로 156-25, 1, 2층","31468","주식회사 마린스타스위밍 아산","2026-01-15 09:51:46","U","2026-01-17 02:40:00","","208270.28","364611.245","수영장업","사립","Y","1","0","661.56","0","","",
