"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","문화체육업종명","공사립구분명","보험가입여부코드","지도자수","건축물동수","건축물연면적","회원모집총인원","세부업종명","법인명",
"1","썰매장업","10_39_01_P","4830000","CDFH3301092007000001","2007-06-14","","03","폐업","03","폐업","2026-01-06","","","","","","520-862","전라남도 나주시 다도면 방산리 1465-1","","","중흥리조트사계절 튜브 썰매장","2026-01-06 17:07:12","U","2026-01-09 02:40:00","","","","썰매장업","사립","","0","0","0","0","","",
"2","썰매장업","10_39_01_P","3560000","CDFH3301091998000001","1998-01-05","","03","폐업","03","폐업","2025-12-30","","","","565-3483","","404-200","인천광역시 서구 공촌동 산 140-2","인천광역시 서구 심곡로 166  (공촌동)","","서구사계절썰매장","2025-12-31 08:39:33","U","2026-01-03 02:40:00","","172028.213143124","449494.1731406","썰매장업","사립","0","0","0","0","0","","",
"3","썰매장업","10_39_01_P","4281000","CDFH3301092023000001","2023-01-11","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 진부면 간평리 210-5","","","겨울나라","2026-01-09 13:07:40","U","2026-01-11 02:40:00","","340696.142364182","466436.953296966","썰매장업","사립","","0","0","0","0","","",
"4","썰매장업","10_39_01_P","4400000","CDFH3301092026000001","2026-01-09","","01","영업/정상","13","영업중","","","","","","","","충청북도 제천시 고암동 1068","","","제천비행장 눈썰매장","2026-01-09 16:50:55","I","2026-01-11 00:20:02","","308349.619583945","407485.545544899","썰매장업","사립","Y","0","0","0","0","","",
"5","썰매장업","10_39_01_P","3820000","CDFH3301092026000001","2026-01-02","","01","영업/정상","13","영업중","","","","","","","","경기도 의정부시 장암동 135 아일랜드캐슬","경기도 의정부시 장곡로 22, 아일랜드캐슬 (장암동)","11723","아일랜드캐슬 키즈스노우파크","2026-01-02 17:36:19","I","2026-01-04 00:20:12","","204646.143926033","467147.126892372","썰매장업","사립","","0","0","0","0","","",
"6","썰매장업","10_39_01_P","4341000","CDFH3301092026000001","2026-01-13","","01","영업/정상","13","영업중","","","","","033-633-0100","","","강원특별자치도 고성군 토성면 신평리 471-9 켄싱턴리조트설악밸리","강원특별자치도 고성군 토성면 신평골길 8-25, 켄싱턴리조트설악밸리","24767","켄싱턴리조트 설악밸리 눈썰매장","2026-01-13 09:07:52","I","2026-01-15 00:20:35","","330529.932775924","526094.133496786","썰매장업","사립","","0","0","0","0","","",
"7","썰매장업","10_39_01_P","3650000","CDFH3301092026000001","2026-01-06","","01","영업/정상","13","영업중","","","","","043-269-3650","","","대전광역시 중구 중촌동 253-2","","","2025년 중구 어린이 눈썰매장 운영 용역","2026-01-06 10:16:26","I","2026-01-09 00:20:01","","236255.124158752","315759.681785882","썰매장업","사립","Y","0","0","0","0","","",
"8","썰매장업","10_39_01_P","3640000","CDFH3301092026000001","2026-01-08","","01","영업/정상","13","영업중","","","","","","","","대전광역시 동구 상소동 1","대전광역시 동구 산내로 748 (상소동)","34712","대전 동구 어린이 눈썰매장","2026-01-08 08:56:30","I","2026-01-10 00:20:07","","242093.553072607","304195.36175952","썰매장업","사립","Y","0","0","0","0","","",
"9","썰매장업","10_39_01_P","4281000","CDFH3301092025000001","2025-12-29","","01","영업/정상","13","영업중","","","","","","","","강원특별자치도 평창군 대관령면 횡계리 82-30","강원특별자치도 평창군 대관령면 대관령마루길 164-7","25342","주식회사 윈터밸리","2026-01-06 15:12:54","U","2026-01-09 02:40:00","","352332.896894066","464960.130253035","썰매장업","사립","","0","0","0","0","","",
"10","썰매장업","10_39_01_P","5670000","CDFH3301092019000002","2019-12-23","","01","영업/정상","13","영업중","","","","","055-271-8111","","","경상남도 창원시 마산합포구 진전면 일암리 1313-56","","","더하루캠핑파크","2025-12-31 11:27:40","U","2026-01-03 02:40:00","","325541.539996516","181569.29016354","썰매장업","사립","Y","0","0","0","0","","",
"11","썰매장업","10_39_01_P","4050000","CDFH3301092005000001","2005-11-07","","01","영업/정상","13","영업중","","","","","031-288-2910","","446-904","경기도 용인시 기흥구 보라동 산 55 외 5필지","경기도 용인시 기흥구 민속촌로 90 (보라동,외 5필지)","17075","한국민속촌 가족 눈썰매장","2025-12-31 13:36:43","U","2026-01-03 02:40:00","","210474.745759128","417179.301392745","썰매장업","사립","Y","0","0","0","0","","",
