"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","위생업태명","건물지상층수","건물지하층수","사용시작지상층","사용끝지상층","사용시작지하층","사용끝지하층","욕실수","발한실여부","조건부허가신고사유","조건부허가시작일자","조건부허가종료일자","건물소유구분명","여성종사자수","남성종사자수","다중이용업소여부",
"1","목욕장업","11_44_01_P","3940000","3950000-202-2025-00001","2025-12-31","","01","영업/정상","01","영업","","","","","","14.00","412-070","경기도 고양시 덕양구 신원동 620-1 701,702,703호","경기도 고양시 덕양구 권율대로 893, 파스텔시티 7층 701(일부)호 (신원동)","10568","옐로우휘트니스삼송점","2025-12-31 15:00:18","I","2026-01-03 00:20:02","찜질시설서비스영업","190199.32160777","462362.967191181","찜질시설서비스영업","0","0","0","0","0","0","0","Y","","","","","0","0","N",
"2","목욕장업","11_44_01_P","6510000","6510000-202-2018-00002","2018-04-13","","01","영업/정상","01","영업","","","","","064 782 5033","1007.80","695-971","제주특별자치도 제주시 구좌읍 김녕리 1223-5","제주특별자치도 제주시 구좌읍 김녕로21길 8, 2-3층","63357","김녕리새마을회용암해수사우나","2025-12-31 17:29:33","U","2026-01-03 02:40:00","공동탕업","177253.174166836","6697.08256426077","공동탕업","3","0","2","3","0","0","10","Y","","","","","0","0","N",
"3","목욕장업","11_44_01_P","6510000","6510000-202-2017-00007","2017-11-10","","01","영업/정상","01","영업","","","","","064 757 6766","575.47","690-843","제주특별자치도 제주시 용담일동 2822-5","제주특별자치도 제주시 남성로2길 7 (용담일동)","63184","광명","2025-12-31 17:17:22","U","2026-01-03 02:40:00","공동탕업","154741.399376065","658.968855500513","공동탕업","5","1","1","5","1","0","6","Y","","","","","0","0","N",
"4","목욕장업","11_44_01_P","6510000","6510000-202-2019-00002","2019-11-01","","01","영업/정상","01","영업","","","","","064 796 0095","765.92","695-932","제주특별자치도 제주시 한림읍 한림리 1314-115","제주특별자치도 제주시 한림읍 한림로19길 12","63031","해빈사우나","2025-12-31 17:34:27","U","2026-01-03 02:40:00","공동탕업","131414.358839211","-8538.45167050142","공동탕업","0","0","1","3","0","0","6","Y","","","","","0","0","N",
"5","목욕장업","11_44_01_P","4261000","4261000-202-2007-00001","2007-06-22","","01","영업/정상","01","영업","","","","","033 3445308","883.61","","강원특별자치도 횡성군 서원면 석화리 646","강원특별자치도 횡성군 서원면 서원서로339번길 90","25202","동원썬밸리목욕장","2025-12-31 14:08:52","U","2026-01-03 02:40:00","공동탕업","270074.975820994","442549.2407577","공동탕업","0","0","1","1","0","0","2","N","","","","자가","1","2","N",
"6","목욕장업","11_44_01_P","3940000","4100100-202-2003-00010","2003-10-11","","01","영업/정상","01","영업","","","","","031924 9888","2873.00","411-860","경기도 고양시 일산서구 일산동 2023 탄현 이화프라자 401호, 501호","경기도 고양시 일산서구 산현로92번길 60 (일산동,탄현 이화프라자 401호, 501호)","10347","스파렉스24시불가마사우나","2026-01-01 14:03:16","U","2026-01-03 02:40:00","공동탕업+찜질시설서비스영업","179715.317814401","465248.03770131","공동탕업+찜질시설서비스영업","5","2","5","5","0","0","14","Y","","","","자가","0","0","Y",
"7","목욕장업","11_44_01_P","3330000","3330000-202-2015-00001","2015-11-26","","01","영업/정상","01","영업","","","","","051 7607000","979.47","612-847","부산광역시 해운대구 중동 1398-23","부산광역시 해운대구 해운대해변로 317, 지하1, 지상2층 (중동)","48095","베니키아호텔사우나","2025-12-31 14:34:25","U","2026-01-03 02:40:00","공동탕업+찜질시설서비스영업","397175.367081956","186932.811070801","공동탕업+찜질시설서비스영업","0","0","2","2","1","1","2","Y","","","","","0","0","N",
"8","목욕장업","11_44_01_P","5670000","5670156-202-1985-00003","1985-02-18","","03","폐업","02","폐업","2025-12-31","","","","247-6677","259.39","631-871","경상남도 창원시 마산합포구 해운동 12-27","경상남도 창원시 마산합포구 가포로 6 (해운동)","51769","일성목욕탕","2025-12-31 17:05:48","U","2026-01-03 02:40:00","공동탕업","341851.13103629","187830.67323225","공동탕업","0","0","0","0","0","0","0","N","","","","","0","0","N",
"9","목욕장업","11_44_01_P","3470000","3470000-202-2017-00004","2017-07-05","","01","영업/정상","01","영업","","","","","053288 5000","3923.30","704-400","대구광역시 달서구 월성동 1828","대구광역시 달서구 조암로 38, A동 4~7층 (월성동, 유성스파랜드)","42753","엘리바덴신월성점","2025-12-31 17:43:17","U","2026-01-03 02:40:00","공동탕업+찜질시설서비스영업","337813.775522833","259392.164474977","공동탕업+찜질시설서비스영업","9","2","4","7","0","0","4","Y","","","","자가","0","0","Y",
"10","목욕장업","11_44_01_P","6510000","6510000-202-2021-00001","2021-04-12","","01","영업/정상","01","영업","","","","","050713520645","97.92","690-062","제주특별자치도 제주시 화북이동 3087-2","제주특별자치도 제주시 황사평길 35, 1층 (화북이동)","63305","더쉼효소","2025-12-31 17:38:40","U","2026-01-03 02:40:00","공동탕업","159343.921826046","325.038784212979","공동탕업","0","0","1","1","0","0","1","N","","","","","0","0","N",
"11","목욕장업","11_44_01_P","5310000","5310000-202-2016-00002","2016-05-18","","01","영업/정상","01","영업","","","","","0550743 8822","1666.10","660-040","경상남도 진주시 봉곡동 485-1 2층일부,3층","경상남도 진주시 진주대로 1217 (봉곡동, 2층일부,3층)","52680","국제사우나헬스","2025-12-31 16:25:02","U","2026-01-03 02:40:00","공동탕업","297387.931697507","188797.873654922","공동탕업","0","0","0","0","0","0","8","N","","","","","0","0","N",
"12","목욕장업","11_44_01_P","3560000","3560000-202-2025-00002","2025-03-12","","01","영업/정상","01","영업","","","","","","300.73","404-240","인천광역시 서구 신현동 303 금강아미움 지하1층 일부호","인천광역시 서구 가정로 375, 지하1층 일부호 (신현동, 금강아미움)","22778","신현찜질방","2025-12-31 11:56:45","U","2026-01-03 02:40:00","찜질시설서비스영업","170987.126396857","446300.663070794","찜질시설서비스영업","0","0","0","0","1","0","0","Y","","","","","0","0","Y",
"13","목욕장업","11_44_01_P","5250000","5250000-202-1988-00001","1988-12-03","","01","영업/정상","01","영업","","","","","054 7877001","1617.18","767-842","경상북도 울진군 온정면 소태리 1438","경상북도 울진군 온정면 온천로 129-13","36358","한화리조트 백암온천 대온천탕","2025-12-31 13:04:14","U","2026-01-03 02:40:00","공동탕업","408844.106200117","360511.119658581","공동탕업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"14","목욕장업","11_44_01_P","6510000","6510000-202-1981-00006","1981-07-09","","01","영업/정상","01","영업","","","","","064 7475000","578.05","690-813","제주특별자치도 제주시 연동 263-15","제주특별자치도 제주시 노연로 80 (연동)","63132","글래드호텔앤리조트(주)메종글래드제주","2026-01-02 15:09:42","U","2026-01-04 02:40:00","공동탕업","152390.482526722","-1164.56501308051","공동탕업","0","0","0","0","0","0","2","Y","","","","자가","0","0","N",
"15","목욕장업","11_44_01_P","6510000","6510000-202-2019-00003","2019-11-06","","01","영업/정상","01","영업","","","","","064 747 8236","1329.67","690-840","제주특별자치도 제주시 노형동 2372-4","제주특별자치도 제주시 노형로 283, 1~2층 (노형동)","63105","서울사우나앤휘트니스","2026-01-02 09:40:14","U","2026-01-04 02:40:00","공동탕업","150493.463345298","-1839.23459504989","공동탕업","3","0","1","2","0","0","8","N","","","","","0","0","N",
"16","목욕장업","11_44_01_P","3330000","3330000-202-1987-00239","1987-05-04","","01","영업/정상","01","영업","","","","","","357.00","612-829","부산광역시 해운대구 재송동 1025-3 T통B반","부산광역시 해운대구 재반로165번길 114 (재송동)","48051","청수탕","2026-01-02 15:56:56","U","2026-01-04 02:40:00","공동탕업","393428.050556217","190072.648179417","공동탕업","4","1","2","3","0","0","2","Y","","","","자가","0","0","N",
"17","목욕장업","11_44_01_P","3460000","3460000-202-2025-00003","2025-12-04","","01","영업/정상","01","영업","","","","","","67.87","706-852","대구광역시 수성구 황금동 724-4 1층","대구광역시 수성구 들안로40길 63, 1층 (황금동)","42143","퀸(Queen)","2026-01-02 16:32:02","U","2026-01-04 02:40:00","목욕장업 기타","346231.279826673","262179.2334026","목욕장업 기타","2","1","1","1","0","0","3","N","","","","","2","0","N",
"18","목욕장업","11_44_01_P","3140000","3140000-202-2025-00001","2025-10-01","","01","영업/정상","01","영업","","","","","","142.63","158-849","서울특별시 양천구 신정동 118-1","서울특별시 양천구 신목로 88, 지하1층 (신정동)","08009","휘트니스 엠 오목교점","2026-01-02 15:11:05","U","2026-01-04 02:40:00","공동탕업+찜질시설서비스영업","188879.316199542","446688.929137687","공동탕업+찜질시설서비스영업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"19","목욕장업","11_44_01_P","3700000","3700000-202-1983-00006","1983-11-26","","01","영업/정상","01","영업","","","","","2748303","432.00","680-835","울산광역시 남구 야음동 373-6","울산광역시 남구 수암로 302 (야음동)","44765","장원탕","2026-01-02 10:22:08","U","2026-01-04 02:40:00","공동탕업","411928.894144814","227064.839472026","공동탕업","0","0","0","","0","","0","N","","","","","","","N",
"20","목욕장업","11_44_01_P","3400000","3400000-202-2020-00002","2020-09-24","","01","영업/정상","01","영업","","","","","051 727 3329","388.90","619-951","부산광역시 기장군 장안읍 월내리 132-49","부산광역시 기장군 장안읍 해맞이로 368, 3~4층","46037","월내새마을회 월내탕","2026-01-02 14:13:27","U","2026-01-04 02:40:00","공동탕업","406981.949996683","205366.743408054","공동탕업","0","0","3","4","0","0","0","N","","","","","0","0","N",
"21","목욕장업","11_44_01_P","5430000","5430000-202-1995-00003","1995-09-23","","01","영업/정상","01","영업","","","","","055 8635105","207.00","668-811","경상남도 남해군 이동면 무림리 1045","경상남도 남해군 이동면 무림로68번길 10, 2층","52431","이동복지목욕탕","2026-01-02 10:09:43","U","2026-01-04 02:40:00","공동탕업","","","공동탕업","","","","","","","","N","","","","","","","N",
"22","목욕장업","11_44_01_P","4040000","4040000-202-2016-00001","2016-08-30","","01","영업/정상","01","영업","","","","","031 80728800","5258.19","465-030","경기도 하남시 신장동 616 스타필드 하남 쇼핑센터 2,3층","경기도 하남시 미사대로 750, 2,3층 (신장동, 스타필드 하남 쇼핑센터)","12942","아쿠아필드 하남","2026-01-02 10:27:03","U","2026-01-04 02:40:00","공동탕업+찜질시설서비스영업","219699.010520355","449270.371200837","공동탕업+찜질시설서비스영업","23","0","0","0","0","0","9","N","","","","임대","50","17","Y",
"23","목욕장업","11_44_01_P","6510000","6510000-202-2020-00002","2020-12-17","","01","영업/정상","01","영업","","","","","064795 6336","1075.00","690-802","제주특별자치도 제주시 노형동 925 제주 드림타워 복합리조트","제주특별자치도 제주시 노연로 12, 제주 드림타워 복합리조트 6층 (노형동)","63082","그랜드하얏트제주","2026-01-02 16:53:16","U","2026-01-04 02:40:00","공동탕업+찜질시설서비스영업","151732.711618361","-1108.97482994933","공동탕업+찜질시설서비스영업","0","0","6","6","0","0","2","N","","","","","0","0","Y",
"24","목욕장업","11_44_01_P","6510000","6510000-202-2024-00001","2024-12-17","","01","영업/정상","01","영업","","","","","","1267.59","695-972","제주특별자치도 제주시 구좌읍 동복리 산 56-34","제주특별자치도 제주시 구좌읍 조천우회로 982-72, 제주자원순환센터 제8동 1,2층","63347","제주환경자원순환센터 해돋이힐링센터","2026-01-02 09:36:17","U","2026-01-04 02:40:00","공동탕업+찜질시설서비스영업","173017.644175882","4864.14314441337","공동탕업+찜질시설서비스영업","0","0","1","2","0","0","6","N","","","","","0","0","Y",
"25","목욕장업","11_44_01_P","4510000","4510000-202-2018-00001","2018-02-22","","01","영업/정상","01","영업","","","","","041 9335545","1778.90","355-931","충청남도 보령시 대천동 618-34 시티타워","충청남도 보령시 원동1길 69 (대천동, 시티타워)","33466","새롬사우나","2026-01-05 16:26:00","U","2026-01-07 02:40:00","공동탕업+찜질시설서비스영업","163949.436575568","316744.051548068","공동탕업+찜질시설서비스영업","0","0","","","1","","4","Y","","","","자가","0","0","Y",
"26","목욕장업","11_44_01_P","5670000","5670140-202-1988-01001","1988-02-15","","03","폐업","02","폐업","2026-01-02","","","","0552835 441","445.80","","경상남도 창원시 성산구 용호동 67-1 용지무학상가3층 6호","경상남도 창원시 성산구 외동반림로 206, 3층 6호 (용호동, 용지무학상가)","51433","용원탕","2026-01-05 13:35:52","U","2026-01-07 02:40:00","공동탕업","352602.633537336","194245.767798379","공동탕업","0","0","0","0","0","0","2","Y","","","","","0","0","N",
"27","목욕장업","11_44_01_P","3990000","3990000-202-2020-00001","2020-09-28","","01","영업/정상","01","영업","","","","","","293.31","","경기도 남양주시 다산동 6060 리더스퀘어 803,804,805호","경기도 남양주시 다산중앙로123번길 22-8, 리더스퀘어 803~805호 (다산동)","12248","라온사우나","2026-01-05 14:21:08","U","2026-01-07 02:40:00","공동탕업+찜질시설서비스영업","213261.027634004","458003.084933955","공동탕업+찜질시설서비스영업","0","0","8","8","0","0","2","N","","","","임대","0","0","N",
"28","목욕장업","11_44_01_P","3130000","3130000-202-2026-00001","2026-01-07","","01","영업/정상","01","영업","","","","","","82.58","121-210","서울특별시 마포구 서교동 448-31 , 2층","서울특별시 마포구 동교로17안길 43, 2층 (서교동)","04001","더 설하(THE SEOL:HA)","2026-01-07 17:33:02","I","2026-01-09 00:20:01","목욕장업 기타","192706.78903094","450461.26384605","목욕장업 기타","2","1","2","2","0","0","3","N","","","","임대","0","0","N",
