"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","법인구분명","구분명",
"1","유료직업소개소","11_50_02_P","4321000","2025432101214500001","2025-12-31","","01","영업/정상","20","영업중","","","","","033 481 7175","","","강원특별자치도 양구군 해안면 현리 25-2","강원특별자치도 양구군 해안면 펀치볼로 1358-1, 1층","24563","다온인력","2025-12-31 17:42:02","I","2026-01-03 00:20:02","","299691.142179443","532400.029210295","개인","유료",
"2","유료직업소개소","11_50_02_P","3910000","2025391003514500016","2025-12-31","","01","영업/정상","20","영업중","","","","","","","","경기도 평택시 고덕면 해창리 1274-3 고덕비즈타워 226호","경기도 평택시 고덕면 도시지원1길 16, 고덕비즈타워 226호","18021","플러스 간병협회","2025-12-31 17:30:15","I","2026-01-03 00:20:02","","201449.144792763","391736.037333294","개인","유료",
"3","유료직업소개소","11_50_02_P","3910000","2025391025114500006","2025-12-31","","01","영업/정상","20","영업중","","","","","","","","경기도 평택시 현덕면 권관리 768-10","경기도 평택시 현덕면 서동대로 145","17948","퍼스트 직업소개소","2025-12-31 13:52:20","I","2026-01-03 00:20:02","","191536.250040359","380111.369855175","개인","유료",
"4","유료직업소개소","11_50_02_P","3300000","2025330011914500007","2025-12-31","","01","영업/정상","20","영업중","","","","","051 558 5629","","","부산광역시 동래구 온천동 442-11 참조은빌딩 1층","부산광역시 동래구 금강로 70, 참조은빌딩 1층 (온천동)","47713","참조은 취업지원센터","2025-12-31 13:31:22","I","2026-01-03 00:20:02","","389111.863918903","192648.723039211","법인","유료",
"5","유료직업소개소","11_50_02_P","4050000","2025562002714500061","2025-12-31","","01","영업/정상","20","영업중","","","","","","","","경기도 용인시 처인구 원삼면 독성리 197-4","경기도 용인시 처인구 원삼면 보개원삼로 2006, 4층","17168","주식회사 유니앤코","2025-12-31 13:10:45","I","2026-01-03 00:20:02","","228846.829802909","407278.372885893","법인","유료",
"6","유료직업소개소","11_50_02_P","3680000","2025368022214500010","2025-12-31","","01","영업/정상","20","영업중","","","","","","","","대전광역시 대덕구 신탄진동 176-12 4층","대전광역시 대덕구 신탄진로 773, 4층 (신탄진동)","34312","동행간병인센터","2025-12-31 08:52:41","I","2026-01-03 00:20:02","","238416.18770802","327369.357307056","개인","유료",
"7","유료직업소개소","11_50_02_P","3220000","2016322016314500049","2016-10-24","","01","영업/정상","20","영업중","","","","","02  515 3095","","","서울특별시 강남구 논현동 34-5 4층","서울특별시 강남구 도산대로26길 53, 4층 (논현동)","06041","크리에이티브커리어인스티튜트 주식회사","2025-12-31 09:23:56","U","2026-01-03 02:40:00","","202503.318730393","445946.754355545","법인","유료",
"8","유료직업소개소","11_50_02_P","4970000","2006497005711500002","2006-07-10","","01","영업/정상","90","경고조치","","","","","","","","전라남도 영광군 영광읍 도동리 278번지 3호 4통 1반 삼원맨션 303호","전라남도 영광군 영광읍 중앙로4길 19-4, 303호 (삼원맨션)","","전원직업소개소","2025-12-31 16:08:42","U","2026-01-03 02:40:00","","155711.650533325","197441.480007177","개인","유료",
"9","유료직업소개소","11_50_02_P","4181000","2023418039414500005","2023-02-27","","03","폐업","40","폐업","2025-12-30","","","","","","","강원특별자치도 춘천시 동내면 사암리 1293-70","강원특별자치도 춘천시 동내면 학곡동2길 57","24408","국제인력","2025-12-31 09:11:10","U","2026-01-03 02:40:00","","267156.829609113","482205.623318903","개인","유료",
"10","유료직업소개소","11_50_02_P","5230000","2019523008414500004","2019-07-10","","01","영업/정상","20","영업중","","","","","","","","경상북도 예천군 예천읍 서본리 3번지 3호 지하","경상북도 예천군 예천읍 군청앞길 6, 지하","36828","탑 직업소개소","2025-12-31 09:19:17","U","2026-01-03 02:40:00","","329861.473592992","351572.416255428","개인","유료",
