영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,인셀덤153점,2025-12-31,,,2026-01-02 02:40:00,I,02,폐업,1,,,,,,,,,2025-12-31 12:50:12,2022-05-20,1.00,,경기도 시흥시 배곧동 *** 한라비발디캠퍼스,N,,4010000-134-2022-00182,,4010000,"경기도 시흥시 배곧*로 **-**, ***동 ***호 (배곧동, 한라비발디캠퍼스)",15011,03,폐업,방문판매,,,,
,,삼립,2005-03-09,,,2026-03-10 22:17:06,I,02,폐업,0,,,,,,,,,2004-12-22 00:00:00,2004-12-22,,465-800,경기도 하남시 덕풍동 ***,N,,4040000-134-2004-00069,,4040000,,,03,폐업,방문판매,031-794-0207,,,
,자가,행복한 인생,2012-09-18,,,2025-12-15 16:15:28,I,02,폐업,0,,,,,,,,,2015-08-21 14:01:27,2010-06-11,138.00,443-400,경기도 수원시 영통구 망포동 *** 망포마을 쌍용아파트 ***동 ****호,N,,3740000-134-2010-00187,,3740000,,,03,폐업,방문판매,,,,
,,물랑졸리,,205873.632122708,449076.360164134,2025-12-15 16:15:28,I,01,영업,0,,,,,,,,,2022-07-29 15:42:14,2022-07-29,,143-917,서울특별시 광진구 화양동 **-**,N,,3040000-134-2022-00219,,3040000,"서울특별시 광진구 아차산로**길 **-*, *층 (화양동)",05015,01,영업/정상,전자상거래(통신판매업),,,,
,,에어커머스,2024-12-06,212432.197818938,455843.387167702,2025-12-15 16:15:28,I,02,폐업,0,,,,,,,,,2024-12-06 14:14:57,2020-04-22,14.40,471-740,경기도 구리시 인창동 ***-* 세신인창종합상가 ***호,N,,3980000-134-2020-00108,,3980000,"경기도 구리시 건원대로**번길 **, 세신인창종합상가 ***호 (인창동)",11921,03,폐업,전자상거래(통신판매업),,,,
,,주식회사 뽀따부티크,2025-08-19,204210.717871994,446978.498213307,2025-12-15 16:15:28,I,02,폐업,122.93,,,,,,,,,2025-08-19 12:47:48,2021-04-27,122.93,135-955,서울특별시 강남구 청담동 ***-**,N,,3220000-134-2021-00776,,3220000,"서울특별시 강남구 압구정로**길 **, *층 (청담동)",06011,03,폐업,전자상거래(통신판매업),,,,
,,부천광동상사,2017-11-07,180187.486678441,446014.424895772,2025-12-15 16:15:28,I,02,폐업,0,,,,,,,,,2017-11-07 13:45:24,2011-08-03,,,"경기도 부천시 오정구 내동 **-* ,*층",N,,3860000-134-2011-00205,,3860000,"경기도 부천시 오정구 신흥로***번길 ** (내동,,*층)",14491,03,폐업,방문판매,032-683-1744,,,
,자가,호랑이건강원에프앤비주식회사,2022-09-09,207577.558056715,387700.245776573,2025-12-15 16:15:28,I,02,폐업,0,,,,,,,,,2022-09-10 04:15:09,2022-08-26,6.60,450-827,경기도 평택시 평택동 ***-*** 평택민자역사,N,,3910000-134-2022-00166,,3910000,"경기도 평택시 평택로 **, AK플라자 평택점 *층 (평택동)",17917,03,폐업,영업장판매,,,,
,자가,GS25 연신내점,2019-04-17,192933.395209897,457522.571323708,2025-12-15 16:15:28,I,02,폐업,0,,,,,,,,,2019-04-17 12:46:50,2014-07-22,40.00,122-860,서울특별시 은평구 불광동 ***-** 지상*층,N,,3110000-134-2014-00092,,3110000,"서울특별시 은평구 통일로**길 *, 지상*층 (불광동)",03344,03,폐업,영업장판매,02-353-0159,,,
,자가,국제약품(주) EVERYONE,,199333.616108495,448672.475878867,2025-12-15 16:15:28,I,01,영업,0,,,,,,,,,2020-11-12 17:34:23,2020-11-11,3.00,140-857,서울특별시 용산구 이태원동 ***-*,N,,3020000-134-2020-00150,,3020000,"서울특별시 용산구 회나무로 **, *층 (이태원동)",04344,01,영업/정상,기타 건강기능식품일반판매업,,,,
,,바네써,2021-12-29,181697.961888351,435352.010435013,2025-12-15 16:15:28,I,02,폐업,0,0,0,0,,,,0,,2021-12-29 17:57:45,2020-06-09,1.00,429-823,경기도 시흥시 미산동 ***-** 해가든더클래식 아파트,N,,4010000-134-2020-00109,,4010000,"경기도 시흥시 미산로***번길 **, ***동 ***호 (미산동, 해가든더클래식 아파트)",14944,03,폐업,전자상거래(통신판매업),,,,
,임대,(주)대화씨앤에프,2014-11-14,183166.343309141,450992.871859483,2025-12-15 16:15:28,I,02,폐업,0,,,,,,,,,2012-10-30 10:03:23,2012-10-30,113.00,157-812,서울특별시 강서구 공항동 **-** *층,N,,3150000-134-2012-00151,,3150000,"서울특별시 강서구 공항대로 **, *층 (공항동)",07623,03,폐업,영업장판매,26663715,,,
