영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,(주)엘지생활건강,건강기능식품유통전문판매업,2026-01-12,,,2026-03-11 01:41:49,I,02,폐업,0,0,0,0,,,0,0,,2026-01-12 13:27:43,2007-06-26,"1,209.25",110-062,서울특별시 종로구 신문로*가 ** **층,N,,3000000-135-2007-00002,0,3000000,"서울특별시 종로구 새문안로 ** (신문로*가,**층)",03184,03,폐업,건강기능식품유통전문판매업,02-6924-6040,,,
,임대,해태에이치티비(주),건강기능식품유통전문판매업,2026-01-26,,,2026-03-11 01:41:52,I,02,폐업,0,,,,,,,,,2026-01-26 16:19:08,2015-06-02,170.00,110-062,서울특별시 종로구 신문로*가 **,N,,3000000-135-2015-00003,,3000000,"서울특별시 종로구 새문안로 **, **층 (신문로*가)",03184,03,폐업,건강기능식품유통전문판매업,02-6924-6090,,,
,자가,(주)지에이치엘월드,건강기능식품유통전문판매업,2025-12-18,,,2026-03-11 01:41:52,I,02,폐업,0,,,,,,,,,2025-12-18 10:24:35,2016-10-17,26.65,110-850,서울특별시 종로구 효제동 *** 효오빌딩,N,,3000000-135-2016-00005,,3000000,"서울특별시 종로구 종로**길 **, 효오빌딩 ***호 (효제동)",03126,03,폐업,건강기능식품유통전문판매업,02-960-7588,,,
,,주식회사 아이비알도스,건강기능식품유통전문판매업,,202932.381982673,451169.524277434,2026-03-19 03:24:49,I,01,영업,0,,,,,,,,,2026-03-17 14:17:48,2021-08-27,107.88,133-882,서울특별시 성동구 도선동 **-* 세신빌딩,N,,3030000-135-2021-00025,,3030000,"서울특별시 성동구 왕십리로 ***, 세신빌딩 *층 ***A호 (도선동)",04709,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 테크푸드,건강기능식품유통전문판매업,,195743.278987166,449398.489851057,2026-03-19 03:24:49,I,01,영업,0,,,,,,,,,2026-03-17 09:56:57,2026-03-17,,121-805,서울특별시 마포구 공덕동 *** KPX빌딩,N,,3130000-135-2026-00005,,3130000,"서울특별시 마포구 마포대로 ***, KPX빌딩 **층 *호 (공덕동)",04143,01,영업/정상,건강기능식품유통전문판매업,1566-3197,,,
,,(주)티나바이오텍,건강기능식품유통전문판매업,,189459.065518928,441844.960857588,2026-03-19 03:25:45,I,01,영업,0,,,,,,,,,2026-03-17 12:18:38,2026-03-13,,153-803,서울특별시 금천구 가산동 ***-** 신한이노플렉스,N,,3170000-135-2026-00003,,3170000,"서울특별시 금천구 가산디지털*로 ***, 신한이노플렉스 *층 ***-*호 (가산동)",08506,01,영업/정상,건강기능식품유통전문판매업,02-594-0033,,,
,자가,(주)바디프랜드,건강기능식품유통전문판매업,,203822.388292808,442131.941663523,2026-03-19 03:24:49,I,01,영업,13,,,,,,,,,2026-03-17 13:00:33,2026-03-17,13.00,135-855,서울특별시 강남구 도곡동 ***-* 바디프랜드 도곡타워,N,,3220000-135-2026-00025,,3220000,"서울특별시 강남구 양재천로 ***, 바디프랜드 도곡타워 *층 일부호 (도곡동)",06302,01,영업/정상,건강기능식품유통전문판매업,02-3448-8980,,,
,임대,주식회사 위더스,건강기능식품유통전문판매업,,164288.589579329,462278.214575195,2026-03-19 03:24:48,I,01,영업,70.6,,,,,,,,,2026-03-17 15:40:23,2026-03-17,70.60,415-837,경기도 김포시 대곶면 초원지리 ***-*,N,,4090000-135-2026-00007,,4090000,"경기도 김포시 대곶면 율마로 ***-*, *층",10038,01,영업/정상,건강기능식품유통전문판매업,,,,
,,주식회사 다잘,건강기능식품유통전문판매업,,191337.868996616,451395.153092798,2026-02-25 22:14:25,I,01,영업,0,,,,,,,,,2026-02-24 10:32:42,2026-02-24,,121-850,서울특별시 마포구 성산동 ***-* 대명비첸시티오피스텔,N,,3130000-135-2026-00004,,3130000,"서울특별시 마포구 월드컵로 ***, 대명비첸시티오피스텔 B***-E**호 (성산동)",03938,01,영업/정상,건강기능식품유통전문판매업,070-4755-0200,,,
,,호롤롤로,건강기능식품유통전문판매업,,189127.981104583,442460.505542105,2026-02-25 22:13:31,I,01,영업,0,,,,,,,,,2026-02-24 14:06:51,2023-10-23,2.31,153-803,서울특별시 금천구 가산동 ***-** 벽산/경인디지털밸리*,N,,3170000-135-2023-00020,,3170000,"서울특별시 금천구 가산디지털*로 ***, 벽산/경인디지털밸리* *층 ***-에이**호 (가산동)",08501,01,영업/정상,건강기능식품유통전문판매업,,,,
