건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,가야씨어터,,,,공연장,공연장,2026-03-10 23:04:58,I,03,폐업,,,,,2018-03-21 10:19:23,,2010-09-13,120-013,"서울특별시 서대문구 충정로3가 58-1 구세군빌딩 1,2,3층",CDFE1230002010000001,3120000,,,,03,폐업,,,,63644888,4,
,충정로 난타극장,,,,공연장,공연장,2026-03-10 23:05:07,I,03,폐업,,,,,2018-01-12 11:15:13,,2011-09-02,120-013,"서울특별시 서대문구 충정로3가 58-1 구세군빌딩 1, 2, 3층",CDFE1230002011000001,3120000,,"서울특별시 서대문구 충정로 7 (충정로3가, 구세군빌딩)",,03,폐업,,,,,,
,우성시네마,,191503.35316026,441953.57184435,공연장,공연장,2026-03-11 01:22:56,I,03,폐업,,0,0,4,2011-01-07 11:37:51,,1991-08-28,153-822,서울특별시 금천구 독산동 950-3,CDFE1230001991000001,3170000,,서울특별시 금천구 남부순환로 1386  (독산동),,03,폐업,,,,,0,0
,(주)광개토문화,,202833.261653939,440511.561175378,공연장,공연장,2026-03-11 01:02:23,I,03,폐업,,0,0,0,2020-01-03 09:24:55,,2000-05-10,137-915,서울특별시 서초구 양재동 202-0 서울교육문화회관 야외수영장,CDFE1230002000000001,3210000,,"서울특별시 서초구 바우뫼로12길 70 (양재동,서울교육문화회관 야외수영장)",,03,폐업,,,,,0,0
,동숭아트센타,2018-04-30,200257.115683163,453485.12004217,공연장,공연장,2026-03-10 23:55:05,I,03,폐업,,0,0,0,2018-05-28 09:14:05,,1989-03-10,110-809,서울특별시 종로구 동숭동 1-5,CDFE1230001989000001,3000000,,서울특별시 종로구 동숭길 122 (동숭동),,03,폐업,,,,,0,0
,소극장,2018-04-30,200257.115683163,453485.12004217,공연장,공연장,2026-03-10 23:57:08,I,03,폐업,,,,,2018-05-28 09:21:24,,2002-12-11,110-809,서울특별시 종로구 동숭동 1-5,CDFE1230002002000007,3000000,,서울특별시 종로구 동숭길 122 (동숭동),,03,폐업,,,,,,
,동숭홀,2018-04-30,200257.115683163,453485.12004217,공연장,공연장,2026-03-10 23:57:32,I,03,폐업,,0,0,0,2018-05-28 09:19:40,,2002-12-11,110-809,서울특별시 종로구 동숭동 1-5,CDFE1230002002000008,3000000,,서울특별시 종로구 동숭길 122 (동숭동),,03,폐업,,,,,0,0
,극단 연단,2014-02-06,200086.415065425,452876.163935541,공연장,공연장,2026-03-10 23:57:58,I,03,폐업,,,,,2014-02-06 21:19:55,,2002-12-17,110-460,서울특별시 종로구 연건동 132-1,CDFE1230002002000009,3000000,,서울특별시 종로구 대학로5길 3-2 (연건동),,03,폐업,,,,,,
,정보소극장,2019-07-29,200260.2187645,453354.404815954,공연장,공연장,2026-03-10 23:58:54,I,03,폐업,,,,,2019-08-22 11:35:22,,2002-12-27,110-809,서울특별시 종로구 동숭동 1-81,CDFE1230002002000011,3000000,,서울특별시 종로구 대학로12길 38 (동숭동),,03,폐업,,,,36730555,,
,대학로극장,2016-12-21,200158.82002238,452691.97984761,공연장,공연장,2026-03-10 23:59:26,I,03,폐업,,,,,2016-12-21 14:14:34,,2002-12-31,110-460,서울특별시 종로구 연건동 178-1,CDFE1230002002000012,3000000,,서울특별시 종로구 대학로 60 (연건동),,03,폐업,,,,,,
,청운예술극장,2019-04-11,200158.82002238,452691.97984761,공연장,공연장,2026-03-10 23:59:56,I,03,폐업,,,,,2019-04-11 10:41:12,,2002-12-31,110-460,서울특별시 종로구 연건동 178-1,CDFE1230002002000013,3000000,,서울특별시 종로구 대학로 60 (연건동),,03,폐업,,,,,,
,금호아트홀,2019-08-07,197542.319572426,452039.262262313,공연장,공연장,2026-03-11 00:01:01,I,03,폐업,,,,,2019-11-07 16:58:10,,2002-12-31,110-061,서울특별시 종로구 신문로1가 57-0,CDFE1230002002000016,3000000,,서울특별시 종로구 새문안로 75 (신문로1가),,03,폐업,,,,63031919,,
,극단 아룽구지,2014-05-23,200181.925231008,453385.703513726,공연장,공연장,2026-03-11 00:02:42,I,03,폐업,,,,,2014-05-29 13:21:04,,2002-12-31,110-809,서울특별시 종로구 동숭동 1-54,CDFE1230002002000020,3000000,,서울특별시 종로구 대학로12길 15 (동숭동),,03,폐업,,,,,,
,소극장아리랑,2015-06-26,200305.580788682,453077.630998173,공연장,공연장,2026-03-11 00:03:07,I,03,폐업,,,,,2015-12-14 17:31:40,,2002-12-31,110-809,서울특별시 종로구 동숭동 1-153,CDFE1230002002000021,3000000,,서울특별시 종로구 동숭길 39 (동숭동),,03,폐업,,,,,,
,국민생활관소극장,2014-02-04,199828.159948935,454227.479528793,공연장,공연장,2026-03-11 00:03:40,I,03,폐업,,,,,2014-02-04 20:25:03,,2003-01-06,110-530,서울특별시 종로구 혜화동 1-21 구민생활관,CDFE1230002003000001,3000000,,"서울특별시 종로구 성균관로 91 (혜화동,구민생활관)",,03,폐업,,,,,,
,대학로라이브극장,2010-07-09,200258.68186666,453211.209897985,공연장,공연장,2026-03-11 00:04:06,I,03,폐업,,,,,2010-07-09 14:13:58,,2003-01-06,110-809,서울특별시 종로구 동숭동 1-94 광장빌딩,CDFE1230002003000002,3000000,,"서울특별시 종로구 대학로12길 64  (동숭동,광장빌딩)",,03,폐업,,,,,,
,바탕골소극장,2005-04-14,200157.647836124,453287.901840153,공연장,공연장,2026-03-11 00:04:35,I,03,폐업,,,,,2005-05-18 09:39:36,,2003-01-06,110-809,서울특별시 종로구 동숭동 1-60,CDFE1230002003000003,3000000,,서울특별시 종로구 대학로10길 5  (동숭동),,03,폐업,,,,,,
,금호리싸이트홀,2006-03-30,198155.599359266,452797.379645468,공연장,공연장,2026-03-11 00:05:04,I,03,폐업,,,,,2006-03-30 10:05:53,,2003-01-06,110-190,서울특별시 종로구 사간동 78-0,CDFE1230002003000004,3000000,,서울특별시 종로구 삼청로 18  (사간동),,03,폐업,,,,,,
,하늘땅소극장,2011-02-10,200279.37357141,453081.758778874,공연장,공연장,2026-03-11 00:05:56,I,03,폐업,,,,,2011-02-11 17:56:47,,2003-01-06,110-809,서울특별시 종로구 동숭동 1-141,CDFE1230002003000006,3000000,,서울특별시 종로구 동숭길 29  (동숭동),,03,폐업,,,,,,
,소극장축제,2017-12-29,200005.67576435,453283.293031685,공연장,공연장,2026-03-11 00:06:44,I,03,폐업,,,,,2018-02-05 14:39:43,,2003-01-06,110-524,서울특별시 종로구 명륜4가 111-2,CDFE1230002003000008,3000000,,서울특별시 종로구 대학로9길 18 (명륜4가),,03,폐업,,,,,,
,상상Art Blue,2016-11-14,200221.159827079,453443.564354976,공연장,공연장,2026-03-11 00:10:10,I,03,폐업,,0,0,0,2016-11-14 18:17:45,,2003-01-15,110-809,서울특별시 종로구 동숭동 1-42,CDFE1230002003000015,3000000,,서울특별시 종로구 동숭길 125 (동숭동),,03,폐업,,,,,0,0
,학전그린소극장,2013-09-09,200201.706233839,453509.988964294,공연장,공연장,2026-03-11 00:10:46,I,03,폐업,,,,,2013-12-13 15:34:38,,2003-01-27,110-809,서울특별시 종로구 동숭동 1-8,CDFE1230002003000016,3000000,,서울특별시 종로구 동숭길 130-5 (동숭동),,03,폐업,,,,,,
,학전블루소극장,2024-03-15,200259.762502776,453309.399383479,공연장,공연장,2026-03-11 00:11:19,I,03,폐업,,,,,2024-04-16 16:51:51,,2003-01-27,110-809,서울특별시 종로구 동숭동 1-79,CDFE1230002003000017,3000000,,서울특별시 종로구 대학로12길 46 (동숭동),,03,폐업,,,,,,
,세종델라구아다홀,2008-12-01,197804.357783157,452216.539274871,공연장,공연장,2026-03-11 00:12:21,I,03,폐업,,,,,2022-04-08 09:06:47,,2003-08-18,110-821,서울특별시 종로구 세종로 81-3,CDFE1230002003000019,3000000,,,,03,폐업,,,,02-399-1624,,
,예술극장 나무와물,2020-05-22,199962.860897639,453618.989692186,공연장,공연장,2026-03-11 00:13:50,I,03,폐업,,,,,2020-05-22 13:09:40,,2004-03-05,110-522,서울특별시 종로구 명륜2가 8-1 지하1층,CDFE1230002004000001,3000000,,"서울특별시 종로구 창경궁로 263 (명륜2가,지하1층)",,03,폐업,,,,02-766-2124,,1
,큐씨어터,2017-01-10,200243.327275344,453354.557438023,공연장,공연장,2026-03-11 00:14:19,I,03,폐업,,,,,2017-01-10 19:40:03,,2004-03-18,110-809,서울특별시 종로구 동숭동 1-74,CDFE1230002004000002,3000000,,서울특별시 종로구 대학로8가길 79 (동숭동),,03,폐업,,,,,,
,갈갈이홀,2017-12-07,200241.539609902,453188.69990349,공연장,공연장,2026-03-11 00:15:32,I,03,폐업,,,,,2017-12-07 11:30:02,,2004-06-16,110-809,서울특별시 종로구 동숭동 1-100,CDFE1230002004000005,3000000,,서울특별시 종로구 대학로8가길 111 (동숭동),,03,폐업,,,,,,1
,탑아트홀,2007-01-24,200307.47638288,453090.105614808,공연장,공연장,2026-03-11 00:16:02,I,03,폐업,,,,,2007-01-24 10:40:54,,2004-06-18,110-809,서울특별시 종로구 동숭동 1-150,CDFE1230002004000006,3000000,,서울특별시 종로구 동숭길 41  (동숭동),,03,폐업,,,,,,
,상명아트홀1관,2019-09-02,200171.515871618,453449.854548299,공연장,공연장,2026-03-11 00:17:12,I,03,폐업,,,,,2019-09-02 14:05:34,,2004-10-29,110-809,서울특별시 종로구 동숭동 1-38 지층,CDFE1230002004000008,3000000,,"서울특별시 종로구 동숭길 133 (동숭동,지층)",,03,폐업,,,,,,
,대학로우리극장,2012-12-17,200153.322797562,453332.518876344,공연장,공연장,2026-03-11 00:18:38,I,03,폐업,,,,,2012-12-17 17:10:22,,2005-08-18,110-809,서울특별시 종로구 동숭동 1-58,CDFE1230002005000002,3000000,,서울특별시 종로구 대학로8가길 30  (동숭동),,03,폐업,,,,,,
,신연아트홀,2018-01-02,,,공연장,공연장,2026-03-11 00:19:18,I,03,폐업,,,,,2018-01-02 17:19:25,,2005-10-10,110-809,서울특별시 종로구 동숭동 1 37 지하1층,CDFE1230002005000003,3000000,,,,03,폐업,,,,36760282,,
,점프전용관,2013-10-11,199205.329842153,451945.821955137,공연장,공연장,2026-03-11 00:20:25,I,03,폐업,,,,,2013-10-11 19:03:46,,2005-11-04,110-420,서울특별시 종로구 관수동 59-7 서울극장내 5층,CDFE1230002005000005,3000000,,,,03,폐업,,,,02-722-3995,,
,문호아트홀,2019-08-07,,,공연장,공연장,2026-03-11 00:23:14,I,03,폐업,,,,,2019-11-07 16:59:17,,2006-05-09,110-061,서울특별시 종로구 신문로1가 57 3층,CDFE1230002006000004,3000000,,"서울특별시 종로구 새문안로 75 (신문로1가,3층)",,03,폐업,,,,63031919,,
,김동수플레이하우스,2014-12-29,200158.82002238,452691.97984761,공연장,공연장,2026-03-11 00:23:44,I,03,폐업,,,,,2015-01-16 14:23:41,,2006-05-24,110-460,서울특별시 종로구 연건동 178-1 지하1층,CDFE1230002006000005,3000000,,"서울특별시 종로구 대학로 60 (연건동,지하1층)",,03,폐업,,,,36754675,,
,컬투홀2관감동관,2008-03-31,200120.54634178,453378.347646612,공연장,공연장,2026-03-11 00:24:16,I,03,폐업,,,,,2008-04-02 10:51:25,,2006-07-26,110-809,서울특별시 종로구 동숭동 1-33 5층,CDFE1230002006000006,3000000,,"서울특별시 종로구 대학로 128  (동숭동,5층)",,03,폐업,,,,,,
,동양예술극장 3관,2021-01-31,200136.734882861,453589.791391142,공연장,공연장,2026-03-11 00:24:52,I,03,폐업,,,,,2021-02-18 17:26:02,,2007-03-21,,서울특별시 종로구 혜화동 163-24 동양예술극장,CDFE1230002007000001,3000000,,"서울특별시 종로구 대학로14길 29, 동양예술극장 1층 (혜화동)",03084,03,폐업,,,,02-743-4667,,
,동양예술극장 2관,2021-01-31,200136.734882861,453589.791391142,공연장,공연장,2026-03-11 00:25:23,I,03,폐업,,,,,2021-02-18 17:25:19,,2007-03-21,,서울특별시 종로구 혜화동 163-24 동양예술극장,CDFE1230002007000002,3000000,,"서울특별시 종로구 대학로14길 29, 동양예술극장 2층~3층 (혜화동)",03084,03,폐업,,,,02-743-4667,,
,동양예술극장 1관,2021-01-31,200136.734882861,453589.791391142,공연장,공연장,2026-03-11 00:25:47,I,03,폐업,,,,,2021-02-18 17:24:34,,2007-03-21,,서울특별시 종로구 혜화동 163-24 동양예술극장,CDFE1230002007000003,3000000,,"서울특별시 종로구 대학로14길 29, 동양예술극장 4층 (혜화동)",03084,03,폐업,,,,02-743-4667,,
,열림홀,2022-04-14,200041.136571835,452418.002097875,공연장,공연장,2026-03-11 00:27:05,I,03,폐업,,,,,2022-04-14 17:08:21,,2007-04-26,110-470,서울특별시 종로구 연지동 136-25 연동교회문화복지관 지하2층,CDFE1230002007000006,3000000,,"서울특별시 종로구 대학로3길 9 (연지동,연동교회문화복지관 지하2층)",,03,폐업,,,,,,
,서울콘서트홀,2017-12-20,200259.173497292,453256.205840375,공연장,공연장,2026-03-11 00:27:29,I,03,폐업,,,,,2017-12-22 14:57:46,,2007-05-31,110-809,서울특별시 종로구 동숭동 1-96 지하1층,CDFE1230002007000007,3000000,,"서울특별시 종로구 대학로10길 26 (동숭동,지하1층)",,03,폐업,,,,,,
,소극장 모시는 사람들,2014-04-30,199973.586488747,453814.889330448,공연장,공연장,2026-03-11 00:29:12,I,03,폐업,,,,,2014-05-23 17:23:04,,2007-10-24,110-530,서울특별시 종로구 혜화동 74-38,CDFE1230002007000010,3000000,,서울특별시 종로구 혜화로 10-3 (혜화동),,03,폐업,,,,,,
,브레이크아웃 전용극장,2012-12-26,198883.495161441,451852.440739439,공연장,공연장,2026-03-11 00:29:47,I,03,폐업,,,,,2013-01-09 16:27:20,,2007-12-13,110-111,서울특별시 종로구 관철동 33-1,CDFE1230002007000011,3000000,,서울특별시 종로구 삼일대로 386  (관철동),,03,폐업,,,,,,
문화시설,대학로예술극장3관,2017-05-16,200342.408788786,453056.007813751,공연장,공연장,2026-03-11 00:33:32,I,03,폐업,,,,6,2017-05-16 10:14:37,,2009-09-14,110-810,서울특별시 종로구 동숭동 187-8 지하1층,CDFE1230002009000002,3000000,일반주거지역,"서울특별시 종로구 이화장길 100 (동숭동,지하1층)",,03,폐업,,,,02-3668-0029,7,1
근린생활시설,하다소극장,2010-12-03,,,공연장,공연장,2026-03-11 00:35:17,I,03,폐업,,,,10,2010-12-03 13:19:35,,2010-01-20,110-736,서울특별시 종로구 연지동 기독교회관 지하층,CDFE1230002010000001,3000000,,,,03,폐업,,,,02-747-8400,11,1
근린생활시설,북촌아트홀,2022-07-01,198957.128561,452963.036154508,공연장,공연장,2026-03-11 00:36:26,I,03,폐업,,,,,2022-12-01 17:47:16,,2010-08-27,110-280,서울특별시 종로구 원서동 157-1 지하1층,CDFE1230002010000003,3000000,,"서울특별시 종로구 창덕궁길 29-4 (원서동,지하1층)",,03,폐업,,,,02-988-2258,,
,게릴라극장,2018-02-07,199970.438694487,453904.959296456,공연장,공연장,2026-03-11 00:39:43,I,03,폐업,,,,,2018-02-07 18:56:21,,2011-06-09,110-530,서울특별시 종로구 혜화동 15-29,CDFE1230002011000002,3000000,,서울특별시 종로구 혜화로6길 9 (혜화동),,03,폐업,,,,02-763-1268,,
,피카소 소극장,2015-09-10,199987.615821173,453377.41993138,공연장,공연장,2026-03-11 00:40:08,I,03,폐업,,,,,2015-09-10 09:35:41,,2011-06-21,110-524,서울특별시 종로구 명륜4가 69-1 지하1층,CDFE1230002011000003,3000000,,"서울특별시 종로구 대명1길 20 (명륜4가,지하1층)",,03,폐업,,,,02-3672-7971,,
근린생활시설,파라디소,2016-12-06,,,공연장,공연장,2026-03-11 00:43:26,I,03,폐업,,,,,2016-12-06 14:22:02,,2011-09-08,110-736,서울특별시 종로구 연지동 기독교회관 지하층,CDFE1230002011000008,3000000,일반상업지역,,,03,폐업,학교정화(상대),,,,1,1
근린생활시설,소극장 극단적인사람들,2012-11-23,199927.493552587,453570.188742352,공연장,공연장,2026-03-11 00:44:01,I,03,폐업,,,,4,2012-11-23 18:18:16,,2011-09-26,110-522,서울특별시 종로구 명륜2가 8-29 2층,CDFE1230002011000009,3000000,상업지역,"서울특별시 종로구 창경궁로 257  (명륜2가,2층)",,03,폐업,기타,,,,1,1
근린생활시설,소리아트홀3관,2016-06-30,200113.874740135,453549.526436303,공연장,공연장,2026-03-11 00:46:10,I,03,폐업,,,,6,2016-06-30 15:55:49,,2011-12-19,110-530,서울특별시 종로구 혜화동 90-18,CDFE1230002011000013,3000000,중심상업지역,서울특별시 종로구 대학로 146 (혜화동),,03,폐업,기타,,,,10,4
