영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,다온유통,유통전문판매업,,,,2026-04-08 03:03:03,U,01,영업,0,,,,,,,,,2026-04-07 11:18:39,2025-12-04,125.50,,경기도 광주시 매산동 201,N,,5540000-113-2025-00057,,5540000,"경기도 광주시 매자리길 94-40, 4동 (매산동)",12798,01,영업/정상,유통전문판매업,,,,
,,씨제이제일제당(주),유통전문판매업,,200219.375254761,451288.386735763,2026-04-08 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-07 13:37:57,2003-12-09,"1,200.00",100-400,서울특별시 중구 쌍림동 292 17층,N,,3010000-113-2003-00043,,3010000,"서울특별시 중구 동호로 330 (쌍림동,17층)",04560,01,영업/정상,유통전문판매업,02-726-8058,,,
,,개꿀푸드,유통전문판매업,2026-04-07,208321.253825874,454006.188209773,2026-04-08 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-07 13:16:27,2024-10-31,36.00,131-811,서울특별시 중랑구 면목동 42-63 영진슈퍼,N,,3060000-113-2024-00020,,3060000,"서울특별시 중랑구 용마산로89길 16, 1층 일부호 (면목동)",02201,03,폐업,유통전문판매업,,,,
,,주식회사 동동컴퍼니,유통전문판매업,,194968.186005144,450619.366721815,2026-04-08 03:03:03,U,01,영업,0,,,,,,,,,2026-04-07 11:45:15,2025-10-22,3.30,120-809,서울특별시 서대문구 대현동 90-23,N,,3120000-113-2025-00018,,3120000,"서울특별시 서대문구 이화여대3길 33, 지층 201호 (대현동)",03766,01,영업/정상,유통전문판매업,,,,
,임대,알엔디컴퍼니 (주),유통전문판매업,,203392.793460583,440676.379919661,2026-04-08 03:03:03,U,01,영업,0,,,,,,,,,2026-04-07 10:44:53,2017-03-16,83.17,137-787,서울특별시 서초구 양재동 232 AT센터 (1204호),N,,3210000-113-2017-00013,,3210000,"서울특별시 서초구 강남대로 27, 1204호 (양재동, AT센터)",06774,01,영업/정상,유통전문판매업,070-8264-7922,,,
,임대,파라디,유통전문판매업,2026-04-07,212143.778930005,448048.253831401,2026-04-08 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-07 13:30:16,2024-07-15,9.90,134-814,서울특별시 강동구 길동 459-3 강동그린타워,N,,3240000-113-2024-00023,,3240000,"서울특별시 강동구 천호대로 1139, 강동그린타워 8층 962호 (길동)",05355,03,폐업,유통전문판매업,,,,
,임대,엠제이바이오,유통전문판매업,2026-04-07,170276.662544927,430988.865216008,2026-04-08 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-07 15:56:11,2025-07-11,37.40,406-081,인천광역시 연수구 송도동 172-5 송도 AT센터 오피스-2507호,N,,3520000-113-2025-00043,,3520000,"인천광역시 연수구 송도과학로 70, 송도 AT센터 오피스-2507호 (송도동)",21984,03,폐업,유통전문판매업,070-4101-1441,,,
,,씨제이제일제당(주),유통전문판매업,,166522.956174494,437913.682507523,2026-04-08 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-07 14:29:31,1999-07-05,"3,887.00",400-103,인천광역시 중구 신흥동3가 51,N,,3490000-113-1999-00003,,3490000,인천광역시 중구 서해대로 168 (신흥동3가),22341,01,영업/정상,유통전문판매업,,,,
,,씨제이제일제당(주),유통전문판매업,,167771.380020709,439842.138139522,2026-04-08 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-07 14:39:46,2004-08-16,378.49,400-103,인천광역시 중구 신흥동3가 7-121 외15필지,N,,3490000-113-2004-00002,,3490000,"인천광역시 중구 아암대로 20 (신흥동3가, 외15필지)",22332,01,영업/정상,유통전문판매업,032-881-2560,,,상수도전용
,,씨제이제일제당(주),유통전문판매업,,166767.508712755,437648.939305631,2026-04-08 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-07 14:32:12,2007-11-08,681.51,400-103,인천광역시 중구 신흥동3가 64 3동1층,N,,3490000-113-2007-00001,,3490000,"인천광역시 중구 서해대로140번길 49 (신흥동3가, 3동1층)",22341,01,영업/정상,유통전문판매업,032-881-2662,,,
,,(주)삼양사,유통전문판매업,,171490.352670295,442541.532818746,2026-04-08 03:03:03,U,01,영업,0,,,,,,,,,2026-04-07 14:56:33,1997-03-29,,404-815,인천광역시 서구 가좌동 285,N,,3560000-113-1997-00001,,3560000,인천광역시 서구 백범로 726 (가좌동),22826,01,영업/정상,유통전문판매업,032-570-8222,,,
