건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
0,임대,0,유에이치 스테이 명동,일반호텔,,,,,198841.348970952,451075.90120027,2026-04-08 03:03:03,U,01,영업,0,0,2026-04-07 14:02:38,2015-05-08,456.28,100-860,서울특별시 중구 충무로2가 12-27,N,0,3010000-201-2015-00019,3010000,"서울특별시 중구 명동8가길 47, 7,8층 (충무로2가)",04537,01,영업/정상,일반호텔,02-754-1616,8,0,8,0,12
0,자가,0,아리아호텔,일반호텔,,,,,211259.61950272,448429.766363345,2026-04-08 03:03:03,U,01,영업,0,1,2026-04-07 15:38:28,2019-06-14,"2,303.72",134-864,서울특별시 강동구 천호동 452-12,N,0,3240000-201-2019-00001,3240000,서울특별시 강동구 천호대로 1041-7 (천호동),05335,01,영업/정상,일반호텔,,1,1,12,1,53
0,,0,아늑호텔 수원인계2,일반호텔,,,,,202606.237476986,418277.888076741,2026-04-08 03:03:03,U,01,영업,0,0,2026-04-07 18:03:29,2015-03-19,"1,118.00",442-834,경기도 수원시 팔달구 인계동 1034-14 지하1층-지상5층,N,0,3770000-201-2015-00003,3740000,"경기도 수원시 팔달구 인계로108번길 27-19, 지하1층-지상5층 (인계동)",16489,01,영업/정상,일반호텔,031-225-0131,1,1,5,1,32
0,,0,부산여인숙,여인숙업,,,,,211894.109282055,437614.40382892,2026-04-08 03:03:03,U,01,영업,,8,2026-04-07 17:43:54,1973-06-25,.00,461-804,경기도 성남시 수정구 수진동 492,N,,3790000-201-1973-00014,3780000,경기도 성남시 수정구 수정남로66번길 6-1 (수진동),13328,01,영업/정상,여인숙업,,0,0,0,0,0
2,,0,소중한당신 애견 독채 펜션,숙박업(생활),,,,,231008.161204012,485398.488528472,2026-04-08 03:03:03,U,01,영업,0,0,2026-04-07 09:41:00,2022-05-31,318.00,,경기도 가평군 조종면 운악리 288-4,N,0,4160000-214-2022-00038,4160000,"경기도 가평군 조종면 와곡길 93-70, 총6개동(관리동포함) 제1동~제6동 1~2층",12432,01,영업/정상,숙박업(생활),,1,0,2,0,5
0,,0,공간스테이2,여관업,,,,,183939.771862632,457918.479523659,2026-04-08 03:03:03,U,01,영업,,0,2026-04-07 10:14:43,1996-07-06,501.56,412-818,경기도 고양시 덕양구 토당동 335-19,N,,3950000-201-1996-00001,3940000,경기도 고양시 덕양구 토당로 88-16 (토당동),10508,01,영업/정상,여관업,031-979-2061,0,0,0,0,17
4,,0,대영장여관,여관업,,,,,192291.447102737,379589.253298517,2026-04-08 03:03:03,U,01,영업,,5,2026-04-07 14:23:17,1995-10-31,773.87,451-811,"경기도 평택시 현덕면 권관리 413-1 ,2",N,,3910038-201-1995-00002,3910000,경기도 평택시 현덕면 평택호길 75-7,,01,영업/정상,여관업,031-681-6226,0,0,0,0,28
26,,0,양지 오션스테이Ⅳ,숙박업(생활),,,,,176622.411411402,422235.974304996,2026-04-08 03:03:03,U,01,영업,0,0,2026-04-07 14:02:45,2024-04-01,"1,048.88",425-110,경기도 안산시 단원구 성곡동 845-3 반달섬 더하이브,N,0,3930000-214-2024-00002,3930000,"경기도 안산시 단원구 반달섬1로 98, 반달섬 더하이브 일부(50실)호 (성곡동)",15656,01,영업/정상,숙박업(생활),031-498-9907,5,0,25,0,50
0,,0,호텔 온쉼,여관업,,,,,,,2026-04-08 03:03:03,U,01,영업,,0,2026-04-07 15:13:16,1980-10-08,173.00,430-832,경기도 안양시 만안구 안양동 676-161,N,,3840000-201-1980-00011,3830000,경기도 안양시 만안구 장내로125번길 55 (안양동),14001,01,영업/정상,여관업,031-449-8318,0,0,0,0,10
3,,0,休go(휴고),숙박업(생활),,,,,286001.96806478,511714.48391019,2026-04-08 03:03:03,U,01,영업,0,16,2026-04-07 11:42:49,2017-04-28,765.96,,강원특별자치도 양구군 양구읍 상리 427-4,N,1,4321000-214-2017-00001,4321000,강원특별자치도 양구군 양구읍 박수근로 367,24519,01,영업/정상,숙박업(생활),033-481-9033,2,0,3,0,0
