자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
1423379935762,에스케이인텔릭스(주),,391651901497,198795.525085201,451811.272474605,2026-04-09 03:03:03,U,01,정상영업,2026-04-08 07:22:19,1031728034465,,2021-05-14,,서울특별시 종로구 관철동 **-* 삼일빌딩,2021300020223200003,3000000,"서울특별시 종로구 청계천로 **, 삼일빌딩 **층 (관철동)",03190,,01,영업/정상,,,02-6740-7121
3282275639311,주식회사 웅진프리드라이프,,8036230000,197666.569166046,450622.931217442,2026-04-09 03:03:03,U,01,정상영업,2026-04-08 10:14:25,3031070874485,,2005-06-02,,서울특별시 중구 남대문로*가 *** 그랜드센트럴(GRAND CENTRAL),2021301016523200006,3010000,"서울특별시 중구 세종대로 **, 그랜드센트럴(GRAND CENTRAL) B동 **층 (남대문로*가)",04527,,01,영업/정상,,,1588-3740
,양천독일보청기,,,186990.07041522,446176.810389121,2026-04-09 03:03:03,U,01,정상영업,2026-04-08 16:24:40,,,2021-03-25,,서울특별시 양천구 신정동 ****-**,2021314016723200006,3140000,"서울특별시 양천구 중앙로 ***, ***호 (신정동)",08073,,01,영업/정상,,,
,에이치케이엘(HKL),2026-04-01,,188791.250134373,449473.236927176,2026-04-09 03:03:03,U,03,폐업처리,2026-04-08 19:05:55,,,2013-05-27,,,2014315014523200017,3150000,"서울특별시 강서구 공항대로**길 *, ***호 (염창동)",,,03,폐업,,,02-3664-2443
,코나피엔지,2026-04-09,,189877.178943503,442093.648596802,2026-04-09 03:03:03,U,03,폐업처리,2026-04-08 14:59:06,,,2013-03-18,,서울특별시 금천구 가산동 **-* 대륭포스트타워 *차,2013317014223200010,3170000,"서울특별시 금천구 디지털로*길 **, 대륭포스트타워 *차 B***호 (가산동)",08512,,03,폐업,,,070-7730-6537
,라이프케어,2026-04-08,,192037.140346383,445369.211797828,2026-04-09 03:03:03,U,05,타시군구이관,2026-04-08 09:04:19,,,2022-08-30,,서울특별시 영등포구 신길동 ***-** 인의빌딩,2025318025423200006,3180000,"서울특별시 영등포구 신길로 ***, 인의빌딩 *층 (신길동)",07347,,05,제외/삭제/전출,,,02-887-7787
,연세우유 길음보급소,,,200815.169368772,456795.823758563,2026-04-09 22:18:21,I,01,정상영업,2026-04-08 17:42:11,,,2026-04-07,,서울특별시 성북구 정릉동 ***-** *층,2026307029923200004,3070000,"서울특별시 성북구 솔샘로**길 **, *층 (정릉동)",02711,,01,영업/정상,,,02-943-7086
,라이프케어,,,191189.044349166,441186.97127864,2026-04-09 22:18:22,I,01,정상영업,2026-04-08 09:08:11,,,2022-08-30,,서울특별시 금천구 독산동 *** 독산 오르페움타워,2026317025723200011,3170000,"서울특별시 금천구 독산로**길 **, *층 ***,***,***,***,***호 (독산동, 독산 오르페움타워)",08543,,01,영업/정상,,,02-887-7787
0,주식회사 골든위너스,,330000000,167306.809226746,433346.288587482,2026-04-09 22:49:48,I,01,정상영업,2026-04-08 10:14:50,0,,2024-12-23,,인천광역시 연수구 송도동 **-* 송도씨워크인테라스한라,2026352023323200004,3520000,"인천광역시 연수구 센트럴로 ***, 송도씨워크인테라스한라 A동 ***~***호 (송도동)",22006,,01,영업/정상,,,070-8287-2663
,기아 호매실 대리점,,,196290.357993431,418978.45295002,2026-04-09 21:48:21,I,01,정상영업,2026-04-08 11:25:34,,,2026-04-08,,경기도 수원시 권선구 금곡동 ****-*,2026376003423200003,3740000,"경기도 수원시 권선구 서수원로 ***, *층 ***~***호 *층 ***호, ***호 (금곡동)",16393,,01,영업/정상,,,
,연세우유동수원대리점,,,202350.092128406,420942.533777428,2026-04-09 21:48:21,I,01,정상영업,2026-04-08 15:59:22,,,2026-04-08,,경기도 수원시 팔달구 우만동 ***-*,2026377004123200001,3740000,"경기도 수원시 팔달구 창룡대로***번길 **, *층 (우만동)",16232,,01,영업/정상,,,031-236-5326
92462493611,휴먼라이프 주식회사,,1583000000,201279.4432135,442806.709179539,2026-04-09 03:03:03,U,01,정상영업,2026-04-08 09:06:31,89390132941,,2012-12-10,,서울특별시 서초구 서초동 ****번지 *호 대영빌딩,2019321015323200022,3210000,"서울특별시 서초구 서초중앙로 **, 대영빌딩 *층 (서초동)",06640,,01,영업/정상,,,1544-6477
