건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,임대,0,광인에스테이트서비스 주식회사,건물위생관리업,,,,,195547.140326252,447976.775939762,2026-04-09 22:51:56,I,01,영업,0,2026-04-08 16:17:17,2026-04-08,6.60,140-040,서울특별시 용산구 산천동 202 삼성테마트,N,0,3020000-206-2026-00002,3020000,"서울특별시 용산구 원효로 51, 3층 308호 (산천동, 삼성테마트)",04359,01,영업/정상,건물위생관리업,02-540-1799,3,,,
0,,0,주식회사 한결솔루션,건물위생관리업,,,,,205142.103666569,451167.624821007,2026-04-09 22:21:52,I,01,영업,0,2026-04-08 10:09:27,2026-04-08,44.74,130-843,서울특별시 동대문구 장안동 413-5 JAX타워,N,0,3050000-206-2026-00004,3050000,"서울특별시 동대문구 천호대로 357, JAX타워 4층 403호,404호 (장안동)",02633,01,영업/정상,건물위생관리업,,4,,4,
0,,0,(주)프라임파트너스,건물위생관리업,,,,,203931.098064589,444622.849264371,2026-04-09 22:21:54,I,01,영업,0,2026-04-08 09:56:58,2026-04-08,41.70,135-513,서울특별시 강남구 역삼동 702-13 성지하이츠1,N,0,3220000-206-2026-00006,3220000,"서울특별시 강남구 테헤란로 313, 성지하이츠1 6층 601호 (역삼동)",06151,01,영업/정상,건물위생관리업,,6,,6,
0,임대,0,전문크린,건물위생관리업,,,,,221081.109407118,434203.131254481,2026-04-09 21:21:51,I,01,영업,0,2026-04-08 11:36:28,2026-04-08,36.08,464-100,경기도 광주시 탄벌동 544-2,N,0,5540000-206-2026-00007,5540000,"경기도 광주시 회안대로 639, 2층 201호 (탄벌동)",12748,01,영업/정상,건물위생관리업,,2,,2,
,,,진화 주식회사,건물위생관리업,,,,,190961.514557758,410808.297888504,2026-04-09 03:03:03,U,01,영업,,2026-04-08 12:33:48,2026-04-06,92.00,,경기도 화성시 효행구 비봉면 청요리 291-9 1동 2층,N,,5750000-206-2026-00003,5530000,"경기도 화성시 효행구 비봉면 주석로 719, 1동 2층",18525,01,영업/정상,건물위생관리업,031-224-4050,,,,
0,임대,0,에코빌드케어 주식회사,건물위생관리업,,,,,206443.627933074,458154.361082014,2026-04-09 03:03:03,U,01,영업,0,2026-04-08 13:33:15,2026-03-16,43.00,139-240,서울특별시 노원구 공릉동 395-11,N,0,3100000-206-2026-00002,3100000,"서울특별시 노원구 동일로192길 10, 402호 (공릉동)",01842,01,영업/정상,건물위생관리업,,,,,
7,임대,1,서운에스엠(주),건물위생관리업,,,,,205198.708251778,451031.626755333,2026-04-09 03:03:03,U,01,영업,,2026-04-08 17:19:49,2006-01-11,211.40,133-847,서울특별시 성동구 용답동 228-13 지상6층,N,,3030000-206-2006-00002,3030000,"서울특별시 성동구 자동차시장1길 17 (용답동,지상6층)",04808,01,영업/정상,건물위생관리업,,6,0,6,0
0,임대,0,주식회사 세진기업,건물위생관리업,,,,,185222.73244302,447665.545654592,2026-04-09 03:03:03,U,01,영업,,2026-04-08 14:37:17,2010-10-14,20.00,158-827,서울특별시 양천구 신월동 128 신월프라자 305호,N,6,3140000-206-2010-00006,3140000,"서울특별시 양천구 곰달래로5길 17, 신월프라자 3층 305호 (신월동)",07921,01,영업/정상,건물위생관리업,02-2692-6111,3,0,3,0
4,임대,0,명성종합위생,건물위생관리업,,,,,186082.175714046,446378.049578238,2026-04-09 03:03:03,U,01,영업,,2026-04-08 13:24:17,2013-01-31,69.61,158-840,서울특별시 양천구 신월동 535-7 로즈그린타운 305호,N,,3140000-206-2013-00013,3140000,"서울특별시 양천구 신월로 185, 3층 305호 (신월동, 로즈그린타운)",08030,01,영업/정상,건물위생관리업,02-6406-3066,1,0,0,0
11,,,동원안전시스템(주),건물위생관리업,,,,,204935.493033357,445063.256199694,2026-04-09 03:03:03,U,01,영업,,2026-04-08 13:26:00,1999-03-19,79.03,135-880,서울특별시 강남구 삼성동 157-3 LG트윈텔2,N,,3220000-206-1999-03039,3220000,"서울특별시 강남구 삼성로 508, LG트윈텔2 1712호 (삼성동)",06168,01,영업/정상,건물위생관리업,02-0555-6460,,,11,
5,,0,주식회사 와이제이브릿지,건물위생관리업,,,,,202539.451001168,445513.939462178,2026-04-09 03:03:03,U,01,영업,0,2026-04-08 12:24:40,2025-08-29,26.00,135-824,서울특별시 강남구 논현동 132-11,N,0,3220000-206-2025-00019,3220000,"서울특별시 강남구 학동로24길 23, 5층 501호 (논현동)",06112,01,영업/정상,건물위생관리업,02-796-4575,,,,
4,,1,사회적협동조합 한국클린쿱,건물위생관리업,,,,,201322.167360331,418309.432794457,2026-04-09 03:03:03,U,01,영업,0,2026-04-08 15:35:58,2022-12-01,16.40,442-844,경기도 수원시 팔달구 매교동 161 매교종합상가,N,,3770000-206-2022-00009,3740000,"경기도 수원시 팔달구 정조로 651, 매교종합상가 1동 2층 243호 (매교동)",16467,01,영업/정상,건물위생관리업,,2,0,2,0
