영업장주변구분명,건물소유구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,무무무,커피숍,,185155.842605148,450116.305666474,2026-04-09 03:03:03,U,01,영업,145.71,,,,,,,,,2026-04-08 14:12:49,2023-05-16,145.71,157-829,서울특별시 강서구 내발산동 681-1 코이노니아 스테이 1층 101호,N,,3150000-104-2023-00106,,3150000,"서울특별시 강서구 강서로47길 60, 1층 101호 (내발산동, 코이노니아 스테이)",07633,01,영업/정상,커피숍,,,,상수도전용
,,로스트밸리팝콘,유원지,,218163.941750321,421117.669774162,2026-04-09 03:03:03,U,01,영업,10.49,,,,,,,,,2026-04-08 00:22:07,2013-11-07,10.49,449-815,경기도 용인시 처인구 포곡읍 전대리 506 외2필지 A동,N,,5620000-104-2013-00072,,4050000,"경기도 용인시 처인구 포곡읍 에버랜드로 199, A동 (외2필지)",17023,01,영업/정상,유원지,031-320-8349,,,상수도전용
,,분수대휴게5점,기타 휴게음식점,,217621.734590414,421323.967277947,2026-04-09 03:03:03,U,01,영업,4.6,,,,,,,,,2026-04-08 00:45:39,2015-05-19,4.60,449-811,경기도 용인시 처인구 포곡읍 가실리 104 사동,N,,5620000-104-2015-00047,,4050000,"경기도 용인시 처인구 포곡읍 에버랜드로 199, 사동",17023,01,영업/정상,기타 휴게음식점,031-320-8349,,,상수도전용
,,하이오커피원주단구점,기타 휴게음식점,2026-04-08,284012.197863588,425846.256339564,2026-04-09 03:03:03,U,02,폐업,47.2,,,,,,,,,2026-04-08 16:07:10,2023-03-02,47.20,,강원특별자치도 원주시 단구동 1511-2 스타월드,N,,4191000-104-2023-00033,,4191000,"강원특별자치도 원주시 서원대로 396, 스타월드 1층 106호 (단구동)",26484,03,폐업,기타 휴게음식점,,,,
,,메가엠지씨커피 안양동편마을점,커피숍,,197043.712616609,434428.235210609,2026-04-09 03:03:03,U,01,영업,36.96,,,,,,,,,2026-04-08 14:20:33,2024-08-30,36.96,431-815,경기도 안양시 동안구 관양동 1672 동편마을,N,,3850000-104-2024-00134,,3830000,"경기도 안양시 동안구 동편로 120, 상가동 1층 101호 (관양동, 동편마을)",13928,01,영업/정상,커피숍,,,,
,,카페콩브레,기타 휴게음식점,,175936.900138721,439896.716758676,2026-04-09 03:03:03,U,01,영업,40,,,,,,,,,2026-04-08 11:20:02,2016-11-23,40.00,405-853,인천광역시 남동구 만수동 107-56 1층 일부,N,,3530000-104-2016-00241,,3530000,"인천광역시 남동구 만수서로29번길 5-7, 1층 일부호 (만수동)",21520,01,영업/정상,기타 휴게음식점,,,,
,,페럿 월드,커피숍,2026-04-08,193124.783645349,450167.961063457,2026-04-09 03:03:03,U,02,폐업,35,,,,,,,,,2026-04-08 16:57:17,2023-01-05,35.00,121-838,서울특별시 마포구 서교동 358-104,N,,3130000-104-2023-00003,,3130000,"서울특별시 마포구 홍익로 15, 3층 (서교동)",04040,03,폐업,커피숍,02-336-4672,,,
,,메가엠지씨커피 안양1번가점,커피숍,,,,2026-04-09 03:03:03,U,01,영업,19.53,,,,,,,,,2026-04-08 13:29:01,2012-06-11,.00,430-831,경기도 안양시 만안구 안양동 674-65,N,,3840000-104-2012-00015,,3830000,"경기도 안양시 만안구 안양로304번길 13, 1층 일부호 (안양동)",13992,01,영업/정상,커피숍,031-449-6800,,,상수도전용
,,스낵버스터휴게1점,유원지,,217819.35570509,420986.989057666,2026-04-09 03:03:03,U,01,영업,4.2,,,,,,,,,2026-04-08 00:32:36,2014-08-28,4.20,449-715,"경기도 용인시 처인구 포곡읍 전대리 525-1 외 2필지, 삼성에버랜드",N,,5620000-104-2014-00081,,4050000,"경기도 용인시 처인구 포곡읍 에버랜드로 199, 마동 (외 2필지)",17023,01,영업/정상,유원지,031-320-8349,,,상수도전용
,,(주)카페지향 아주대지점,기타 휴게음식점,,203602.077870653,419340.074828329,2026-04-09 03:03:03,U,01,영업,123.8,,,,,,,,,2026-04-08 15:40:01,2022-11-08,123.80,442-816,경기도 수원시 팔달구 우만동 89-5,N,,3770000-104-2022-00153,,3740000,"경기도 수원시 팔달구 중부대로 229, 지에스타워 1층 101,102호 (우만동)",16498,01,영업/정상,기타 휴게음식점,,,,상수도전용
,,글로벌페어휴게6점,유원지,,217621.734590414,421323.967277947,2026-04-09 03:03:03,U,01,영업,5.67,,,,,,,,,2026-04-08 00:02:10,2012-08-21,5.67,449-811,경기도 용인시 처인구 포곡읍 가실리 104,N,,5620000-104-2012-00045,,4050000,경기도 용인시 처인구 포곡읍 에버랜드로 199,17023,01,영업/정상,유원지,031-320-8349,,,상수도전용
,,포시즌가든 휴게3점,유원지,,217709.300345788,421038.893362133,2026-04-09 03:03:03,U,01,영업,3,,,,,,,,,2026-04-08 00:26:27,2014-02-19,3.00,449-811,경기도 용인시 처인구 포곡읍 가실리 148 A동,N,,5620000-104-2014-00010,,4050000,"경기도 용인시 처인구 포곡읍 에버랜드로 199, A동",17023,01,영업/정상,유원지,031-320-8349,,,상수도전용
,,이솝빌리지휴게3점,유원지,,217621.734590414,421323.967277947,2026-04-09 03:03:03,U,01,영업,7,,,,,,,,,2026-04-08 00:12:57,2013-03-27,7.00,449-811,경기도 용인시 처인구 포곡읍 가실리 104 가동,N,,5620000-104-2013-00018,,4050000,"경기도 용인시 처인구 포곡읍 에버랜드로 199, 가동",17023,01,영업/정상,유원지,031-320-8349,,,상수도전용
