건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,숙박시설,스테이 묘미 종로,,,130000000,198686.19085244,451852.05285101,,관광숙박업,2026-04-09 22:38:50,I,13,영업중,Tourist Accommodation Business(Hostel),Stay Myomi Jongno,,293.62,294,11,,,,,2026-04-08 09:59:55,,2026-04-08,,서울특별시 종로구 관철동 12-13 포인트23,CDFI2260032026000023,3000000,,"서울특별시 종로구 종로12길 23, 포인트23 10, 11층 (관철동)",03190,01,영업/정상,,,,,,,,12,호스텔업,1,,,
,숙박시설,벨린스테이,,,,198596.089308222,451932.131774449,,관광숙박업,2026-04-09 22:38:50,I,13,영업중,Tourist Accommodation Business(Hostel),Bellin Stay,,262.25,262,7,,,,,2026-04-08 10:33:54,,2026-04-08,,서울특별시 종로구 관철동 18-8,CDFI2260032026000025,3000000,,"서울특별시 종로구 우정국로2길 31, 4층 (관철동)",03189,01,영업/정상,,,,,,,,8,호스텔업,1,,,
,숙박시설,호텔 인스피룸 종로,,,10000000,201833.329247293,452396.590127958,,관광숙박업,2026-04-09 22:38:50,I,13,영업중,Tourist Accommodation Business(Hostel),Hotel Inspiroom Jongno,,542.03,542,5,,,,,2026-04-08 10:29:14,,2026-04-08,,서울특별시 종로구 숭인동 201-6 삼광빌딩,CDFI2260032026000026,3000000,,"서울특별시 종로구 난계로29길 33-5, 삼광빌딩 (숭인동)",03115,01,영업/정상,,,,,,,,6,호스텔업,1,,,
,숙박시설,안한스테이 동묘,,,100000000,201416.64430679,452371.758065602,,관광숙박업,2026-04-09 22:38:50,I,13,영업중,Tourist Accommodation Business(Hostel),Anhan Stay Dongmyo,,431.33,431,7,,,,,2026-04-08 10:31:44,,2026-04-08,,서울특별시 종로구 숭인동 99-2 안한스테이 동묘,CDFI2260032026000027,3000000,,"서울특별시 종로구 종로57길 7, 안한스테이 동묘 (숭인동)",03113,01,영업/정상,,,,,,,,8,호스텔업,1,,,
,,아랑재,,,,199982.67401815,451312.579937352,,관광숙박업,2026-04-09 23:00:11,I,13,영업중,,,,139.32,139,,4,,,,2026-04-08 11:02:44,,2026-04-07,,서울특별시 중구 오장동 101-5,CDFI2260032026000025,3010000,,"서울특별시 중구 마른내로12길 7-1, 지상2층~지상3층 (오장동)",04559,01,영업/정상,,,,,,,,,호스텔업,,,,
,,서온재 Seo on jae,,,,202941.700920402,451198.521514065,,관광숙박업,2026-04-09 22:08:42,I,13,영업중,,,,106.56,107,,,,,,2026-04-08 09:50:47,,2026-04-08,,서울특별시 성동구 도선동 151-1,CDFI2260032026000004,3030000,상업지역,"서울특별시 성동구 왕십리로24길 8, 5층 (도선동)",04709,01,영업/정상,,,,,,,,1,호스텔업,,,,
,,에이치 호스텔,,,50000000,204219.516378396,452430.518547191,,관광숙박업,2026-04-09 22:08:43,I,13,영업중,,,,,,4,,,,,2026-04-08 17:05:38,,2026-04-08,,서울특별시 동대문구 답십리동 472-46,CDFI2260032026000001,3050000,일반주거지역,"서울특별시 동대문구 서울시립대로4길 35, 3층 (답십리동)",02595,01,영업/정상,,,,,,,,,호스텔업,1,,,
,,룩앤스테이,,,,193031.771142009,450456.462818787,,관광숙박업,2026-04-09 22:11:29,I,13,영업중,HOSTEL BUSINESS,LOOK N STAY,,,,,6,,,,2026-04-08 13:25:58,,2026-04-07,,서울특별시 마포구 동교동 161-10,CDFI2260032026000008,3130000,근린상업지역,"서울특별시 마포구 월드컵북로2길 19, 8층 (동교동)",03995,01,영업/정상,,,,,,,,,호스텔업,,,,
,숙박시설,루프서울 논현점,,,10500000000,202671.352388826,445108.556361762,,관광숙박업,2026-04-09 22:08:44,I,13,영업중,,,,802.74,803,6,,,,,2026-04-08 19:47:09,,2026-04-08,,서울특별시 강남구 논현동 190-21,CDFI2260032026000007,3220000,주거지역,서울특별시 강남구 논현로113길 28 (논현동),06122,01,영업/정상,,,주택가주변,,,,,7,호스텔업,1,,,
731,근린생활시설,호텔 앳 강남 서울,,,156588500,201810.70789544,444825.576398283,,관광숙박업,2026-04-09 03:03:03,U,13,영업중,,,,277.37,277,5,36,,,,2026-04-08 13:04:15,,2026-03-13,,서울특별시 서초구 반포동 733-13,CDFI2260032026000001,3210000,일반주거지역,서울특별시 서초구 사평대로53길 27-6 (반포동),06540,01,영업/정상,,,주택가주변,,,,,5,호스텔업,1,,,
